1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,-250283,-740,-165124,60670,-18477,-66473,-37512,0,-28961,124961,-69254,-106128,-9718,5769,3949
2003:Q4,151805,-784,111556,-11770,73406,18503,-12917,0,31421,53007,-55899,10127,-46342,42288,4054
2004:Q1,-113075,-388,104840,30375,-198406,40599,75892,0,-35294,-35865,61979,-101635,-14573,10339,4234
2004:Q2,-6026,44,201028,21378,-245589,-4188,-3685,0,-503,-74723,-117053,185372,27706,-32058,4352
2004:Q3,43557,-264,38188,-16396,403881,15894,16275,0,-381,36803,26916,-522920,61454,-65912,4458
2004:Q4,664733,-500,171248,49499,133926,19805,23167,0,-3362,51069,18873,218031,2782,-7310,4528
2005:Q1,115683,352,331208,25203,124727,-24548,-27998,0,3450,-46146,-34936,-232656,-27520,22868,4652
2005:Q2,-768710,800,-219888,-142572,458221,-6474,-7061,0,587,-32487,-53272,-805547,32508,-37189,4681
2005:Q3,-801165,1660,53608,29004,-57041,12989,11405,0,1585,19367,-26065,-864231,29544,-34233,4689
2005:Q4,-1298942,-120,-156348,91909,-83259,-2661,-2723,0,63,-159738,-58027,-1087593,156895,-161535,4640
2006:Q1,-37,-4780,323588,-11201,105797,-20858,-19147,0,-1710,-19230,23554,-584801,187893,-192541,4648
2006:Q2,-594449,312,402644,-161856,287103,8522,7928,0,594,146287,-29971,-1456966,209477,-214067,4590
2006:Q3,286218,624,140736,124903,663468,10613,10792,0,-179,121258,60678,-1080455,244393,-248953,4560
2006:Q4,-122323,-492,-72148,45562,157132,-10430,-11393,0,963,311073,57391,-767618,157207,-161798,4591
2007:Q1,-796647,-252,181796,25343,-34639,-27584,-23079,0,-4505,32670,-126310,-963019,115347,-120032,4685
2007:Q2,546370,-1924,508924,-267349,-37867,13510,12975,0,535,-34704,-53067,323313,95534,-100241,4707
2007:Q3,-966047,-1876,255580,147586,42330,2512,2262,0,250,-162402,15614,-1153236,-112155,107432,4723
2007:Q4,-1833408,-572,16836,116804,-900245,15660,12499,0,3161,-55834,51447,-880771,-196734,191986,4748
2008:Q1,284077,-900,-191152,51502,477958,-35485,-35176,0,-308,46487,11900,66832,-143065,138282,4783
2008:Q2,-771089,-460,-352456,-179941,-797732,20045,22154,0,-2109,-5933,-54119,856471,-256963,252169,4794
2008:Q3,-416951,-1180,-439952,-41871,164525,779,4528,0,-3749,24749,28499,46046,-198546,193705,4841
2008:Q4,8939,-760,-108004,72966,-1016775,-7485,-4516,0,-2969,-2358,-120348,1400307,-208604,203706,4898
2009:Q1,297174,-14352,-91060,339094,-160001,-46822,-45396,0,-1426,111319,-25790,465233,-280447,275537,4910
2009:Q2,516823,-668,129428,75287,1001327,41296,43319,0,-2024,-13360,-66956,-443288,-206242,201270,4972
2009:Q3,1454137,-1548,185672,-126612,394612,-3144,897,0,-4041,184985,47903,972965,-200696,195716,4980
2009:Q4,-575067,-908,-444352,-53121,-290378,5888,4149,0,1739,194852,-66929,220483,-140602,135629,4973
2010:Q1,157784,-216,-204464,263709,147736,-54933,-52000,0,-2933,-13379,-70899,220874,-130644,125667,4977
2010:Q2,-28905,-1844,154596,5688,71438,46809,46116,0,693,-26679,75449,-221865,-132497,127544,4953
2010:Q3,333030,-1932,119424,-211452,-110842,3392,2639,0,753,-95444,79445,572889,-22450,17547,4904
2010:Q4,26729,-516,110084,127883,200076,2939,3264,0,-325,-52165,58728,-356084,-64217,59360,4857
2011:Q1,-112697,-992,126904,331515,77634,-87250,-87628,0,378,-92385,3646,-460213,-11557,7163,4394
2011:Q2,-419879,-652,-402800,-77796,158913,75854,75811,0,43,15208,1804,-187565,-2845,-1540,4385
2011:Q3,-2087660,-516,113264,-167094,-128511,-18414,-20234,0,1820,-108736,80979,-1896232,37599,-42017,4418
2011:Q4,2299810,-464,-355164,-136118,50196,33126,31588,0,1539,-5381,-29554,2734750,8419,-12861,4442
2012:Q1,1585643,-764,-70420,235604,392592,-71599,-72712,0,1113,129377,24021,730705,216127,-220681,4554
2012:Q2,-969969,-512,-332668,-164360,41799,69370,69754,0,-384,90492,-13547,-866097,205554,-210166,4612
2012:Q3,14879,-472,39960,23414,-317769,-12466,-13190,0,724,-87012,51074,264123,54027,-58680,4653
2012:Q4,1010326,-464,-200364,-78070,-69166,22746,18659,0,4087,76641,-48260,1046035,261229,-265945,4716
2013:Q1,349362,-880,49844,450190,-158878,-46858,-40224,0,-6634,-256746,-56638,260457,108872,-114088,5217
2013:Q2,-434135,-704,170784,-243664,37445,46218,43911,0,2307,-170364,-110720,-358260,195131,-200301,5171
2013:Q3,-462060,-2148,-36160,-116692,-91422,3451,699,0,2752,-93808,-7911,-190982,73613,-78726,5113
2013:Q4,-547722,-636,-305252,59335,-195592,-5681,-2511,0,-3169,-82633,-46328,-32066,61131,-66249,5118
2014:Q1,-560153,-1024,100964,370716,76610,10765,8108,0,2657,-14507,-3110,-1310170,209603,-214827,5224
2014:Q2,56460,-856,-270592,-346350,-174963,-2764,-2920,0,156,7426,-2617,605588,241589,-246819,5230
2014:Q3,115946,-1832,241788,38997,-19374,38217,41493,0,-3275,144485,126752,-697834,244748,-250000,5252
2014:Q4,1237994,-520,-441524,-188515,-209508,-40934,-40348,0,-586,51650,26905,1728655,311785,-317070,5285
2015:Q1,-563431,-1480,62588,472406,7736,36660,36137,0,523,68678,-57938,-1430017,277937,-283191,5254
2015:Q2,-1039548,-1316,-361792,-430838,45198,-22467,-22058,0,-409,68885,-33080,-542914,238776,-244000,5224
2015:Q3,-1158105,-3512,-169108,82068,-113947,46268,47728,0,-1461,-53293,27758,-1176682,202343,-207593,5250
2015:Q4,567390,-960,-289780,-124353,-17648,-63419,-63805,0,386,34034,-55659,887287,197888,-203224,5336
2016:Q1,-146915,-636,190300,444965,-115020,49607,49790,0,-182,5840,-35842,-885197,199068,-204573,5505
2016:Q2,-441611,-1268,-139280,-468271,-14971,-37147,-37192,0,45,-34774,-60066,261580,52587,-58161,5574
2016:Q3,-1030469,-3508,-67624,136870,-521312,41156,39237,0,1919,109822,14274,-794783,54636,-60204,5568
2016:Q4,1995556,-664,-278236,-103088,470008,-51904,-52587,0,683,60736,-36690,1890078,45315,-50788,5473
2017:Q1,-890246,-980,366844,458043,-596645,20476,21496,0,-1020,-126538,22765,-1146767,112555,-117909,5354
2017:Q2,-702695,-820,199788,-500499,53781,-4446,-4603,0,157,-74156,117130,-645699,152227,-157450,5223
2017:Q3,-552646,-1756,-89256,100353,-193177,-8938,-9295,0,356,-197519,41893,-313953,109707,-114884,5177
2017:Q4,-1142507,-824,16360,-67717,-132015,-7458,-9145,0,1687,24557,18309,-1071444,77724,-85350,5226
2018:Q1,-722836,-544,205888,427357,-831537,-15030,-12181,0,-2849,-167880,-41563,-426803,127277,-132655,5378
2018:Q2,-255123,-400,60632,-472561,280798,27364,25443,0,1922,-148020,-78465,76068,-541,-4881,5422
2018:Q3,510138,-1360,353192,84874,-42799,-47212,-47697,0,485,-171598,-2870,178638,159274,-164708,5434
2018:Q4,343455,-284,84068,-98938,-328689,32374,32555,0,-182,159451,13214,288027,194232,-199587,5355
2019:Q1,-417480,-412,12064,400833,-439223,-46093,-46793,0,700,-324105,54505,-263751,188703,-194035,5332
2019:Q2,-1782634,-260,-156320,-471629,143228,64303,64051,0,252,-350623,-64483,-1013960,67111,-72330,5219
2019:Q3,-830093,-2416,151280,67358,-292900,-60294,-61446,0,1151,-172157,116685,-609370,-28279,23148,5131
2019:Q4,-1013856,-308,-44028,-36941,-514585,42038,46253,0,-4215,-208602,-5814,-275891,30274,-35383,5109
2020:Q1,-297628,-436,753588,271577,-432471,-83053,-83295,0,241,105939,78973,-1261074,269329,-274504,5175
2020:Q2,805905,-304,-628824,-307649,694334,99061,98289,0,771,141352,-106309,776376,137868,-142760,4892
2020:Q3,-202675,-632,178432,81878,154474,-97662,-96315,0,-1347,-75688,104395,-312788,-235085,230041,5044
2020:Q4,612043,-324,50768,-3815,-239581,79669,78570,0,1099,25800,19874,189867,489785,-494979,5194
2021:Q1,991808,-300,123140,359007,-151633,-78937,-80151,0,1214,-25087,-40068,301358,504330,-509670,5340
2021:Q2,50662,-224,-142416,-382805,1025648,105189,105681,0,-492,-127477,85573,-899094,386270,-391692,5422
2021:Q3,-124589,-832,-55732,84960,57070,-121040,-120652,0,-388,-126508,90805,-678590,625280,-630862,5582
2021:Q4,19826,-612,-21678,-18017,167131,96952,100031,0,-3079,-104765,-8449,-648432,557696,-563408,5712
