1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,-28535,328,0,-16092,8100,512,648,192,-328,7414,2408,-16286,-14919,14375,544
1973:Q3,19737,-76,0,16208,-13284,16104,6196,332,9576,-14362,2256,15926,-3035,2483,552
1973:Q4,-6990,-100,0,-5592,-1212,-15624,-4736,496,-11384,4954,3344,8850,-1610,1054,556
1974:Q1,6811,12,0,-1296,-15620,-4782,-2042,436,-3176,368,11088,17678,-637,61,576
1974:Q2,32585,-56,0,8720,32260,5402,-266,136,5532,-9292,5468,336,-10253,9689,564
1974:Q3,-6543,-168,0,4728,-13400,9312,8288,-124,1148,7348,7204,-17437,-4130,3570,560
1974:Q4,49775,-152,0,-4796,26852,-8434,-6238,-388,-1808,-488,5596,48298,-17101,16525,576
1975:Q1,-30178,-136,228,-3128,-13292,-7156,-7084,-464,392,-28163,2092,35355,-15978,15390,588
1975:Q2,5283,-92,924,-20724,2160,4,0,-364,368,-9687,-3680,50852,-14474,13882,592
1975:Q3,57023,-192,1716,15512,4408,9538,4650,-300,5188,13681,-1884,23837,-9593,9009,584
1975:Q4,44747,-96,-1448,-10516,-6996,4338,2594,-316,2060,-22323,-860,98356,-15708,15124,584
1976:Q1,-6686,-148,384,2548,8628,-1766,-3054,-260,1548,-17498,-1168,21648,-19314,18686,628
1976:Q2,-41593,736,1588,-3808,10916,-3876,4052,-140,-7788,-8930,-3784,-12879,-21556,20932,624
1976:Q3,15390,-912,1644,8160,21224,3860,708,24,3128,7898,-148,-8327,-18009,17365,644
1976:Q4,16695,-128,-208,-10056,-10016,690,-5142,172,5660,-14450,2992,74162,-26291,25631,660
1977:Q1,-30484,-520,1552,-12724,24896,2234,-2534,220,4548,8904,2648,-29017,-28457,27741,716
1977:Q2,7900,-100,2388,6016,-5352,3222,7414,148,-4340,1276,3856,18046,-21452,20700,752
1977:Q3,-8383,-104,-3644,-9016,9616,11468,6388,132,4948,-13584,376,17885,-21380,20608,772
1977:Q4,22203,-320,-4024,-11492,-13216,-4256,-5752,136,1360,-38584,3920,99706,-9531,8735,796
1978:Q1,-33474,104,-504,11744,50804,-11078,-9078,116,-2116,-5661,5400,-80639,-3644,2800,844
1978:Q2,44735,-108,-808,-2664,-6392,13026,13254,60,-288,-30821,760,94662,-22920,22056,864
1978:Q3,-15105,44,1656,332,12704,7438,6742,-124,820,-40417,2172,31031,-30065,29188,877
1978:Q4,32372,-144,-1072,-10376,-57644,-62940,-62588,-220,-132,-20681,3088,222272,-40131,39258,873
1979:Q1,58288,-204,-556,-8920,53832,-9762,-6042,-208,-3512,-16009,5156,60591,-25840,24913,927
1979:Q2,28043,-176,-1028,576,476,4176,5532,-116,-1240,-9609,10556,64994,-41922,41008,914
1979:Q3,38160,-80,20924,-8852,-19504,-1442,-2510,-44,1112,-8429,7060,107827,-59344,58415,929
1979:Q4,86,-140,-7700,2140,-80268,12090,8290,48,3752,-14881,7000,138673,-56828,55881,947
1980:Q1,47016,-180,11428,-388,39044,-12596,-2848,64,-9812,-28339,1840,105311,-69104,68115,989
1980:Q2,-97108,-124,6412,-23260,-12780,8722,-2706,20,11408,-24563,24280,-18840,-56955,55955,1000
1980:Q3,-90059,-216,-16256,-20628,1440,-7488,-1488,28,-6028,9217,3976,-26306,-33798,32777,1021
1980:Q4,-18159,-188,11228,12292,-35588,16184,2676,44,13464,-48343,-492,48669,-21921,20871,1050
1981:Q1,-24284,-248,11448,-3328,100596,-12578,-15606,44,2984,5613,-3564,-61465,-60758,59596,1162
1981:Q2,-130582,-220,-8996,-3220,-11540,36160,37940,24,-1804,-20555,26564,-111737,-37038,35870,1168
1981:Q3,-48440,-188,-12656,-16376,-19360,-20724,-14384,12,-6352,-19059,7092,63411,-30580,29406,1174
1981:Q4,4530,-164,-7188,13207,8748,12552,-8924,8,21468,-18955,184,24786,-28640,27472,1168
1982:Q1,90703,-204,16252,9834,52214,-2496,-428,12,-2080,1709,11008,5861,-3475,2275,1200
1982:Q2,41349,-212,-3480,6805,-44342,2506,9374,24,-6892,6237,11932,68524,-6621,5431,1190
1982:Q3,-57252,-256,-14800,-904,-2723,2630,2818,-44,-144,28365,-5536,-57146,-6882,5693,1189
1982:Q4,70274,-144,-316,-2815,35307,-8556,-10368,116,1696,12105,13064,44814,-23185,21996,1189
1983:Q1,-123162,-232,20704,-35423,-53610,10792,9220,108,1464,-51064,14140,3513,-31981,30723,1258
1983:Q2,-120197,-184,-5240,16863,-43849,-5662,2570,64,-8296,-41488,-18724,31628,-53542,52282,1260
1983:Q3,-108854,-156,1104,11212,20967,11428,1960,64,9404,-53972,-2968,-19478,-76990,75734,1256
1983:Q4,34150,-312,-1956,-55751,31676,272,-7420,12,7680,-40472,-6240,177225,-70293,69047,1246
1984:Q1,-23112,68,6404,43530,776,4914,6970,36,-2092,-44772,-3960,13256,-43329,42008,1321
1984:Q2,-171720,-276,5104,8249,-55023,2808,2084,56,668,-21652,-1780,-60986,-48164,46845,1319
1984:Q3,-22193,-164,-6020,6407,49019,-770,898,32,-1700,-14924,14504,-24829,-45416,44079,1337
1984:Q4,-93296,-160,-1976,18503,-45865,-12508,-8088,28,-4448,-37016,11396,9157,-34827,33460,1367
1985:Q1,-65153,428,10548,-1399,-68291,20376,12060,28,8288,-36974,6380,44273,-40494,39094,1400
1985:Q2,50446,-708,-9120,-3011,-62940,-7088,1048,32,-8168,38330,-2848,146021,-48190,46769,1421
1985:Q3,123621,-244,14628,-12918,-9519,8418,-5354,32,13740,-3114,7220,181789,-62638,61214,1424
1985:Q4,33433,-464,6868,-14799,17059,-13300,-2428,32,-10904,24250,2660,82624,-71466,70011,1455
1986:Q1,-163710,224,9752,-38323,61751,13866,18818,32,-4984,14419,2412,-157733,-70078,68623,1455
1986:Q2,-253754,-120,8992,-15429,-8813,-14524,-4704,28,-9848,-6469,-364,-138782,-78246,76801,1445
1986:Q3,-153872,-128,37812,-2393,-32150,-16958,-7234,28,-9752,-701,8668,-53933,-94088,92638,1450
1986:Q4,-349091,-80,25500,-4641,1483,-20488,-9328,24,-11184,17935,12720,-297903,-83617,82159,1458
1987:Q1,-29185,-160,-5556,20723,-3825,12148,22264,24,-10140,-13520,24769,7680,-71443,69976,1467
1987:Q2,-270874,-188,18680,-11504,-62553,-10970,-7718,20,-3272,-2808,-16019,-136999,-48513,47016,1497
1987:Q3,-237348,-12,13576,38508,10900,4678,4198,20,460,9444,18423,-311726,-21139,19594,1545
1987:Q4,-154741,-204,22048,-35017,-29203,-4190,-18814,16,14608,-37152,10218,-40931,-40311,38720,1591
1988:Q1,-103084,-132,-17632,-9894,36777,12754,14550,0,-1796,-18448,1660,-101209,-6960,5329,1631
1988:Q2,-171208,-248,5408,12337,-26473,636,4272,0,-3636,-40620,5493,-112303,-15438,13767,1671
1988:Q3,-166232,-64,10536,5235,-19475,6498,-1954,0,8452,-18484,-4217,-147270,1008,-2705,1697
1988:Q4,-199808,0,3204,-9646,-16765,-10014,-10342,0,328,-64412,12824,-117671,2673,-4370,1697
1989:Q1,141938,-388,67516,18142,41101,-756,11324,0,-12080,17867,892,16848,-19284,17621,1663
1989:Q2,-116527,-148,44048,-32600,-15075,26200,22981,0,3219,-9192,15938,-73963,-71735,70055,1680
1989:Q3,-73624,-248,4300,-8530,-13702,22222,22123,0,98,6564,-5686,12446,-90989,89310,1679
1989:Q4,135891,-260,38140,-6318,-9030,-22796,-22819,0,23,-40792,-9191,282926,-96788,94985,1803
1990:Q1,-222073,-256,-28520,13973,-39868,34732,32654,0,2078,50155,21235,-166749,-106776,104902,1874
1990:Q2,-219669,-256,43744,2732,-12099,5357,-1308,0,6665,-47290,2748,-117407,-97198,95241,1957
1990:Q3,-394169,-224,43136,-18115,-103782,20259,5883,0,14376,-22149,10326,-217243,-106378,104369,2009
1990:Q4,-176427,1448,44808,-13521,4162,-13135,-23847,0,10713,-17668,5058,-107856,-79723,77696,2027
