1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q1,1311248,102167,786451,88932,83866,216586,0,0,9021,24225,1577670,82957,1131862,130824,25058,71266,54023,0,38152,43528,-266422
1995:Q2,1333739,104695,799388,88473,83125,220898,0,0,9330,27830,1610152,83934,1156199,133440,23833,72562,55115,0,41208,43861,-276413
1995:Q3,1375469,107223,832922,90679,82747,225223,0,0,9997,26678,1668158,84913,1205810,137647,22561,74635,56206,0,42284,44102,-292689
1995:Q4,1429887,109750,877498,96728,80945,229594,0,0,10261,25111,1665559,85890,1184941,140320,23073,77310,57298,0,50947,45780,-235672
1996:Q1,1431431,112061,863816,106292,81286,233999,0,0,11613,22364,1715232,87635,1222302,146401,23879,77378,58390,0,52891,46356,-283801
1996:Q2,1472476,114372,889439,113253,82725,238499,0,0,13026,21162,1775875,89380,1269179,156103,22697,79590,59474,0,52352,47100,-303399
1996:Q3,1473959,116683,876673,118371,83470,243089,0,0,14461,21212,1816273,91125,1295612,162696,23291,79785,59609,0,54895,49260,-342314
1996:Q4,1546806,118735,927011,128525,82046,247833,0,0,14282,28374,1813781,93226,1273063,169841,23992,82902,59338,0,60094,51325,-266975
1997:Q1,1544313,121114,905003,137737,80463,252601,0,0,17663,29732,1867112,95095,1311149,177235,24778,82877,63455,0,61052,51471,-322799
1997:Q2,1571582,123493,917933,147113,79485,257418,0,0,16356,29784,1933873,96964,1365473,188027,25403,84326,64036,0,59255,50389,-362291
1997:Q3,1612707,125872,938196,154235,76869,262316,0,0,23629,31590,1975897,98833,1388629,193636,21918,86328,64117,0,71417,51019,-363190
1997:Q4,1672973,128251,992089,160442,73769,267315,0,0,19938,31169,1972147,100702,1361106,204925,20752,89245,62229,0,80971,52217,-299174
1998:Q1,1696030,130170,1003982,166922,72104,272354,0,0,19532,30966,2022830,103169,1395370,212329,22456,90449,64934,0,83375,50748,-326800
1998:Q2,1702394,132089,1000609,172566,70734,277533,0,0,20869,27994,2066302,105636,1432830,216784,22279,90879,65738,0,83047,49109,-363908
1998:Q3,1743960,134008,1022821,184084,70163,282851,0,0,21782,28251,2132494,108103,1480470,227918,24305,91882,66416,0,83735,49665,-388534
1998:Q4,1780942,135927,1049696,190752,66198,288235,0,0,18932,31202,2105279,110570,1448432,233142,22254,96255,63954,0,84971,45701,-324337
1999:Q1,1797930,137370,1052365,197517,66671,293743,0,0,19429,30835,2163989,111299,1501928,241091,23847,98344,66193,0,79981,41306,-366059
1999:Q2,1871736,138813,1094026,206961,69107,299368,0,0,31539,31922,2253848,112028,1582779,251419,24520,99936,68053,0,75042,40071,-382112
1999:Q3,1959421,140256,1163247,216520,70564,305130,0,0,30022,33682,2341895,112757,1659489,263327,25668,101526,68819,0,71011,39298,-382474
1999:Q4,2105042,141699,1228170,225220,72015,311080,36241,15992,30859,43766,2410737,113486,1657593,272556,22859,104942,98392,10971,67182,62756,-305695
2000:Q1,2184690,143231,1276515,235288,78144,317205,39540,16648,33766,44353,2526542,116011,1740248,288726,25429,106684,103445,11266,70518,64215,-341852
2000:Q2,2300065,144763,1359541,248503,79477,323357,42845,17304,39405,44870,2669635,118536,1851019,310127,26889,107549,107151,11561,69696,67107,-369570
2000:Q3,2408731,146295,1447654,258764,80897,329611,46143,17958,35912,45497,2786050,121061,1932418,327177,27667,109189,111271,11854,74179,71234,-377319
2000:Q4,2520370,147827,1541422,266732,77678,336029,49442,18610,35915,46715,2817806,123586,1939233,342148,28146,109867,109764,12145,83311,69606,-297436
2001:Q1,2495331,147576,1506208,266340,80619,342638,53558,19882,35339,43171,2839521,123807,1947028,342111,31652,110969,115275,12787,78420,77472,-344190
2001:Q2,2480331,147325,1479788,264596,81570,349450,57678,21168,33321,45435,2856197,124028,1951662,342653,33828,113602,119580,13441,77796,79607,-375866
2001:Q3,2465835,147074,1451015,262910,84292,356129,61792,22438,36136,44049,2836574,124249,1909069,343626,37647,113441,124845,14081,83797,85819,-370739
2001:Q4,2461138,146823,1437691,261979,80897,362983,65910,23719,39211,41925,2743195,124470,1817916,343919,35470,115862,124082,14732,89123,77621,-282057
2002:Q1,2486293,151179,1440835,267840,82282,369964,70044,26702,36347,41100,2803011,125655,1855375,348578,35898,116322,130771,15990,88680,85742,-316718
2002:Q2,2506466,155535,1441265,273730,84298,376991,74183,29681,30582,40201,2844759,126840,1875524,353327,34660,116701,138244,17241,86799,95423,-338293
2002:Q3,2533877,159891,1441937,280682,84450,384078,78316,32653,31767,40103,2814998,128025,1832497,358077,32480,116507,141716,18488,84404,102804,-281121
2002:Q4,2580353,164247,1457412,287373,81414,391241,82451,35641,37418,43156,2700054,129210,1719534,362826,32197,118433,141918,19750,83499,92687,-119701
2003:Q1,2561151,165897,1417649,283884,104448,398473,82790,37085,28501,42424,2794361,130312,1799889,356544,45581,118357,145716,20669,83645,93648,-233210
2003:Q2,2568252,167547,1395469,275150,122536,405576,83133,38541,35253,45047,2791443,131414,1797930,350261,48735,116943,147504,21596,83563,93497,-223191
2003:Q3,2582484,169197,1391531,267762,141020,412775,83472,39991,32468,44268,2771012,132516,1783467,343979,48424,116151,147393,22518,82451,94113,-188528
2003:Q4,2609167,170847,1402680,261194,153571,419999,83816,41446,28218,47396,2701281,133618,1701793,337696,51277,116471,143554,23447,92329,101096,-92114
2004:Q1,2681994,175307,1436135,270967,162256,427323,83250,45191,34599,46966,2831511,136016,1805212,344356,57635,119497,146066,25248,91268,106213,-149517
2004:Q2,2710558,179767,1443397,274221,167726,434757,82683,48936,32077,46994,2913334,138414,1860975,351016,60967,120233,148431,27047,99636,106615,-202776
2004:Q3,2759986,184227,1471093,278523,171224,442276,82111,52680,34236,43616,2953150,140812,1883098,357675,59836,122473,149124,28845,103688,107599,-193164
2004:Q4,2810183,188687,1499936,284876,168971,449958,81546,56435,36040,43734,2904715,143210,1830643,364335,61768,124937,141856,30654,102613,104699,-94532
2005:Q1,2887455,192211,1536003,302334,179621,457722,82558,58156,34972,43878,3045919,145680,1944055,380986,62466,128684,143737,31417,98496,110398,-158464
2005:Q2,2976307,195735,1589494,312562,189662,465601,83575,59885,35049,44744,3173315,148150,2031068,397638,67175,133144,146443,32187,98198,119312,-197008
2005:Q3,3085938,199259,1655679,322805,199590,473640,84584,61617,45227,43537,3282109,150620,2108390,414289,69305,138494,146924,32961,99888,121238,-196171
2005:Q4,3159155,202783,1699382,334529,202635,481877,85600,63347,43079,45923,3305129,153090,2108248,430941,70992,142374,144042,33733,99771,121938,-145974
2006:Q1,3188728,206903,1708719,341285,206183,490253,84494,66905,35902,48084,3400614,155125,2167880,440929,69468,143500,145964,34787,115461,127500,-211886
2006:Q2,3279023,211023,1760837,342694,213579,498817,83386,70447,48938,49302,3485742,157160,2235216,450917,71816,147247,147871,35833,106523,133159,-206719
2006:Q3,3307980,215143,1777183,345994,214219,507455,82281,74020,43328,48357,3476977,159195,2217738,460905,71108,148622,147193,36883,101831,133502,-168997
2006:Q4,3363016,219263,1812989,348868,208857,516156,81176,77633,48279,49795,3371535,161230,2099243,470893,59397,151330,149816,37940,108274,133412,-8519
2007:Q1,3410864,223723,1825123,357432,218470,525125,78060,80748,51652,50531,3477790,163723,2180375,484579,61231,152779,147379,37807,111529,138388,-66926
2007:Q2,3497859,228183,1859504,363136,232637,534272,74948,83917,65473,55789,3595431,166216,2265597,498264,63511,155585,147762,37679,108750,152067,-97572
2007:Q3,3526354,232643,1864257,369456,239438,543520,71831,87066,62129,56014,3651858,168709,2302048,511950,66496,156360,144750,37548,104586,159411,-125504
2007:Q4,3567355,237103,1898892,374905,238176,552938,68718,90102,45842,60679,3630897,171202,2262207,525635,60593,159166,139061,37410,111654,163969,-63542
2008:Q1,3571727,243143,1856758,384457,257445,562389,70003,94163,43494,59875,3688711,173082,2295248,524893,61938,156885,140869,38326,118365,179105,-116984
2008:Q2,3573043,249183,1817609,377440,283298,572016,71287,98384,39087,64739,3706960,174962,2313176,524150,65025,153653,142172,39252,105249,189321,-133917
2008:Q3,3520987,255223,1745659,382020,284237,581868,72575,102355,34362,62688,3635212,176842,2245395,523408,67438,148938,143098,40165,94655,195273,-114225
2008:Q4,3422407,261263,1668971,380715,259999,591454,73862,106094,21167,58882,3470198,178722,2093967,522666,64748,143478,143185,41067,95537,186828,-47791
2009:Q1,3370981,271714,1581848,386601,242548,601039,71570,106244,47794,61623,3452988,178532,2101539,516084,65015,137791,141878,41671,86147,184331,-82007
2009:Q2,3364905,282165,1560598,389713,232351,610767,69280,106857,54513,58661,3461861,178342,2121900,509502,68236,136522,139783,42304,77661,187611,-96956
2009:Q3,3377798,292616,1549190,394533,221554,620542,66985,107522,66910,57946,3420233,178152,2114745,502920,45722,136061,135980,42955,67763,195935,-42435
2009:Q4,3420287,303067,1582043,397605,204828,630296,64695,107933,70062,59758,3348761,177962,2064452,496338,43648,138575,131414,43579,61260,191533,71526
2010:Q1,3465528,295768,1619159,407491,212611,639919,63625,106530,62213,58212,3449141,179529,2148168,505596,45040,141865,132623,43108,55111,198101,16387
2010:Q2,3512023,288469,1660536,416537,216670,649533,62560,104787,51991,60940,3531922,181096,2215741,514854,42035,145395,133943,42585,54064,202209,-19899
2010:Q3,3546806,281170,1689181,422191,214735,659083,61486,103503,55073,60384,3549432,182663,2221506,524112,42745,147796,133807,42136,54172,200495,-2626
2010:Q4,3566403,273871,1738907,425773,213877,668616,60421,102170,18072,64696,3541167,184230,2202562,533371,42942,151528,129987,41676,51804,203067,25236
2011:Q1,3621239,278868,1768658,439186,216464,678157,61657,99553,18386,60310,3668617,187821,2298920,552763,44671,154549,131682,41929,53567,202715,-47378
2011:Q2,3679994,283865,1788065,455214,225673,687737,62892,96818,19234,60496,3755053,191412,2358709,568384,46977,157030,136729,42162,51127,202523,-75059
2011:Q3,3697179,288862,1772949,471356,223238,697297,64131,93774,16304,69268,3757354,195003,2331826,584006,48188,157101,138641,42369,47521,212699,-60175
2011:Q4,3708673,293859,1762612,481066,222987,706877,65369,91162,14262,70479,3731202,198594,2289401,599627,47703,157057,138342,42611,47597,210270,-22529
2012:Q1,3761109,295648,1791247,484054,229043,716466,64906,93992,17316,68437,3796545,200846,2339700,601243,49040,159271,142159,45215,45315,213756,-35436
2012:Q2,3768093,297437,1778882,487196,233503,726011,64440,96553,13480,70591,3816093,203098,2351638,602859,50705,158625,143102,47819,42414,215833,-48000
2012:Q3,3835570,299226,1833542,490584,229313,735533,63977,99263,12988,71144,3862959,205350,2377753,604475,52006,162689,145714,50422,41434,223116,-27389
2012:Q4,3858367,301015,1830684,492419,235820,745090,63515,101904,14227,73693,3831051,207602,2344826,606092,50348,162617,143145,53028,41187,222206,27316
2013:Q1,3873935,299613,1831548,505143,231524,754722,62962,100246,15380,72797,3943477,209012,2443117,617910,48726,163568,144297,51933,40145,224769,-69542
2013:Q2,3928428,298211,1857970,513513,240855,764381,62409,98542,15637,76910,4082480,210422,2563800,629728,52014,166004,146123,50837,36251,227301,-154052
2013:Q3,4013740,296809,1923229,522141,246830,774114,61856,96875,13324,78562,4148993,211832,2614407,641546,50601,171176,147324,49745,34650,227712,-135253
2013:Q4,4029214,295407,1931206,526751,249919,783878,61307,95213,14540,70993,4160949,213242,2616645,653364,53603,172057,143364,48650,35739,224285,-131735
2014:Q1,4084549,302071,1970827,531233,250102,793648,61181,95945,14779,64763,4242330,220115,2663783,658708,55443,175144,147807,49374,34305,237651,-157781
2014:Q2,4157975,308735,2016708,534918,250728,803560,61051,96681,17764,67830,4362949,226988,2759437,664053,56108,178614,151232,50096,33936,242485,-204974
2014:Q3,4242165,315399,2081998,537841,249046,813587,60926,97397,19862,66109,4365373,233861,2763289,669397,45591,183389,150769,50822,31422,236833,-123208
2014:Q4,4250501,322063,2079753,535747,246825,823669,60800,98117,17906,65621,4335216,240734,2720773,674742,48449,183085,147689,51545,31351,236848,-84715
2015:Q1,4238501,326870,2033302,536521,261280,833651,60737,102101,19168,64871,4322185,240793,2696307,673851,50226,179888,153186,55254,31547,241133,-83684
2015:Q2,4303011,331677,2079893,532042,259956,843958,60672,106084,23602,65127,4420584,240852,2781422,672961,50549,182835,156781,58967,32178,244039,-117573
2015:Q3,4360579,336484,2117063,527391,263679,854426,60612,110068,24192,66664,4444552,240911,2796070,672070,49754,185112,158727,62675,31690,247543,-83973
2015:Q4,4358679,341291,2104094,519701,261366,864847,60550,114054,26298,66478,4414143,240970,2754199,671180,61156,183666,155149,66388,34064,247371,-55464
2016:Q1,4394986,343337,2083400,536931,279131,875397,62260,118958,25275,70297,4465251,241776,2766012,690367,63889,183423,159913,72573,35882,251416,-70265
2016:Q2,4507363,345383,2159510,552214,281089,886123,63969,123861,26898,68316,4631107,242582,2895883,709554,62992,189821,161064,78758,35375,255078,-123744
2016:Q3,4635762,347429,2240433,571771,282478,896961,65682,128766,31438,70804,4685897,243388,2914586,728741,63942,196854,166631,84942,34844,251969,-50135
2016:Q4,4728632,349475,2288325,585468,290741,907941,67394,133669,36667,68952,4748705,244194,2953031,747928,64943,201165,158858,91126,33934,253526,-20073
2017:Q1,4706035,351085,2232614,588491,294426,919081,67654,143047,35265,74372,4778840,248200,2944735,761681,63215,197477,165834,93898,33953,269847,-72805
2017:Q2,4758599,352695,2256169,591537,300614,930230,67914,152427,32156,74857,4882589,252206,3012307,775435,65951,199339,170155,96672,33105,277419,-123990
2017:Q3,4857529,354305,2319419,595039,306027,941455,68175,161807,34556,76746,4991227,256212,3080475,789188,66649,204012,170844,99445,33176,291226,-133698
2017:Q4,4941255,355915,2369669,593240,308225,952938,68438,171187,44568,77075,5054454,260218,3116388,802942,65017,207404,168222,102219,32482,299562,-113199
2018:Q1,5003894,357596,2386792,594569,334413,964579,70539,174989,42898,77519,5186842,261090,3206266,815351,67852,208695,179405,102031,32104,314048,-182948
2018:Q2,5140570,359277,2503078,598130,335422,976432,72635,178797,38037,78762,5382129,261962,3364432,827761,68952,217085,185438,101847,31966,322686,-241559
2018:Q3,5331470,360958,2653107,600589,360115,988338,74738,182615,33899,77111,5577493,262834,3523567,840170,72686,227759,187780,101661,31711,329325,-246023
2018:Q4,5393466,362639,2690361,598611,382266,1000208,76839,186337,16787,79418,5588786,263706,3512687,852580,75420,230228,186053,101473,33925,332714,-195320
2019:Q1,5468050,364357,2709790,609019,415070,1012211,77056,188212,14911,77424,5774885,265612,3670847,863767,75820,232317,190100,101655,33291,341476,-306835
2019:Q2,5583942,366075,2791484,617058,420983,1024454,77991,193797,15024,77076,5990088,267518,3856077,874036,77356,238598,195937,105199,32892,342475,-406146
2019:Q3,5711638,367793,2881917,634327,413683,1036601,78309,201423,15484,82101,6120734,269424,3960598,888066,75825,246137,193568,110051,32484,344581,-409096
2019:Q4,5775366,369511,2920483,641503,418287,1048776,79450,199940,15777,81639,6231963,271330,4053223,900255,73524,249339,192669,107976,34559,349088,-456597
2020:Q1,5711769,371198,2821102,644100,416157,1061049,80846,219342,20135,77840,6173842,273241,3957308,911692,73364,242564,201026,112917,36940,364790,-462073
2020:Q2,5580170,372885,2694030,605870,405613,1072754,87057,247563,17807,76591,6010894,275152,3740757,925328,80559,230993,212841,120103,35468,389693,-430724
2020:Q3,5872375,374572,2909910,619461,422581,1084796,97386,266081,16729,80859,6282206,277063,3948917,936551,81638,247056,224898,124819,32645,408619,-409831
2020:Q4,6058102,376259,3055257,615110,435466,1097176,90547,288129,18542,81616,6462325,278974,4087966,947324,84852,256926,210746,130433,35147,429957,-404223
2021:Q1,6214906,377955,3146317,640128,452009,1109891,92725,290245,19683,85953,6663100,280710,4243354,961148,92071,265051,218236,130793,34195,437542,-448194
2021:Q2,6423249,379651,3309555,650903,469360,1122859,94433,296745,15913,83830,6898831,282446,4434831,971298,93364,277232,224289,134269,36284,444818,-475582
2021:Q3,6638411,381347,3472647,665684,484025,1136134,98185,299253,17563,83573,7104981,284182,4600713,981402,96030,289683,233482,133892,35206,450391,-466570
2021:Q4,6818409,383043,3598953,674979,503406,1149796,99674,303732,19563,85263,7318555,285918,4767040,993900,97030,298486,244210,135192,38164,458615,-500146
