1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2971,80,1588,1131,0,143,0,0,10,19,2220,0,2046,70,0,86,74,0,0,-56,751
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,204,33,-262,260,0,161,0,0,15,-3,-904,0,-960,61,0,-35,71,0,0,-41,1108
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,10523,67,7973,1258,1100,114,0,0,15,-4,11961,0,9943,1096,400,460,17,0,0,45,-1438
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,256,20,-739,939,-146,158,0,0,0,24,3271,0,2400,781,27,8,20,0,0,35,-3015
1955:Q2,2164,18,1610,429,-75,161,0,0,0,21,1049,0,1577,-479,-139,92,22,0,0,-24,1115
1955:Q3,4698,20,3970,540,21,163,0,0,0,-16,4576,0,4371,45,-104,208,24,0,0,32,122
1955:Q4,4061,25,4201,-481,117,164,0,0,10,25,874,0,1255,-614,45,177,26,0,0,-15,3187
1956:Q1,-557,32,-1883,1047,6,169,0,0,10,62,2125,0,1122,1005,-8,-31,29,0,0,8,-2682
1956:Q2,2229,39,1729,248,13,173,0,0,10,17,1654,0,1156,81,250,96,32,0,0,39,575
1956:Q3,2507,41,1700,501,65,174,0,0,0,26,4129,0,3491,481,-23,107,35,0,0,38,-1622
1956:Q4,2184,37,2572,-873,241,176,0,0,0,31,-498,0,-87,-423,-143,92,39,0,0,24,2682
1957:Q1,-580,33,-1672,958,-74,186,0,0,10,-21,2214,0,1207,876,105,-32,39,0,0,19,-2794
1957:Q2,-131,31,-8,-328,-55,189,0,0,0,40,-360,0,138,-768,183,-12,40,0,0,59,229
1957:Q3,1373,31,1116,81,-52,191,0,0,0,6,1821,0,1944,-162,-70,55,40,0,0,14,-448
1957:Q4,2370,33,2150,-425,342,197,0,0,10,63,-2448,0,-1662,-619,-307,100,41,0,0,-1,4818
1958:Q1,-2712,36,-4061,1263,-102,203,0,0,0,-51,2094,0,1114,1239,-138,-130,39,0,0,-30,-4806
1958:Q2,1700,37,1354,125,-61,207,0,0,0,38,-13,0,156,-101,-177,70,37,0,0,2,1713
1958:Q3,3849,38,3232,289,68,215,0,0,10,-3,5191,0,4747,358,-130,167,36,0,0,13,-1342
1958:Q4,3534,40,3707,-603,158,221,0,0,0,11,-37,0,387,-497,-93,154,36,0,0,-24,3571
1959:Q1,976,251,-125,674,-30,227,0,0,10,-31,2496,0,1661,702,-31,70,40,0,0,54,-1520
