1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,362574,333814,255779,124494,131285,31391,1370,30021,3103,43541,28761,17883,0,0,0,0,0,1256,0,1256,6974,2648,2512,137,0,0,33999,24938,4565,4390,15983,9045,0,16,0,328575,328513,62,103390,40817,7.58963340645637
1952:Q1,366821,336412,257823,125489,132334,31893,1396,30497,3103,43592,30409,17895,0,0,0,0,0,2098,0,2098,7702,2714,2576,137,0,0,35175,25464,4605,4517,16343,9695,0,16,0,331646,331583,63,103982,41453,7.678097918709548
1952:Q2,368962,338615,259926,127086,132840,32447,1423,31024,3126,43116,30347,17736,0,0,0,0,0,2284,0,2284,7539,2789,2649,139,0,0,36399,26603,4938,4635,17030,9780,0,17,0,332563,332500,63,104974,41593,7.999286341332425
1952:Q3,370034,339342,262026,128807,133219,32452,1441,31011,3181,41682,30693,17534,0,0,0,0,0,2349,0,2349,7945,2865,2725,140,0,0,37152,27163,4965,4650,17548,9972,0,17,0,332882,332818,64,106059,41790,8.160012880160627
1952:Q4,367806,336949,262603,128499,134104,32713,1462,31251,3221,38412,30857,17413,0,0,0,0,0,2670,0,2670,7838,2936,2795,141,0,0,37082,27439,4944,4681,17814,9626,0,17,0,330724,330657,67,105510,42216,8.296734592190811
1953:Q1,367576,335903,262881,129157,133724,33089,1490,31599,3283,36650,31672,17329,0,0,0,0,0,2449,0,2449,8891,3004,2860,143,0,0,38409,27602,4825,4802,17974,10789,0,18,0,329167,329100,67,105646,42018,8.385343917462633
1953:Q2,367162,335536,263388,129641,133747,33681,1520,32161,3326,35141,31626,17255,0,0,0,0,0,2560,0,2560,8743,3068,2925,143,0,0,39360,28454,4994,4851,18609,10887,0,18,0,327802,327734,68,105824,42263,8.680283653447745
1953:Q3,368949,337198,265056,131352,133704,34340,1547,32793,3381,34421,31751,17215,0,0,0,0,0,2552,0,2552,8850,3135,2988,146,0,0,40195,28988,5130,4856,19002,11189,0,18,0,328754,328684,70,106797,42442,8.817509163826841
1953:Q4,368658,337210,264204,131004,133200,34706,1560,33146,3430,34869,31448,17217,0,0,0,0,0,2798,0,2798,8233,3201,3052,148,0,0,38369,28357,4434,4775,19148,9993,0,19,0,330289,330217,72,106387,42088,8.585650510360987
1954:Q1,370685,338557,264500,130778,133722,35127,1568,33559,3518,35412,32129,17276,0,0,0,0,0,2489,0,2489,9097,3266,3117,149,0,0,40175,28804,4522,4954,19328,11352,0,19,0,330510,330437,73,106125,41781,8.714882516797624
1954:Q2,372052,339980,266070,131637,134433,35501,1579,33922,3535,34874,32072,17400,0,0,0,0,0,2562,0,2562,8777,3333,3183,150,0,0,41634,29908,4764,4999,20145,11707,0,19,0,330418,330343,75,106801,41647,9.051470709701489
1954:Q3,375250,342884,269336,133717,135619,35030,1591,33439,3570,34948,32366,17538,0,0,0,0,0,2512,0,2512,8916,3400,3248,152,0,0,43461,30885,5029,5047,20808,12557,0,20,0,331788,331712,76,108488,41991,9.308499013015838
1954:Q4,376571,344492,271288,134353,136935,35046,1593,33453,3603,34554,32079,17641,0,0,0,0,0,2799,0,2799,8174,3465,3311,154,0,0,42664,30915,4661,5078,21176,11730,0,20,0,333907,333828,79,108926,42405,9.258539185383107
1955:Q1,380172,347466,273935,135670,138265,35016,1613,33403,3738,34778,32706,17721,0,0,0,0,0,2501,0,2501,8955,3528,3372,156,0,0,44291,31602,4649,5310,21643,12669,0,21,0,335880,335800,80,110048,42953,9.408567198166047
1955:Q2,382916,350439,277896,137561,140335,35609,1647,33962,3762,33172,32477,17791,0,0,0,0,0,2619,0,2619,8476,3591,3434,157,0,0,46425,33306,5293,5477,22536,13098,0,21,0,336491,336409,82,111605,43807,9.89800933397663
1955:Q3,387812,355167,282691,139263,143428,36767,1658,35109,3811,31898,32645,17857,0,0,0,0,0,2613,0,2613,8521,3655,3494,161,0,0,48155,34494,5665,5582,23247,13638,0,22,0,339657,339574,83,112995,44986,10.15567003154231
1955:Q4,391907,359452,287208,140158,147050,38013,1659,36354,3850,30381,32455,17924,0,0,0,0,0,2905,0,2905,7907,3719,3553,165,0,0,48018,34838,5737,5575,23526,13157,0,22,0,343889,343802,87,113652,46659,10.13064724873673
1956:Q1,399375,366100,292720,141411,151309,38709,1679,37030,3925,30746,33275,17961,0,0,0,0,0,2631,0,2631,8912,3771,3603,168,0,0,49680,35454,5764,5653,24036,14204,0,23,0,349694,349606,88,114610,48946,10.13843490007345
1956:Q2,405828,372304,297111,143711,153400,39220,1694,37526,3975,31998,33524,17980,0,0,0,0,0,2732,0,2732,8993,3819,3647,172,0,0,51383,36908,6217,5793,24898,14452,0,23,0,354445,354355,90,116404,48982,10.41296231661158
1956:Q3,410915,376785,301342,144161,157181,40009,1727,38282,4047,31387,34129,18015,0,0,0,0,0,2772,0,2772,9474,3868,3693,175,0,0,52886,37909,6565,5814,25529,14953,0,24,0,358029,357938,91,116534,50379,10.58822942890407
1956:Q4,412952,378822,302998,143703,159295,40429,1722,38707,4110,31285,34130,18095,0,0,0,0,0,3061,0,3061,9051,3923,3745,178,0,0,52033,37929,6279,5935,25715,14080,0,24,0,360919,360825,94,115940,50952,10.50905357078251
1957:Q1,417948,383076,306042,143872,162170,41294,1724,39570,4200,31540,34873,18216,0,0,0,0,0,2748,0,2748,9927,3982,3800,182,0,0,53309,38245,6218,6095,25933,15038,0,25,0,364640,364546,94,115925,51604,10.48855431122778
1957:Q2,421433,387001,309176,144902,164274,41393,1728,39665,4261,32171,34432,18355,0,0,0,0,0,2869,0,2869,9159,4049,3860,189,0,0,54072,39336,6582,6167,26587,14710,0,25,0,367361,367266,95,116508,52342,10.70784750215321
1957:Q3,426019,391538,312497,146344,166153,41907,1783,40124,4336,32797,34481,18532,0,0,0,0,0,2843,0,2843,8997,4109,3918,191,0,0,54901,40085,6658,6200,27228,14791,0,25,0,371118,371022,96,117517,52730,10.80126992314978
1957:Q4,428045,393644,313203,145966,167237,42760,1888,40872,4392,33289,34401,18762,0,0,0,0,0,3102,0,3102,8378,4159,3966,193,0,0,54769,40378,6732,6168,27478,14366,0,25,0,373276,373178,98,117180,52736,10.81721393099206
1958:Q1,435777,400103,316188,146133,170055,42744,1806,40938,4500,36671,35674,19146,0,0,0,0,0,2702,0,2702,9617,4209,4013,195,0,0,56494,40839,6609,6382,27849,15629,0,26,0,379283,379184,99,117182,51436,10.76752299369354
1958:Q2,440625,404384,319557,147046,172511,43115,1836,41279,4534,37178,36241,19705,0,0,0,0,0,2774,0,2774,9516,4247,4052,195,0,0,58014,42234,7098,6510,28626,15754,0,26,0,382611,382510,101,117758,51906,11.03848569124048
1958:Q3,445019,407858,321474,147744,173730,43331,1907,41424,4556,38497,37161,20184,0,0,0,0,0,2808,0,2808,9874,4294,4089,205,0,0,59380,43310,7158,6552,29599,16043,0,27,0,385639,385537,102,118221,52258,11.23073373687629
