date,Finance companies; total financial assets,Finance companies; checkable deposits and currency; asset,Finance companies; total time and savings deposits; asset,Finance companies; corporate and foreign bonds; asset,Finance companies; loans; asset,Finance companies; nonfinancial business loans, including Paycheck Protection Program loans; asset,Finance companies; total mortgages; asset,Finance companies; consumer credit; asset,Finance companies; U.S. direct investment abroad (market value); asset,Finance companies; total miscellaneous assets,Finance companies; total liabilities,Finance companies; debt securities; liability,Finance companies; commercial paper; liability,Finance companies; corporate and foreign bonds; liability,Finance companies; loans; liability,Finance companies; depository institution loans n.e.c., including loans through the Paycheck Protection Program Liquidity Facility (PPPLF); liability,Finance companies; other loans and advances; liability,Finance companies; total taxes payable; liability,Finance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Finance companies; total miscellaneous liabilities,Finance companies; investment by parent companies; liability,Finance companies; unidentified miscellaneous liabilities,Finance companies; foreign direct investment in U.S.: equity; liability (market value),Finance companies; consumer leases; asset
1945:Q4,4349,479,160,0,3643,2669,64,910,24,43,1011,195,64,131,287,287,0,25,4,500,0,500,17,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,5069,473,158,0,4273,2616,163,1494,28,137,1878,400,207,193,781,781,0,34,4,659,0,659,17,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5759,426,142,0,4962,2379,224,2359,33,196,2638,653,329,324,1045,1045,0,52,4,884,0,884,17,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6871,557,186,0,5908,2489,213,3206,40,180,3852,1268,508,760,1631,1631,0,79,5,869,0,869,17,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7992,641,214,0,6839,2246,288,4305,49,249,5013,1743,676,1067,2130,2130,0,100,5,1035,0,1035,17,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9720,767,256,0,8231,2462,454,5315,59,407,6772,1995,714,1281,3312,3312,0,165,5,1295,0,1295,17,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,10171,855,285,0,8653,2696,356,5601,71,307,7401,2731,1064,1667,3235,3235,0,212,5,1218,0,1218,17,0
1952:Q1,10244,860,287,0,8599,2615,476,5508,71,427,7832,2876,1318,1558,3353,3353,0,247,5,1351,0,1351,17,0
1952:Q2,11080,866,289,0,9393,2764,512,6117,74,458,8346,3143,1503,1640,3499,3499,0,225,5,1474,0,1474,18,0
1952:Q3,11625,872,291,0,9871,2831,570,6470,77,514,8705,3243,1631,1612,3630,3630,0,253,5,1574,0,1574,19,0
1952:Q4,12573,878,293,0,10782,3127,598,7057,83,537,9377,3100,1418,1682,4355,4355,0,246,5,1671,0,1671,18,0
1953:Q1,12975,882,294,0,11294,3372,481,7441,86,419,9717,3685,1610,2075,4168,4168,0,214,5,1645,0,1645,19,0
1953:Q2,13699,887,296,0,11947,3428,546,7973,90,479,10392,4143,1519,2624,4258,4258,0,198,5,1788,0,1788,20,0
1953:Q3,14342,892,297,0,12464,3396,663,8405,94,595,11137,4620,1709,2911,4353,4353,0,240,5,1919,0,1919,21,0
1953:Q4,14350,897,299,0,12500,3252,624,8624,98,556,11052,4700,1643,3057,4184,4184,0,319,5,1844,0,1844,19,0
1954:Q1,14224,906,302,0,12329,3336,653,8340,102,585,11055,4960,1868,3092,3877,3877,0,294,5,1919,0,1919,20,0
1954:Q2,14465,915,305,0,12523,3304,685,8534,106,616,11145,4884,1760,3124,4015,4015,0,205,5,2036,0,2036,21,0
1954:Q3,14731,903,301,0,12709,3138,778,8793,110,708,10955,4646,1716,2930,3969,3969,0,233,6,2101,0,2101,21,0
1954:Q4,15224,877,292,0,13166,3258,845,9063,116,773,11042,4250,1491,2759,4045,4045,0,235,6,2506,0,2506,21,0
1955:Q1,15631,888,296,0,13455,3036,945,9474,120,872,11958,4649,1797,2852,4245,4245,0,198,6,2860,0,2860,22,0
1955:Q2,17265,911,304,0,14893,3316,1114,10463,125,1032,13460,4780,2005,2775,4514,4514,0,171,6,3989,0,3989,23,0
1955:Q3,18569,948,316,0,15902,3158,1359,11385,130,1273,14472,4915,1971,2944,4859,4859,0,238,6,4454,0,4454,24,0
1955:Q4,19716,995,332,0,16972,3762,1372,11838,136,1281,15477,4895,1739,3156,4972,4972,0,274,6,5330,0,5330,24,0
1956:Q1,20060,999,333,0,17394,4113,1287,11994,141,1193,16025,6021,2297,3724,4987,4987,0,250,6,4761,0,4761,25,0
1956:Q2,20237,998,333,0,17575,3969,1280,12326,147,1184,16226,6195,2241,3954,5080,5080,0,192,7,4752,0,4752,25,0
1956:Q3,20321,997,332,0,17578,3608,1356,12614,153,1261,16346,6379,2187,4192,5256,5256,0,248,7,4456,0,4456,26,0
1956:Q4,20620,998,333,0,17958,3846,1268,12844,160,1171,16255,6331,1872,4459,5268,5268,0,276,6,4374,0,4374,25,0
1957:Q1,20787,1009,336,0,18316,4474,1057,12785,166,960,17034,7304,2411,4893,5057,5057,0,248,7,4418,0,4418,25,0
1957:Q2,21050,1015,338,0,18654,4569,969,13116,173,870,17098,7313,2206,5107,4969,4969,0,211,7,4598,0,4598,25,0
1957:Q3,21358,1022,341,0,18945,4513,971,13461,180,870,17376,7804,2272,5532,4971,4971,0,256,7,4338,0,4338,25,0
1957:Q4,21670,1026,342,0,19272,4810,943,13519,189,841,17534,8020,2324,5696,4943,4943,0,286,6,4279,0,4279,24,0
1958:Q1,21809,1036,345,0,19276,5062,1057,13157,196,956,17818,8868,2892,5976,5057,5057,0,318,6,3569,0,3569,24,0
1958:Q2,21635,1040,347,0,18975,4817,1171,12987,202,1071,17241,8590,2716,5874,5171,5171,0,221,6,3253,0,3253,24,0
1958:Q3,21135,1046,349,0,18344,4290,1285,12769,209,1187,16760,8026,2484,5542,4885,4885,0,219,6,3624,0,3624,24,0
1958:Q4,21888,1047,349,0,18975,4859,1400,12716,217,1300,17548,7743,2189,5554,5400,5400,0,217,7,4181,0,4181,26,0
1959:Q1,22820,1082,361,0,19743,5499,1514,12730,224,1410,18554,8443,2727,5716,5914,5914,0,209,7,3981,0,3981,26,0
1959:Q2,23832,1118,373,0,20761,5975,1457,13329,232,1348,19467,8960,3043,5917,6457,6457,0,191,7,3852,0,3852,27,0
1959:Q3,24604,1160,387,0,21366,5727,1563,14076,240,1451,20513,9159,2921,6238,6963,6963,0,251,7,4133,0,4133,28,0
1959:Q4,25810,1205,402,0,22425,6281,1647,14497,249,1529,21624,9431,2887,6544,7247,7247,0,283,7,4656,0,4656,28,0
1960:Q1,27247,1217,406,0,23811,7320,1680,14811,257,1556,22965,11880,4068,7812,7180,7180,0,261,7,3637,0,3637,29,0
1960:Q2,28396,1230,410,0,25031,8026,1589,15416,266,1459,23669,12516,4080,8436,7238,7238,0,235,8,3672,0,3672,30,0
1960:Q3,28709,1249,416,0,25227,7617,1673,15937,275,1542,23722,12998,3946,9052,6658,6658,0,265,8,3793,0,3793,32,0
1960:Q4,29371,1271,424,0,25915,8189,1611,16115,285,1476,24273,13508,3728,9780,6693,6693,0,285,7,3780,0,3780,29,0
1961:Q1,28972,1309,436,0,25456,8032,1608,15816,295,1476,24021,14685,4455,10230,5247,5247,0,297,8,3784,0,3784,30,0
1961:Q2,29313,1344,448,0,25665,8092,1685,15888,305,1551,23994,14672,4210,10462,5149,5149,0,237,8,3928,0,3928,31,0
1961:Q3,29558,1381,460,0,25581,7721,1953,15907,316,1820,24175,14240,3858,10382,5449,5449,0,252,8,4226,0,4226,32,0
1961:Q4,31295,1418,473,0,26972,8392,2246,16334,327,2105,25183,14094,3592,10502,6350,6350,0,255,8,4476,0,4476,33,0
1962:Q1,31440,1441,480,0,27152,8576,2170,16406,338,2029,25216,15256,4584,10672,5232,5232,0,304,9,4415,0,4415,33,0
1962:Q2,32475,1464,488,0,27895,8616,2424,16855,350,2278,26535,15286,4773,10513,5987,5987,0,283,9,4970,0,4970,34,0
1962:Q3,32980,1488,496,0,28096,8138,2686,17272,362,2538,27389,15528,5214,10314,6129,6129,0,310,9,5413,0,5413,35,0
1962:Q4,34134,1513,504,0,29198,8562,2697,17939,375,2544,28432,15635,4802,10833,6999,6999,0,287,8,5503,0,5503,31,0
1963:Q1,35013,1478,493,0,30122,9146,2689,18287,388,2532,29138,17132,5887,11245,6239,6239,0,277,8,5482,0,5482,32,0
1963:Q2,36364,1442,481,0,31226,9526,2977,18723,401,2814,30876,17493,6266,11227,6830,6830,0,235,8,6310,0,6310,32,0
1963:Q3,37294,1405,468,0,31829,9131,3343,19355,415,3177,31999,17442,6075,11367,7417,7417,0,258,8,6874,0,6874,32,0
1963:Q4,39278,1365,455,0,33672,9977,3530,20165,430,3356,33825,17973,5822,12151,8428,8428,0,255,8,7161,0,7161,33,0
1964:Q1,40326,1361,454,0,34815,10833,3431,20551,445,3251,34355,19897,6842,13055,7208,7208,0,321,8,6921,0,6921,33,0
1964:Q2,42227,1353,451,0,36414,11476,3736,21202,460,3549,36857,20714,7207,13507,8416,8416,0,236,9,7482,0,7482,33,0
1964:Q3,42906,1349,450,0,36928,11233,3893,21802,476,3703,37196,21395,7447,13948,7824,7824,0,186,9,7782,0,7782,34,0
1964:Q4,43918,1345,448,0,37907,11567,3920,22420,493,3725,38517,22069,7317,14752,8388,8388,0,175,9,7876,0,7876,35,0
1965:Q1,45123,1379,460,0,38995,12327,3980,22688,510,3779,39529,23452,8330,15122,7881,7881,0,189,9,7998,0,7998,36,0
1965:Q2,47032,1411,470,0,40665,12970,4167,23528,528,3958,41248,23366,8775,14591,9726,9726,0,188,9,7959,0,7959,35,0
1965:Q3,47942,1448,483,0,41151,12422,4525,24204,546,4314,41961,23305,8937,14368,10233,10233,0,225,9,8189,0,8189,34,0
1965:Q4,49462,1489,496,0,42669,13532,4462,24675,565,4243,43288,23643,8503,15140,11706,11706,0,262,9,7668,0,7668,34,0
1966:Q1,50214,1528,509,0,43423,14351,4391,24681,585,4169,43842,25702,10214,15488,10895,10895,0,230,9,7006,0,7006,33,0
1966:Q2,50968,1559,520,0,44193,14723,4316,25154,605,4091,44398,25974,10230,15744,12095,12095,0,187,9,6133,0,6133,34,0
1966:Q3,50148,1585,528,0,43374,13490,4256,25628,626,4035,43372,26825,10657,16168,10585,10585,0,211,9,5742,0,5742,35,0
1966:Q4,51393,1603,534,0,44937,14606,3898,26433,648,3671,44420,28659,12023,16636,11074,11074,0,228,8,4451,0,4451,33,0
1967:Q1,51225,1619,540,0,44783,15045,3855,25883,655,3628,44063,30549,13816,16733,9285,9285,0,186,9,4034,0,4034,33,0
1967:Q2,51654,1634,545,0,44791,14520,4248,26023,662,4022,44303,29708,13365,16343,10311,10311,0,136,9,4139,0,4139,34,0
1967:Q3,51510,1655,552,0,44487,13889,4371,26227,670,4146,43968,30006,13490,16516,10233,10233,0,167,9,3553,0,3553,35,0
1967:Q4,52435,1677,559,0,45455,14257,4294,26904,677,4067,44708,31386,14051,17335,10712,10712,0,172,9,2429,0,2429,35,0
1968:Q1,52894,1697,566,0,46055,15299,4121,26635,685,3891,44981,33130,15645,17485,8707,8707,0,215,9,2920,0,2920,36,0
1968:Q2,55137,1709,570,0,47982,16223,4423,27336,692,4184,47045,33419,16111,17308,10278,10278,0,151,9,3188,0,3188,37,0
1968:Q3,55489,1718,573,0,48142,15620,4595,27927,700,4356,47208,33211,16048,17163,9889,9889,0,156,10,3942,0,3942,37,0
1968:Q4,58329,1735,578,0,50622,16490,4935,29197,708,4686,49868,34598,16924,17674,11819,11819,0,171,9,3271,0,3271,37,0
1969:Q1,59821,1749,583,0,51572,17060,5455,29057,716,5201,51176,36502,19344,17158,10803,10803,0,217,10,3644,0,3644,37,0
1969:Q2,64635,1767,589,0,55438,18970,6389,30079,724,6117,55819,37416,20643,16773,13021,13021,0,167,10,5205,0,5205,39,0
1969:Q3,65360,1794,598,0,56522,19709,5991,30822,732,5714,56360,39651,22106,17545,11103,11103,0,190,11,5405,0,5405,40,0
1969:Q4,67806,1822,607,0,59182,21459,5742,31981,740,5455,58627,41745,22950,18795,12817,12817,0,219,9,3837,0,3837,35,0
1970:Q1,69084,1853,618,0,59660,22077,6222,31361,748,6205,59721,41990,24763,17227,11674,11674,0,244,9,5804,0,5804,37,0
1970:Q2,71426,1892,631,0,61806,23028,7036,31742,756,6341,61883,41796,24454,17342,14194,14194,0,204,10,5679,0,5679,38,0
