1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6,2,-35,-6,0,0,-3,0,-3,0,0,0,-29,-62,0,20,-82,33,0,0,0,0,0,0,33,0,3,-48,-48,0,-112,0,-112,0,64,0,-8
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12,2,481,20,0,0,-77,0,-77,0,0,0,537,490,0,107,383,47,0,0,0,0,0,0,47,0,1,456,456,0,381,0,381,0,75,0,-15
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,11,2,412,-2,0,0,55,0,55,0,0,0,362,304,0,203,101,58,0,0,0,0,0,0,58,0,-3,391,391,0,227,0,227,0,164,0,-12
1952:Q1,4,0,-30,-10,0,0,137,0,137,0,0,0,-269,-287,0,35,-322,18,0,0,0,0,0,0,18,0,112,-41,-41,0,-114,0,-114,0,73,0,-7
1952:Q2,7,0,60,10,0,0,-69,0,-69,0,0,0,117,99,0,35,64,18,0,0,0,0,0,0,18,0,2,55,55,0,97,0,97,0,-42,0,2
1952:Q3,8,0,42,-8,0,0,-13,0,-13,0,0,0,59,37,0,-25,62,22,0,0,0,0,0,0,22,0,4,32,32,0,90,0,90,0,-58,0,-2
1952:Q4,12,0,35,15,0,0,12,0,12,0,0,0,149,126,0,-23,149,23,0,0,0,0,0,0,23,0,-141,30,30,0,-26,0,-26,0,56,0,7
1953:Q1,5,0,35,4,0,0,200,0,200,0,0,0,-317,-340,0,-87,-253,23,0,0,0,0,0,0,23,0,148,24,24,0,-106,0,-106,0,130,0,-6
1953:Q2,5,0,44,-2,0,0,-121,0,-121,0,0,0,168,146,0,39,107,22,0,0,0,0,0,0,22,0,-1,43,43,0,14,0,14,0,29,0,4
1953:Q3,4,0,116,13,0,0,18,0,18,0,0,0,80,58,0,-25,83,22,0,0,0,0,0,0,22,0,5,111,111,0,117,0,117,0,-6,0,-1
1953:Q4,4,0,56,28,0,0,-3,0,-3,0,0,0,36,14,0,-137,151,22,0,0,0,0,0,0,22,0,-5,56,56,0,-28,0,-28,0,84,0,4
1954:Q1,4,0,11,-53,0,0,312,0,312,0,0,0,-254,-285,0,37,-322,31,0,0,0,0,0,0,31,0,6,7,7,0,-228,0,-228,0,235,0,0
1954:Q2,4,0,141,5,0,0,-29,0,-29,0,0,0,147,116,0,71,45,31,0,0,0,0,0,0,31,0,18,140,140,0,96,0,96,0,44,0,3
1954:Q3,5,0,87,24,0,0,24,0,24,0,0,0,58,38,0,24,14,20,0,0,0,0,0,0,20,0,-19,80,80,0,125,0,125,0,-45,0,-2
1954:Q4,5,0,143,-3,0,0,-47,0,-47,0,0,0,105,86,0,-92,178,19,0,0,0,0,0,0,19,0,88,141,141,0,-28,0,-28,0,169,0,3
1955:Q1,5,0,76,-10,0,0,133,0,133,0,0,0,-32,-95,0,70,-165,63,0,0,0,0,0,0,63,0,-15,72,72,0,-19,0,-19,0,91,0,1
