1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,257120,245000,231986,4477,5319,1013,1099,1106,12120,ND,ND,11594,181,215,41,44,45,59081,42501,552,990,1074,913,66,794,0,0,46890,11049,144,258,279,238,17,206,0,0,12191,ND,ND
1978:Q3,259267,247372,233865,4731,5501,1048,1145,1082,11895,ND,ND,11349,191,223,42,46,44,61701,44395,590,1025,1132,963,70,794,0,0,48969,11542,154,267,294,250,18,207,0,0,12732,ND,ND
1978:Q4,287511,273921,259898,4999,5690,1084,1192,1058,13590,ND,ND,13023,202,230,44,48,43,68976,49919,673,1091,1188,1013,77,782,0,0,54743,12979,175,284,309,263,20,203,0,0,14233,ND,ND
1979:Q1,293661,279609,265044,5283,5884,1121,1242,1035,14052,ND,ND,13463,214,238,45,50,42,70529,50807,758,1210,1339,1062,81,718,0,0,55975,13211,197,314,348,276,21,187,0,0,14554,ND,ND
1979:Q2,301333,286737,271605,5582,6086,1159,1293,1012,14596,ND,ND,13984,226,246,47,52,41,73882,52911,843,1328,1490,1190,90,785,0,0,58637,13756,219,345,387,310,24,204,0,0,15245,ND,ND
1979:Q3,308514,293153,277424,5899,6294,1199,1347,990,15361,ND,ND,14725,239,255,48,54,40,77264,55036,928,1446,1640,1319,100,852,0,0,61321,14309,241,376,427,343,26,221,0,0,15943,ND,ND
1979:Q4,340578,323222,306867,6234,6510,1240,1402,969,17356,ND,ND,16695,252,263,50,57,39,88579,63076,1213,1583,1778,1514,118,1019,0,0,70301,16399,316,411,462,394,31,265,0,0,18278,ND,ND
1980:Q1,347187,328844,311833,6587,6733,1282,1461,948,18343,ND,ND,17655,267,272,52,59,38,91900,64924,1440,1912,1929,1643,34,1055,0,0,72937,16881,374,497,501,427,9,274,0,0,18963,ND,ND
1980:Q2,350873,331525,313827,6961,6963,1326,1521,927,19348,ND,ND,18631,282,282,54,62,37,97656,68724,1651,2075,2006,1844,117,1088,0,0,77505,17867,429,539,522,480,31,283,0,0,20151,ND,ND
1980:Q3,355406,334925,316504,7356,7202,1372,1585,906,20481,ND,ND,19736,298,291,55,64,37,102369,71357,1904,2292,2075,1951,323,1343,0,0,81245,18554,495,596,539,507,84,349,0,0,21124,ND,ND
1980:Q4,396064,372980,353802,7774,7449,1419,1650,886,23084,ND,ND,22308,315,301,57,67,36,127105,88418,2914,3664,2617,2217,344,703,0,0,100877,22988,758,953,680,577,89,183,0,0,26228,ND,ND
1981:Q1,399401,375307,355334,8216,7703,1468,1719,867,24094,ND,ND,23286,332,312,59,70,35,130251,90754,3170,3844,2679,2248,27,652,0,0,103374,23596,824,1000,697,584,7,169,0,0,26877,ND,ND
1981:Q2,405735,380702,359895,8682,7968,1518,1791,848,25033,ND,ND,24193,351,322,61,72,34,135545,94013,3428,4288,2752,2353,48,694,0,0,107576,24441,891,1115,716,612,13,181,0,0,27969,ND,ND
1981:Q3,408141,381264,359587,9174,8240,1569,1865,829,26877,ND,ND,26000,371,333,64,75,34,141050,97403,3710,4599,2878,2441,173,741,0,0,111945,25323,965,1196,748,635,45,193,0,0,29105,ND,ND
1981:Q4,421753,391944,369351,9695,8522,1623,1942,811,29809,ND,ND,28894,392,345,66,79,33,164623,115036,3913,5201,2782,2841,29,851,0,0,130653,29910,1017,1352,723,739,8,221,0,0,33970,ND,ND
1982:Q1,243539,212463,197927,6111,5355,966,1254,850,31076,57310,46498,30120,402,352,64,82,56,116759,72489,1999,2962,1686,1690,-81,411,0,0,81156,31800,877,1299,740,742,-36,181,0,0,35603,35055,8634
1982:Q2,248434,218347,202781,6469,5663,1000,1449,985,30086,57598,52470,29496,245,215,38,55,37,120035,73334,2161,3215,1662,1856,89,518,0,0,82835,32933,971,1444,747,833,40,232,0,0,37200,36557,8539
1982:Q3,250887,222999,206557,6903,5989,1011,1718,821,27887,56840,56552,27632,107,92,16,27,13,122948,75116,2414,3457,1634,1834,-95,672,0,0,85032,33494,1077,1542,728,818,-42,299,0,0,37916,38091,9357
1982:Q4,259212,227369,210743,7290,6089,1078,1524,645,31843,59907,60638,31897,-24,-20,-3,-5,-2,130428,86561,3029,4210,2135,2119,193,945,0,0,99192,27257,954,1326,673,667,61,298,0,0,31236,39941,8705
1983:Q1,262012,233652,215580,7866,6282,1085,2125,714,28360,55845,61221,28776,-181,-145,-25,-49,-16,131637,87383,3519,4407,2121,2149,106,1056,0,0,100741,26800,1079,1351,651,658,33,324,0,0,30896,40350,9454
1983:Q2,266291,239183,220261,8182,6737,1149,2094,760,27108,56324,64383,27745,-276,-227,-38,-71,-25,135215,88571,3688,4405,2117,2137,247,1090,0,0,102255,28549,1189,1420,683,688,79,352,0,0,32960,42212,9252
1983:Q3,272353,245414,225710,8506,7064,1194,2114,826,26938,56481,65637,27673,-318,-264,-44,-79,-30,139319,89413,3893,4662,2328,2124,421,1132,0,0,103973,30398,1323,1584,792,721,143,385,0,0,35346,44546,9200
1983:Q4,311862,285799,262731,10443,8147,1425,2415,638,26063,54758,66214,26988,-418,-327,-57,-97,-26,153318,102936,3954,5339,2859,2460,17,1358,0,0,118923,29770,1143,1545,827,712,5,393,0,0,34395,45163,10768
1984:Q1,316732,292708,268766,10857,8251,1418,2965,451,24024,54913,70661,25313,-584,-444,-77,-159,-25,158119,105426,4315,5509,2900,2338,980,1541,0,0,123009,30089,1232,1573,828,668,280,440,0,0,35110,46092,10982
1984:Q2,322263,300418,275475,11798,8562,1445,2518,620,21845,56338,76697,23535,-799,-581,-98,-170,-42,167041,109517,4446,5669,2849,2277,1036,1621,0,0,127415,34059,1383,1763,886,709,322,504,0,0,39626,51611,11985
1984:Q3,326660,306197,280585,11901,8836,1491,2870,514,20464,57520,80299,22370,-885,-658,-111,-213,-39,171534,111727,4507,6236,2720,2199,1711,1652,0,0,130752,34848,1405,1945,849,686,533,516,0,0,40782,52067,11285
1984:Q4,311775,288987,263661,11774,8468,1648,2844,592,22788,56925,75338,24401,-750,-540,-105,-181,-37,172377,112020,4149,6017,2362,2849,1124,2043,0,0,130564,35874,1329,1927,756,913,360,654,0,0,41813,53821,12008
1985:Q1,314950,293098,267804,12239,8012,1591,2858,594,21852,56571,75495,23485,-790,-518,-103,-184,-38,177246,115539,4413,6182,2308,2738,1047,1848,0,0,134075,37203,1421,1991,743,882,337,594,0,0,43171,56225,13054
1985:Q2,319650,301107,274917,12694,8348,1702,2850,596,18544,54697,76365,20430,-914,-601,-123,-205,-43,181919,118160,4322,6266,2236,2798,1267,1819,0,0,136868,38896,1422,2062,735,921,417,598,0,0,45051,58302,13251
1985:Q3,322966,303568,277439,12145,8645,1701,3008,630,19399,57035,76161,21044,-765,-545,-107,-189,-39,186837,120862,4349,6856,2449,3128,1023,1825,0,0,140492,39870,1435,2261,808,1032,337,602,0,0,46345,59775,13430
1985:Q4,423131,403897,370692,16064,10881,1708,3601,951,19234,56032,73578,20675,-698,-472,-74,-156,-41,219996,147722,5567,7944,3180,5080,964,2540,0,0,172997,40132,1512,2159,864,1380,262,690,0,0,46999,62763,15764
1986:Q1,432137,409090,374288,16237,11109,1628,4864,964,23047,59000,71247,24088,-486,-332,-49,-145,-29,223347,157381,5699,8144,3089,4736,880,2610,0,-8045,174494,41811,1596,2280,864,1326,246,730,0,0,48853,65442,16589
1986:Q2,438596,416008,380217,16491,11423,1265,5665,947,22587,60539,70803,23469,-407,-282,-31,-139,-23,229184,162526,5830,8329,3097,4849,824,2644,44,-9613,178530,43400,1654,2364,878,1375,233,750,0,0,50654,67634,16980
1986:Q3,442873,420084,384997,16089,11873,1337,4800,988,22788,58977,67470,23497,-325,-240,-27,-97,-20,238054,168829,5937,8885,3131,6021,1268,2700,44,-11201,185614,44548,1678,2510,884,1700,358,762,0,0,52440,69875,17435
1986:Q4,562748,538513,492660,19586,15483,1908,7300,1576,24235,58748,67187,24955,-307,-243,-30,-115,-25,272966,194800,6111,9327,4511,7060,2732,2540,36,-12448,214669,49532,1659,2533,1224,1917,742,690,0,0,58297,76174,17877
1987:Q1,569920,544414,497641,19939,16265,1915,7051,1603,25506,61246,68536,26134,-267,-218,-26,-95,-22,285739,202796,6095,9470,4376,7339,2249,3411,35,-15043,220728,55308,1795,2789,1289,2162,663,1005,0,0,65011,85524,20513
1987:Q2,577378,551653,505161,18956,16638,1919,7388,1591,25725,63470,68743,26169,-181,-159,-18,-71,-15,294823,210992,6209,9014,4774,7628,3477,3870,35,-18724,227275,57155,1845,2679,1418,2267,1034,1150,0,0,67548,89456,21908
1987:Q3,585586,559553,512466,19220,16849,1948,7480,1590,26034,63227,67006,26353,-130,-114,-13,-51,-11,315821,220494,6106,9442,4824,7501,2491,4009,36,-18682,236221,68018,2057,3182,1625,2527,840,1351,0,0,79600,102888,23288
1987:Q4,618808,591850,538063,22707,18998,2314,6296,3472,26958,64037,65641,27104,-62,-51,-7,-17,-9,316200,234602,2216,10302,7555,5179,2488,2066,36,-23924,240520,66301,698,3242,2377,1630,782,650,0,0,75680,101545,25864
1988:Q1,623594,594583,538954,23056,19867,2385,7232,3089,29010,66269,64357,28832,74,64,7,23,10,324372,250376,2421,11411,7832,5475,3126,2606,36,-31681,251602,63262,700,3301,2265,1584,904,754,0,0,72770,98088,25317
1988:Q2,627349,598913,543200,22652,20288,2341,7546,2886,28435,66521,63307,28137,121,109,12,40,16,338513,268114,2561,11638,7959,5247,3185,1305,37,-36954,263092,66278,734,3336,2282,1504,913,374,0,0,75421,101150,25728
1988:Q3,635980,607678,550938,22572,20857,2433,8080,2798,28301,66998,63648,27989,124,115,13,44,16,352574,280328,2661,11493,8060,5573,2843,2655,62,-41260,272415,70320,783,3382,2372,1640,836,781,45,0,80159,107552,27392
1988:Q4,714620,682896,615657,26579,24805,2785,9509,3561,31724,67970,58404,30781,373,348,39,133,50,391530,309155,4898,12786,8883,5501,2027,3383,62,-42407,304288,76451,1404,3666,2547,1577,582,970,45,0,87242,119323,32081
1989:Q1,729282,692790,623684,27121,25189,2672,10536,3588,36493,75065,61394,35128,536,497,53,208,71,409782,313167,5124,13088,8789,5989,4347,2942,62,-46103,307405,88918,1706,4359,2927,1995,1448,979,45,0,102377,132785,30408
1989:Q2,737901,701242,627617,27218,25561,2570,14940,3336,36660,79791,64211,35024,605,568,57,332,74,425525,322350,5493,13099,9030,5934,7019,3249,61,-48111,318124,92560,1854,4423,3048,2004,2370,1097,45,0,107401,135685,28284
1989:Q3,747681,710300,633029,27303,26042,2391,18207,3328,37382,83954,66205,35451,683,651,59,455,83,437344,336600,5618,13679,9679,6315,4042,3234,61,-48526,330702,92871,1811,4411,3121,2037,1303,1043,45,0,106642,139740,33098
1989:Q4,850022,804307,699734,32445,32196,3451,33185,3296,45715,92084,63931,42055,1136,1127,121,1161,115,534734,416172,7878,16823,12823,7729,8446,5400,39,-52442,422868,96187,2085,4450,3392,2045,2234,1428,45,0,111866,145440,33574
1990:Q1,861093,814465,711776,33224,32800,3523,29746,3396,46628,92156,62393,42874,1215,1199,129,1087,124,550372,428428,8055,17378,13080,8059,7785,5437,60,-52501,435781,98824,2119,4569,3439,2119,2047,1429,45,0,114591,151015,36424
1990:Q2,866908,821555,719576,33311,32645,3513,29091,3419,45353,91664,62418,41723,1186,1162,125,1035,122,565016,438759,8298,18013,13255,7901,8481,5550,61,-53079,447239,101537,2186,4743,3491,2081,2233,1461,45,0,117777,157316,39539
1990:Q3,886171,835536,730834,32730,32953,3873,31645,3501,50635,101713,67153,46304,1354,1363,160,1309,145,574172,457011,8395,18201,13541,7941,6492,5619,64,-61166,456098,102448,2174,4712,3505,2056,1680,1454,45,0,118074,164104,46030
1990:Q4,744911,704136,620444,28314,28250,3083,21178,2867,40775,101455,73829,37491,1111,1109,121,831,112,539601,439126,3205,15358,14387,8229,3822,2882,62,-65675,421396,104730,898,4308,4035,2308,1073,808,45,0,118205,165945,47740
1991:Q1,762773,717344,627532,28963,28406,3221,26304,2918,45429,103861,73946,41684,1208,1185,134,1097,121,543447,449864,3117,15948,16456,8574,1660,3970,63,-68765,430887,99439,814,4166,4298,2240,434,1037,132,0,112560,163752,51192
1991:Q2,765370,725486,639468,28454,28654,3234,22640,3036,39884,105129,80452,36958,968,975,110,770,103,557422,444698,3080,15598,16383,8537,8828,4225,64,-65651,435762,105700,859,4354,4573,2384,2465,1179,146,0,121660,166591,44931
1991:Q3,775605,736828,649858,28677,28385,3079,23616,3213,38777,110106,85755,35902,948,938,102,781,106,556625,445024,3144,15991,17063,9670,4351,4514,70,-59197,440630,101449,827,4209,4491,2546,1146,1188,139,0,115995,168754,52759
1991:Q4,841890,803456,707348,31496,29491,4577,26246,4298,38434,101569,77488,35554,944,884,137,787,128,669137,530447,4098,25870,25720,8987,5862,5614,60,-51399,555259,98120,841,5306,5275,1843,1202,1152,139,0,113878,171435,57557
1992:Q1,862593,816695,715287,31816,29688,4701,30755,4448,45899,109105,76607,41862,1267,1182,187,1224,177,670919,543600,4130,26480,25904,9286,6446,5799,54,-62819,558880,96259,828,5308,5193,1862,1292,1163,134,0,112039,171722,59683
1992:Q2,873441,827010,726010,32246,29920,4874,29265,4695,46433,113002,79019,42281,1326,1230,200,1203,193,677298,548213,4176,26812,25976,9654,6772,5910,54,-65082,562485,98492,853,5473,5302,1971,1382,1206,134,0,114813,176822,62009
1992:Q3,879160,834138,736376,32778,26301,4843,29089,4751,45024,115851,82325,41095,1318,1057,194,1169,191,680846,549027,4220,27066,26028,9546,7400,5956,52,-61627,567668,97055,841,5396,5189,1904,1476,1188,129,0,113178,179020,65842
1992:Q4,809186,762212,661560,34215,27484,4605,28140,6208,46974,112748,76330,42164,1635,1313,220,1345,297,696178,559391,4706,22813,27596,10411,4520,5320,48,-53808,580997,100117,933,4523,5471,2064,896,1055,122,0,115181,183585,68404
1993:Q1,814607,774617,675320,34507,28129,4670,25589,6402,39990,120308,80318,34864,1781,1452,241,1321,331,703991,566741,4694,22783,27668,9469,2863,8725,50,-58464,584529,103766,959,4656,5654,1936,585,1784,122,0,119462,189055,69593
1993:Q2,838980,790767,683125,34562,28375,4400,33304,7001,48213,133370,85157,41650,2107,1730,268,2031,427,715790,567120,4595,23577,27445,9921,5152,12050,50,-61210,588700,109112,992,5090,5925,2142,1112,2602,115,0,127090,194237,67147
1993:Q3,853151,808046,700580,35482,29094,4378,31470,7042,45105,140332,95227,39106,1980,1624,245,1757,393,727938,560165,4607,23431,27383,10126,6048,15352,52,-52585,594579,113751,1034,5256,6141,2271,1357,3444,105,0,133359,201042,67683
1993:Q4,1061299,1002299,841182,46823,39933,6738,61672,5951,59000,138906,79906,49516,2756,2350,397,3630,351,768398,571322,5479,25272,28079,13824,10696,24621,51,-54877,624467,118993,1263,5825,6472,3186,2465,5675,52,0,143931,207337,63406
1994:Q1,1092371,1018280,856702,46945,38765,6743,63201,5924,74091,155101,81010,62335,3415,2820,491,4598,432,773871,587483,5543,25696,28586,14274,10539,24879,52,-66248,630804,118179,1257,5828,6484,3237,2390,5643,49,0,143067,207187,64120
1994:Q2,1108494,1033889,871711,47822,38858,6989,62480,6029,74606,156961,82356,62902,3451,2804,505,4508,436,779897,589773,5535,25866,28877,14302,10944,25072,52,-64450,635971,118848,1252,5854,6535,3237,2477,5675,48,0,143926,206879,62953
1994:Q3,1127753,1050782,887811,48560,39145,6873,62315,6078,76972,163295,86324,65034,3557,2867,504,4564,446,794520,608064,5501,26584,29278,14538,11035,25250,58,-72412,647896,121185,1245,6017,6626,3290,2498,5715,48,0,146624,209077,62453
1994:Q4,1114582,1054048,918843,47705,43149,6368,34552,3431,60534,140439,79904,52768,2740,2478,366,1985,197,757853,603366,4880,26487,28158,11045,6080,13855,62,-70065,623868,114500,1048,5688,6047,2372,1306,2976,48,0,133985,173582,39597
1995:Q1,1136266,1074557,937499,47928,43690,6392,35767,3281,61709,144367,82657,53837,2753,2509,367,2054,189,767292,622434,4885,28010,28486,11317,5211,14358,65,-78259,636507,111778,1004,5755,5853,2325,1071,2950,49,0,130785,171059,40274
1995:Q2,1152298,1089886,951649,48554,43672,6639,36032,3340,62412,148102,85689,54493,2781,2501,381,2064,192,779491,635622,4856,28189,29619,11458,4842,14745,72,-83079,646324,113813,1000,5808,6103,2360,997,3038,48,0,133167,171825,38658
1995:Q3,1175322,1111765,971796,49192,44623,6529,36151,3474,63556,150470,86912,55553,2812,2551,374,2067,199,797350,651330,4855,30605,29949,11781,5670,15163,78,-87346,662085,115195,992,6252,6119,2406,1158,3098,45,0,135265,174054,38789
1995:Q4,1363792,1305643,1148264,55768,55674,8273,33491,4173,58149,147166,89016,51139,2484,2480,369,1491,186,1005726,810799,3606,41767,47140,17673,9545,21856,81,-82187,870280,113366,561,6500,7337,2750,1486,3401,45,0,135446,176246,40800
1996:Q1,1390523,1334418,1174629,56836,56329,8502,34926,3196,56106,143779,87673,49387,2389,2369,358,1468,135,1033859,826671,3761,41586,47778,17740,10110,22499,88,-80654,889579,120966,609,6745,7749,2877,1640,3649,45,0,144280,186684,42404
1996:Q2,1407351,1350923,1188650,57192,56953,8680,36053,3395,56429,144699,88270,49651,2389,2379,363,1505,142,1050558,848477,3710,39839,48394,17809,11018,23191,119,-89708,902849,124082,606,6518,7917,2914,1803,3794,75,0,147709,191854,44145
1996:Q3,1432153,1371483,1206024,58152,57616,8902,36771,4018,60671,147191,86520,53352,2572,2549,394,1626,178,1067155,858314,3734,40465,48872,18216,9550,23930,208,-84508,918781,124923,602,6534,7892,2942,1542,3864,75,0,148374,196590,48216
1996:Q4,1608340,1540530,1348740,66632,52366,10199,43244,19349,67810,161120,93309,59367,2933,2305,449,1904,852,1229118,985202,5821,43780,55729,25520,12896,29483,224,-79245,1079410,125607,807,6073,7730,3539,1788,4089,75,0,149708,197357,47649
1997:Q1,1641009,1572028,1376025,67652,54057,10908,43655,19731,68980,162478,93496,60379,2968,2372,479,1916,866,1257786,1004761,5875,44666,55498,26070,14498,30608,146,-85598,1096524,135119,864,6569,8162,3834,2132,4502,80,0,161262,207409,46147
1997:Q2,1668395,1598175,1397400,68893,55624,11026,45259,19973,70218,166267,96046,61396,3027,2444,484,1989,878,1281573,1017911,5864,47337,56000,29150,13730,31719,164,-89890,1111985,141475,894,7220,8541,4446,2094,4838,80,0,169588,217032,47444
1997:Q3,1691765,1621143,1418159,69546,57279,10886,45720,19553,70620,169115,98492,61778,3029,2495,474,1992,852,1300667,1020301,6078,48908,58717,30071,10527,33004,212,-77352,1130466,141919,915,7364,8841,4527,1585,4969,81,0,170201,223962,53761
1997:Q4,1879285,1805484,1577539,74727,72298,14609,59275,7036,73801,178106,104305,64484,3055,2955,597,2423,287,1637408,1276237,6818,68535,81654,44527,9785,51271,278,-81163,1457942,147048,839,8436,10052,5481,1204,6311,95,0,179466,232547,53081
1998:Q1,1924542,1844296,1618771,75986,71753,15187,55038,7561,80246,184678,104432,70432,3307,3122,661,2395,329,1657468,1296902,6813,68414,82048,44691,9039,50901,471,-85599,1473680,151037,849,8532,10233,5573,1127,6348,89,0,183788,235756,51968
1998:Q2,1971427,1876255,1644628,76295,73296,15934,58347,7755,95172,200099,104927,83423,3870,3718,808,2960,393,1678514,1306229,6798,68423,82186,45244,10766,50672,445,-82047,1488716,156045,866,8723,10478,5768,1372,6460,86,0,189798,241056,51258
1998:Q3,1994385,1902039,1668148,75464,74616,15296,60373,8142,92346,204047,111701,80990,3664,3623,743,2931,395,1703638,1309322,6710,72330,82291,45383,9739,50428,433,-69225,1507411,161395,873,9415,10713,5907,1268,6564,92,0,196227,248090,51863
1998:Q4,2279601,2179807,1897535,56791,85576,20320,105568,14017,99794,221355,121561,86871,2600,3918,930,4833,642,2179035,1683980,7224,98752,101330,58400,17170,62764,365,-59528,1970457,171885,764,10453,10726,6182,1817,6644,107,0,208578,276512,67934
1999:Q1,2351837,2223351,1935650,57295,87033,20437,107114,15822,128486,255232,126746,111859,3311,5030,1181,6191,914,2206694,1680377,7424,97722,101419,58595,12886,63740,22,-42230,1979955,187480,850,11191,11614,6710,1475,7300,119,0,226739,296823,70084
1999:Q2,2403939,2259458,1966938,57740,87483,20779,108745,17773,144481,274414,129933,125774,3693,5594,1329,6954,1137,2350624,1757231,7518,110942,105054,67502,16707,62449,2865,-17698,2112570,196211,846,12502,11838,7607,1882,7037,131,0,238054,309834,71780
1999:Q3,2470426,2312588,2014431,58161,89718,21309,109492,19477,157838,296672,138834,137487,3970,6124,1455,7473,1329,2402454,1768154,7637,110711,110060,67408,18756,62587,3618,-1977,2146954,210486,908,13176,13098,8022,2232,7449,129,0,255500,327686,72186
1999:Q4,2839639,2678797,2371426,67709,89795,17612,38451,93804,160842,301962,141120,142387,4065,5391,1057,2309,5633,2798193,2089245,8033,139542,115951,72359,22377,83352,3495,-8493,2525861,224574,865,15045,12501,7802,2413,8987,145,0,272332,342977,70645
2000:Q1,2877767,2726572,2411788,69665,90877,18464,39072,96706,151195,300157,148962,133741,3863,5039,1023,2166,5363,2849414,2118640,7778,140344,116936,74085,19652,83895,3617,5483,2570430,230796,843,15233,12692,8041,2133,9105,141,0,278984,358126,79142
2000:Q2,2932737,2782484,2461166,70876,93309,18897,38692,99544,150253,299127,148874,132903,3827,5038,1020,2089,5376,2944090,2196536,8025,140491,118429,76930,20024,84690,3457,5708,2654290,240679,875,15339,12930,8400,2187,9246,144,0,289800,372182,82382
2000:Q3,2975009,2817382,2488038,75190,94263,19275,39150,101466,157627,302848,145221,139202,4206,5274,1078,2190,5677,3025957,2226767,7939,139885,118939,86016,19121,84173,3568,5937,2692345,276953,983,17334,14738,10659,2370,10430,145,0,333612,416270,82658
2000:Q4,2694014,2545603,2250325,72975,78602,17113,26512,100076,148411,296428,148017,131195,4255,4582,998,1546,5835,2783235,2048977,5457,107776,102175,71982,15579,87121,3384,6557,2449008,280845,744,14709,13945,9824,2127,11890,143,0,334227,426767,92539
2001:Q1,2733601,2580570,2283166,73510,79228,17679,26789,100198,153031,309520,156489,135394,4360,4698,1048,1589,5942,2841986,2069397,5309,106560,104890,73509,20170,87495,3452,7481,2478263,305180,779,15639,15395,10789,2961,12841,139,0,363723,439765,76041
2001:Q2,2763783,2614031,2315551,74458,79108,17702,27146,100066,149752,311533,161781,132651,4266,4532,1014,1556,5733,2903248,2113956,5288,109948,102818,75637,21360,89002,3000,7621,2528630,314628,783,16289,15233,11206,3165,13185,129,0,374618,453519,78900
2001:Q3,2811013,2655346,2344200,74913,79004,17874,26852,112503,155667,316759,161092,137425,4392,4631,1048,1575,6596,2920168,2124557,5396,109887,103606,76528,14894,90407,2452,7721,2535448,323789,818,16674,15721,11612,2260,13718,128,0,384720,464774,80053
2001:Q4,2314934,2158911,1904942,63185,61571,10683,14784,103746,156023,310334,154311,137668,4567,4450,772,1068,7498,2560294,1821515,4565,92597,91474,53455,17727,75597,1490,7677,2166097,333019,831,16851,16647,9728,3227,13758,136,0,394197,479415,85218
2002:Q1,2366620,2201985,1938488,63814,66045,10790,15420,107428,164635,317121,152486,144935,4771,4938,806,1153,8032,2585639,1839806,4603,93411,91645,54701,17342,74634,1652,7789,2185583,338358,843,17098,16775,10012,3175,13662,133,0,400056,491602,91546
2002:Q2,2406202,2232040,1963358,64060,67303,12573,15237,109509,174162,331952,157790,153196,4999,5252,981,1189,8545,2594822,1866231,4702,95035,95158,55722,17404,75249,1030,7704,2218235,318183,799,16134,16155,9459,2955,12775,127,0,376587,481484,104897
2002:Q3,2442811,2268788,1996396,64792,67180,12958,15365,112097,174023,335844,161821,153130,4970,5153,993,1178,8599,2610613,1891983,4766,95948,96001,56801,19508,74920,1195,7748,2248870,305659,767,15434,15443,9136,3138,12051,115,0,361743,467932,106189
2002:Q4,2022588,1840110,1596736,48663,75383,11642,11790,95896,182478,349729,167251,158343,4826,7475,1155,1169,9510,2021817,1399049,4183,77024,66536,52153,15247,36212,821,7327,1658552,308096,916,16871,14573,11422,3340,7932,115,0,363265,456567,93302
2003:Q1,2049923,1877375,1627325,50803,76765,11698,11518,99266,172548,345708,173160,149567,4670,7055,1075,1058,9123,2060665,1428011,4204,80942,65422,52668,30271,37309,644,7471,1706942,297488,871,16774,13558,10914,6273,7732,113,0,353723,450201,96478
2003:Q2,2098998,1916182,1660922,51936,78788,11995,11861,100680,182816,356652,173836,158464,4955,7517,1144,1131,9605,2058909,1430079,4248,81035,66554,51356,30347,37886,693,7446,1709644,293618,867,16555,13597,10491,6200,7740,197,0,349265,449804,100539
2003:Q3,2141530,1954946,1694528,52556,80657,12174,12315,102716,186584,361618,175034,161730,5016,7698,1162,1175,9803,2060895,1446790,4253,81784,66914,51498,31345,38379,1278,7450,1729691,278477,814,15660,12813,9861,6002,7349,228,0,331204,439286,108082
2003:Q4,2729127,2548435,2177117,68968,101567,17280,18720,164783,180692,371406,190714,154364,4890,7202,1225,1327,11684,2454877,1779615,4220,109735,87912,60044,39525,46656,1282,7552,2136541,266249,628,16350,13099,8946,5889,6952,223,0,318336,435806,117471
2004:Q1,2811420,2623664,2232998,71531,107183,17099,19243,175610,187756,387689,199933,159798,5118,7671,1224,1377,12568,2482883,1794274,4211,109765,88376,59967,42878,45026,3811,7710,2156018,273548,638,16641,13398,9091,6501,6826,222,0,326865,452206,125342
2004:Q2,2888353,2693136,2290846,74290,109994,17968,20100,179938,195216,399381,204165,166055,5385,7973,1303,1457,13043,2518727,1820691,4078,111464,87807,72440,46066,43784,6322,7700,2200352,265254,590,16128,12705,10482,6666,6335,216,0,318376,450421,132046
2004:Q3,2945242,2746799,2338420,75156,112939,18800,20487,180997,198441,411081,212639,168938,5429,8160,1358,1480,13076,2555829,1841996,4035,122248,86705,76049,48192,44397,6538,7699,2237859,263560,573,17370,12320,10806,6848,6308,186,0,317971,457736,139766
2004:Q4,3362796,3170545,2682900,112858,108605,20013,17658,228511,192251,433621,241371,162684,6843,6585,1213,1070,13856,2717383,1964420,3961,160710,80486,87262,28558,57503,7989,7828,2398717,262887,526,21350,10692,11592,3794,7639,186,0,318666,461363,142696
2005:Q1,3424241,3230680,2736282,113254,109655,20370,17744,233375,193561,437953,244393,163942,6785,6569,1220,1063,13982,2757603,1990644,4193,165664,83100,87815,32119,56807,8208,8002,2436552,264265,552,21829,10949,11571,4232,7485,167,0,321050,461101,140050
2005:Q2,3465902,3275837,2770784,113289,116835,20967,19928,234034,190066,436132,246067,160765,6573,6778,1216,1156,13578,2753098,2006820,4184,169306,81793,89723,33790,56041,8514,8049,2458220,241977,502,20309,9811,10763,4053,6723,739,0,294877,449327,154449
2005:Q3,3460279,3260068,2750257,113697,118726,22350,21812,233226,200212,446180,245969,168905,6982,7291,1372,1339,14323,2793525,2030231,4044,169035,79189,90284,34650,55253,8426,8053,2479165,258842,513,21434,10041,11448,4393,7006,682,0,314359,472421,158061
2005:Q4,3637996,3449302,2905296,127902,125963,23261,21498,245382,188694,440594,251900,158934,6997,6890,1273,1176,13424,2817970,2045086,4102,161063,74348,81472,47965,53942,7305,8413,2483696,276048,552,21677,10006,10965,6455,7260,1311,0,334274,491548,157274
2006:Q1,3932765,3742286,3160012,135722,133553,23565,25403,264031,190481,473007,282526,160844,6908,6798,1199,1293,13439,2939189,2137418,4108,171757,81071,84860,50747,49090,7331,8689,2595071,284247,545,22775,10750,11253,6730,6510,1307,0,344117,509622,165504
2006:Q2,3941402,3759413,3184892,132647,131105,23048,25969,261752,181990,473403,291413,154179,6421,6347,1115,1257,12671,2934080,2118222,3050,165807,78170,93174,50339,45331,7834,8838,2570765,300380,431,23432,11047,13168,7115,6407,1334,0,363314,540734,177419
