1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,12979,12474,12078,48,83,121,68,76,505,ND,ND,489,2,3,5,3,3,3658,2050,62,149,263,228,17,134,0,0,2903,532,16,39,69,59,5,35,0,0,755,ND,ND
1952:Q1,13357,12838,12442,48,83,121,68,76,519,ND,ND,503,2,3,5,3,3,3716,2093,63,149,263,228,17,136,0,0,2949,544,16,39,69,59,5,35,0,0,767,ND,ND
1952:Q2,13953,13410,13002,50,85,123,71,79,543,ND,ND,527,2,3,5,3,3,3794,2148,63,152,264,229,18,137,0,0,3011,558,17,39,69,59,5,36,0,0,783,ND,ND
1952:Q3,14264,13709,13289,52,86,125,74,83,555,ND,ND,538,2,4,5,3,3,3849,2185,64,154,265,229,19,139,0,0,3055,567,17,40,69,60,5,36,0,0,794,ND,ND
1952:Q4,14721,14148,13706,57,86,130,80,89,573,ND,ND,555,2,4,5,3,4,3945,2227,67,158,279,241,18,141,0,0,3131,579,17,41,72,63,5,37,0,0,814,ND,ND
1953:Q1,15108,14520,14065,59,88,132,83,93,588,ND,ND,570,2,4,5,3,4,4040,2295,67,160,279,242,19,144,0,0,3206,596,18,42,73,63,5,37,0,0,834,ND,ND
1953:Q2,15545,14940,14472,61,90,134,86,97,605,ND,ND,586,2,4,5,4,4,4079,2314,68,163,280,244,20,148,0,0,3237,602,18,43,73,63,5,38,0,0,842,ND,ND
1953:Q3,15926,15307,14825,63,92,136,90,101,619,ND,ND,599,3,4,5,4,4,4173,2377,70,167,281,245,21,151,0,0,3312,619,18,43,73,64,5,39,0,0,861,ND,ND
1953:Q4,16253,15621,15124,66,92,139,94,106,632,ND,ND,611,3,4,6,4,4,4251,2434,72,164,290,252,19,143,0,0,3374,632,19,43,76,65,5,37,0,0,877,ND,ND
1954:Q1,16564,15920,15408,68,94,141,98,111,644,ND,ND,623,3,4,6,4,4,4334,2489,73,167,291,253,20,147,0,0,3440,646,19,44,76,66,5,38,0,0,894,ND,ND
1954:Q2,16990,16329,15801,71,96,144,102,115,661,ND,ND,639,3,4,6,4,5,4438,2559,75,170,292,255,21,150,0,0,3522,667,19,44,76,66,5,39,0,0,916,ND,ND
1954:Q3,17216,16546,16001,74,98,147,106,120,670,ND,ND,648,3,4,6,4,5,4538,2631,76,172,293,256,21,153,0,0,3602,682,20,45,76,67,6,40,0,0,936,ND,ND
1954:Q4,17631,16945,16373,78,109,149,111,125,686,ND,ND,663,3,4,6,5,5,4633,2619,79,185,326,283,21,164,0,0,3677,681,20,48,85,73,6,43,0,0,956,ND,ND
1955:Q1,17944,17246,16656,81,111,152,115,131,698,ND,ND,675,3,4,6,5,5,4741,2696,80,187,327,284,22,167,0,0,3763,699,21,49,85,74,6,44,0,0,978,ND,ND
1955:Q2,18469,17751,17144,84,112,155,120,136,718,ND,ND,693,3,5,6,5,6,4865,2780,82,190,329,286,23,171,0,0,3861,723,21,50,85,74,6,45,0,0,1004,ND,ND
