date,Private defined contribution pension funds; total financial assets,Private defined contribution pension funds; checkable deposits and currency; asset,Private defined contribution pension funds; total time and savings deposits; asset,Private defined contribution pension funds, including 403(b) plans; money market fund shares; asset,Private defined contribution pension funds; security repurchase agreements; asset,Private defined contribution pension funds; debt securities; asset,Private defined contribution pension funds; commercial paper; asset,Private defined contribution pension funds; Treasury securities; asset,Private defined contribution pension funds; agency- and GSE-backed securities; asset,Private defined contribution pension funds; corporate and foreign bonds; asset,Private defined contribution pension funds; total mortgages; asset,Private defined contribution pension funds; corporate equities; asset,Private defined contribution pension funds, including 403(b) plans; mutual fund shares; asset,Private defined contribution pension funds; total miscellaneous assets,Private defined contribution pension funds; unallocated insurance contracts; asset,Private defined contribution pension funds; pension fund contributions receivable; asset,Private defined contribution pension funds; unidentified miscellaneous assets,Private defined contribution pension funds; total financial assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3,0,0,0,0,52,0,12,0,40,0,0,0,-55,0,0,-55,-3
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,173,0,0,0,0,53,0,13,0,40,0,0,0,120,0,0,120,173
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,172,0,0,0,0,52,0,12,0,40,0,0,0,120,0,0,120,172
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,147,0,0,0,0,65,0,25,0,40,0,0,0,82,0,0,82,147
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,116,0,0,0,0,57,0,11,0,46,0,0,0,59,0,0,59,116
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,174,0,0,0,0,156,0,25,0,131,0,0,0,18,0,0,18,174
1952:Q1,1520,0,688,0,0,204,0,44,0,160,0,240,0,388,0,0,388,1520
1952:Q2,532,0,28,0,0,192,0,-4,0,196,0,248,0,64,0,0,64,532
1952:Q3,564,0,28,0,0,220,0,-16,0,236,0,256,0,60,0,0,60,564
1952:Q4,632,0,28,0,0,272,0,12,0,260,0,296,0,36,0,0,36,632
1953:Q1,644,0,32,0,0,280,0,32,0,248,0,308,0,24,0,0,24,644
1953:Q2,648,0,32,0,0,288,0,56,0,232,0,328,0,0,0,0,0,648
1953:Q3,644,0,32,0,0,260,0,52,0,208,0,348,0,4,0,0,4,644
1953:Q4,636,0,32,0,0,220,0,16,16,188,0,384,0,0,0,0,0,636
1954:Q1,692,0,36,0,0,224,0,16,-4,212,0,416,0,16,0,0,16,692
1954:Q2,712,0,36,0,0,232,0,-8,0,240,0,428,0,16,0,0,16,712
1954:Q3,780,0,36,0,0,268,0,4,-4,268,0,452,0,24,0,0,24,780
1954:Q4,896,0,36,0,0,312,0,28,-4,288,0,504,0,44,0,0,44,896
1955:Q1,1000,0,40,0,0,316,0,60,4,252,0,568,0,76,0,0,76,1000
1955:Q2,1160,0,44,0,0,308,0,104,0,204,0,724,0,84,0,0,84,1160
1955:Q3,1288,0,44,0,0,264,0,96,4,164,0,872,0,108,0,0,108,1288
1955:Q4,1320,0,44,0,0,180,0,36,4,140,0,972,0,124,0,0,124,1320
1956:Q1,1456,0,44,0,0,188,0,-24,12,200,0,1092,0,132,0,0,132,1456
1956:Q2,1544,0,52,0,0,232,0,-52,4,280,0,1080,0,180,0,0,180,1544
1956:Q3,1592,0,48,0,0,296,0,-80,4,372,0,1072,0,176,0,0,176,1592
1956:Q4,1692,0,52,0,0,384,0,-64,4,444,0,1132,0,124,0,0,124,1692
1957:Q1,1668,0,56,0,0,376,0,-76,16,436,0,1124,0,112,0,0,112,1668
