date,Monetary authority; SDR certificates issued by federal government; asset,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,Monetary authority; Treasury currency; asset,Instrument discrepancies; Treasury currency (seigniorage)
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0,0,126,223,-97
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0,0,-28,0,-28
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0,0,-5,27,-32
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,-19,9,-28
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0,0,-10,38,-48
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1981:Q4,0,0,512,676,-164
1982:Q1,1000,1000,416,620,-204
1982:Q2,1000,1000,348,560,-212
1982:Q3,1600,1600,284,540,-256
1982:Q4,1600,1600,380,524,-144
1983:Q1,0,0,448,680,-232
1983:Q2,0,0,532,716,-184
1983:Q3,0,0,548,704,-156
1983:Q4,0,0,344,656,-312
1984:Q1,0,0,696,628,68
1984:Q2,0,0,620,896,-276
1984:Q3,0,0,332,496,-164
1984:Q4,0,0,564,724,-160
1985:Q1,0,0,1108,680,428
1985:Q2,0,0,72,780,-708
1985:Q3,0,0,320,564,-244
1985:Q4,400,400,48,512,-464
1986:Q1,0,0,844,620,224
1986:Q2,400,400,372,492,-120
1986:Q3,800,800,304,432,-128
1986:Q4,0,0,436,516,-80
1987:Q1,0,0,512,672,-160
1987:Q2,0,0,428,616,-188
1987:Q3,0,0,456,468,-12
1987:Q4,0,0,480,684,-204
1988:Q1,0,0,516,648,-132
1988:Q2,0,0,400,648,-248
1988:Q3,0,0,480,544,-64
1988:Q4,0,0,648,648,0
1989:Q1,1400,1400,560,948,-388
1989:Q2,12600,12600,720,868,-148
1989:Q3,0,0,440,688,-248
1989:Q4,0,0,548,808,-260
1990:Q1,0,0,600,856,-256
1990:Q2,0,0,644,900,-256
1990:Q3,0,0,396,620,-224
1990:Q4,6000,6000,2172,724,1448
1991:Q1,0,0,-1192,688,-1880
1991:Q2,0,0,448,700,-252
1991:Q3,0,0,400,548,-148
1991:Q4,0,0,504,512,-8
1992:Q1,0,0,72,484,-412
1992:Q2,0,0,288,472,-184
1992:Q3,0,0,188,340,-152
1992:Q4,-8000,-8000,332,436,-104
1993:Q1,0,0,288,504,-216
1993:Q2,0,0,360,528,-168
1993:Q3,0,0,424,644,-220
1993:Q4,0,0,712,916,-204
1994:Q1,0,0,656,892,-236
1994:Q2,0,0,636,840,-204
1994:Q3,0,0,768,1004,-236
1994:Q4,0,0,684,860,-176
1995:Q1,0,0,736,928,-192
1995:Q2,0,0,680,1056,-376
1995:Q3,8600,8600,788,1080,-292
1995:Q4,0,0,508,972,-464
1996:Q1,0,0,-4,1064,-1068
1996:Q2,0,0,-180,1004,-1184
1996:Q3,-1800,-1800,2344,896,1448
1996:Q4,0,0,-4,888,-892
1997:Q1,-2072,-2072,436,764,-328
1997:Q2,0,0,156,468,-312
1997:Q3,0,0,1252,512,740
1997:Q4,0,0,-4,564,-568
1998:Q1,0,0,320,484,-164
1998:Q2,0,0,224,488,-264
1998:Q3,0,0,1700,820,880
1998:Q4,0,0,-4,1116,-1120
1999:Q1,-4000,-4000,0,1472,-1472
1999:Q2,0,0,2068,1464,604
1999:Q3,-4000,-4000,2000,1812,188
1999:Q4,-4000,-4000,-4,2224,-2228
2000:Q1,0,0,2160,3960,-1800
2000:Q2,-8000,-8000,3194,3904,-711
2000:Q3,-4000,-4000,4228,3328,900
2000:Q4,-4000,-4000,-4,3328,-3332
2001:Q1,0,0,1592,2512,-920
2001:Q2,0,0,1304,1596,-292
2001:Q3,0,0,2232,1148,1084
2001:Q4,0,0,0,240,-240
2002:Q1,0,0,936,2452,-1516
2002:Q2,0,0,600,1460,-860
2002:Q3,0,0,2416,1280,1136
2002:Q4,0,0,0,1128,-1128
2003:Q1,0,0,564,804,-240
2003:Q2,0,0,1604,1068,536
2003:Q3,0,0,92,832,-740
2003:Q4,0,0,-4,780,-784
2004:Q1,0,0,784,1172,-388
2004:Q2,0,0,1156,1112,44
2004:Q3,0,0,696,960,-264
2004:Q4,0,0,120,620,-500
2005:Q1,0,0,796,444,352
2005:Q2,0,0,1080,280,800
2005:Q3,0,0,916,-744,1660
2005:Q4,0,0,324,444,-120
2006:Q1,0,0,576,5356,-4780
2006:Q2,0,0,756,444,312
2006:Q3,0,0,1000,376,624
2006:Q4,0,0,-4,488,-492
2007:Q1,0,0,408,660,-252
2007:Q2,0,0,-1324,600,-1924
2007:Q3,0,0,-1404,472,-1876
2007:Q4,0,0,-404,168,-572
2008:Q1,0,0,-908,-8,-900
2008:Q2,0,0,-468,-8,-460
2008:Q3,0,0,-1188,-8,-1180
2008:Q4,0,0,-764,-4,-760
2009:Q1,0,0,-4,14348,-14352
2009:Q2,0,0,-4,664,-668
2009:Q3,12000,12000,-1000,548,-1548
2009:Q4,0,0,-400,508,-908
2010:Q1,0,0,0,216,-216
2010:Q2,0,0,-4,1840,-1844
2010:Q3,0,0,-1100,832,-1932
2010:Q4,0,0,0,516,-516
2011:Q1,0,0,0,992,-992
2011:Q2,0,0,0,652,-652
2011:Q3,0,0,0,516,-516
2011:Q4,0,0,0,464,-464
2012:Q1,0,0,0,764,-764
2012:Q2,0,0,0,512,-512
2012:Q3,0,0,0,472,-472
2012:Q4,0,0,0,464,-464
2013:Q1,0,0,0,880,-880
2013:Q2,0,0,0,704,-704
2013:Q3,0,0,-1400,748,-2148
2013:Q4,0,0,0,636,-636
2014:Q1,0,0,0,1024,-1024
2014:Q2,0,0,0,856,-856
2014:Q3,0,0,-1000,832,-1832
2014:Q4,0,0,0,520,-520
2015:Q1,0,0,0,1480,-1480
2015:Q2,0,0,0,1316,-1316
2015:Q3,0,0,-2204,1308,-3512
2015:Q4,0,0,0,960,-960
2016:Q1,0,0,0,636,-636
2016:Q2,0,0,0,1268,-1268
2016:Q3,0,0,-2200,1308,-3508
2016:Q4,0,0,0,664,-664
2017:Q1,0,0,0,980,-980
2017:Q2,0,0,0,820,-820
2017:Q3,0,0,-1000,756,-1756
2017:Q4,0,0,0,824,-824
2018:Q1,0,0,0,544,-544
2018:Q2,0,0,0,400,-400
2018:Q3,0,0,-1064,296,-1360
2018:Q4,0,0,0,284,-284
2019:Q1,0,0,0,412,-412
2019:Q2,0,0,0,260,-260
2019:Q3,0,0,-2160,256,-2416
2019:Q4,0,0,0,308,-308
2020:Q1,0,0,0,436,-436
2020:Q2,0,0,0,304,-304
2020:Q3,0,0,-160,472,-632
2020:Q4,0,0,0,324,-324
2021:Q1,0,0,0,300,-300
2021:Q2,0,0,0,224,-224
2021:Q3,0,0,-480,352,-832
2021:Q4,0,0,0,612,-612
