1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,52401,22667,0,4553,1184,19,19,0,0,197,23604,0,23604,13193,10411,0,0,0,0,0,0,0,0,0,177,0,177,51773,20056,2697,28560,1517,1270,247,0,0,0,534,26509,0,0,0,460,0,237,223,0,0,0
1952:Q1,51436,23260,0,4575,710,157,157,0,0,300,22228,0,22228,11810,10418,0,0,0,0,0,0,0,0,0,206,0,206,50727,20276,2420,27746,1289,1282,7,0,0,0,548,25909,0,0,0,285,0,242,43,0,0,0
1952:Q2,51678,23316,0,4598,581,44,44,0,0,400,22506,0,22506,12202,10304,0,0,0,0,0,0,0,0,0,233,0,233,50964,19381,2396,28800,1616,1283,333,0,0,0,554,26630,0,0,0,387,0,245,142,0,0,0
1952:Q3,53051,23311,0,4625,738,355,355,0,0,500,23215,0,23215,12889,10326,0,0,0,0,0,0,0,0,0,307,0,307,52324,20581,2530,28995,1538,1274,264,0,0,0,740,26717,0,0,0,218,0,247,-29,0,0,0
1952:Q4,53812,23157,0,4656,967,127,127,0,0,664,24034,0,24034,5738,18296,0,0,0,0,0,0,0,0,0,207,0,207,53140,19950,2753,29899,1659,1270,389,0,0,0,560,27680,0,0,0,538,0,253,285,0,0,0
1953:Q1,52794,22531,0,4670,810,690,690,0,0,600,23269,0,23269,5511,17758,0,0,0,0,0,0,0,0,0,224,0,224,52032,20148,2550,28876,1313,1306,7,0,0,0,513,27050,0,0,0,458,0,257,201,0,0,0
1953:Q2,52680,22433,0,4698,601,54,54,0,0,600,24146,0,24146,6423,17723,0,0,0,0,0,0,0,0,0,148,0,148,51927,19561,2590,29458,1391,1259,132,0,0,0,532,27535,0,0,0,318,0,260,58,0,0,0
1953:Q3,53307,22098,0,4716,685,329,329,0,0,600,24635,0,24635,7795,16840,0,0,0,0,0,0,0,0,0,244,0,244,52517,19309,2650,30067,1925,1283,642,0,0,0,517,27625,0,0,0,491,0,262,229,0,0,0
1953:Q4,53793,21987,0,4738,935,13,13,0,0,598,25317,0,25317,8413,16904,0,0,0,0,0,0,0,0,0,205,0,205,53085,20160,2512,29806,1107,761,346,0,0,0,430,28269,0,0,0,607,0,265,342,0,0,0
1954:Q1,52226,21929,0,4779,535,132,132,0,0,400,24232,0,24232,7962,16270,0,0,0,0,0,0,0,0,0,219,0,219,51431,19194,2630,29113,1541,819,722,0,0,0,495,27077,0,0,0,494,0,270,224,0,0,0
1954:Q2,52470,21891,0,4803,567,22,22,0,0,300,24737,0,24737,8916,15821,0,0,0,0,0,0,0,0,0,150,0,150,51674,19011,2660,29501,1686,811,875,0,0,0,553,27262,0,0,0,502,0,272,230,0,0,0
1954:Q3,51552,21774,0,4815,511,174,174,0,0,100,23946,0,23946,8149,15797,0,0,0,0,0,0,0,0,0,232,0,232,50755,18331,2830,29169,1565,796,769,0,0,0,512,27092,0,0,0,425,0,276,149,0,0,0
1954:Q4,52447,21676,0,4829,808,10,10,0,0,44,24888,0,24888,16049,8839,0,0,0,0,0,0,0,0,0,192,0,192,51705,18876,2469,29893,1359,796,563,0,0,0,494,28040,0,0,0,467,0,288,179,0,0,0
1955:Q1,51478,21683,0,4841,552,598,598,0,0,100,23505,0,23505,10843,12662,0,0,0,0,0,0,0,0,0,199,0,199,50684,18388,2830,28974,1680,829,851,0,0,0,386,26908,0,0,0,492,0,294,198,0,0,0
1955:Q2,51207,21616,0,4846,850,75,75,0,0,200,23423,16,23407,9106,14301,0,0,0,0,0,0,0,0,0,197,0,197,50402,18066,2681,29123,1192,812,380,0,0,0,383,27548,0,0,0,532,0,295,237,16,0,0
1955:Q3,51871,21655,0,4850,788,649,649,0,0,300,23421,19,23402,3527,19875,0,0,0,0,0,0,0,0,0,208,0,208,51046,18475,2960,29065,1303,791,512,0,0,0,384,27378,0,0,0,546,0,298,248,19,0,0
1955:Q4,53207,21629,0,4852,1585,107,107,0,0,398,24415,24,24391,7424,16967,0,0,0,0,0,0,0,0,0,221,0,221,52438,19005,2682,30046,1161,767,394,0,0,0,409,28476,0,0,0,705,0,303,402,24,0,0
1956:Q1,51844,21686,0,4859,793,706,706,0,0,300,23318,15,23303,11632,11671,0,0,0,0,0,0,0,0,0,182,0,182,50980,18582,2890,28996,1299,787,512,0,0,0,349,27348,0,0,0,512,0,310,202,15,0,0
1956:Q2,52152,21771,0,4876,1206,232,232,0,0,300,23475,18,23457,11757,11700,0,0,0,0,0,0,0,0,0,292,0,292,51272,18443,2273,30038,1290,768,522,0,0,0,306,28442,0,0,0,518,0,316,202,18,0,0
