1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,83521,11742,400,7074,2313,853,853,0,0,0,60142,87,59975,24110,35865,80,0,80,0,0,0,0,0,0,997,0,997,82659,23938,7260,49585,1685,447,1238,0,0,0,365,47535,0,0,0,1876,0,691,1185,87,0,0
1970:Q4,86124,10914,400,7149,4261,335,335,0,0,0,62199,57,62142,25965,36177,0,0,0,0,0,0,0,0,0,866,0,866,85550,24150,7047,51979,1587,431,1156,0,0,0,346,50046,0,0,0,2374,0,702,1672,57,0,0
1971:Q1,86728,10670,400,7270,2550,391,391,0,0,350,64133,88,63860,25638,38222,185,0,185,0,0,0,0,0,0,964,0,964,85870,25932,7230,50819,1341,483,858,0,0,0,404,49074,0,0,0,1889,0,717,1172,88,0,0
1971:Q2,87740,10355,400,7420,2549,446,446,0,0,650,64930,12,64918,27929,36989,0,0,0,0,0,0,0,0,0,990,0,990,86900,24550,7634,52859,1728,454,1274,0,0,0,372,50759,0,0,0,1857,0,729,1128,12,0,0
1971:Q3,89657,10078,400,7547,2527,382,382,0,0,950,66802,41,66662,29584,37078,99,0,99,0,0,0,0,0,0,971,0,971,88792,25424,8100,53601,2496,475,2021,0,0,0,373,50732,0,0,0,1667,0,734,933,41,0,0
1971:Q4,94598,10073,400,7627,4343,39,39,0,0,1504,69561,80,68996,30156,38840,485,0,485,0,0,0,0,0,0,1051,0,1051,94008,27788,7541,56470,2484,464,2020,0,0,0,465,53521,0,0,0,2209,0,742,1467,80,0,0
1972:Q1,93264,9528,400,7895,2673,1030,1030,0,0,1110,69748,19,68971,29676,39295,758,0,758,0,0,0,0,0,0,880,0,880,92400,28471,8050,53938,1330,413,917,0,0,0,275,52333,0,0,0,1941,0,761,1180,19,0,0
1972:Q2,95752,10350,400,8066,3299,130,130,0,0,690,71845,23,70756,31258,39498,1066,0,1066,0,0,0,0,0,0,972,0,972,94908,27482,6799,58386,2695,351,2344,0,0,0,298,55393,0,0,0,2241,0,772,1469,23,0,0
1972:Q3,94655,10432,400,8200,3742,842,842,0,0,370,69708,10,68677,29660,39017,1021,0,1021,0,0,0,0,0,0,961,0,961,93892,26692,8840,56199,2209,347,1862,0,0,0,229,53761,0,0,0,2161,0,778,1383,10,0,0
1972:Q4,97596,10524,400,8313,3974,1981,1981,0,0,147,71189,70,69808,29664,40144,1311,0,1311,0,0,0,0,0,0,1068,0,1068,96997,25647,8648,60440,2200,345,1855,0,0,0,369,57871,0,0,0,2262,0,793,1469,70,0,0
1973:Q1,99585,10334,400,8420,2121,2028,2028,0,0,90,75247,144,73784,32761,41023,1319,0,1319,0,0,0,0,0,0,945,0,945,98650,26873,8889,60510,3778,396,3382,0,0,0,442,56290,0,0,0,2378,0,807,1571,144,0,0
1973:Q2,100738,10321,400,8531,2048,1770,1770,0,0,100,76437,66,74952,34247,40705,1419,0,1419,0,0,0,0,0,0,1131,0,1131,99778,24818,7666,64944,4408,369,4039,0,0,0,437,60099,0,0,0,2350,0,820,1530,66,0,0
1973:Q3,104923,10334,400,8614,3036,4522,4522,0,0,110,76916,57,75224,34100,41124,1635,0,1635,0,0,0,0,0,0,991,0,991,103912,30962,9671,60536,1497,372,1125,0,0,0,500,58539,0,0,0,2743,0,829,1914,57,0,0
1973:Q4,106889,11491,400,8716,3099,1258,1258,0,0,100,80463,68,78458,36897,41561,1937,0,1937,0,0,0,0,0,0,1362,0,1362,106267,27060,10688,64954,2859,317,2542,0,0,0,300,61795,0,0,0,3565,0,844,2721,68,0,0
1974:Q1,106284,11487,400,8813,2222,2033,2033,0,0,400,79906,30,77929,36400,41529,1947,0,1947,0,0,0,0,0,0,1023,0,1023,105239,28410,9709,64339,2432,338,2094,0,0,0,419,61488,0,0,0,2781,0,872,1909,30,0,0
1974:Q2,111496,11575,400,8924,2297,3210,3210,0,0,700,83216,104,80284,37274,43010,2828,0,2828,0,0,0,0,0,0,1174,0,1174,110395,30086,8355,69100,3193,274,2919,0,0,0,445,65462,0,0,0,2854,0,878,1976,104,0,0
1974:Q3,116654,11734,400,9069,3721,5192,5192,0,0,1000,84377,190,80353,34100,46253,3834,0,3834,0,0,0,0,0,0,1161,0,1161,115510,33256,10507,68697,3665,318,3347,0,0,0,704,64328,0,0,0,3050,0,886,2164,190,0,0
1974:Q4,113429,11571,400,9252,2001,299,299,0,0,1374,85339,579,80058,36765,43293,4702,0,4702,0,0,0,0,0,0,3193,0,3193,112794,25843,11640,71897,3298,185,3113,0,0,0,523,68076,0,0,0,3414,0,897,2517,579,0,0
1975:Q1,116658,11601,400,9453,2163,813,813,0,0,1400,87706,628,82034,36087,45947,5044,0,5044,0,0,0,0,0,0,3122,0,3122,115730,30437,10562,72055,3860,306,3554,0,0,0,602,67593,0,0,0,2676,0,902,1774,628,0,0
1975:Q2,117698,11617,500,9687,1791,561,561,0,0,1500,89077,282,83949,37172,46777,4846,0,4846,0,0,0,0,0,0,2965,0,2965,116624,25976,10084,77693,6137,364,5773,0,0,0,454,71102,0,0,0,2871,0,909,1962,282,0,0
1975:Q3,122841,11629,500,9934,2406,1402,1402,0,0,1600,92563,474,86474,35422,51052,5615,0,5615,0,0,0,0,0,0,2807,0,2807,121764,29363,11168,78461,7605,356,7249,0,0,0,306,70550,0,0,0,2772,0,914,1858,474,0,0
1975:Q4,124741,11655,500,10218,3688,229,229,0,0,1720,93530,741,86717,37207,49510,6072,0,6072,0,0,0,0,0,0,3201,0,3201,124145,26052,12252,82606,7768,483,7285,0,0,0,484,74354,0,0,0,3235,0,929,2306,741,0,0
1976:Q1,125857,12140,500,10403,2110,54,54,0,0,3090,94440,540,87293,36731,50562,6607,0,6607,0,0,0,0,0,0,3120,0,3120,124760,28150,11257,82323,7668,524,7144,0,0,0,396,74259,0,0,0,3030,0,945,2085,540,0,0
1976:Q2,133270,12718,500,10558,3577,314,314,0,0,4814,97741,361,90575,38729,51846,6805,0,6805,0,0,0,0,0,0,3048,0,3048,132190,27460,11981,89878,12452,480,11972,0,0,0,561,76865,0,0,0,2871,0,959,1912,361,0,0
1976:Q3,136899,12194,800,10685,2811,326,326,0,0,5733,101262,88,94445,38245,56200,6729,0,6729,0,0,0,0,0,0,3088,0,3088,135821,29716,12287,90518,12716,504,12212,0,0,0,535,77267,0,0,0,3300,0,965,2335,88,0,0
1976:Q4,134455,11743,1200,10820,2601,25,25,0,0,4826,100258,196,93268,38571,54697,6794,0,6794,0,0,0,0,0,0,2982,0,2982,133860,25158,12121,93234,10853,460,10393,0,0,0,647,81734,0,0,0,3347,0,983,2364,196,0,0
1977:Q1,132762,11668,1200,10939,2913,149,149,0,0,620,102391,29,95672,39170,56502,6690,0,6690,0,0,0,0,0,0,2882,0,2882,131714,26883,12124,89932,8240,471,7769,0,0,0,451,81241,0,0,0,2775,0,990,1785,29,0,0
1977:Q2,141523,11656,1200,11081,3604,260,260,0,0,5264,105629,43,98163,40827,57336,7423,0,7423,0,0,0,0,0,0,2829,0,2829,140479,24562,12725,100159,15623,440,15183,0,0,0,611,83925,0,0,0,3033,0,1000,2033,43,0,0
1977:Q3,142937,11638,1200,11206,1956,1292,1292,0,0,3098,109779,4,102405,44048,58357,7370,0,7370,0,0,0,0,0,0,2768,0,2768,141879,23953,11326,103220,16174,434,15740,0,0,0,565,86481,0,0,0,3380,0,1016,2364,4,0,0
1977:Q4,142976,11714,1250,11331,3810,265,265,0,0,3306,108922,0,100918,41561,59357,8004,0,8004,0,0,0,0,0,0,2378,0,2378,142370,26870,13922,98013,7506,392,7114,0,0,0,618,89889,0,0,0,3565,0,1029,2536,0,0,0
1978:Q1,140269,11763,1250,11441,2732,332,332,0,0,2721,107819,0,99890,38358,61532,7929,0,7929,0,0,0,0,0,0,2211,0,2211,139127,27900,11622,96433,5098,393,4705,0,0,0,572,90763,0,0,0,3172,0,1048,2124,0,0,0
1978:Q2,151330,11736,1250,11565,3318,1428,1428,0,0,3666,116027,0,107859,44080,63779,8168,0,8168,0,0,0,0,0,0,2340,0,2340,150197,27920,11888,106871,11951,337,11614,0,0,0,537,94383,0,0,0,3518,0,1056,2462,0,0,0
1978:Q3,156678,11662,1300,11683,3719,1365,1365,0,0,3614,120977,0,113027,47551,65476,7950,0,7950,0,0,0,0,0,0,2358,0,2358,155523,26830,12141,112911,16949,302,16647,0,0,0,445,95517,0,0,0,3641,0,1062,2579,0,0,0
1978:Q4,156132,13248,1300,11831,6516,1172,1172,0,0,1804,117374,0,109478,42158,67320,7896,0,7896,0,0,0,0,0,0,2887,0,2887,155513,31223,15470,104272,4436,240,4196,0,0,0,674,99162,0,0,0,4548,0,1078,3470,0,0,0
1979:Q1,155526,15212,1300,12158,4337,963,963,0,0,2252,116724,0,109260,41241,68019,7464,0,7464,0,0,0,0,0,0,2580,0,2580,154151,31714,12345,106382,6111,385,5726,0,0,0,552,99719,0,0,0,3710,0,1113,2597,0,0,0
1979:Q2,156511,14232,1800,12525,3924,1558,1558,0,0,5531,114193,0,106432,38370,68062,7761,0,7761,0,0,0,0,0,0,2748,0,2748,155120,30407,13272,107505,3661,371,3290,0,0,0,571,103273,0,0,0,3936,0,1126,2810,0,0,0
1979:Q3,160733,12731,1800,12825,2654,1156,1156,0,0,3014,122820,0,114596,44232,70364,8224,0,8224,0,0,0,0,0,0,3733,0,3733,159340,29089,13609,112417,6826,337,6489,0,0,0,473,105118,0,0,0,4225,0,1135,3090,0,0,0
1979:Q4,166656,13628,1800,13091,6767,1454,1454,0,0,2364,124507,0,116291,45244,71047,8216,0,8216,0,0,0,0,0,0,3045,0,3045,166005,29792,18488,112468,4569,494,4075,0,0,0,785,107114,0,0,0,5257,0,1145,4112,0,0,0
1980:Q1,163686,13478,2968,13352,3682,2502,2502,0,0,1174,123945,0,115734,43851,71883,8211,0,8211,0,0,0,0,0,0,2585,0,2585,162653,32270,15333,111163,2920,586,2334,0,0,0,572,107671,0,0,0,3887,0,1159,2728,0,0,0
1980:Q2,171326,13480,3018,13523,4167,215,215,0,0,867,132933,0,124058,49781,74277,8875,0,8875,0,0,0,0,0,0,3123,0,3123,170280,33612,16048,115561,3728,529,3199,0,0,0,814,111019,0,0,0,5059,0,1169,3890,0,0,0
1980:Q3,167958,13374,3268,13653,3192,982,982,0,0,2063,128200,0,119418,43907,75511,8782,0,8782,0,0,0,0,0,0,3226,0,3226,166913,28146,17327,117688,4568,466,4102,0,0,0,545,112575,0,0,0,3752,0,1184,2568,0,0,0
1980:Q4,173726,16206,2518,13832,4467,1809,1809,0,0,3330,128038,0,119299,43688,75611,8739,0,8739,0,0,0,0,0,0,3526,0,3526,173087,27456,19828,121471,3499,437,3062,0,0,0,543,117429,0,0,0,4332,0,1203,3129,0,0,0
1981:Q1,169085,18170,2818,14004,3261,656,656,0,0,732,126388,0,117666,42078,75588,8722,0,8722,0,0,0,0,0,0,3056,0,3056,167993,26164,17309,120674,3526,494,3032,0,0,0,528,116620,0,0,0,3846,0,1227,2619,0,0,0
1981:Q2,171143,17541,3068,14158,2506,1010,1010,0,0,0,128711,0,120017,43593,76424,8694,0,8694,0,0,0,0,0,0,4149,0,4149,170049,23626,18572,123372,3401,478,2923,0,0,0,468,119503,0,0,0,4479,0,1246,3233,0,0,0
1981:Q3,176190,16679,3318,14313,2811,2486,2486,0,0,0,132991,0,124330,46930,77400,8661,0,8661,0,0,0,0,0,0,3592,0,3592,175133,27243,19207,123780,3977,457,3520,0,0,0,501,119302,0,0,0,4903,0,1257,3646,0,0,0
1981:Q4,181901,16241,3318,14482,1762,1601,1601,0,0,3680,136863,0,127738,49359,78379,9125,0,9125,0,0,0,0,0,0,3954,0,3954,181268,25228,18645,132354,4745,444,4301,0,0,0,684,126925,0,0,0,5041,0,1278,3763,0,0,0
1982:Q1,177889,16063,3568,14637,1882,2646,2646,0,0,2167,133005,0,123992,45543,78449,9013,0,9013,0,0,0,0,0,0,3921,0,3921,177052,26357,16636,129843,3350,484,2866,0,0,0,552,125941,0,0,0,4216,0,1298,2918,0,0,0
1982:Q2,178545,15889,3818,14777,2545,1638,1638,0,0,0,136007,0,127005,47921,79084,9002,0,9002,0,0,0,0,0,0,3871,0,3871,177798,20198,20123,133300,4559,460,4099,0,0,0,731,128010,0,0,0,4177,0,1327,2850,0,0,0
1982:Q3,186578,16233,4218,14912,550,1123,1123,0,0,5616,139540,0,130591,50309,80282,8949,0,8949,0,0,0,0,0,0,4386,0,4386,185611,20318,19224,141917,11398,423,10975,0,0,0,512,130007,0,0,0,4152,0,1341,2811,0,0,0
1982:Q4,194259,16882,4618,15043,2735,717,717,0,0,5773,144544,0,135607,54425,81182,8937,0,8937,0,0,0,0,0,0,3947,0,3947,193628,26489,19556,142505,5462,429,5033,0,0,0,435,136608,0,0,0,5078,0,1359,3719,0,0,0
1983:Q1,188815,16088,4618,15213,486,2808,2808,0,0,0,145566,0,136651,55469,81182,8915,0,8915,0,0,0,0,0,0,4036,0,4036,187867,23419,18310,142079,4070,498,3572,0,0,0,587,137422,0,0,0,4059,0,1393,2666,0,0,0
1983:Q2,194943,15417,4618,15392,1020,3610,3610,0,0,1580,149401,0,140511,58213,82298,8890,0,8890,0,0,0,0,0,0,3905,0,3905,194026,18004,20476,151251,9297,533,8764,0,0,0,379,141575,0,0,0,4295,0,1421,2874,0,0,0
1983:Q3,206823,14811,4618,15568,-60,1625,1625,0,0,10925,154908,0,146171,62898,83273,8737,0,8737,0,0,0,0,0,0,4428,0,4428,205695,20697,17434,162901,17025,468,16557,0,0,0,487,145389,0,0,0,4663,0,1446,3217,0,0,0
1983:Q4,203665,14761,4618,15732,1563,918,918,0,0,2010,159203,0,150558,54425,96133,8645,0,8645,0,0,0,0,0,0,4860,0,4860,202968,21446,21023,155497,4124,463,3661,0,0,0,461,150912,0,0,0,5002,0,1465,3537,0,0,0
1984:Q1,201531,15087,4618,15889,787,896,896,0,0,0,159372,0,150814,66366,84448,8558,0,8558,0,0,0,0,0,0,4882,0,4882,200314,22167,17358,156075,4187,503,3684,0,0,0,509,151379,0,0,0,4714,0,1499,3215,0,0,0
1984:Q2,206609,14783,4618,16113,-655,4760,4760,0,0,0,161360,0,152859,66928,85931,8501,0,8501,0,0,0,0,0,0,5630,0,5630,205486,20252,18098,162304,4920,523,4397,0,0,0,412,156972,0,0,0,4832,0,1541,3291,0,0,0
1984:Q3,214321,14572,4618,16237,289,6633,6633,0,0,0,163511,0,155018,68487,86531,8493,0,8493,0,0,0,0,0,0,8461,0,8461,213227,23612,18374,166331,8979,465,8514,0,0,0,386,156966,0,0,0,4910,0,1597,3313,0,0,0
1984:Q4,218245,14627,4618,16418,855,3577,3577,0,0,2015,167612,0,159223,71035,88188,8389,0,8389,0,0,0,0,0,0,8523,0,8523,217414,21819,24273,165774,5829,513,5316,0,0,0,422,159523,0,0,0,5548,0,1626,3922,0,0,0
1985:Q1,216737,15024,4618,16588,298,2582,2582,0,0,0,169355,0,160983,71469,89514,8372,0,8372,0,0,0,0,0,0,8272,0,8272,215074,26997,18083,165124,3617,554,3063,0,0,0,394,161113,0,0,0,4870,0,1687,3183,0,0,0
1985:Q2,223645,15190,4618,16783,262,1338,1338,0,0,0,177413,0,169110,78301,90809,8303,0,8303,0,0,0,0,0,0,8041,0,8041,222214,27236,18882,171332,3876,588,3288,0,0,0,439,167017,0,0,0,4764,0,1721,3043,0,0,0
1985:Q3,226487,16005,4618,16924,69,2520,2520,0,0,0,177929,0,169702,79231,90471,8227,0,8227,0,0,0,0,0,0,8422,0,8422,224821,27162,21104,171676,4720,546,4174,0,0,0,724,166232,0,0,0,4879,0,1753,3126,0,0,0
1985:Q4,243163,18062,4718,17052,988,3060,3060,0,0,5223,186025,0,177798,85425,92373,8227,0,8227,0,0,0,0,0,0,8035,0,8035,242240,28631,25537,182369,9901,550,9351,0,0,0,540,171928,0,0,0,5703,0,1781,3922,0,0,0
1986:Q1,234540,18723,4718,17207,560,818,818,0,0,0,184807,0,176620,84247,92373,8187,0,8187,0,0,0,0,0,0,7707,0,7707,233256,30782,21251,176704,3897,617,3280,0,511,0,338,171958,0,0,0,4519,0,1821,2698,0,0,0
1986:Q2,241940,19230,4818,17330,283,952,952,0,0,0,191986,0,183849,91476,92373,8137,0,8137,0,0,0,0,0,0,7341,0,7341,240346,31940,22221,181624,3744,601,3143,0,450,0,370,177060,0,0,0,4561,0,1807,2754,0,0,0
1986:Q3,252585,20159,5018,17438,849,879,879,0,0,8123,192484,0,184437,92064,92373,8047,0,8047,0,0,0,0,0,0,7635,0,7635,251073,36794,22609,187072,8006,492,7514,0,663,0,382,178021,0,0,0,4598,0,1849,2749,0,0,0
1986:Q4,275083,20479,5018,17567,1261,1565,1565,0,0,16005,205454,0,197625,103775,93850,7829,0,7829,0,0,0,0,0,0,7734,0,7734,274136,48107,25652,195701,8015,427,7588,0,917,0,424,186345,0,0,0,4676,0,1874,2802,0,0,0
1987:Q1,261087,20486,5018,17735,5241,1587,1587,0,0,0,204128,0,196409,102812,93597,7719,0,7719,0,0,0,0,0,0,6892,0,6892,259474,41973,22493,190443,4094,518,3576,0,577,0,466,185306,0,0,0,4565,0,1916,2649,0,0,0
1987:Q2,272864,20178,5018,17889,1579,972,972,0,0,3054,217931,0,210248,107702,102546,7683,0,7683,0,0,0,0,0,0,6243,0,6243,271276,36102,23950,206282,14266,492,13774,0,458,0,346,191212,0,0,0,4942,0,1961,2981,0,0,0
1987:Q3,272602,18112,5018,18006,248,1941,1941,0,0,0,219564,0,211941,105785,106156,7623,0,7623,0,0,0,0,0,0,9713,0,9713,271278,39027,24422,202869,9580,460,9120,0,419,0,507,192363,0,0,0,4960,0,2009,2951,0,0,0
1987:Q4,285836,16688,5018,18177,811,3815,3815,0,0,4961,226459,0,218906,107691,111215,7553,0,7553,0,0,0,0,0,0,9907,0,9907,284747,41784,24858,212432,5759,446,5313,0,1027,0,313,205333,0,0,0,5673,0,2047,3626,0,0,0
1988:Q1,276796,17653,5018,18339,298,2311,2311,0,0,0,225049,0,217496,107256,110240,7553,0,7553,0,0,0,0,0,0,8128,0,8128,275238,38777,23110,207930,2882,479,2403,0,436,0,649,203963,0,0,0,5421,0,2095,3326,0,0,0
1988:Q2,289191,17229,5018,18501,259,2464,2464,0,0,7426,230003,0,222450,105473,116977,7553,0,7553,0,0,0,0,0,0,8291,0,8291,288012,35681,25565,220898,10194,432,9762,0,351,0,443,209910,0,0,0,5868,0,2110,3758,0,0,0
1988:Q3,296600,20524,5018,18637,1199,2154,2154,0,0,9490,231126,0,223573,106596,116977,7553,0,7553,0,0,0,0,0,0,8452,0,8452,295079,39038,22093,227590,13412,389,13023,0,358,0,392,213428,0,0,0,6358,0,2097,4261,0,0,0
1988:Q4,304881,20131,5018,18799,1286,2170,2170,0,0,6861,241215,0,233662,112782,120880,7553,0,7553,0,0,0,0,0,0,9401,0,9401,303791,39347,27561,230061,9051,395,8656,0,548,0,374,220088,0,0,0,6822,0,2113,4709,0,0,0
1989:Q1,292581,21475,5368,19036,557,2454,2454,0,0,0,235422,0,228643,108011,120632,6779,0,6779,0,0,0,0,0,0,8269,0,8269,291326,37394,22203,226332,4919,457,4462,0,246,0,415,220752,0,0,0,5397,0,2131,3266,0,0,0
1989:Q2,306775,30216,8518,19253,-203,841,841,0,0,0,238421,0,231767,109031,122736,6654,0,6654,0,0,0,0,0,0,9729,0,9729,305051,37381,22775,239477,12627,474,12153,0,156,0,288,226406,0,0,0,5418,0,2145,3273,0,0,0
1989:Q3,302034,37408,8518,19425,501,598,598,0,0,0,227606,0,221051,98487,122564,6555,0,6555,0,0,0,0,0,0,7978,0,7978,299580,32253,23122,238925,13892,440,13452,0,209,0,366,224458,0,0,0,5280,0,2198,3082,0,0,0
1989:Q4,314704,42334,8518,19627,1131,481,481,0,0,2117,233300,0,226775,104581,122194,6525,0,6525,0,0,0,0,0,0,7196,0,7196,313519,38327,28671,240285,6672,455,6217,0,1222,0,607,231784,0,0,0,6236,0,2243,3993,0,0,0
1990:Q1,307102,44451,8518,19841,376,2163,2163,0,0,1933,224423,0,217899,95504,122395,6524,0,6524,0,0,0,0,0,0,5397,0,5397,306004,36129,23251,240341,5372,540,4832,0,241,0,302,234426,0,0,0,6283,0,2313,3970,0,0,0
1990:Q2,317837,45231,8518,20066,656,586,586,0,0,0,237829,0,231383,108838,122545,6446,0,6446,0,0,0,0,0,0,4951,0,4951,316103,36336,24294,249320,6050,580,5470,0,183,0,382,242705,0,0,0,6153,0,2344,3809,0,0,0
1990:Q3,323020,45456,8518,20221,1877,505,505,0,0,0,240750,0,234373,111828,122545,6377,0,6377,0,0,0,0,0,0,5693,0,5693,320991,33834,24752,255984,8165,527,7638,0,235,0,437,247147,0,0,0,6421,0,2399,4022,0,0,0
1990:Q4,342296,43632,10018,20402,2222,190,190,0,0,18354,241432,0,235090,112520,122570,6342,0,6342,0,0,0,0,0,0,6046,0,6046,341075,38658,32590,264446,9521,561,8960,0,162,0,390,254373,0,0,0,5381,0,2423,2958,0,0,0
1991:Q1,327141,41098,10018,20574,2582,244,244,0,0,0,247307,0,240965,114245,126720,6342,0,6342,0,0,0,0,0,0,5318,0,5318,327748,24067,24707,273881,11545,623,10922,0,124,0,236,261976,0,0,0,5093,0,2501,2592,0,0,0
1991:Q2,332550,39682,10018,20749,442,1479,1479,0,0,1439,253697,0,247484,119314,128170,6213,0,6213,0,0,0,0,0,0,5044,0,5044,331671,22201,25627,278743,12435,613,11822,0,141,0,234,265933,0,0,0,5100,0,2545,2555,0,0,0
1991:Q3,338233,36938,10018,20886,232,315,315,0,0,0,264708,0,258554,128569,129985,6154,0,6154,0,0,0,0,0,0,5136,0,5136,335468,27404,28757,273892,8535,607,7928,0,213,0,392,264752,0,0,0,5415,0,2565,2850,0,0,0
1991:Q4,364603,38622,10018,21014,731,218,218,0,0,15898,272530,0,266486,132635,133851,6044,0,6044,0,0,0,0,0,0,5572,0,5572,363278,29413,33603,295097,18333,636,17697,0,1626,0,985,274153,0,0,0,5165,0,2652,2513,0,0,0
1992:Q1,347421,37050,10018,21135,512,52,52,0,0,1805,271756,0,265796,129492,136304,5960,0,5960,0,0,0,0,0,0,5093,0,5093,345652,29480,29338,281986,7557,711,6846,0,175,0,384,273870,0,0,0,4848,0,2745,2103,0,0,0
1992:Q2,355688,35477,10018,21253,-166,1359,1359,0,0,0,282593,0,276883,136849,140034,5710,0,5710,0,0,0,0,0,0,5154,0,5154,352402,22740,29693,295878,14242,612,13630,0,165,0,233,281238,0,0,0,4091,0,2832,1259,0,0,0
1992:Q3,377609,35418,10018,21338,-227,609,609,0,0,18160,285246,0,279712,133752,145960,5534,0,5534,0,0,0,0,0,0,7047,0,7047,375798,27665,30194,313607,25113,527,24586,0,216,0,554,287724,0,0,0,4332,0,2977,1355,0,0,0
1992:Q4,381738,32476,8018,21447,3253,675,675,0,0,8094,300424,0,295011,141794,153217,5413,0,5413,0,0,0,0,0,0,7351,0,7351,380098,32079,31870,311315,8000,508,7492,0,247,0,237,302831,0,0,0,4834,0,3054,1780,0,0,0
1993:Q1,382567,33289,8018,21573,337,753,753,0,0,7323,303584,0,298461,142104,156357,5123,0,5123,0,0,0,0,0,0,7690,0,7690,380592,34533,30561,310062,7267,515,6752,0,212,0,327,302256,0,0,0,5436,0,3187,2249,0,0,0
1993:Q2,408148,33286,8018,21705,221,1534,1534,0,0,16005,318175,0,313143,151796,161347,5032,0,5032,0,0,0,0,0,0,9204,0,9204,406412,27724,32210,341203,28818,432,28386,0,183,0,294,311908,0,0,0,5275,0,3288,1987,0,0,0
1993:Q3,408930,34230,8018,21866,947,2918,2918,0,0,8442,324161,0,319357,151982,167375,4804,0,4804,0,0,0,0,0,0,8348,0,8348,406457,29934,31735,338171,17673,384,17289,0,200,0,508,319790,0,0,0,6617,0,3331,3286,0,0,0
1993:Q4,423836,33291,8018,22095,909,94,94,0,0,13212,336653,0,332015,160368,171647,4638,0,4638,0,0,0,0,0,0,9564,0,9564,421924,34951,32671,348467,15186,377,14809,0,285,0,396,332600,0,0,0,5835,0,3401,2434,0,0,0
1994:Q1,421002,34250,8018,22318,444,463,463,0,0,5450,341487,0,337260,162947,174313,4227,0,4227,0,0,0,0,0,0,8572,0,8572,418016,35733,31439,344814,6551,370,6181,0,210,0,460,337593,0,0,0,6030,0,3445,2585,0,0,0
1994:Q2,436542,33361,8018,22528,866,701,701,0,0,10639,351564,0,347644,168576,179068,3920,0,3920,0,0,0,0,0,0,8865,0,8865,433392,33358,34426,358228,9709,353,9356,0,177,0,615,347727,0,0,0,7380,0,3523,3857,0,0,0
1994:Q3,433704,34153,8018,22779,188,504,504,0,0,2510,356816,0,353010,169785,183225,3806,0,3806,0,0,0,0,0,0,8736,0,8736,430681,30054,31155,362183,7211,363,6848,0,215,0,347,354410,0,0,0,7289,0,3608,3681,0,0,0
1994:Q4,452082,32984,8018,22994,-716,223,223,0,0,10590,368156,0,364519,177378,187141,3637,0,3637,0,0,0,0,0,0,9833,0,9833,449975,30789,38129,374238,7496,335,7161,0,772,0,256,365714,0,0,0,6819,0,3683,3136,0,0,0
1995:Q1,450064,36242,8018,23226,57,84,84,0,0,6698,367115,0,363707,177187,186520,3408,0,3408,0,0,0,0,0,0,8624,0,8624,445565,30009,31291,375906,4904,361,4543,0,290,0,380,370332,0,0,0,8359,0,3786,4573,0,0,0
1995:Q2,468884,34918,8018,23490,292,217,217,0,0,16785,375737,0,372641,181965,190676,3096,0,3096,0,0,0,0,0,0,9427,0,9427,465799,24946,33596,398487,21296,319,20977,0,131,0,182,376878,0,0,0,8770,0,3815,4955,0,0,0
1995:Q3,453413,32608,10168,23760,73,421,421,0,0,6520,370564,0,367669,177093,190576,2895,0,2895,0,0,0,0,0,0,9299,0,9299,450486,23432,33072,385573,8942,322,8620,0,218,0,219,376194,0,0,0,8409,0,3915,4494,0,0,0
1995:Q4,471896,32053,10168,24003,107,135,135,0,0,13862,380831,0,378197,183116,195081,2634,0,2634,0,0,0,0,0,0,10737,0,10737,469576,29611,40562,391153,6249,270,5979,0,818,0,404,383682,0,0,0,8250,0,3966,4284,0,0,0
1996:Q1,459741,30943,10168,24269,28,43,43,0,0,4896,379582,0,377056,183202,193854,2526,0,2526,0,0,0,0,0,0,9812,0,9812,456997,24740,34386,389673,7335,314,7021,0,234,0,210,381894,0,0,0,8198,0,4037,4161,0,0,0
1996:Q2,469234,30509,10168,24520,-190,636,636,0,0,7086,386302,0,383914,187370,196544,2388,0,2388,0,0,0,0,0,0,10203,0,10203,466167,24594,35677,397507,7981,280,7701,0,223,0,191,389112,0,0,0,8389,0,4138,4251,0,0,0
1996:Q3,471922,30440,9718,24744,640,1654,1654,0,0,8352,386219,0,383910,183650,200260,2309,0,2309,0,0,0,0,0,0,10155,0,10155,468959,20997,38227,400670,7986,286,7700,0,269,0,270,392145,0,0,0,9065,0,4535,4530,0,0,0
