1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,80393,7005,73388,12062,24067,37259,91436,54879,4,12062,24190,18623,7005,29552,11039,-123,18636,-11043
2003:Q4,81992,7281,74711,12638,22535,39538,93035,54972,4,12638,22660,19670,7281,30782,11039,-125,19868,-11043
2004:Q1,81401,7254,74147,12691,21642,39814,92446,54360,4,12691,21765,19900,7254,30832,11041,-123,19914,-11045
2004:Q2,78792,7184,71608,12659,20076,38873,89837,52282,5,12659,20189,19429,7184,30371,11040,-113,19444,-11045
2004:Q3,78732,7197,71535,12782,19443,39310,89775,52002,4,12782,19569,19647,7197,30576,11039,-126,19663,-11043
2004:Q4,83142,7609,75533,13582,19479,42472,94187,54298,4,13582,19608,21104,7609,32280,11041,-129,21368,-11045
2005:Q1,75303,7402,67901,11564,15276,41061,86344,47496,4,11564,15406,20522,7402,31446,11037,-130,20539,-11041
2005:Q2,72690,7137,65553,11243,15274,39036,83731,46157,4,11243,15400,19510,7137,30437,11037,-126,19526,-11041
2005:Q3,67334,7102,60232,8245,13245,38742,78375,41025,4,8245,13414,19362,7102,30248,11037,-169,19380,-11041
2005:Q4,60871,7003,53868,8210,8036,37622,71914,35057,4,8210,8149,18694,7003,29854,11039,-113,18928,-11043
2006:Q1,61131,7059,54072,8344,7376,38352,72174,34898,4,8344,7503,19047,7059,30217,11039,-127,19305,-11043
2006:Q2,63870,7248,56622,8618,7906,40098,74911,36558,4,8618,8032,19904,7248,31105,11037,-126,20194,-11041
2006:Q3,62151,7234,54917,8655,6619,39643,73192,35088,4,8655,6747,19682,7234,30870,11037,-128,19961,-11041
2006:Q4,61957,7371,54586,8870,5040,40676,72998,34239,4,8870,5171,20194,7371,31388,11037,-131,20482,-11041
2007:Q1,62632,7399,55233,8948,4846,41439,73673,34491,4,8948,4968,20571,7399,31783,11037,-122,20868,-11041
2007:Q2,62190,7426,54764,9018,4573,41173,73231,34129,4,9018,4692,20415,7426,31676,11037,-119,20758,-11041
2007:Q3,65340,7627,57713,9301,4463,43949,76381,35716,4,9301,4606,21805,7627,33038,11037,-143,22144,-11041
2007:Q4,66928,7742,59186,9476,4244,45466,77969,36379,4,9476,4375,22524,7742,33848,11037,-131,22942,-11041
2008:Q1,72441,8057,64384,9892,4302,50190,83482,39232,4,9892,4431,24905,8057,36193,11037,-129,25285,-11041
2008:Q2,72324,8004,64320,9849,5237,49234,83365,39560,4,9849,5367,24340,8004,35801,11037,-130,24894,-11041
2008:Q3,68119,7630,60489,9418,4750,46321,79160,37076,4,9418,4832,22822,7630,34454,11037,-82,23499,-11041
2008:Q4,73840,7547,66293,9340,7683,49270,84881,40556,4,9340,7816,23396,7547,36778,11037,-133,25874,-11041
2009:Q1,70973,7325,63648,9082,8201,46365,82014,40167,4,9082,8331,22750,7325,34522,11037,-130,23615,-11041
2009:Q2,77750,7605,70145,9437,12114,48594,88791,45699,4,9437,12248,24010,7605,35487,11037,-134,24584,-11041
2009:Q3,178933,55953,122980,57945,13471,51564,189974,97060,4,57945,13513,25598,55953,36961,11037,-42,25966,-11041
2009:Q4,174788,55364,119424,57814,11385,50225,185829,94289,4,57814,11518,24953,55364,36176,11037,-133,25272,-11041
2010:Q1,169863,53618,116245,55996,11598,48651,180904,91928,4,55996,11731,24197,53618,35358,11037,-133,24454,-11041
2010:Q2,165472,52228,113244,54551,11365,47328,176513,89592,4,54551,11498,23539,52228,34693,11037,-133,23789,-11041
2010:Q3,176788,54958,121830,57410,12938,51482,187829,96025,4,57410,13071,25540,54958,36846,11037,-133,25942,-11041
2010:Q4,175523,54387,121136,56824,12492,51820,186564,95148,4,56824,12625,25695,54387,37029,11037,-133,26125,-11041
2011:Q1,183042,55993,127049,56543,19332,51174,194083,100919,4,56543,19487,24885,55993,37171,11037,-155,26289,-11041
2011:Q2,191896,56521,135375,57234,25541,52600,202937,108521,4,57234,25696,25587,56521,37895,11037,-155,27013,-11041
2011:Q3,191367,55150,136217,55875,28804,51538,202408,109893,4,55875,28947,25067,55150,37365,11037,-143,26471,-11041
2011:Q4,190901,54219,136682,54956,30080,51646,201942,110914,4,54956,30337,25617,54219,36809,11037,-257,26029,-11041
2012:Q1,192543,54707,137836,55460,31436,50940,203584,112491,4,55460,31692,25335,54707,36386,11037,-256,25605,-11041
2012:Q2,192207,53593,138614,54341,33930,50343,203248,113605,4,54341,34197,25063,53593,36050,11037,-267,25280,-11041
2012:Q3,196318,54463,141855,55232,35248,51375,207359,116305,4,55232,35495,25574,54463,36591,11037,-247,25801,-11041
2012:Q4,193211,54277,138934,55050,34161,49723,204252,114201,4,55050,34409,24738,54277,35774,11037,-248,24985,-11041
2013:Q1,188062,52945,135117,53704,34039,47374,199103,111638,4,53704,34303,23627,52945,34520,11037,-264,23747,-11041
2013:Q2,187613,53113,134500,53881,33860,46759,198654,111271,4,53881,34112,23274,53113,34270,11037,-252,23485,-11041
2013:Q3,190725,54177,136548,54966,33462,48120,201766,112631,4,54966,33706,23955,54177,34958,11037,-244,24165,-11041
2013:Q4,187744,54386,133358,55184,30750,47424,198785,109789,4,55184,30998,23603,54386,34610,11037,-248,23821,-11041
2014:Q1,187678,54585,133093,55394,29820,47879,198719,109286,4,55394,30055,23833,54585,34848,11037,-235,24046,-11041
2014:Q2,188588,54594,133994,55411,30535,48048,199629,110123,4,55411,30781,23927,54594,34912,11037,-246,24121,-11041
2014:Q3,178232,52358,125874,53148,28358,44368,189273,103748,4,53148,28507,22089,52358,33167,11037,-149,22279,-11041
2014:Q4,170049,51166,118883,51941,25164,41778,181090,97964,4,51941,25312,20707,51166,31960,11037,-148,21071,-11041
2015:Q1,156804,48718,108086,49459,19783,38844,167845,88721,4,49459,19933,19325,48718,30406,11037,-150,19519,-11041
2015:Q2,158830,49668,109162,50425,19236,39501,169871,89475,4,50425,19385,19661,49668,30728,11037,-149,19840,-11041
2015:Q3,158616,49574,109042,50332,18891,39819,169657,89177,4,50332,19024,19817,49574,30906,11037,-133,20002,-11041
2015:Q4,155350,48938,106412,49688,17609,39115,166391,86912,4,49688,17748,19472,48938,30541,11037,-139,19643,-11041
2016:Q1,158290,49753,108537,50518,16677,41342,169331,87957,4,50518,16946,20489,49753,31621,11037,-269,20853,-11041
2016:Q2,158441,49401,109040,50161,16733,42146,169482,88073,4,50161,17002,20906,49401,32008,11037,-269,21240,-11041
2016:Q3,160567,49294,111273,50054,18348,42871,171608,89952,4,50054,18618,21276,49294,32362,11037,-270,21595,-11041
2016:Q4,153609,47476,106133,48883,18385,38865,164650,86815,4,48883,18678,19250,47476,30359,11037,-293,19615,-11041
2017:Q1,155484,47918,107566,49349,18295,39922,166525,87687,4,49349,18566,19768,47918,30920,11037,-271,20154,-11041
2017:Q2,159962,49138,110824,50620,18846,41358,171003,90244,4,50620,19118,20502,49138,31621,11037,-272,20856,-11041
2017:Q3,162599,49912,112687,51443,19040,42204,173640,91767,4,51443,19311,21009,49912,31961,11037,-271,21195,-11041
2017:Q4,162403,50294,112109,51864,17633,42612,173444,90974,4,51864,17904,21202,50294,32176,11037,-271,21410,-11041
2018:Q1,166509,51344,115165,52979,17927,44259,177550,93116,4,52979,18198,21935,51344,33090,11037,-271,22324,-11041
2018:Q2,163608,49674,113934,51288,20476,42170,174649,93043,4,51288,20746,21005,49674,31932,11037,-270,21165,-11041
2018:Q3,161845,49274,112571,50918,20024,41629,172886,91943,4,50918,20291,20730,49274,31669,11037,-267,20899,-11041
2018:Q4,163730,49117,114613,50803,22016,41794,174771,93893,4,50803,22283,20803,49117,31761,11037,-267,20991,-11041
2019:Q1,163016,49027,113989,50766,22090,41133,174057,93595,4,50766,22357,20468,49027,31435,11037,-267,20665,-11041
2019:Q2,166279,49096,117183,50898,24375,41910,177320,96416,4,50898,24642,20872,49096,31808,11037,-267,21038,-11041
2019:Q3,164600,48146,116454,49976,25632,40846,175641,96226,4,49976,25898,20348,48146,31269,11037,-266,20498,-11041
2019:Q4,167140,48835,118305,50749,26153,41403,178181,97783,4,50749,26419,20611,48835,31563,11037,-266,20792,-11041
2020:Q1,164934,48199,116735,50136,25492,41107,175975,96360,4,50136,25760,20460,48199,31416,11037,-268,20647,-11041
2020:Q2,171320,48584,122736,50556,30631,41549,182361,102151,4,50556,30899,20692,48584,31626,11037,-268,20857,-11041
2020:Q3,177524,49709,127815,51733,33135,42947,188565,106536,4,51733,33405,21394,49709,32320,11037,-270,21553,-11041
2020:Q4,184564,50864,133700,52942,36370,44388,195605,111681,4,52942,36637,22098,50864,33060,11037,-267,22290,-11041
2021:Q1,177925,50050,127875,52102,33657,42116,188966,106996,4,52102,33925,20965,50050,31920,11037,-268,21151,-11041
2021:Q2,179429,50375,129054,52445,34313,42296,190470,108104,4,52445,34580,21075,50375,31991,11037,-267,21221,-11041
2021:Q3,401220,161826,239394,163874,33900,41620,412261,218698,4,163874,34175,20645,161826,31737,11037,-275,20975,-11041
2021:Q4,400951,160760,240191,163629,35832,40730,411992,219983,4,163629,36108,20242,160760,31249,11037,-276,20488,-11041
