1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1352,0,0,0,673,0,17,231,261,0,0,0,164,194,17,177,0,0,101,101,0,0,0,0,0,203,0,3,200,0,-71,-71,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,234,211,23,0,0,0,0,0,0,0,0,0,0
1952:Q1,-330,0,0,0,172,0,-14,101,-45,0,0,0,130,42,5,37,0,0,-322,-322,0,0,0,0,0,35,0,1,34,0,1,1,-145,-145,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-73,-8,0,0,0,0,0,0,0,0,0,0
1952:Q2,493,0,0,0,269,0,-16,69,73,0,0,0,143,39,5,34,0,0,64,64,0,0,0,0,0,35,0,1,34,0,32,32,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,149,134,15,0,0,0,0,0,0,0,0,0,0
1952:Q3,533,0,0,0,362,0,15,34,136,0,0,0,177,36,0,36,0,0,62,62,0,0,0,0,0,-25,0,0,-25,0,11,11,-18,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,67,60,7,0,0,0,0,0,0,0,0,0,0
1952:Q4,752,0,0,0,198,0,36,23,158,0,0,0,-19,20,4,16,0,0,149,149,0,0,0,0,0,-23,0,-1,-22,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,296,266,30,0,0,0,0,0,0,0,0,0,0
1953:Q1,261,0,0,0,156,0,22,182,-225,0,0,0,177,51,6,45,0,0,-253,-253,0,0,0,0,0,-87,0,-2,-85,0,163,163,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,245,221,25,0,0,0,0,0,0,0,0,0,0
1953:Q2,663,0,0,0,344,4,14,6,-74,0,0,0,394,53,5,48,0,0,107,107,0,0,0,0,0,39,0,2,37,0,189,189,-98,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,6,0,0,0,0,0,0,0,0,0,0
1953:Q3,693,0,0,0,572,2,18,32,3,0,0,0,517,49,5,44,0,0,83,83,0,0,0,0,0,-25,0,-1,-24,0,-65,-65,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-29,-3,0,0,0,0,0,0,0,0,0,0
1953:Q4,287,0,0,0,170,2,-51,66,-68,0,0,0,221,67,3,64,0,0,151,151,0,0,0,0,0,-137,0,-4,-133,0,77,77,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-130,-14,0,0,0,0,0,0,0,0,0,0
1954:Q1,-51,0,0,0,-22,3,-43,136,-104,0,0,0,-14,65,7,58,0,0,-322,-322,0,0,0,0,0,37,0,2,35,0,22,22,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,84,76,8,0,0,0,0,0,0,0,0,0,0
1954:Q2,-10,0,0,0,-372,3,-101,-21,-193,0,0,0,-60,65,5,60,0,0,45,45,0,0,0,0,0,71,0,3,68,0,157,157,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-29,-3,0,0,0,0,0,0,0,0,0,0
1954:Q3,201,0,0,0,-79,2,12,41,-24,0,0,0,-110,57,5,52,0,0,14,14,0,0,0,0,0,24,0,0,24,0,245,245,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,-166,-149,-17,0,0,0,0,0,0,0,0,0,0
1954:Q4,1058,0,0,0,57,2,-12,108,-14,0,0,0,-27,48,5,43,0,0,178,178,0,0,0,0,0,-92,0,-3,-89,0,382,382,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,120,108,12,0,0,0,0,0,0,0,0,0,0
1955:Q1,187,0,0,0,197,25,9,186,8,0,0,0,-31,71,10,61,0,0,-165,-165,0,0,0,0,0,70,0,3,67,0,299,299,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-222,-200,-22,0,0,0,0,0,0,0,0,0,0
1955:Q2,655,0,0,0,143,6,20,68,-9,0,0,0,58,42,5,37,0,0,315,315,0,0,0,0,0,75,0,4,71,0,62,62,-110,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,280,252,28,0,0,0,0,0,0,0,0,0,0
1955:Q3,415,0,0,0,61,2,-25,101,3,16,0,0,-36,47,5,42,0,0,258,258,0,0,0,0,0,19,0,0,19,0,100,100,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,-158,-142,-16,0,0,0,0,0,0,0,0,0,0
1955:Q4,547,0,0,0,35,4,-23,55,10,50,0,0,-61,33,10,23,0,0,142,142,0,0,0,0,0,-127,0,-4,-123,0,-25,-25,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,604,544,60,0,0,0,0,0,0,0,0,0,0
1956:Q1,217,0,0,0,-52,5,-35,-8,7,-40,0,0,19,61,5,56,0,0,-279,-279,0,0,0,0,0,54,0,3,51,0,-9,-9,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,351,316,35,0,0,0,0,0,0,0,0,0,0
1956:Q2,213,0,0,0,229,9,42,29,2,68,0,0,79,74,6,68,0,0,35,35,0,0,0,0,0,129,0,4,125,0,3,3,-137,-137,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-130,-14,0,0,0,0,0,0,0,0,0,0
1956:Q3,-143,0,0,0,23,9,-2,24,35,4,0,0,-47,45,9,36,0,0,-31,-31,0,0,0,0,0,33,0,0,33,0,-5,-5,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,-361,-325,-36,0,0,0,0,0,0,0,0,0,0
1956:Q4,949,0,0,0,405,10,-4,169,24,263,0,0,-57,74,5,69,0,0,86,86,0,0,0,0,0,-76,0,-4,-72,0,45,45,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,238,214,24,0,0,0,0,0,0,0,0,0,0
1957:Q1,328,0,0,0,-36,18,10,35,57,-150,0,0,-6,81,5,76,0,0,-267,-267,0,0,0,0,0,64,0,2,62,0,-127,-127,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,628,565,63,0,0,0,0,0,0,0,0,0,0
1957:Q2,318,0,0,0,-259,21,75,-49,2,-208,0,0,-100,95,12,83,0,0,118,118,0,0,0,0,0,115,0,3,112,0,195,195,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,86,10,0,0,0,0,0,0,0,0,0,0
1957:Q3,398,0,0,0,142,18,-49,-5,66,115,0,0,-3,96,8,88,0,0,40,40,0,0,0,0,0,43,0,0,43,0,-104,-104,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,-50,-6,0,0,0,0,0,0,0,0,0,0
