1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,775,11,764,0,775,775,0,0,0,0
1958:Q3,794,16,778,0,794,794,0,0,0,0
1958:Q4,783,22,761,0,783,783,0,0,0,0
1959:Q1,796,27,769,0,796,796,0,0,0,0
1959:Q2,802,31,771,0,802,802,0,0,0,0
1959:Q3,861,28,833,0,861,861,0,0,0,0
1959:Q4,962,23,939,0,962,962,0,0,0,0
1960:Q1,939,21,918,0,939,939,0,0,0,0
1960:Q2,877,18,859,0,877,877,0,0,0,0
1960:Q3,767,17,750,0,767,767,0,0,0,0
1960:Q4,645,20,625,0,645,645,0,0,0,0
1961:Q1,688,21,667,0,688,688,0,0,0,0
1961:Q2,793,22,771,0,793,793,0,0,0,0
1961:Q3,923,24,899,0,923,923,0,0,0,0
1961:Q4,1043,26,1017,0,1043,1043,0,0,0,0
1962:Q1,1032,29,1003,0,1032,1032,0,0,0,0
1962:Q2,988,31,957,0,988,988,0,0,0,0
1962:Q3,912,33,879,0,912,912,0,0,0,0
1962:Q4,835,32,803,0,835,835,0,0,0,0
1963:Q1,957,33,924,0,957,957,0,0,0,0
1963:Q2,1023,34,989,0,1023,1023,0,0,0,0
1963:Q3,1095,33,1062,0,1095,1095,0,0,0,0
1963:Q4,1162,31,1131,0,1162,1162,0,0,0,0
1964:Q1,1084,28,1056,0,1084,1084,0,0,0,0
1964:Q2,1087,24,1063,0,1087,1087,0,0,0,0
1964:Q3,1107,24,1083,0,1107,1107,0,0,0,0
1964:Q4,1138,28,1110,0,1138,1138,0,0,0,0
1965:Q1,1098,31,1067,0,1098,1098,0,0,0,0
1965:Q2,1233,34,1199,0,1233,1233,0,0,0,0
1965:Q3,1274,35,1239,0,1274,1274,0,0,0,0
1965:Q4,1220,34,1186,0,1220,1220,0,0,0,0
1966:Q1,1173,29,1144,0,1173,1173,0,0,0,0
1966:Q2,1141,28,1113,0,1141,1141,0,0,0,0
1966:Q3,1157,26,1131,0,1157,1157,0,0,0,0
1966:Q4,1221,24,1197,0,1221,1221,0,0,0,0
1967:Q1,1265,24,1241,0,1265,1265,0,0,0,0
1967:Q2,1237,24,1213,0,1237,1237,0,0,0,0
1967:Q3,1242,20,1222,0,1242,1242,0,0,0,0
1967:Q4,1221,12,1209,0,1221,1221,0,0,0,0
1968:Q1,1202,2,1200,0,1202,1202,0,0,0,0
1968:Q2,1184,-8,1192,0,1184,1184,0,0,0,0
1968:Q3,1189,-8,1197,0,1189,1189,0,0,0,0
1968:Q4,1213,0,1213,0,1213,1213,0,0,0,0
1969:Q1,1237,11,1226,0,1237,1237,0,0,0,0
1969:Q2,1253,20,1233,0,1253,1253,0,0,0,0
1969:Q3,1269,22,1247,0,1269,1269,0,0,0,0
1969:Q4,1279,13,1266,0,1279,1279,0,0,0,0
1970:Q1,1341,69,1272,0,1341,1341,0,0,0,0
1970:Q2,1275,12,1263,0,1275,1275,0,0,0,0
1970:Q3,1316,11,1305,0,1316,1316,0,0,0,0
1970:Q4,1408,14,1394,0,1408,1408,0,0,0,0
1971:Q1,1499,17,1482,0,1499,1499,0,0,0,0
1971:Q2,1584,18,1566,0,1584,1584,0,0,0,0
1971:Q3,1630,19,1611,0,1630,1630,0,0,0,0
1971:Q4,1638,17,1621,0,1638,1638,0,0,0,0
1972:Q1,1669,30,1639,0,1669,1669,0,0,0,0
1972:Q2,1706,39,1667,0,1706,1706,0,0,0,0
1972:Q3,1735,42,1693,0,1735,1735,0,0,0,0
1972:Q4,1764,41,1723,0,1764,1764,0,0,0,0
1973:Q1,1804,43,1761,0,1804,1804,0,0,0,0
1973:Q2,1854,47,1807,0,1854,1854,0,0,0,0
1973:Q3,1863,46,1817,0,1863,1863,0,0,0,0
1973:Q4,1826,39,1787,0,1826,1826,0,0,0,0
1974:Q1,1782,33,1749,0,1782,1782,0,0,0,0
1974:Q2,1732,27,1705,0,1732,1732,0,0,0,0
1974:Q3,1754,26,1728,0,1754,1754,0,0,0,0
1974:Q4,1851,29,1822,0,1851,1851,0,0,0,0
1975:Q1,3047,1144,1903,0,3047,3047,0,0,0,0
1975:Q2,2349,379,1970,0,2349,2349,0,0,0,0
1975:Q3,2059,39,2020,0,2059,2059,0,0,0,0
1975:Q4,2770,719,2051,0,2770,2770,0,0,0,0
1976:Q1,1988,-99,2087,0,1988,1988,0,0,0,0
1976:Q2,2460,334,2126,0,2460,2460,0,0,0,0
1976:Q3,2221,53,2168,0,2221,2221,0,0,0,0
1976:Q4,2526,311,2215,0,2526,2526,0,0,0,0
1977:Q1,2300,52,2248,0,2300,2300,0,0,0,0
1977:Q2,2432,167,2265,0,2432,2432,0,0,0,0
1977:Q3,2435,99,2336,0,2435,2435,0,0,0,0
1977:Q4,2814,353,2461,0,2814,2814,0,0,0,0
1978:Q1,2656,53,2603,0,2656,2656,0,0,0,0
1978:Q2,3068,306,2762,0,3068,3068,0,0,0,0
1978:Q3,2864,67,2797,0,2864,2864,0,0,0,0
1978:Q4,2970,264,2706,0,2970,2970,0,0,0,0
1979:Q1,2632,-18,2650,0,2632,2632,0,0,0,0
1979:Q2,2893,263,2630,0,2893,2893,0,0,0,0
1979:Q3,2596,2,2594,0,2596,2596,0,0,0,0
1979:Q4,2810,271,2539,0,2810,2810,0,0,0,0
1980:Q1,2458,-32,2490,0,2458,2458,0,0,0,0
1980:Q2,2688,244,2444,0,2688,2688,0,0,0,0
1980:Q3,2417,18,2399,0,2417,2417,0,0,0,0
1980:Q4,2685,335,2350,0,2685,2685,0,0,0,0
1981:Q1,2292,-32,2324,0,2292,2292,0,0,0,0
1981:Q2,2649,334,2315,0,2649,2649,0,0,0,0
1981:Q3,2206,-24,2230,0,2206,2206,0,0,0,0
1981:Q4,2428,360,2068,0,2428,2428,0,0,0,0
1982:Q1,1917,35,1882,0,1917,1917,0,0,0,0
1982:Q2,2034,364,1670,0,2034,2034,0,0,0,0
1982:Q3,1645,10,1635,0,1645,1645,0,0,0,0
1982:Q4,2213,437,1776,0,2213,2213,0,0,0,0
1983:Q1,1913,28,1885,0,1913,1913,0,0,0,0
1983:Q2,2368,405,1963,0,2368,2368,0,0,0,0
1983:Q3,2043,52,1991,0,2043,2043,0,0,0,0
1983:Q4,2444,473,1971,0,2444,2444,0,0,0,0
1984:Q1,1258,86,1172,0,1258,1258,0,0,0,0
1984:Q2,1520,454,1066,0,1520,1520,0,0,0,0
1984:Q3,1356,53,1303,0,1356,1356,0,0,0,0
1984:Q4,1903,491,1412,0,1903,1903,0,0,0,0
1985:Q1,2110,36,2074,0,2110,2110,0,0,0,0
1985:Q2,2843,469,2374,0,2843,2843,0,0,0,0
1985:Q3,2813,56,2757,0,2813,2813,0,0,0,0
1985:Q4,3767,547,3220,0,3767,3767,0,0,0,0
1986:Q1,3926,30,3896,0,3926,3926,0,0,0,0
1986:Q2,4591,496,4095,0,4591,4591,0,0,0,0
1986:Q3,4568,73,4495,0,4568,4568,0,0,0,0
1986:Q4,5159,443,4716,0,5159,5159,0,0,0,0
1987:Q1,6999,127,6872,0,6999,6999,0,0,0,0
1987:Q2,6381,489,5892,0,6381,6381,0,0,0,0
1987:Q3,7307,1031,6276,0,7307,7307,0,0,0,0
1987:Q4,4230,-442,4672,0,4230,4230,0,0,0,0
1988:Q1,5968,21,5947,0,5968,5968,0,0,0,0
1988:Q2,7194,520,6674,0,7194,7194,0,0,0,0
1988:Q3,6101,37,6064,0,6101,6101,0,0,0,0
1988:Q4,8480,595,7885,0,8480,8480,0,0,0,0
1989:Q1,3815,22,3793,0,3815,3815,0,0,0,0
1989:Q2,8519,527,7992,0,8519,8519,0,0,0,0
1989:Q3,5630,-8,5638,0,5630,5630,0,0,0,0
1989:Q4,11335,616,10719,0,11335,11335,0,0,0,0
1990:Q1,6383,-4,6387,0,6383,6383,0,0,0,0
1990:Q2,7527,548,6979,0,7527,7527,0,0,0,0
1990:Q3,6905,35,6870,0,6905,6905,0,0,0,0
1990:Q4,6163,609,5554,0,6163,6163,0,0,0,0
1991:Q1,6017,61,5956,0,6017,6017,0,0,0,0
1991:Q2,8524,572,7952,0,8524,8524,0,0,0,0
1991:Q3,4387,-109,4496,0,4387,4387,0,0,0,0
1991:Q4,6191,672,5519,0,6191,6191,0,0,0,0
1992:Q1,7183,-116,7299,0,7183,7183,0,0,0,0
1992:Q2,4406,613,3793,0,4406,4406,0,0,0,0
1992:Q3,9165,167,8998,0,9165,9165,0,0,0,0
1992:Q4,7792,775,7017,0,7792,7792,0,0,0,0
1993:Q1,7860,3,7857,0,7860,7860,0,0,0,0
1993:Q2,9106,640,8466,0,9106,9106,0,0,0,0
1993:Q3,9289,69,9220,0,9289,9289,0,0,0,0
1993:Q4,9542,681,8861,0,9542,9542,0,0,0,0
1994:Q1,6596,6,6590,0,6596,6596,0,0,0,0
1994:Q2,6651,679,5972,0,6651,6651,0,0,0,0
1994:Q3,16755,98,16657,0,16755,16755,0,0,0,0
1994:Q4,5785,485,5300,0,5785,5785,0,0,0,0
1995:Q1,11118,50,11068,0,11118,11118,0,0,0,0
1995:Q2,13182,431,12751,0,13182,13182,0,0,0,0
1995:Q3,7105,74,7031,0,7105,7105,0,0,0,0
1995:Q4,8653,464,8189,0,8653,8653,0,0,0,0
1996:Q1,4019,92,3927,0,4019,4019,0,0,0,0
1996:Q2,7559,608,6951,0,7559,7559,0,0,0,0
1996:Q3,13985,39,13946,0,13985,13985,0,0,0,0
1996:Q4,14423,-122,14545,0,14423,14423,0,0,0,0
1997:Q1,11792,710,11082,0,11792,11792,0,0,0,0
1997:Q2,12861,551,12310,0,12861,12861,0,0,0,0
1997:Q3,13623,-24,13647,0,13623,13623,0,0,0,0
1997:Q4,7980,500,7480,0,7980,7980,0,0,0,0
1998:Q1,6727,180,6547,0,6727,6727,0,0,0,0
1998:Q2,9685,653,9032,0,9685,9685,0,0,0,0
1998:Q3,8093,3,8090,0,8093,8093,0,0,0,0
1998:Q4,19503,456,19047,0,19503,19503,0,0,0,0
1999:Q1,10761,169,10592,0,10761,10761,0,0,0,0
1999:Q2,14481,674,13807,0,14481,14481,0,0,0,0
1999:Q3,6844,57,6787,0,6844,6844,0,0,0,0
1999:Q4,16442,501,15941,0,16442,16442,0,0,0,0
2000:Q1,13363,292,12823,248,13363,12511,0,849,0,3
2000:Q2,8846,656,7941,249,8846,7995,0,849,0,2
2000:Q3,12584,54,12282,248,12584,11733,0,849,0,2
2000:Q4,12311,438,11625,248,12311,11461,0,848,0,2
2001:Q1,28498,159,27466,873,28498,26141,0,2349,0,8
2001:Q2,28830,593,27365,872,28830,26476,0,2348,0,6
2001:Q3,6424,7,5545,872,6424,4069,0,2347,0,8
2001:Q4,23708,626,22210,872,23708,21354,0,2348,0,6
2002:Q1,25844,-68,25044,868,25844,23588,0,2248,0,8
2002:Q2,26630,1000,24761,869,26630,24373,0,2250,0,7
2002:Q3,17934,-29,17096,867,17934,15680,0,2247,0,7
2002:Q4,1743,670,205,868,1743,-512,0,2248,0,7
2003:Q1,21922,19,20689,1214,21922,18960,0,2952,0,10
2003:Q2,22355,420,20720,1215,22355,19392,0,2953,0,10
2003:Q3,23943,137,22593,1213,23943,20983,0,2950,0,10
2003:Q4,14177,550,12413,1214,14177,11216,0,2952,0,9
2004:Q1,7135,-12,5088,2059,7135,2010,0,5108,0,17
2004:Q2,18286,472,15754,2060,18286,13159,0,5110,0,17
2004:Q3,16632,54,14520,2058,16632,11509,0,5107,0,16
2004:Q4,17818,572,15187,2059,17818,12693,0,5108,0,17
2005:Q1,7681,1,5816,1864,7681,5701,0,1916,0,64
2005:Q2,5158,418,2878,1862,5158,3177,0,1915,0,66
2005:Q3,13154,70,11220,1864,13154,11174,0,1916,0,64
2005:Q4,6192,647,3682,1863,6192,4213,0,1915,0,64
2006:Q1,29244,76,27802,1366,29244,23946,0,5200,0,98
2006:Q2,10557,555,8641,1361,10557,4156,1830,5194,-719,96
2006:Q3,23423,137,21923,1363,23423,14999,2806,5197,323,98
2006:Q4,26400,734,24303,1363,26400,17493,3576,5196,39,96
2007:Q1,16139,361,13695,2083,16139,10993,3216,1843,-31,118
2007:Q2,19882,567,17231,2084,19882,16071,1382,1845,468,116
2007:Q3,14512,-16,12447,2081,14512,6090,2287,1841,4176,118
2007:Q4,20609,653,17873,2083,20609,13959,4014,1843,677,116
2008:Q1,17265,-87,14460,2892,17265,10910,1038,5295,-287,309
2008:Q2,19798,488,16418,2892,19798,14624,3014,5295,-3443,308
2008:Q3,34667,-116,31892,2891,34667,21928,6580,5293,557,309
2008:Q4,30870,693,27286,2891,30870,27439,-4183,5294,2012,308
2009:Q1,20009,-58,19695,372,20009,16275,-265,1940,1685,374
2009:Q2,4304,515,3417,372,4304,1652,681,1940,-344,375
2009:Q3,3366,35,2960,371,3366,1019,-740,1939,774,374
2009:Q4,13827,606,12849,372,13827,10485,1080,1940,-52,374
2010:Q1,1049,-95,3078,-1934,1049,1003,615,-1624,683,372
2010:Q2,3002,177,4758,-1933,3002,1227,715,-1623,2312,371
2010:Q3,13492,165,15260,-1933,13492,12869,1531,-1623,343,372
2010:Q4,698,615,2017,-1934,698,-92,1628,-1624,415,371
2011:Q1,16307,70,19369,-3132,16307,15448,1340,-731,44,206
2011:Q2,17965,432,20664,-3131,17965,17626,988,-730,-125,206
2011:Q3,33616,289,36621,-3294,33616,31810,1028,-894,1468,204
2011:Q4,23347,472,25890,-3015,23347,20807,1889,-614,1060,206
2012:Q1,3854,106,3720,28,3854,-9002,3100,3235,6134,387
2012:Q2,-9386,360,-9446,-300,-9386,-14992,1247,2907,1066,386
2012:Q3,9340,-55,9521,-126,9340,2973,1449,3080,1451,387
2012:Q4,10289,-124,10622,-209,10289,6629,1602,2998,-1326,386
2013:Q1,7828,41,8478,-691,7828,1218,1194,5211,1238,-1033
2013:Q2,11313,183,11885,-755,11313,5725,1187,5146,287,-1032
2013:Q3,14617,-124,15445,-704,14617,8112,1212,5198,1129,-1034
2013:Q4,14618,130,15188,-700,14618,5857,2190,5201,2403,-1033
2014:Q1,14068,-20,15208,-1120,14068,9211,1275,728,1183,1671
2014:Q2,16509,138,17481,-1110,16509,11297,1489,738,1313,1672
2014:Q3,17550,306,18389,-1145,17550,12777,1199,702,1201,1671
2014:Q4,21968,346,22755,-1133,21968,16480,1769,715,1333,1671
2015:Q1,21226,-521,21014,733,21226,15724,1380,4232,1050,-1160
2015:Q2,14891,231,13926,734,14891,8662,2156,4233,1000,-1160
2015:Q3,20702,-145,20115,732,20702,15217,1414,4231,1000,-1160
2015:Q4,13353,327,12293,733,13353,7620,1661,4232,1000,-1160
2016:Q1,28674,-99,22708,6065,28674,12589,1381,10950,1000,2754
2016:Q2,36672,195,30413,6064,36672,20546,1423,10948,1000,2755
2016:Q3,24830,16,18749,6065,24830,8637,1489,10950,1000,2754
2016:Q4,16038,2,9972,6064,16038,14,1322,10948,1000,2754
2017:Q1,17600,-285,12112,5773,17600,5968,1393,8552,1000,687
2017:Q2,12346,-127,6701,5772,12346,762,1347,8551,1000,686
2017:Q3,18327,162,12392,5773,18327,5959,2130,8551,1000,687
2017:Q4,18085,77,12237,5771,18085,6311,1538,8550,1000,686
2018:Q1,4081,104,11864,-7887,4081,13213,1218,-9038,1000,-2312
2018:Q2,3203,-154,11244,-7887,3203,12577,976,-9037,1000,-2313
2018:Q3,573,181,8280,-7888,573,9644,1280,-9039,1000,-2312
2018:Q4,4062,63,11887,-7888,4062,13997,417,-9039,1000,-2313
2019:Q1,5715,509,4873,333,5715,2072,1338,1253,1000,52
2019:Q2,8453,-103,8120,436,8453,3687,2056,1641,1000,69
2019:Q3,20014,408,18772,834,20014,14289,1457,3138,1000,130
2019:Q4,207,83,-62,186,207,-3343,1822,698,1000,30
2020:Q1,50415,-147,47154,3408,50415,49290,901,1233,1000,-2009
2020:Q2,3820,-10,-1126,4956,3820,2633,1317,1793,1000,-2923
2020:Q3,21588,339,17997,3252,21588,19548,1781,1176,1000,-1917
2020:Q4,24856,8,20976,3872,24856,22684,2055,1401,1000,-2284
2021:Q1,-19358,284,-18971,-671,-19358,-20324,2081,-2103,1000,-12
2021:Q2,16039,-848,15795,1092,16039,6910,4686,3423,1000,20
2021:Q3,19136,935,17385,816,19136,13246,2318,2556,1000,16
2021:Q4,13092,-94,12020,1166,13092,4171,4244,3655,1000,22
