1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4,6,315,0,0,1,131,18,75,0,15,23,183,164,19,0,0,0,341,347,230,248,-18,75,15,0,19,8,0,0,0,-6,25,ND
1952:Q1,1,1,168,0,0,1,55,14,31,0,4,6,79,85,-6,0,1,32,167,167,121,133,-12,40,10,0,-6,0,2,0,2,0,-1,ND
1952:Q2,1,1,149,0,0,1,61,5,38,0,7,11,71,80,-9,0,0,16,151,148,99,111,-12,34,14,0,-9,0,10,0,10,3,2,ND
1952:Q3,1,1,-147,0,0,-1,-82,-26,-46,0,-4,-6,-55,-63,8,0,0,-9,-147,-149,-134,-140,6,-38,14,-1,8,1,1,0,1,2,0,ND
1952:Q4,1,1,73,0,0,1,50,20,20,0,4,6,33,26,7,0,0,-11,78,69,43,47,-4,16,14,0,7,-1,-10,0,-10,9,5,ND
1953:Q1,1,2,129,0,0,-1,-40,-10,-30,0,0,0,-20,-13,-7,0,0,190,202,200,-83,-83,0,294,13,0,-7,1,-18,0,-18,2,72,ND
1953:Q2,1,2,-184,0,0,0,27,-3,8,0,9,13,27,32,-5,0,0,-238,-183,-186,58,62,-4,-277,14,0,-6,1,24,0,24,3,0,ND
1953:Q3,1,2,3,0,0,1,-9,-15,-7,0,5,8,26,9,17,0,1,-16,4,0,-13,-14,1,-16,12,0,18,0,-1,0,-1,4,0,ND
1953:Q4,1,2,72,0,0,0,58,21,19,0,7,11,40,28,12,0,0,-26,73,68,38,44,-6,20,11,0,12,-1,-12,0,-12,5,0,ND
1954:Q1,2,2,17,0,0,0,-29,-7,-12,0,-4,-6,12,11,1,0,0,34,19,16,-4,-4,0,7,14,0,1,1,-3,0,-3,3,2,ND
1954:Q2,2,2,59,0,0,0,-1,-2,17,0,-6,-10,37,35,2,0,1,22,60,57,27,31,-4,17,13,0,2,0,-2,0,-2,3,1,ND
1954:Q3,2,2,47,0,0,1,-12,-11,9,0,-4,-6,37,33,4,0,1,20,50,48,24,25,-1,11,13,1,4,1,-6,0,-6,2,2,ND
1954:Q4,2,2,152,0,0,0,82,25,41,0,6,10,102,49,53,0,0,-32,155,152,106,114,-8,41,9,0,53,0,-57,0,-57,3,2,ND
