1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q3,-258523,-469,63895,9831,-50257,144,339,0,-195,-27948,4957,-241842,-16834,32903,-16069
2007:Q4,-636750,-143,4209,1089,-237448,2754,1763,0,991,61945,-4388,-351135,-113633,115314,-1681
2008:Q1,56701,-225,-47788,-36218,144760,726,932,0,-206,-53521,-18383,91920,-24569,17164,7405
2008:Q2,-76832,-115,-88114,8393,-181466,-3339,-3006,0,-333,-16929,20175,245997,-61434,45795,15640
2008:Q3,-83466,-295,-109988,-14181,-3740,87,1062,0,-975,19761,12187,29899,-17195,33448,-16253
2008:Q4,-120157,-190,-27001,17670,-252560,-3010,-2240,0,-770,66426,-47496,224600,-98596,100559,-1963
2009:Q1,99465,-3588,-22765,25506,-5275,-82,477,0,-558,-34180,-25599,154429,11018,-15582,4564
2009:Q2,230504,-167,32357,29558,247712,-159,202,0,-360,-14981,8666,-20380,-52103,37354,14749
2009:Q3,401052,-387,46418,-2881,73202,-1302,-154,0,-1148,54606,14863,271511,-54979,71710,-16732
2009:Q4,-307754,-227,-111088,6479,-79249,846,218,0,628,114004,-25874,-101712,-110933,108555,2378
2010:Q1,-4285,-54,-51116,-5902,68828,-488,254,0,-741,-55797,-41165,25627,55782,-55884,102
2010:Q2,96187,-461,38649,-1921,2962,-938,-1258,0,320,-36302,46491,89878,-42171,26826,15345
2010:Q3,150837,-483,29856,8079,-36804,466,201,0,265,17266,21474,121058,-10075,25207,-15132
2010:Q4,-120579,-129,27521,46201,42116,512,809,0,-297,27915,8882,-182609,-90988,86380,4608
2011:Q1,-15864,-248,31726,15513,33459,-373,-482,0,109,-72600,-25675,-69661,71995,-74011,2016
2011:Q2,-58916,-163,-100700,-17635,34053,465,289,0,176,-27683,35114,24769,-7137,-6686,13823
2011:Q3,-403470,-129,28316,14978,-29242,-714,-1184,0,470,14794,23923,-448992,-6404,16624,-10220
2011:Q4,398144,-116,-88791,-25229,1288,1451,1261,0,190,37666,-19143,541569,-50550,51759,-1209
2012:Q1,397246,-191,-17605,-5802,112830,780,450,0,330,-10415,-15405,225631,107423,-115106,7684
2012:Q2,-188978,-128,-83167,-26629,6607,1032,960,0,72,-12596,20568,-158084,63418,-76603,13185
2012:Q3,127961,-118,9990,47437,-78387,-578,-670,0,92,20620,17859,105485,5653,10350,-16003
2012:Q4,73989,-116,-50091,-10859,-29186,778,-113,0,891,54765,-19701,120658,7741,-7509,-232
2013:Q1,116259,-220,12461,38136,-18720,-1163,429,0,-1591,-96761,-35808,102551,115782,-123144,7362
2013:Q2,-59540,-176,42696,-19385,4146,707,-30,0,737,-84506,875,-52160,48263,-64153,15890
2013:Q3,2352,-537,-9040,-14120,-22434,140,-353,0,493,18794,845,29521,-817,17586,-16769
2013:Q4,-332710,-159,-76313,32661,-65104,-403,423,0,-825,11585,-21311,-160125,-53541,54869,-1328
2014:Q1,-136651,-256,25241,1050,52177,874,182,0,692,-26022,-22398,-296734,129417,-138488,9070
2014:Q2,85833,-214,-67648,-16542,-53371,541,337,0,204,-47226,25534,176308,68452,-85895,17443
2014:Q3,177219,-458,60447,4066,-10023,-844,239,0,-1083,81913,34265,-38785,46639,-27810,-18828
2014:Q4,86161,-130,-110381,-19862,-70592,751,826,0,-75,38597,-418,240773,7423,-4986,-2437
2015:Q1,-107217,-370,15647,8925,52671,-26,-93,0,67,1286,-36586,-321038,172274,-179252,6979
2015:Q2,-181954,-329,-90448,-9242,-14235,-316,-404,0,88,-33988,16895,-105436,55145,-71636,16492
2015:Q3,-143995,-878,-42277,2426,-31636,-397,249,0,-646,33682,11577,-142338,25846,-4554,-21292
2015:Q4,-115258,-240,-72445,-2288,-26466,-1,-252,0,251,28595,-21616,3232,-24029,20941,3088
2016:Q1,2823,-159,47575,-798,38828,-502,-283,0,-219,-14877,-32806,-187349,152911,-156051,3141
2016:Q2,-16651,-317,-34820,-8029,-49140,43,-176,0,219,-53460,8377,115924,4772,-24742,19971
2016:Q3,-99908,-877,-16906,10899,-133312,815,557,0,258,73589,10422,-33194,-11344,22375,-11031
2016:Q4,207876,-166,-69559,547,98300,72,-286,0,358,30154,-15575,222540,-58437,64987,-6550
2017:Q1,-137932,-245,91711,5501,-73516,-721,-196,0,-525,-52755,-35189,-247198,174479,-188842,14363
2017:Q2,-83871,-205,49947,-10664,-50138,242,-8,0,250,-51324,52558,-88252,13966,-33298,19333
2017:Q3,3989,-439,-22314,-2606,-47057,-418,-400,0,-18,-9794,18417,74978,-6778,28559,-21781
2017:Q4,-604208,-206,4090,5314,-46303,805,217,0,588,20459,14240,-533993,-68613,74683,-6670
2018:Q1,-113867,-136,51472,8338,-133201,-442,612,0,-1054,-69808,-45605,-69997,145512,-159436,13924
2018:Q2,45317,-100,15158,-10825,-3817,-223,-927,0,704,-58488,7172,108305,-11865,-8003,19868
2018:Q3,281288,-340,88298,-6825,-6773,146,19,0,127,-4453,4548,188683,18004,5284,-23288
2018:Q4,-243830,-71,21017,-5505,-86766,-108,-175,0,67,50737,6465,-198009,-31590,36697,-5107
2019:Q1,-11023,-103,3016,7461,-40054,49,247,0,-198,-111496,-18559,-26190,174853,-187488,12635
2019:Q2,-347065,-65,-39080,-14286,-43792,323,20,0,303,-101918,6185,-150433,-3998,-17102,21100
2019:Q3,-74957,-604,37820,-6156,-65169,1036,678,0,358,-2918,30721,-46277,-23410,45798,-22388
2019:Q4,-577971,-77,-11007,2886,-126855,-1419,-428,0,-991,-47539,6876,-317844,-82993,89142,-6149
2020:Q1,40075,-109,188397,-15929,-40651,-335,36,0,-371,-8351,-14612,-275626,207291,-221375,14083
2020:Q2,330708,-76,-157206,20714,85168,504,57,0,447,31328,-3237,326627,26886,-42774,15888
2020:Q3,66740,-158,44608,-1076,49844,-165,6,0,-170,20839,29088,-2904,-73336,101954,-28618
2020:Q4,-208114,-81,12692,6789,-50172,-501,-786,0,285,5535,12993,-200003,4633,-8356,3723
2021:Q1,395533,-75,30785,12739,25509,9150,9318,0,-168,-43957,-46168,139306,268244,-272655,4412
2021:Q2,129612,-56,-35604,-2536,161336,-6593,-6740,0,147,-27451,42001,-79133,77649,-100856,23208
2021:Q3,67006,-208,-13933,3543,29302,-522,-667,0,145,9025,22755,-129212,146255,-124603,-21652
2021:Q4,-357726,-153,-5420,-2960,58407,-1495,-685,0,-810,-33576,13376,-412152,26246,-25793,-453
