1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,3526,-10,0,-741,-53,3100,247,337,2516,4818,-1214,-2016,-358,1156,-798
1958:Q1,3691,-20,0,-1003,118,-1691,61,310,-2062,-4806,-3174,14107,160,-477,317
1958:Q2,16134,-9,0,-427,1890,922,-50,161,811,1713,-3690,15954,-219,-539,758
1958:Q3,26262,-13,0,934,-1716,-2160,-126,36,-2070,-1342,-1738,32702,-405,635,-230
1958:Q4,17067,-8,0,-110,602,3172,-42,-62,3276,3571,-1918,11981,-223,1031,-808
1959:Q1,3710,-6,0,90,1460,-2867,-3,-139,-2725,-1520,-69,6195,427,-138,-289
1959:Q2,14053,-18,0,335,530,287,-400,-196,883,269,-154,12484,321,-475,154
1959:Q3,-11909,-25,0,658,-1253,-1384,407,-312,-1479,-1205,-49,-7257,-1394,1368,26
1959:Q4,29036,11,0,-644,236,3413,-8,-494,3915,3694,-12,21931,407,-556,149
1960:Q1,-29123,-16,0,-148,1083,-2682,-239,-443,-2000,-3026,28,-24207,-155,344,-189
1960:Q2,10221,-5,0,-6,-384,500,-293,-160,953,1123,442,8196,355,-649,294
1960:Q3,-31165,-9,0,478,-413,-1622,178,229,-2029,-1650,-201,-27540,-209,230,-21
1960:Q4,51588,-10,0,-489,-107,4220,173,603,3444,3295,590,42810,1278,-1228,-50
1961:Q1,43698,-6,0,-504,18,-1519,39,622,-2179,-2757,232,47674,559,-500,-59
1961:Q2,-2948,-12,0,-247,137,1191,-93,287,996,-986,-38,-2692,-300,-42,343
1961:Q3,10129,-109,0,505,-381,-1774,-407,-18,-1349,-1802,-587,14425,-148,232,-84
1961:Q4,20186,-6,0,63,540,3795,528,-295,3562,2988,-491,12547,750,-603,-147
1962:Q1,-2383,5,0,-1189,-189,-2925,-27,-334,-2564,-2254,1172,3158,-161,401,-240
1962:Q2,1446,-1,0,9,-52,1360,104,-139,1395,188,762,-970,150,-431,281
1962:Q3,-2433,40,0,869,-836,-2454,-530,35,-1959,-1016,151,1981,-1168,1204,-37
1962:Q4,7314,-6,0,-1146,184,4774,802,175,3797,3165,-974,168,1150,-1202,52
1963:Q1,1694,-2,0,-648,783,-2533,-66,194,-2661,-2797,862,5161,868,-654,-214
1963:Q2,949,1,0,271,8,1031,-313,85,1259,-727,-34,-460,859,-1256,397
1963:Q3,-1458,8,0,666,-857,-1612,377,-5,-1984,-834,-749,3338,-1417,1430,-13
1963:Q4,8547,28,0,-587,1481,4101,98,-86,4089,4494,-890,-1167,1087,-983,-104
1964:Q1,-4079,18,0,-472,175,-1574,251,406,-2231,-4094,1124,997,-253,294,-41
1964:Q2,1307,17,0,-73,-1142,299,-482,-532,1313,-117,321,1635,367,-865,498
1964:Q3,-6666,39,0,1000,-654,-2399,-313,25,-2111,-2210,-651,-95,-1696,1777,-81
1964:Q4,11843,123,0,-1398,2201,3813,389,-837,4261,5202,-373,723,1552,-1253,-300
1965:Q1,-1251,49,0,354,-883,-2652,-163,983,-3472,-2842,759,2687,1278,-966,-312
1965:Q2,692,15,0,466,-603,1487,165,86,1236,-512,540,-1522,821,-1096,275
1965:Q3,-5643,-12,0,72,-393,-2746,321,102,-3168,-2190,-396,2425,-2404,2467,-63
1965:Q4,2941,12,0,-756,277,5789,109,131,5549,4609,-101,-6371,-518,334,184
1966:Q1,-7192,17,0,-37,-424,-2477,-613,126,-1990,-4766,933,635,-1073,1739,-666
1966:Q2,-1313,59,0,1058,-490,2486,-58,87,2456,-2130,576,-2609,-263,-142,405
1966:Q3,-8499,89,0,1252,-1968,-3019,-99,46,-2966,-2797,-434,1756,-3378,3182,196
1966:Q4,9668,-8,0,-744,268,5318,757,4,4557,4979,-574,903,-474,304,170
1967:Q1,-7427,26,0,-1481,1379,-5137,-200,-500,-4437,-5355,793,3367,-1019,1002,17
1967:Q2,500,110,0,900,52,2041,-536,530,2047,-348,1302,-2595,-963,241,722
