date,FA266905095.A,FA266903001.A,FA266904195.A,FA266400101.A,FA266900095.A,FA266903011.A,FA266904095.A,FA266400201.A,FA266000095.A,FA266000095.A,FA265440005.A,FA265420095.A,FA265000905.A,FA265000905.A,FA264090005.A,FA263011005.A,FA263011205.A,FA313111303.A,FA264000005.A,FA263025003.A,FA263027003.A,FA263030005.A,FA264016005.A,FA264022005.A,FA263069103.A,FA263061105.A,FA263061705.A,FA263062003.A,FA263063005.A,FA264035005.A,FA264041005.A,FA262051005.A,FA263069500.A,FA263092303.A,FA263081005.A,FA263034003.A,FA263064105.A,FA263064203.A,FA263092101.A,FA263052005.A,FA263076005.A,FA543141905.A,FA543151905.A,FA263070005.A,FA264194005.A,FA313011303.A,FA264100005.A,FA263111503.A,FA263111403.A,FA263191005.A,FA313091105.A,FA264122005.A,FA263169105.A,FA263163005.A,FA264135005.A,FA264141005.A,FA262151003.A,FA263169005.A,FA263168005.A,FA713091103.A,FA263192305.A,FA263181105.A,FA263164100.A,FA313092803.A,FA263192101.A,FA263194735.A,FA263152005.A,FA263170005.A,FA265000005.A,FV268090185.A,FV268090085.A,FU267005005.A,FR264090005.A,FR263011005.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263063005.A,FR263092303.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092101.A,FR263070005.A,FR264194005.A,FR313011303.A,FR264100005.A,FR263111503.A,FR263111403.A,FR263191005.A,FR263191103.A,FR263163005.A,FR264135005.A,FR263169203.A,FR263192305.A,FR263181105.A,FR263164100.A,FR263192101.A,FR263152005.A,FR263170005.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL263030005.A,FL264016005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,FL263062003.A,LM263063005.A,FL264035005.A,FL264041005.A,FL262051005.A,FL263069500.A,FL263092303.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,LM263092101.A,FL263052005.A,FL263076005.A,FL543141905.A,FL543151905.A,LM263070005.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL263111503.A,FL263111403.A,LM263191005.A,FL313091105.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264135005.A,FL264141005.A,FL262151003.A,FL263169005.A,FL263168005.A,FL713091103.A,FL263192305.A,FL263181105.A,LM263164100.A,FL313092803.A,LM263192101.A,FL263194735.A,FL263152005.A,LM263170005.A,FL262090095.A
2002,1846006,1437724,290018,118264,1390564,997979,335811,56774,455441,455441,-4229,46,459625,459625,706455,0,0,0,52901,18861,-581,15967,18654,432767,18106,160869,127071,3500,123221,27724,50281,40154,10127,-22557,162583,1123,61491,-8547,108516,2039,2000,29,10,28441,300770,475,24341,574,2632,21030,105,62578,39753,22825,49768,23286,23606,-2325,2005,0,26482,145150,16954,1391,127411,-606,16439,2019,405684,-203183,-149243,53940,-842061,504,-123,72949,1992,29421,9551,31985,-8375,-907017,-273521,-17435,-616061,1,-676698,917,5589,4096,1493,0,0,19470,-27,0,-27,-701859,-255647,-446212,0,-788,-165363,91078,7547898,6661,544590,248061,25333,220344,50852,3197795,128547,1285498,637478,11500,1134772,700324,337059,211225,125834,363265,2994344,16259,1229421,90112,1658552,11497,11200,215,82,92687,7547898,5698217,12166,972698,33651,21979,914441,2627,819298,186228,633070,469235,286757,161585,43836,81336,0,182478,3241889,1373980,38851,1840110,-11052,139775,43156,1849681
2003,2006161,1557120,318909,130132,1478526,1035165,377406,65956,527635,527635,-8877,73,536439,536439,766369,0,0,0,-1727,10591,4008,5967,-22293,519564,2114,276386,12264,8000,220800,92791,136748,137595,-847,-43957,147453,2561,18307,13114,113471,2354,2300,39,15,5934,467990,-601,42834,572,-1494,43756,0,19702,196,19506,68293,74902,78283,2631,-6012,0,-6609,317666,118002,1303,154227,44134,16804,3292,298379,-385399,-147340,238059,870005,620,2087,33698,1661,-25192,6669,50560,-972,834253,448505,21230,364518,319,1199813,1073,9458,5315,2050,2093,0,41973,4823,0,4823,1141538,587440,554098,0,948,-329808,-178769,9172066,7281,459231,258652,4247,167773,28559,3672414,133122,1513524,661110,19500,1345158,942143,623807,498820,124987,318336,3976050,18820,1696233,124456,2136541,13851,13500,254,97,101096,9172066,7501154,12638,1018490,39538,22535,953790,2627,1022607,94424,928183,542351,361659,239868,46467,75324,0,180692,4701093,2079422,40154,2548435,33082,156579,47396,1670912
2004,2343365,1810504,387983,144878,1705597,1176363,464696,64538,637768,637768,-4631,27,642373,642373,1213248,0,0,0,-12812,13301,9086,22800,-57999,803959,16460,366888,154580,6500,259531,205410,201877,195624,6253,3533,209985,4054,47007,10726,148198,62,-31,67,26,6644,773543,398,150958,623,-3826,154161,0,101744,-6472,108216,157938,137900,148234,-7820,-2514,0,20038,353104,84753,1852,292058,-25559,13283,-3882,439705,-265194,-62526,202668,340716,328,1566,5859,164,-20566,1069,25192,-3203,335941,208933,13030,113978,225,748043,546,5042,2311,770,1961,0,24419,-8479,0,-8479,726295,396243,330052,0,220,-407327,-30148,10700944,7609,458779,271953,13333,202933,-29440,4449618,137746,1813553,861677,26000,1610642,1144350,825684,694444,131240,318666,4521976,22874,1952173,148212,2398717,13913,13469,321,123,104699,10700944,9060180,13582,1206790,42472,19479,1142212,2627,1153910,87952,1065958,691810,499559,388102,38647,72810,0,192251,5780492,2560418,42006,3170545,7523,169862,43734,1640764
2005,2692046,2041483,494469,156095,1940869,1301580,569269,70021,751177,751177,602,86,750489,750489,1064586,0,0,0,22472,8447,6416,20575,-12966,737176,20792,245140,139789,3000,328455,72561,72382,41081,31301,179,205734,84,83042,6132,116476,5651,5330,258,63,20992,372914,-4511,12294,617,-10200,21877,0,93443,-921,94364,-17028,-1643,-7115,-6836,12308,0,-15385,249732,186684,1138,42287,19623,36350,2634,691672,-140205,-81388,58817,-69529,-606,-3187,-140840,-425,-32186,-25790,-82439,15429,59999,82538,8958,-31497,-324,758604,-861,-11130,-5467,-1243,-4420,0,-47861,11828,0,11828,807073,570603,236470,0,-445,-828133,-217849,11629674,7003,480967,280400,19749,223224,-42406,4980153,156813,1984391,1006143,29000,1803806,1232340,898066,735525,162541,334274,4787709,22958,2117753,163302,2483696,19564,18799,579,186,121938,11629674,10206759,8210,1213754,37622,8036,1165469,2627,1208753,87031,1121722,686610,497916,380987,31811,85118,0,188694,6837297,3317705,43144,3449302,27146,206212,45923,1422915
2006,3067003,2256623,656161,154219,2247696,1470170,702621,74905,819307,819307,-7643,-73,827023,827023,1500777,0,0,0,64910,2227,9186,33981,19516,968710,54934,150334,217097,5364,540981,124091,65083,58844,6239,59008,333800,4061,119030,22390,188319,-1961,-2478,388,129,11227,937128,223,177859,734,-3331,180456,0,277243,18859,258384,41191,62580,55913,-7326,13993,0,-21389,434604,137331,1939,254052,41282,2432,3576,563649,-107036,156338,263374,569030,368,-463,-1277,1564,-17846,-48552,63557,4240,565915,321628,20771,223516,247,1484944,437,16778,2320,335,14123,0,-6265,8737,0,8737,1464871,873924,590947,90,296,-915914,-195927,13998774,7371,545875,282627,28935,257203,-22890,5985418,213311,2126178,1258233,34364,2353332,1621671,1224149,1055369,168780,397522,5687424,27019,2558411,206463,2895531,17603,16321,967,315,133412,13998774,12771786,8870,1394473,40676,5040,1346130,2627,1506604,105890,1400714,866538,690496,566900,24485,99111,0,176042,8736772,4328960,45083,4294301,68428,208734,49795,1226988
2007,3325237,2395228,754520,175489,2584377,1659295,850184,74898,740860,740860,-6851,500,747210,747210,1485228,0,0,0,-94499,-10675,5240,36659,-125723,856562,16514,165277,239483,10700,424588,220041,189294,86996,102298,30747,472584,18957,243987,12673,196967,320,-203,468,55,30220,1313762,154,294476,989,-1021,294508,0,234773,-1729,236502,146733,164072,123175,-3173,20070,24000,-17339,613871,147781,1581,422328,42181,13187,10568,171466,-576147,-403,575744,339838,371,-237,144686,1433,75707,42961,24585,25525,169156,151601,12540,5015,337,1221552,452,-740,3801,225,-4766,0,50524,25320,0,25320,1145588,771249,374339,92,316,-881714,-710651,15842089,7742,456449,271952,34175,298935,-148613,6999605,226258,2376442,1576815,45064,2775026,1867237,1413443,1142365,271078,453794,6329164,45976,2953999,231676,3097513,17923,16118,1435,370,163969,15842089,15325752,9476,1688551,45466,4244,1636214,2627,1838711,104161,1734550,1010091,826068,681075,21312,99681,24000,184023,10496231,5247990,46664,5090968,110609,222013,60679,516337
2008,3484113,2576151,710009,197953,2779880,1835281,855223,89376,704233,704233,-779,7,705005,705005,625890,0,0,0,379647,29187,34819,73445,242196,404680,-59038,711596,-231928,5896,-21846,-614731,-629962,-585300,-44662,15231,430022,23703,125412,-22310,303217,2148,454,1234,460,24124,-75609,106,-326254,1269,3473,-330996,0,-211880,-12884,-198996,124130,155180,-382823,-1401,9676,529728,-31050,305676,-38550,1306,351990,-9070,34139,-1526,701499,6752,10258,3506,-2763360,-195,-1978,-150590,-1769,166934,76165,-391920,16913,-2626245,-1149552,-76471,-1400222,-1265,-5134146,-242,14010,2535,-34,11509,0,-191812,21298,0,21298,-4975823,-2461012,-2514811,-1306,-271,2370786,3082543,13802925,7547,836145,301139,68994,372429,93583,7255474,165451,3252974,1402180,50960,2383909,1363919,877981,651565,226416,485938,4132941,69679,1929859,132895,2000508,20071,16572,2669,830,186828,13802925,10204045,9340,1362516,49270,7683,1302936,2627,1433169,91277,1341892,1259208,1084937,402252,19600,109357,553728,174271,5826084,2748428,47970,2928147,101539,254846,58882,3598880
2009,2745251,2001927,539014,204311,2362144,1582774,689256,90115,383107,383107,-6299,-2,389408,389408,283774,47598,0,47598,-199277,12632,-21812,-73290,-116807,160447,-48403,554440,-226011,7695,-127274,-107387,-109364,-65408,-43956,1977,375063,7196,192898,19209,155760,3409,1774,1497,138,3921,170495,48230,-39826,669,3357,-43852,0,236580,64811,171769,-418686,-467010,86040,496,-10090,-543456,48324,349712,63696,1567,260929,23520,-6248,733,113279,-271197,4932,276129,990846,219,3336,69286,-1390,-138419,-47633,256728,-6357,923578,534669,31276,357633,784,2273398,244,-15987,286,345,-16618,0,194744,2348,0,2348,2091274,1183171,908103,632,143,-1282552,-1164341,15049986,55364,636917,313771,47182,299188,-23224,7479935,117157,3670597,1150004,58655,2483522,1231175,749617,567157,182460,481558,5431582,76875,2657426,183380,2513901,23480,18346,4166,968,191533,15049986,12615447,57814,1322669,50225,11385,1258432,2627,1849084,156088,1692996,809822,584879,454792,20548,99267,10272,224943,8267070,3995295,49537,4097179,125059,249230,59758,2434539
2010,3153840,2389555,554336,209949,2714054,1857247,759969,96838,439787,439787,-7404,-13,447203,447203,1088861,0,0,0,-10390,28319,1178,4851,-44738,639381,-10731,740353,-66559,13081,-36763,56838,54135,74323,-20188,2703,386795,-7110,129578,56485,207842,4980,3211,1486,283,11257,831335,31,73364,510,1293,71561,0,124689,17091,107598,218820,260780,207936,1578,61463,-10197,-41960,429934,79150,1906,338293,10585,-20484,4981,257526,-224128,-34451,189677,812323,-977,2083,145516,-1997,58247,22969,66297,10279,655145,426460,22675,206010,277,1059724,-1021,-2915,1085,-186,-3814,0,46468,5754,0,5754,1011179,825801,185378,302,-43,-247401,-24326,16940031,54387,630702,342090,48360,308214,-67962,8251601,102123,4458824,1095811,71736,2523107,1298292,803752,641480,162272,494540,6473522,69765,3213464,262540,2927753,28460,21557,5652,1251,203067,16940031,14529818,56824,1370816,51820,12492,1303877,2627,2076281,173179,1903102,1023970,835233,663728,22126,149304,75,188737,9708183,4900246,51443,4620850,135644,229048,64696,2410213
2011,3510132,2695481,589937,224715,3049796,2115864,827869,106064,460336,460336,-9458,-8,469802,469802,1110708,0,0,0,356960,54996,26836,47304,227824,203585,742,355277,-41553,634,-111515,217693,166676,132819,33857,51017,314496,4594,43259,75504,191139,10647,9261,822,564,7327,609125,-1752,-197347,-450,18079,-214976,0,128213,-21984,150197,247915,230387,96395,2378,31866,99748,17528,437034,6950,1724,397744,30616,-10715,5777,501583,81887,50105,-31782,-6391,-168,-1550,226253,1617,166827,32428,25381,-15193,-215609,-54851,-10228,-150530,-124,-1335607,-116,11803,276,-491,12018,0,10511,-11990,0,-11990,-1345812,-647270,-698542,-9,6,1329216,1880904,18355176,54219,987767,397086,75196,355623,159862,8748658,102709,5004354,1078186,72370,2491039,1504892,974528,778399,196129,530364,6810263,74359,3397174,370368,2968362,39107,30818,6474,1815,210270,18355176,14064059,54956,1150773,51646,30080,1066420,2627,2258733,151195,2107538,1269877,1075602,764723,24504,186552,99823,194275,9040917,4501438,53167,4320052,166260,218324,70479,4291117
2012,3585773,2769318,594681,221774,3161836,2217700,827438,116699,423937,423937,607,-84,423414,423414,880150,0,0,0,-29862,57141,11146,38042,-136191,495917,108,589747,-73607,-594,-19737,-52123,-52173,54,-52227,50,450485,22564,136863,79639,211419,4036,1516,1546,974,11697,411494,37,-142974,391,4032,-147397,0,160843,48241,112602,9627,-7508,36006,7011,40409,-90934,17135,375823,103974,2159,321228,-51538,4861,3277,468656,56674,11432,-45242,775839,58,-15,105553,-42,-22619,-1277,129491,-30452,700456,418956,45438,236062,239,1231545,57,5805,-2314,49,8070,0,139119,27568,0,27568,1059060,716445,342615,-1,-63,-455706,24382,20025712,54277,957773,454227,86342,393657,23547,9364792,102775,5571482,1001204,71776,2617555,1422317,922355,778453,143902,499962,7961204,96923,3952993,495445,3415843,43143,32334,8020,2789,222206,20025712,15710213,55050,1005999,49723,34161,919488,2627,2566136,199436,2366700,1310351,1071373,800729,32812,228943,8889,238978,10475800,5321857,55326,4983895,114722,223184,73693,4315499
2013,3617224,2766376,616936,233913,3265157,2286981,847233,130943,352068,352068,-6954,-15,359036,359036,1124718,0,0,0,370917,37713,13047,51503,268654,553566,-850,423194,-83616,4460,210378,46412,40909,45121,-4212,5503,149127,9234,-54881,-16995,211769,-1251,3718,-4132,-837,5947,782148,22,28010,317,-3438,31132,-1,206062,66280,139782,-67694,-54925,-108552,1744,60500,-8617,-12769,607314,287433,2030,334706,-16855,-1025,9459,342570,48968,65434,16466,1816725,109,1530,-382235,-592,-215841,-11395,-154407,-263,2197485,1307266,74615,815604,99,1455747,112,-2491,-2616,27,98,0,-114700,-26265,0,-26265,1599213,863587,735626,0,-122,360978,768982,23012411,54386,1328660,491940,99389,445130,292201,9586906,101333,5792616,883776,76236,2732945,1468466,963264,823574,139690,505202,10307816,106157,5205378,553065,4443216,41892,36052,3888,1952,224285,23012411,17927930,55184,1031380,47424,30750,950580,2626,2649495,265716,2383779,1216392,1016448,692177,34556,289443,272,199944,12682327,6472877,57356,6054227,97867,222159,70993,5084481
2014,3780994,2887445,646356,247193,3404826,2377408,881582,145836,376167,376167,-6858,-21,383046,383046,1149853,0,0,0,102491,66265,16579,54207,-34560,527770,7738,314231,-8110,4327,209584,197311,131398,100443,30955,65913,300386,-854,114277,40889,146074,9096,-353,6685,2764,12799,909229,23,-121377,244,-3849,-117772,0,162840,8928,153912,114381,111638,16457,2822,91103,1256,2743,764028,431626,2058,344915,-14571,-5808,-4858,240624,-203896,-61474,142422,1003431,-3220,-1135,87944,-1088,93963,8015,-12946,-9979,930057,600913,22682,306462,-236,-411642,-3266,-9381,-5890,-1737,-1754,0,17098,57851,0,57851,-473430,-133874,-339556,0,-514,1415073,1594223,25138218,51166,1430967,558205,115968,499153,257641,10174192,107983,6157966,899645,80563,2928035,1655798,1094662,924017,170645,561136,11538259,105303,5920568,616636,4895752,50988,35699,10573,4716,236848,25138218,18459514,51941,897144,41778,25164,827576,2626,2866908,274644,2592264,1388624,1128086,708634,37378,380546,1528,260538,12972925,6770629,59414,6059586,83296,216351,65621,6678704
2015,3692237,2794850,640376,257011,3267545,2268651,860760,138135,424692,424692,-8352,2,433041,433041,680118,0,0,0,-45624,38370,-5721,-18635,-59638,406501,-2345,42688,24761,6456,334941,73236,15710,-21183,36893,57526,239015,2282,-191412,1824,426321,-3787,2862,-4640,-2009,10777,348394,9,-242111,185,-6485,-235811,0,-31298,54639,-85937,125871,143841,80839,672,62861,-531,-17970,484576,196922,2097,292455,-6898,9914,1433,331724,-91135,10182,101317,-727388,-2228,-1428,-268005,-1371,-56244,-3699,-206691,2332,-457805,-228229,-17892,-211684,-254,-855542,-2262,-3344,-2848,-1070,574,0,-102635,4367,0,4367,-751092,-211388,-539704,0,-576,128154,470060,25116652,48938,1384996,596575,110247,480171,198003,10337311,104267,6146221,916456,87019,3083348,1731366,1110372,902834,207538,620994,11319469,107585,5500927,600568,5110389,47201,38561,5933,2707,247371,25116652,17967888,49688,650270,39115,17609,590920,2626,2753369,329283,2424086,1515409,1268474,789473,37499,440505,997,246935,12706409,6756163,61511,5812337,76398,226265,66478,7148764
2016,3675916,2738359,661531,276026,3272247,2232110,893475,146662,403669,403669,-7034,16,410687,410687,753053,0,0,0,-13131,42311,17755,70806,-144003,341587,36911,-107855,79050,7230,326251,170219,64446,68714,-4268,105773,234542,-14280,-186335,60914,374243,13437,1193,11017,1227,6399,348434,684,-83402,58,1347,-84807,0,5770,-59188,64958,132770,153050,115911,-1506,34079,4566,-20280,267980,21743,1747,325723,-81233,21895,2737,404619,-81552,-75484,6068,720404,-1462,-626,-69454,-426,-43035,-1843,-24150,-47371,839561,468088,32751,338722,-244,305399,-1489,123,-308,-571,1002,0,49510,-17040,0,-17040,274558,226809,47749,0,-263,415005,744140,26642203,47476,1371643,638886,128002,550755,54000,10661134,140752,6002797,991622,94249,3431714,1854214,1174818,971548,203270,679396,12393572,93305,5782680,694233,5823354,60638,39754,16950,3934,253526,26642203,18749299,48883,560443,38865,18385,500567,2626,2801170,270095,2531075,1631139,1421524,905384,35993,474584,5563,209615,13390552,7146320,63258,6185809,-4835,248160,68952,7892904
2017,3955113,2923691,738152,293270,3582230,2383758,1032704,165768,372883,372883,-15967,-43,388893,388893,1519145,0,0,0,201913,69706,11865,16387,103955,652473,-6338,308208,22049,7057,321497,122632,130877,31328,99549,-8245,482951,89,116909,32635,333318,13534,10377,2746,411,45642,1176621,78,255200,45,-1812,256967,0,384209,91942,292267,-49871,-11067,-33097,2789,12737,6504,-38804,532151,139940,1506,392467,-1762,47412,7442,342524,-61929,-15560,46369,2269400,2818,-1146,67127,1026,-21664,-445,88210,19321,2180886,1119824,101876,959186,394,3084197,2903,-2480,3702,1060,-7242,0,135284,10402,0,10402,2937407,1831878,1105529,0,681,-814797,-487833,30463580,50294,1571037,708592,139867,564623,157955,11341939,135424,6211279,1012181,101306,3881749,2069167,1378695,1002876,375819,690472,15057409,93394,7019413,828744,7115858,74172,50131,19696,4345,299562,30463580,23058509,51864,820618,42612,17633,757747,2626,3344009,362037,2981972,1609261,1428048,872287,56373,487321,12067,181213,16860110,9118138,64764,7683805,-6597,295572,77075,7405071
2018,4269896,3129697,847949,292250,3829607,2533512,1142112,153984,440289,440289,-4599,-77,444965,444965,717083,0,0,0,165777,65331,14201,37360,48885,141936,-10210,120235,95679,-1561,-62207,-110382,-7851,-31339,23488,-102531,475462,17280,110922,28714,318546,10874,9109,-9250,11015,33416,477861,156,71193,10,4824,66359,0,145309,6309,139000,252143,161831,117265,-5766,58192,-7860,90312,-21070,171300,1328,-218629,24931,27472,2658,239222,171353,377095,205743,-1593997,-1177,-1515,-356328,1513,-61465,-7867,-288509,13400,-1248113,-500802,-58443,-688868,-264,-2858737,-1217,-3032,-828,-441,-1763,0,-98272,-39872,0,-39872,-2715981,-1389875,-1326106,-48,-315,1264740,1881057,29980548,49117,1736689,773923,154068,601858,206840,11186039,124727,6270130,1087036,99745,3604401,2306185,1704844,971537,733307,601341,14284758,110674,6629533,799015,6745536,85046,59240,10446,15360,332714,29980548,20694420,50803,890530,41794,22016,824094,2626,3406082,368346,3037736,1821532,1589879,989552,50607,545513,4207,231653,14123059,7899563,66092,6139070,18334,322996,79418,9286128
2019,4324230,3115990,893915,314325,3844418,2519727,1160330,164360,479812,479812,-6813,-57,486683,486683,549339,0,0,0,-26312,51294,7730,-2062,-83274,441354,5371,223593,55028,3973,153389,94203,118712,21255,97457,-24509,18384,14395,-205449,-53045,262483,2926,2013,281,632,18784,252489,237,24687,151,4271,20264,1,112555,84444,28111,108144,206864,113175,7035,87133,-479,-98720,-6517,-163364,1367,156685,-1205,11176,2207,296850,-140579,49254,189833,4205569,-282,-3600,508538,115,196896,13370,298157,11547,3691776,1775098,150134,1766544,-2410,3082079,-291,1129,-542,-134,1805,0,188779,-2920,0,-2920,2895195,1741815,1153380,173,14,1123490,1469594,34921426,48835,1710424,825217,161798,599843,123566,12246254,130213,6844206,1203797,103718,3964320,2483935,1895556,1064792,830764,588379,17994918,125069,8199182,896104,8774563,87972,61253,10727,15992,349088,34921426,24165704,50749,837094,41403,26153,766911,2627,3800384,452790,3347594,2049756,1919743,1225727,57642,632646,3728,130013,17011737,9478014,67459,7449135,17129,334345,81639,10755722
2020,3874820,2774597,770577,329646,3287747,2123411,992917,171420,587073,587073,-6113,186,593000,593000,1283230,0,0,0,283833,121325,34741,98454,29313,44363,-45341,-77691,-46966,4765,209596,49768,83663,10413,73250,-33895,846691,2227,637782,8391,198291,-24881,-2122,-9133,-13626,83456,797248,81,110128,77,8814,101237,0,6600,11019,-4419,73035,139115,61386,-2651,66225,14155,-66080,542876,241787,1847,330872,-31630,64884,-356,485982,-153312,-46295,107018,3630711,2029,-1187,609405,-600,302707,10751,296547,-2939,3025990,1612239,124643,1289108,-2587,1369035,2112,4596,2908,1403,285,0,148927,194,0,194,1212741,816111,396630,132,333,2261676,2701363,39843092,50864,1994751,946542,196539,698791,152879,12906066,85272,7070763,1195728,108483,4445820,2530764,1979219,1075205,904014,551545,21867599,127296,10449203,1029138,10261962,63091,59131,1594,2366,429957,39843092,26386007,52942,951651,44388,36370,868266,2627,4010098,463809,3546289,2122985,2058858,1287113,54991,698871,17883,64127,18767354,10535912,69306,8176637,-14501,399361,81616,13457085
