1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q4,3143752,600,1294744,1277084,8966,0,8694,0,145304,1703104,3143752,2871326,1168222,1703104,2871326,272426
2011:Q1,3176922,583,1284364,1266847,8870,0,8647,0,153467,1738508,3176922,2892928,1154420,1738508,2892928,283994
2011:Q2,3203545,566,1097228,1079049,9287,0,8892,104574,154377,1846800,3203545,2914296,1067496,1846800,2914296,289249
2011:Q3,3204394,549,1317276,1298331,9436,0,9509,0,124825,1761744,3204394,2932375,1170631,1761744,2932375,272019
2011:Q4,3243639,532,1392024,1372016,9548,0,10460,0,132201,1718882,3243639,2954463,1235581,1718882,2954463,289176
2012:Q1,3284151,515,1375634,1354424,10087,0,11123,0,150762,1757240,3284151,2977437,1220197,1757240,2977437,306714
2012:Q2,3304929,499,1387939,1365718,10770,0,11451,0,143914,1772577,3304929,2997785,1225208,1772577,2997785,307144
2012:Q3,3339362,482,1411986,1388862,11062,74,11988,0,152353,1774541,3339362,3019938,1245397,1774541,3019938,319424
2012:Q4,3366820,497,1448359,1424251,11411,75,12622,0,153076,1764888,3366820,3041339,1276451,1764888,3041339,325481
2013:Q1,3403584,513,1456380,1433323,10829,77,12151,0,172386,1774305,3403584,3062773,1288468,1774305,3062773,340811
2013:Q2,3431303,529,1357189,1335688,10114,75,11312,12800,178168,1882617,3431303,3083532,1200915,1882617,3083532,347771
2013:Q3,3470267,544,1244621,1223884,9649,69,11019,114505,189887,1920710,3470267,3105685,1184975,1920710,3105685,364582
2013:Q4,3524941,635,1556113,1535788,8610,72,11643,0,217002,1751191,3524941,3127881,1376690,1751191,3127881,397060
2014:Q1,3544187,726,1545509,1526353,7996,72,11088,0,222762,1775190,3544187,3139354,1364164,1775190,3139354,404833
2014:Q2,3568736,816,1551143,1531377,8250,73,11443,0,232763,1784014,3568736,3151492,1367478,1784014,3151492,417244
2014:Q3,3587964,907,1575294,1556008,7993,64,11229,0,235550,1776213,3587964,3162282,1386069,1776213,3162282,425682
2014:Q4,3612482,902,1643605,1623382,8276,63,11884,0,240154,1727821,3612482,3172811,1444990,1727821,3172811,439671
2015:Q1,3642810,896,1535764,1515173,8442,63,12086,60920,247891,1797339,3642810,3193396,1396057,1797339,3193396,449414
2015:Q2,3665737,891,1407656,1387335,8439,62,11820,127565,247362,1882263,3665737,3213392,1331129,1882263,3213392,452345
2015:Q3,3669668,886,1315480,1294970,8433,62,12015,199915,227651,1925736,3669668,3231691,1305955,1925736,3231691,437977
2015:Q4,3709285,861,1735804,1714795,8372,62,12575,0,240348,1732272,3709285,3251013,1518741,1732272,3251013,458272
2016:Q1,3729541,836,1727767,1706240,8566,62,12899,0,238051,1762887,3729541,3266608,1503721,1762887,3266608,462933
2016:Q2,3751679,812,1732372,1710138,8851,62,13321,0,240754,1777741,3751679,3281839,1504098,1777741,3281839,469840
2016:Q3,3782818,787,1755821,1732721,9262,84,13754,0,250524,1775686,3782818,3297896,1522210,1775686,3297896,484922
2016:Q4,3808387,846,1836643,1814435,8660,84,13464,0,260768,1710130,3808387,3313036,1602906,1710130,3313036,495351
2017:Q1,3844530,906,1689044,1666623,8727,85,13609,107638,277059,1769883,3844530,3330972,1561089,1769883,3330972,513558
2017:Q2,3874901,965,1585721,1562886,8870,86,13879,141428,288076,1858711,3874901,3348568,1489857,1858711,3348568,526333
2017:Q3,3909315,1025,1841515,1818346,9125,75,13969,12045,300372,1754358,3909315,3366490,1612132,1754358,3366490,542825
2017:Q4,3941456,975,1753588,1730323,9135,77,14053,151678,324207,1711008,3941456,3384161,1673153,1711008,3384161,557295
2018:Q1,3968091,924,1916847,1894302,8929,75,13541,0,322057,1728263,3968091,3407515,1679252,1728263,3407515,560576
2018:Q2,4010612,874,1927501,1905171,8896,75,13359,0,330805,1751432,4010612,3431056,1679624,1751432,3431056,579556
2018:Q3,4060652,824,1969315,1946725,9114,53,13423,0,348599,1741914,4060652,3454996,1713082,1741914,3454996,605656
2018:Q4,4035502,784,2061673,2039557,8843,49,13224,0,292063,1680982,4035502,3476778,1795796,1680982,3476778,558724
2019:Q1,4103903,745,1809897,1786516,9245,51,14085,215313,331025,1746923,4103903,3503355,1756432,1746923,3503355,600548
2019:Q2,4147115,706,1738118,1713518,9709,52,14839,216736,341350,1850205,4147115,3529854,1679649,1850205,3529854,617261
2019:Q3,4179449,666,2073172,2047455,10157,49,15511,23097,339426,1743088,4179449,3556099,1813011,1743088,3556099,623350
2019:Q4,4222698,706,2177365,2151257,10470,51,15587,0,370695,1673932,4222698,3583445,1909513,1673932,3583445,639253
2020:Q1,4171105,745,2181587,2157775,10115,42,13655,0,277938,1710835,4171105,3606148,1895313,1710835,3606148,564957
2020:Q2,4275983,784,2184976,2158652,10701,45,15578,0,342540,1747683,4275983,3633776,1886093,1747683,3633776,642207
2020:Q3,4336947,823,2232043,2204507,11034,39,16463,0,366003,1738078,4336947,3661438,1923360,1738078,3661438,675509
2020:Q4,4424311,862,2326488,2297449,11724,41,17274,0,418406,1678555,4424311,3689698,2011143,1678555,3689698,734613
2021:Q1,4479155,902,2317500,2289673,11313,43,16471,0,448881,1711872,4479155,3717609,2005737,1711872,3717609,761546
2021:Q2,4546789,941,2332363,2304265,11306,44,16748,0,487040,1726445,4546789,3744611,2018166,1726445,3744611,802178
2021:Q3,4569314,980,2141687,2113872,11225,44,16546,180557,481279,1764811,4569314,3771938,2007127,1764811,3771938,797376
2021:Q4,4634087,1019,2483672,2456023,11087,45,16517,9862,520871,1618663,4634087,3799222,2180559,1618663,3799222,834865
