1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,125053,0,13121,13121,0,0,0,0,0,111932,125053,125053,13121,111932,125053,0
1959:Q4,127557,0,13164,13164,0,0,0,0,0,114393,127557,127557,13164,114393,127557,0
1960:Q1,130075,0,13251,13251,0,0,0,0,0,116824,130075,130075,13251,116824,130075,0
1960:Q2,133034,0,13936,13936,0,0,0,0,0,119098,133034,133034,13936,119098,133034,0
1960:Q3,135643,0,14038,14038,0,0,0,0,0,121605,135643,135643,14038,121605,135643,0
1960:Q4,138259,0,14090,14090,0,0,0,0,0,124169,138259,138259,14090,124169,138259,0
1961:Q1,140830,0,14141,14141,0,0,0,0,0,126689,140830,140830,14141,126689,140830,0
1961:Q2,143924,0,14927,14927,0,0,0,0,0,128997,143924,143924,14927,128997,143924,0
1961:Q3,146683,0,14996,14996,0,0,0,0,0,131687,146683,146683,14996,131687,146683,0
1961:Q4,149440,0,15006,15006,0,0,0,0,0,134434,149440,149440,15006,134434,149440,0
1962:Q1,152211,0,15054,15054,0,0,0,0,0,137157,152211,152211,15054,137157,152211,0
1962:Q2,155537,0,15908,15908,0,0,0,0,0,139629,155537,155537,15908,139629,155537,0
1962:Q3,158445,0,15923,15923,0,0,0,0,0,142522,158445,158445,15923,142522,158445,0
1962:Q4,161427,0,15999,15999,0,0,0,0,0,145428,161427,161427,15999,145428,161427,0
1963:Q1,164353,0,16048,16048,0,0,0,0,0,148305,164353,164353,16048,148305,164353,0
1963:Q2,167880,0,17000,17000,0,0,0,0,0,150880,167880,167880,17000,150880,167880,0
1963:Q3,170961,0,17073,17073,0,0,0,0,0,153888,170961,170961,17073,153888,170961,0
1963:Q4,174119,0,17160,17160,0,0,0,0,0,156959,174119,174119,17160,156959,174119,0
1964:Q1,177258,0,17268,17268,0,0,0,0,0,159990,177258,177258,17268,159990,177258,0
1964:Q2,180953,0,18179,18179,0,0,0,0,0,162774,180953,180953,18179,162774,180953,0
1964:Q3,184261,0,18348,18348,0,0,0,0,0,165913,184261,184261,18348,165913,184261,0
