1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,135132,123,28304,1025,0,0,20323,245,18619,250,1209,7477,44,7433,0,0,56754,18200,2926,2008,4,0,0,914,159494,53624,371,0,53253,43249,23814,4080,15355,39673,15248,740,6960,280,31552,-24872,240995,2848,49775,83186,59.83596627580192,29.17726718483769
1955:Q4,141414,129,29282,1000,0,0,23017,217,21281,300,1219,8385,47,8338,0,0,58009,18720,2872,2067,6,0,0,800,171274,54926,362,0,54564,46290,25662,4433,16195,43874,18430,746,7008,295,31689,-24976,244222,2870,53428,92761,57.59731891845104,30.09141899524894
1956:Q1,137367,95,26140,1000,0,0,20868,171,18878,325,1494,7505,49,7456,0,0,59131,19286,3342,2142,8,0,0,1192,168037,55348,362,0,54986,48255,27113,4715,16428,41991,15133,769,6541,311,31719,-25489,262345,2954,48103,89314,53.85835541126782,31.07028781799119
1956:Q2,137288,141,26977,1000,0,0,17675,325,15667,350,1333,7910,50,7860,0,0,60287,19961,3337,2233,10,0,0,1094,169529,56235,289,0,55946,49747,28607,4609,16531,43720,12175,789,6863,317,32416,-25870,252704,3030,45793,89400,51.22265160383602,31.61382565062566
1956:Q3,141888,119,27277,1000,0,0,17616,371,15575,375,1295,7936,51,7885,0,0,63778,20799,3363,2330,14,0,0,1019,175280,57414,401,0,57013,50342,29331,4398,16614,45420,14259,804,7041,324,33164,-26447,246833,3098,46012,93808,49.04889374562511,31.67285497859746
1956:Q4,146445,138,28990,1000,0,0,18765,305,16718,400,1342,8701,54,8647,0,0,63809,21740,3302,2430,17,0,0,855,183501,58418,378,0,58040,52543,30747,4670,17126,47992,16754,819,6975,339,33770,-27134,268373,3148,48893,100541,48.62997973634324,32.2590002837719
1957:Q1,144586,198,26402,1000,0,0,18440,355,16166,500,1419,7609,58,7551,0,0,65016,22352,3569,2556,22,0,0,991,181583,59863,353,0,59510,53682,30873,5180,17628,46320,14218,827,6673,348,34903,-28578,254023,3182,46040,96945,47.49092492506893,32.06392174853634
1957:Q2,145290,176,27100,1000,0,0,16579,349,14227,600,1403,8152,63,8089,0,0,65154,23597,3532,2702,27,0,0,803,182391,61295,320,0,60975,55042,32125,5220,17697,46312,11957,838,6947,370,35450,-28873,273076,3228,44855,95934,46.7562023796004,32.37572082022754
1957:Q3,149147,153,27712,1000,0,0,17328,345,14773,700,1510,8064,68,7996,0,0,67098,24042,3750,2856,31,0,0,863,186756,62852,364,0,62488,54972,31811,5354,17806,47428,13511,840,7153,373,37051,-30271,245392,3236,46193,98469,46.91125609592813,31.85262291139824
1957:Q4,151006,131,29024,1000,0,0,18303,435,15589,800,1479,8742,72,8670,0,0,65436,24524,3846,3005,37,0,0,804,192867,64494,422,0,64072,56138,31971,5730,18437,49578,14621,873,7163,378,38382,-31597,245747,3355,48458,102322,47.35829372030357,31.60282668084152
1958:Q1,147590,160,25972,1550,0,0,17057,746,14394,700,1217,7512,76,7436,0,0,66550,24843,3946,3142,41,0,0,764,187049,66653,716,0,65937,55705,30808,6185,18711,45517,11495,890,6789,393,38882,-32486,261319,3423,44739,94721,47.23228397192376,30.81885619428003
1958:Q2,148855,132,27218,2100,0,0,14977,455,12340,500,1682,7958,80,7878,0,0,66706,25469,4295,3277,41,0,0,977,187021,67808,791,0,67017,55463,30687,5841,18935,46871,8991,910,6978,414,38895,-32331,278565,3498,44427,93181,47.67832848521588,30.27381797762225
1958:Q3,156078,172,28211,2000,0,0,15928,224,13175,550,1979,8051,84,7967,0,0,71453,25837,4426,3415,42,0,0,969,193146,69258,795,0,68463,55019,30474,5335,19211,50103,10322,928,7516,440,38598,-31522,310541,3569,46311,97028,47.7293360383354,29.45307496146514
1958:Q4,162536,149,30083,1900,0,0,18860,210,16092,600,1958,8907,87,8820,0,0,71840,26443,4354,3555,43,0,0,755,202401,70373,658,0,69715,57592,31650,5758,20184,53810,12026,930,7670,469,38225,-31024,324670,3574,50992,103903,49.0767744489851,29.74752672723623
1959:Q1,163203,143,27264,1800,0,0,20440,502,17280,700,1958,8118,74,8044,0,0,73501,26979,4958,3697,45,0,0,1216,202930,70959,652,0,70307,57891,31437,6248,20206,53685,11682,956,7757,484,38788,-31515,332012,3675,49647,103704,47.8737249852735,29.75328009513153
1959:Q2,169014,137,28230,1700,0,0,21635,622,18104,900,2009,8667,62,8605,0,0,75575,27750,5320,3841,48,0,0,1431,208879,71627,458,0,71169,60298,33407,6655,20235,55502,12591,987,7874,510,38889,-31525,346451,3797,51702,108613,47.60186358714601,30.71481667737356
1959:Q3,173280,145,27748,1600,0,0,24006,240,20311,1000,2455,8553,21,8532,0,0,77484,28249,5495,3986,52,0,0,1457,211122,72264,527,0,71737,60633,34014,6412,20208,55842,13275,1010,8098,520,39878,-32300,339875,3889,53499,110069,48.6047455394132,30.81517519358494
1959:Q4,177635,132,29196,1500,0,0,25357,742,21621,1200,1794,10139,21,10118,0,0,77386,28752,5173,4131,57,0,0,984,219159,73109,315,0,72794,63536,35439,7088,21009,59100,14150,1017,8247,547,39923,-32223,362157,3906,56185,116092,48.39715239850918,31.35244515723993
1960:Q1,176386,121,26528,1268,0,0,24375,740,19986,1200,2449,8340,22,8318,0,0,79948,29312,6494,4282,64,0,0,2148,219271,73643,427,0,73216,65097,35977,8149,20971,58535,12817,1035,8144,549,41112,-33517,339310,3980,52292,115905,45.11623715233647,32.11262865970711
1960:Q2,176412,140,27535,1087,0,0,22526,757,18247,1343,2179,9044,23,9021,0,0,80465,29641,5974,4437,71,0,0,1466,222026,74654,547,0,74107,66747,36856,8811,21080,59438,11903,1045,8239,572,41068,-33401,347588,4025,51288,117555,43.628905401887,32.68308370078958
1960:Q3,178665,191,27737,1346,0,0,20832,648,16446,1190,2548,8777,24,8753,0,0,83319,29976,6487,4589,76,0,0,1822,223545,75671,782,0,74889,66250,36543,8402,21305,60426,11795,1064,8339,573,42041,-34275,321285,4087,50106,117948,42.48155191651134,32.21988731730519
1960:Q4,180477,148,28243,3000,0,0,20038,788,15752,1116,2382,9647,24,9623,0,0,82311,30670,6420,4728,79,0,0,1613,229575,76985,769,0,76216,68607,37651,9131,21825,61935,12560,1067,8421,613,40785,-32977,365166,4102,51429,122046,42.13902555645135,32.66037240166359
1961:Q1,178777,189,26462,3272,0,0,19503,562,15225,936,2780,7992,26,7966,0,0,83213,31393,6753,4853,82,0,0,1818,226360,77200,623,0,76577,68327,37641,8942,21744,60270,10921,1082,8560,657,39287,-31384,410353,4162,49426,118397,41.74593358948066,32.43806027916476
1961:Q2,184738,213,27769,3863,0,0,19264,613,14636,1233,2782,8574,28,8546,0,0,85820,32079,7156,4963,84,0,0,2110,229871,79256,726,0,78530,68435,37343,9061,22031,61734,10584,1103,8759,674,39055,-30970,411555,4244,51109,119448,42.78780912470214,31.91099447748109
1961:Q3,188469,238,27903,4606,0,0,17972,245,13288,1248,3191,8619,30,8589,0,0,89372,32846,6913,5073,85,0,0,1755,233392,80254,1017,0,79237,68112,37134,8712,22266,63376,11557,1114,8979,697,38375,-30093,423621,4286,50719,121796,41.64258761722831,31.58605770090406
1961:Q4,193122,236,31673,4100,0,0,18828,1089,14096,1248,2395,9650,33,9617,0,0,88253,33387,6995,5195,88,0,0,1711,242111,81705,1094,0,80611,71282,38585,9454,23243,65676,13274,1092,9082,740,36522,-28180,437674,4194,54837,128083,42.81358398701717,32.11597175426988
1962:Q1,192913,234,28211,5395,0,0,19393,562,14217,1238,3376,8569,38,8531,0,31,89326,33854,7900,5329,91,0,0,2479,241347,82568,1131,0,81437,71195,38089,9530,23576,64315,12916,1099,9254,749,36393,-27888,427931,4231,53264,125981,42.27930252910727,31.70473526367839
1962:Q2,196112,296,29469,5554,0,0,18221,907,13061,1184,3069,9450,44,9406,0,82,90553,34525,7962,5477,95,0,0,2389,245815,84073,1092,0,82981,73147,39474,9680,23993,65041,13001,1118,9435,686,40074,-31325,326582,4299,53622,128288,41.79808657001953,31.9591517654559
1962:Q3,200534,788,30249,4903,0,0,17088,1079,11645,1308,3056,9484,50,9434,0,134,94489,35133,8266,5623,97,0,0,2546,250954,84921,1363,0,83558,73801,40045,9268,24488,67540,13996,1129,9567,716,38741,-29890,345363,4344,53162,132212,40.20953776535497,31.92768426976723
1962:Q4,205086,790,34564,5000,0,0,17583,1304,12307,1275,2697,10444,54,10390,0,168,92772,35793,7972,5749,99,0,0,2124,257379,85841,1198,0,84643,77625,42226,9836,25563,68611,14355,1171,9776,768,36266,-27258,424314,4502,58105,136226,42.6533750925842,32.58173339551013
1963:Q1,205460,828,27771,5344,0,0,21755,1092,16367,930,3366,9406,56,9350,11691,187,94615,36685,-2822,5858,99,0,0,-8779,257569,86793,1214,0,85579,77938,41735,10253,25950,68025,13596,1184,10033,803,34800,-25570,447981,4550,67576,134823,50.12206746877636,32.29626299019806
1963:Q2,210419,1065,29185,5160,0,0,21340,1008,15252,1314,3766,10135,56,10079,12026,193,96295,37577,-2557,5963,99,0,0,-8619,262384,87682,987,0,86695,79858,42769,10562,26527,69619,13743,1212,10270,834,33642,-24206,469026,4657,68969,137680,50.09376635930495,32.42076644536367
1963:Q3,214972,1000,29821,5117,0,0,21017,445,14602,1399,4571,10312,56,10256,12268,195,99420,38183,-2361,6050,99,0,0,-8510,267061,88336,1111,0,87225,80357,43000,10195,27162,71911,14713,1236,10508,864,32635,-22991,487677,4755,69418,140930,49.25706657835423,32.19219316510634
1963:Q4,220431,731,33427,5687,0,0,21492,969,15128,1608,3787,11405,60,11345,12666,203,99080,39081,-3341,6105,100,0,0,-9546,277857,89382,968,0,88414,84802,45623,10942,28236,75976,15744,1208,10745,895,31675,-21825,465779,4644,74206,149254,49.71808649699037,33.03033449899732
1964:Q1,220009,867,28846,6724,0,68,22638,1341,16148,1325,3824,10564,65,10499,13226,214,100167,39821,-3126,6189,101,0,0,-9416,275810,90039,948,0,89091,85661,45036,11799,28826,72804,15109,1224,10973,940,30087,-20054,495027,4714,72583,145695,49.81831642962858,32.88704098963422
1964:Q2,224885,978,30806,6452,0,169,22000,1058,15240,1364,4338,11105,72,11033,13568,225,101853,40774,-3045,6267,102,0,0,-9414,281254,91251,889,0,90362,88448,46688,12414,29346,74377,14675,1247,11256,978,28970,-18692,511094,4798,74198,149043,49.78292925131436,33.38410323661405
1964:Q3,230935,1243,30996,6309,0,135,21074,1729,14402,1152,3791,11260,79,11181,13866,238,107264,41684,-3134,6346,102,0,0,-9582,287370,92139,1081,0,91058,89761,47295,12296,30170,77360,15338,1258,11514,1014,28048,-17548,528953,4840,73861,153370,48.15866623338037,33.35459961636687
1964:Q4,234949,1097,32738,6671,0,309,20855,1694,14481,1000,3680,12365,84,12281,13844,253,107622,42632,-3437,6434,103,0,0,-9974,300021,93533,1125,0,92408,94392,50264,12685,31443,82924,16211,1245,11716,1049,27290,-16623,545955,4788,75767,163209,46.42342549055927,34.09532033809982
1965:Q1,237235,1033,29399,7704,0,280,21054,995,14092,1078,4889,11493,86,11407,14085,270,110418,44164,-2665,6521,104,0,0,-9290,304244,94189,847,0,93342,98084,52461,13442,32181,82781,15891,1281,12018,1081,26804,-15867,559834,4925,73825,165422,44.62827815450918,34.71619246056002
1965:Q2,242855,822,30209,8601,0,198,19512,678,12320,1059,5455,12125,86,12039,13763,289,113626,45578,-1868,6624,107,0,0,-8599,311892,95668,727,0,94941,102184,55467,14108,32609,85261,15316,1282,12181,1087,27862,-16768,539451,4927,73394,170879,42.95076832805169,35.53280972239683
1965:Q3,248759,892,29266,9212,0,336,19162,893,11829,1254,5186,12131,86,12045,14731,309,119193,46527,-3000,6738,107,0,0,-9846,319839,97560,926,0,96634,103575,56660,13777,33139,88536,16329,1313,12526,1157,25742,-14373,587928,5058,73908,176227,41.93898894126843,35.47981220435587
1965:Q4,262346,781,33053,8993,0,593,19756,1370,12548,1238,4600,13314,88,13226,15148,330,120892,53344,-3858,6859,111,0,0,-10828,335211,98057,797,0,97260,110136,61141,14894,34101,94592,18294,1329,12803,1203,25040,-13440,623812,5104,78654,189718,41.45839969274469,36.90424296610446
1966:Q1,264424,884,27944,9886,0,512,20617,2375,12958,1216,4068,12265,93,12172,15646,351,124146,54309,-2136,6990,118,0,0,-9245,339538,101043,820,0,100223,112566,62119,15760,34688,93372,18132,1354,13071,1226,25900,-14055,606267,5216,75840,190202,39.87336729963792,36.84210941932244
1966:Q2,269881,917,28747,9708,0,439,19245,2473,11330,1382,4060,12891,100,12791,15829,370,128445,55794,-2504,7132,126,0,0,-9762,348223,103651,861,0,102790,118663,66583,16261,35819,95670,15594,1375,13270,1223,28462,-16415,581050,5294,75255,194969,38.59839234164602,37.65174471825204
1966:Q3,273867,932,27617,9774,0,481,18339,1952,10774,1107,4506,12560,108,12452,15179,393,133794,56929,-2131,7281,131,0,0,-9543,356737,106689,1466,0,105223,119907,67759,15365,36783,98923,16562,1369,13287,1189,32843,-20745,523227,5264,72715,200075,36.34387905670408,37.33080595778888
1966:Q4,276704,885,32371,8603,0,895,18572,2852,11054,1027,3639,13511,114,13397,16847,425,133268,56731,-5404,7435,136,0,0,-12975,369173,109096,1622,0,107474,123828,69715,16422,37691,103800,17414,1434,13601,1249,32186,-19834,547891,5513,78598,208973,37.61155931341936,37.67714302627127
1967:Q1,275184,951,29265,9556,0,568,18078,3495,10445,793,3345,12509,115,12394,18608,469,133760,58053,-6633,7597,138,0,0,-14368,370432,113294,2677,0,110617,125358,70151,16930,38277,99739,16730,1474,13837,1353,29224,-16740,625556,5667,77495,206227,37.57753124602448,37.61044042904651
1967:Q2,276368,843,31172,8777,0,667,15334,3418,7908,686,3322,13006,113,12893,18388,523,135559,58881,-6782,7769,140,0,0,-14691,373775,117478,3242,0,114236,128539,73315,16578,38646,100977,11296,1518,13967,1380,30463,-17876,641312,5837,75704,205408,36.8553724162042,37.85725257521407
1967:Q3,283103,827,32297,9099,0,605,14993,3916,7287,684,3106,12806,111,12695,19289,581,139850,60053,-7297,7946,147,0,0,-15390,380979,122009,3264,0,118745,127532,72504,16088,38941,103648,11866,1546,14378,1451,29376,-16449,678588,5946,77691,207369,37.46501961340417,36.80974460720824
1967:Q4,294452,1055,34817,9682,0,670,16871,3952,8614,1005,3300,13793,112,13681,18911,635,141598,63037,-6617,8116,153,0,0,-14886,397015,125166,3034,0,122132,130079,76269,16575,37235,109723,13225,1567,17255,1470,31104,-15319,712221,6028,82641,218826,37.76556875380888,37.56327264747114
1968:Q1,299673,1357,33207,9375,0,1103,19243,3819,9950,1184,4290,12730,106,12624,18496,692,144408,64147,-5085,8306,161,0,0,-13552,406167,128216,3482,0,124734,134278,75965,17656,40657,108829,17667,1640,15537,1443,35325,-21231,652734,6306,83473,223599,37.33151440123495,36.99252626380606
1968:Q2,306539,1749,35000,8129,0,1067,18304,4603,8627,1333,3741,13144,104,13040,21318,759,149697,65433,-8061,8492,170,0,0,-16723,414454,131662,3400,0,128262,138539,79707,17958,40874,113445,13031,1668,16109,1566,31638,-17095,731114,6411,86326,227541,37.93868798678746,37.40362496878473
1968:Q3,313259,1832,34846,8539,0,1021,17515,5071,7879,1364,3201,12687,103,12584,22906,816,156494,67032,-10429,8692,178,0,0,-19299,426456,136491,4928,0,131563,139162,80255,17507,41400,119316,12930,1691,16866,1621,32021,-16776,728536,6505,87475,234936,37.23350429332567,37.25344645530317
1968:Q4,327490,1587,37531,9056,0,1121,19274,5099,8959,1434,3782,13896,100,13796,24109,845,160123,70780,-10832,8923,185,0,0,-19940,445991,139274,4249,0,135025,146800,86106,18296,42399,126213,14330,1702,17672,1671,33082,-17081,843150,6548,93523,249193,37.53029955515615,37.97980162368664
1969:Q1,335375,1856,36754,7692,0,2202,20976,6207,9399,1770,3600,12925,123,12802,25548,845,165141,72317,-10881,9185,194,0,0,-20261,455207,143342,4880,0,138462,149814,87278,19325,43212,126219,15517,1765,18550,1667,37457,-20574,803399,6793,95873,253218,37.8617706346509,38.02833517706221
1969:Q2,343265,1809,40552,4593,0,1946,19656,6806,7949,1601,3300,13326,160,13166,26502,816,171408,74151,-11494,9480,207,0,0,-21181,468361,146657,4914,0,141743,157072,91765,22533,42775,131262,12220,1811,19339,1674,41663,-23998,774485,6964,95874,262694,36.49652023652624,39.24928286155912
1969:Q3,351153,1618,41094,3525,0,2868,17611,7206,5786,1569,3050,13251,201,13050,27077,777,179673,75781,-12122,9789,230,0,0,-22141,481859,150245,5778,0,144467,159611,91186,25853,42572,137469,12507,1860,20167,1672,46494,-27999,743955,7157,94570,272793,34.66725711672339,39.63690561492623
1969:Q4,361659,1173,43122,3652,0,3311,17750,7628,5646,1676,2800,14263,236,14027,28569,745,182946,79799,-13671,10093,253,0,0,-24017,500409,152356,5356,0,147000,166523,95655,27575,43292,145730,12628,1979,21193,1710,49205,-29722,705075,7611,98322,286945,34.26516209117783,40.32458356921006
1970:Q1,365781,1172,40690,4348,0,3762,17562,8156,5255,1476,2675,13199,194,13005,28802,719,186944,81920,-13337,10335,28,0,0,-23701,506349,157113,7044,0,150069,181106,93524,31125,56458,143498,12846,2102,9684,1720,56161,-48197,677754,8077,97055,288037,33.695350619244,38.93708951890746
1970:Q2,370897,1220,39393,5311,0,1259,19033,8432,6065,1486,3050,13497,202,13295,24169,688,189675,84423,-7771,10546,29,0,0,-18346,518803,162692,6895,0,155797,187854,96837,33716,57300,146363,10054,2147,9693,1560,68514,-60381,541573,8253,91073,293865,30.99141489271599,39.20979861797442
1970:Q3,374551,1141,40512,5325,0,63,18488,8433,6966,1164,1925,13887,208,13679,28916,662,192568,86057,-13068,10761,30,0,0,-23859,526801,168518,7361,0,161157,187596,98636,30461,58499,148279,10159,2220,10029,1730,63789,-55490,633467,8543,95107,294895,32.25108924445145,38.31849431412443
1970:Q4,383051,798,44059,5347,0,234,19056,9389,6283,1209,2175,14876,214,14662,32658,645,191389,90606,-16617,11016,31,0,0,-27664,539623,173889,7133,0,166756,189495,101697,28035,59762,153602,9996,2286,10355,1858,60923,-52426,702189,8788,102797,300463,34.21281105817447,37.66415845239668
1971:Q1,389006,1082,39955,7544,0,1318,19163,9954,5735,1049,2425,15887,219,15668,35609,645,193247,89150,-14594,11260,32,0,0,-25887,546116,180555,8333,0,172222,189253,99687,28661,60905,151671,11698,2327,10612,2004,56986,-48378,774490,8953,105316,300050,35.09948664302284,36.96000665138231
1971:Q2,397084,1102,40676,8824,0,6,20525,9791,7130,929,2675,16379,199,16180,35451,659,196592,91419,-14549,11494,33,0,0,-26076,556453,184497,6856,20,177621,194719,102607,30091,62021,153719,10799,2359,10360,2029,59123,-50792,778343,9072,107243,304071,35.26901488916728,36.80055557850076
1971:Q3,408352,1239,40734,9265,0,1063,20548,10510,6211,902,2925,16633,220,16413,35026,677,201971,93658,-12462,11757,34,0,0,-24253,567535,188691,7434,53,181204,197114,104363,29810,62941,156998,12131,2292,10309,2097,59271,-51059,765304,8823,108552,310736,34.93386551240467,36.70420962269703
1971:Q4,424606,1234,42581,9509,0,1077,24418,11275,9057,911,3175,17553,239,17314,36422,690,203801,99578,-12257,12091,36,0,0,-24384,585310,191896,6247,86,185563,200340,106157,29248,64936,167228,13086,2307,10453,2199,57859,-49605,823753,8874,115931,321965,36.00728351230293,36.11382471207645
1972:Q1,435735,1421,40251,11740,0,2565,23843,12388,7207,823,3425,16284,237,16047,37700,701,210218,96557,-5545,12502,36,0,0,-18083,594281,196002,7538,126,188338,205318,106744,30562,68012,166069,14398,2260,10234,2350,54616,-46732,871948,8689,118221,325311,36.34094052123086,36.0918188500513
1972:Q2,444884,1626,40246,12324,0,3111,22902,13219,5200,808,3675,16804,199,16605,37135,711,215549,98126,-3650,12994,37,0,0,-16681,605108,200569,8126,293,192150,211022,110749,30838,69436,168842,12257,2309,10109,2426,55649,-47966,874936,8878,118055,330812,35.68644478002199,36.37415152877555
1972:Q3,456339,1820,43158,10941,0,2103,23241,13513,4828,975,3925,17228,271,16957,37755,721,222993,100132,-3753,13506,37,0,0,-17297,620892,203414,7761,466,195187,214340,112568,30460,71312,177323,13824,2386,9605,2537,55020,-47952,893435,9173,119739,341936,35.01797365924351,36.09513553815979
1972:Q4,492981,2172,44938,11890,0,2688,26327,14235,6881,1036,4175,18224,226,17998,39717,732,230207,120465,-4379,13977,41,0,0,-18397,649539,205352,6968,634,197750,226463,119174,33116,74173,190373,15521,2465,9365,2722,50454,-43811,1032664,9481,128464,365152,35.18095894261295,36.88112312016281
1973:Q1,509925,2722,41062,15583,0,6514,24727,13258,5947,1097,4425,17290,264,17026,41532,743,240370,104576,14806,14459,42,0,0,306,667193,206028,5871,955,199202,238367,126700,35284,76383,191868,17634,2659,10637,2695,56170,-48228,970552,10232,132883,377357,35.21412986839761,37.77160638427834
1973:Q2,527512,3005,41060,17879,0,6345,24502,13437,4759,1256,5050,18279,300,17979,42579,754,251373,107275,14461,14952,45,0,0,-536,694574,209771,6032,1490,202249,251929,131863,37122,82945,203022,15760,2895,11197,2634,63511,-54948,903639,11136,136124,393799,34.56689675840275,37.9069985796603
1973:Q3,544332,2729,42702,17271,0,9501,21890,13633,1923,1659,4675,18394,312,18082,48182,765,264071,109121,9706,15456,49,0,0,-5799,722178,213220,6335,1979,204906,265091,132131,39101,93859,211491,17565,2992,11819,2826,58182,-49189,953484,11509,143040,406623,35.17755228936569,37.12374401908827
1973:Q4,570982,3329,46315,16623,0,11262,23431,14876,2482,2035,4038,19480,324,19156,46857,775,269317,120302,13291,15970,51,0,0,-2730,760753,217721,8382,2430,206909,279716,134126,40752,104837,228428,19305,3011,12572,2697,69686,-59811,809377,11576,148592,430994,34.47661496345283,36.84096244041553
1974:Q1,583950,3729,42253,18791,0,12472,24079,16212,968,2330,4569,18532,397,18135,52182,785,281929,119192,10006,16497,52,0,0,-6543,778251,222690,9235,2841,210614,287422,137548,43064,106810,228286,22325,3383,14145,2791,70258,-58904,784167,13011,154291,440458,35.02963515524669,37.21679262511265
1974:Q2,598318,3529,42598,19179,0,10046,23788,15131,1492,2607,4558,19803,471,19332,54194,794,297374,121047,5966,17038,56,0,0,-11129,807680,229232,9967,3265,216000,300266,147980,44885,107401,238995,21308,3489,14390,2718,79617,-67945,723296,13415,154128,463135,33.27928645818984,38.30647538860859
1974:Q3,616478,3129,45449,19045,0,8630,26587,16933,1981,3080,4593,20335,617,19718,44800,804,305285,125217,17197,17588,60,0,0,-451,833923,236357,12569,3596,220192,302541,151507,46427,104607,248794,25444,3814,16973,2459,98259,-83745,540407,14671,148444,484741,30.62338509786222,39.0617114568642
1974:Q4,615317,4946,47772,20464,0,5485,26740,16520,2613,2953,4654,21022,746,20276,53476,816,245519,128224,60853,18143,65,0,0,42645,764624,243170,12513,4078,226579,309896,156066,50091,103738,165205,24516,3981,17856,2670,92791,-77605,557581,15314,159699,408392,39.10437926601447,39.53789037109033
1975:Q1,740002,2170,52231,19761,0,1453,22971,6255,6488,3999,6229,28173,9247,18926,62821,832,262584,132008,154998,18694,67,500,0,135736,1033896,254526,14009,4508,236009,302346,147759,50686,103900,153059,22901,4005,297059,3035,81676,212348,684902,15404,162239,388414,41.76956019507278,38.15140497029722
1975:Q2,758834,1739,54311,21958,0,794,25659,6685,8123,3555,7296,29100,9397,19703,69226,851,269070,135936,150190,19255,71,1000,0,129864,1048466,261258,11658,5319,244281,301535,145314,51207,105015,153416,18582,4164,309511,3436,66956,239119,791599,16014,174538,380176,45.90975592518907,36.99019942711787
1975:Q3,762414,1760,53584,24292,0,813,25362,7267,9192,3484,5419,29630,9547,20083,58781,871,285011,137066,145244,19829,75,1500,0,123840,1073241,265658,11780,5920,247958,299219,141120,51417,106682,163619,20917,4161,319667,3431,72385,243851,701690,16002,165463,388852,42.55161255868281,36.17009268109147
