1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,14674,527,14147,14674,5272,0,615,217,1927,0,3286,59,2968,330
1962:Q3,14944,543,14401,14944,5321,0,633,229,1978,0,3346,61,3010,366
1962:Q4,15193,574,14619,15193,5390,0,625,235,2022,0,3400,64,3052,405
1963:Q1,15561,586,14975,15561,5449,0,649,236,2127,0,3464,67,3125,444
1963:Q2,16151,622,15529,16151,5684,0,649,232,2241,0,3592,70,3198,485
1963:Q3,16573,655,15918,16573,5851,0,661,227,2302,0,3713,71,3253,495
1963:Q4,16822,667,16155,16822,5922,0,668,222,2327,0,3792,73,3309,509
1964:Q1,17334,711,16623,17334,6062,0,694,222,2412,0,3921,78,3413,532
1964:Q2,18068,749,17319,18068,6331,0,712,223,2558,0,4086,83,3516,559
1964:Q3,18536,769,17767,18536,6510,0,711,224,2620,0,4197,87,3617,570
1964:Q4,18942,783,18159,18942,6680,0,707,223,2638,0,4304,91,3718,581
1965:Q1,19474,819,18655,19474,6803,0,730,223,2688,0,4425,97,3888,620
1965:Q2,20184,862,19322,20184,7011,0,756,223,2794,0,4578,104,4058,660
1965:Q3,20697,892,19805,20697,7197,0,771,223,2853,0,4688,110,4170,685
1965:Q4,21187,909,20278,21187,7335,0,787,223,2911,0,4823,116,4281,711
1966:Q1,21697,943,20754,21697,7356,0,799,224,2988,0,4968,123,4503,736
1966:Q2,22321,969,21352,22321,7498,0,786,227,3028,0,5165,131,4725,761
1966:Q3,22775,994,21781,22775,7612,0,813,229,3109,0,5227,139,4841,805
1966:Q4,23052,1027,22025,23052,7644,0,872,230,3113,0,5240,145,4958,850
1967:Q1,23440,1049,22391,23440,7815,0,814,230,3123,0,5274,153,5131,900
1967:Q2,23993,1097,22896,23993,7977,0,796,227,3199,0,5377,161,5304,952
1967:Q3,24546,1140,23406,24546,8166,0,816,225,3268,0,5463,163,5456,989
1967:Q4,25017,1150,23867,25017,8295,0,811,221,3321,0,5569,165,5609,1026
1968:Q1,25623,1220,24403,25623,8500,0,825,224,3416,0,5621,173,5793,1071
1968:Q2,26387,1269,25118,26387,8745,0,830,230,3581,0,5731,180,5973,1117
1968:Q3,26836,1288,25548,26836,9021,0,876,237,3557,0,5775,181,6064,1125
1968:Q4,27177,1297,25880,27177,9232,0,923,242,3538,0,5803,182,6126,1131
1969:Q1,27647,1321,26326,27647,9329,0,979,245,3662,0,5785,185,6317,1145
1969:Q2,28342,1354,26988,28342,9436,0,1037,245,3873,0,5849,189,6557,1156
1969:Q3,28752,1384,27368,28752,9573,0,981,247,3883,0,5865,272,6676,1255
1969:Q4,28995,1426,27569,28995,9888,0,924,255,3831,0,5773,254,6714,1356
1970:Q1,29592,1448,28144,29592,10139,0,873,320,4038,0,5675,236,6833,1478
1970:Q2,29922,1472,28450,29922,10263,0,915,323,4054,0,5670,194,6995,1508
1970:Q3,30241,1511,28730,30241,10278,0,844,329,4250,0,5667,184,7101,1588
1970:Q4,30492,1542,28950,30492,10337,0,773,338,4351,0,5649,190,7187,1667
1971:Q1,30823,1574,29249,30823,10411,0,723,342,4486,0,5545,171,7347,1798
1971:Q2,31786,1635,30151,31786,11524,0,667,350,3999,0,5564,169,7579,1934
1971:Q3,32115,1656,30459,32115,11458,0,590,364,4156,0,5594,176,7767,2010
1971:Q4,32381,1665,30716,32381,11497,0,513,381,4205,0,5601,171,7917,2096
1972:Q1,33096,1699,31397,33096,11812,0,481,391,4324,0,5535,160,8139,2254
1972:Q2,34109,1740,32369,34109,12241,0,432,404,4547,0,5582,160,8430,2313
1972:Q3,34855,1780,33075,34855,12461,0,429,413,4657,0,5617,167,8745,2366
1972:Q4,35361,1857,33504,35361,12339,0,391,425,4781,0,5678,209,9094,2444
1973:Q1,36490,1884,34606,36490,12722,3,453,429,4970,0,5643,268,9567,2435
1973:Q2,37961,1981,35980,37961,13232,6,351,433,5240,0,5737,286,10077,2599
1973:Q3,38952,2073,36879,38952,13438,9,412,447,5378,0,5867,289,10525,2587
1973:Q4,39806,2145,37661,39806,13591,13,376,465,5442,0,5996,311,10948,2664
1974:Q1,40694,2201,38493,40694,13915,13,392,469,5607,0,5999,310,11299,2690
1974:Q2,42318,2283,40035,42318,14219,13,546,481,5828,0,6128,306,12177,2620
1974:Q3,43737,2385,41352,43737,14602,13,548,489,6007,0,6247,306,12877,2648
1974:Q4,44922,2548,42374,44922,15055,11,607,499,6049,0,6327,245,13484,2645
1975:Q1,46785,2649,44136,46785,15504,13,583,507,6107,0,6428,239,14699,2705
1975:Q2,48530,2811,45719,48530,16072,16,963,515,6242,0,6573,242,15507,2400
1975:Q3,49084,2922,46162,49084,16350,19,1191,529,6308,0,6631,239,15607,2210
1975:Q4,49853,3010,46843,49853,16699,24,1345,545,6371,0,6753,3,16116,1997
1976:Q1,50797,3156,47641,50797,16798,23,1454,563,6353,0,6815,3,16782,2006
1976:Q2,52310,3294,49016,52310,17277,23,1598,627,6363,0,7005,2,17485,1930
1976:Q3,53921,3412,50509,53921,17779,24,1728,647,6563,0,7184,1,18082,1913
1976:Q4,55412,3500,51912,55412,18239,30,1910,666,6721,0,7425,1,18643,1777
1977:Q1,57380,3696,53684,57380,18815,34,2024,670,6998,0,7645,1,19452,1741
1977:Q2,60338,3940,56398,60338,19921,39,2263,681,7361,0,8146,22,20314,1591
1977:Q3,62366,4093,58273,62366,20564,45,2567,687,7617,0,8484,18,21014,1370
1977:Q4,63949,4184,59765,63949,20964,57,2754,693,7751,0,8851,25,21623,1231
1978:Q1,65949,4374,61575,65949,21546,63,2831,718,7901,0,9205,24,22384,1277
1978:Q2,68742,4582,64160,68742,22453,69,3115,737,8210,0,9712,23,23274,1149
1978:Q3,71045,4748,66297,71045,23098,75,3485,746,8412,0,10116,22,24104,987
1978:Q4,72757,4897,67860,72757,23489,83,3579,777,8497,0,10499,22,24855,956
1979:Q1,76434,5233,71201,76434,24730,85,4306,827,8523,0,10913,21,26023,1006
1979:Q2,80935,5654,75281,80935,26300,88,5084,875,8663,0,11461,21,27418,1025
1979:Q3,84333,5945,78388,84333,27389,92,5706,929,8716,0,11837,26,28604,1034
1979:Q4,86755,6022,80733,86755,28056,101,5903,986,8590,0,12143,26,29919,1031
1980:Q1,90582,6490,84092,90582,29016,98,6608,1050,8526,0,12433,25,31790,1036
1980:Q2,94135,6785,87350,94135,29770,100,7002,1124,8468,0,12743,16,33861,1051
1980:Q3,95871,6866,89005,95871,29803,113,7376,1204,8497,0,12818,16,35065,979
1980:Q4,97487,6916,90571,97487,29770,139,7662,1243,8563,0,12958,15,36280,857
1981:Q1,100097,7211,92886,100097,30276,167,7744,1281,8479,0,12975,15,38275,885
1981:Q2,103181,7544,95637,103181,30747,197,8079,1311,8481,0,13044,15,40523,784
1981:Q3,105609,7765,97844,105609,31037,235,8262,1344,8450,0,13149,15,42365,752
1981:Q4,107229,7785,99444,107229,31123,279,8269,1372,8384,0,13100,15,43939,748
1982:Q1,108951,8044,100907,108951,31447,326,8430,1376,8375,0,12954,15,45401,627
1982:Q2,110282,8156,102126,110282,31125,364,8576,1366,8532,0,13005,15,46690,609
1982:Q3,111097,8177,102920,111097,31112,382,8708,1358,8588,0,12939,15,47412,583
1982:Q4,111311,8177,103134,111311,31100,386,8767,1369,8435,0,12835,15,47823,581
1983:Q1,111540,8184,103356,111540,31100,347,8763,1356,8511,0,12687,4,48112,660
1983:Q2,112372,8248,104124,112372,31031,316,9003,1342,8898,0,12671,0,48545,566
1983:Q3,113108,8317,104791,113108,31099,305,9073,1344,9124,0,12756,0,48860,547
1983:Q4,113721,8388,105333,113721,31258,307,9214,1336,9387,0,12742,0,48929,548
1984:Q1,112970,8354,104616,112970,30162,375,9301,1336,9659,0,12570,0,49021,546
1984:Q2,113339,8408,104931,113339,29669,446,9470,1347,10001,0,12595,0,49303,508
1984:Q3,113467,8413,105054,113467,29071,525,9386,1355,10184,0,12643,0,49527,776
1984:Q4,112422,8250,104172,112422,28346,612,9757,1361,10177,0,12466,0,49187,516
1985:Q1,112722,8365,104357,112722,28896,643,9947,1370,10305,0,12005,0,49040,516
1985:Q2,111579,8296,103283,111579,28691,662,10097,1374,10607,0,11539,0,48050,559
1985:Q3,108737,8066,100671,108737,27525,651,10281,1375,11036,0,11068,0,46360,441
1985:Q4,94090,6981,87109,94090,21026,617,10392,1375,10088,0,10596,0,39638,358
