1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3530,-18,3073,647,-447,264,0,-711,0,275,51,224,0,3530,0,3482,48,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1818,5,684,13,1078,586,0,492,0,38,-8,46,0,1818,0,1766,52,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1066,16,-1894,-132,971,499,0,472,0,-27,-12,-15,0,-1066,0,-1201,135,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5769,142,3688,910,1285,1182,0,103,0,-256,80,-336,0,5769,0,5659,110,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,3132,516,2720,284,-432,800,0,-1232,0,44,-36,80,0,3132,0,3068,64,0,0
1955:Q2,10568,2328,4000,1616,2404,1076,0,1328,0,220,52,168,0,10568,0,10448,120,0,0
1955:Q3,6464,260,3992,1388,508,1380,0,-872,0,316,32,284,0,6464,0,6220,244,0,0
1955:Q4,10448,1392,4892,1016,2896,452,0,2444,0,252,-28,280,0,10448,0,10956,-508,0,0
1956:Q1,4188,-1468,7228,380,-2092,60,0,-2152,0,140,-20,160,0,4188,0,3920,268,0,0
1956:Q2,8236,-176,6832,780,656,372,0,284,0,144,68,76,0,8236,0,8080,156,0,0
1956:Q3,2128,-2056,3284,1268,-584,704,0,-1288,0,216,-12,228,0,2128,0,1512,616,0,0
1956:Q4,5404,1228,2992,-256,920,48,0,872,0,520,256,264,0,5404,0,5892,-488,0,0
1957:Q1,164,1304,2156,-12,-3256,-844,0,-2412,0,-28,-92,64,0,164,0,36,128,0,0
1957:Q2,8956,1860,5648,344,884,-352,0,1236,0,220,180,40,0,8956,0,8828,128,0,0
1957:Q3,-572,-992,-512,216,220,8,0,212,0,496,348,148,0,-572,0,-904,332,0,0
1957:Q4,184,-624,-2404,1272,1320,-112,0,1432,0,620,276,344,0,184,0,804,-620,0,0
1958:Q1,-5748,-3224,-2652,-312,76,456,0,-380,0,364,104,260,0,-5748,0,-6160,412,0,0
1958:Q2,4860,-1716,32,812,5216,456,0,4760,0,516,380,136,0,4860,0,4676,184,0,0
1958:Q3,-5568,556,156,248,-7192,-1144,0,-6048,0,664,404,260,0,-5568,0,-6068,500,0,0
1958:Q4,10920,3068,1184,1472,4924,2060,0,2864,0,272,-32,304,0,10920,0,11648,-728,0,0
1959:Q1,-1312,-1832,1460,492,-1044,2056,0,-3100,0,-388,-376,-12,0,-1312,0,-1812,500,0,0
1959:Q2,13292,940,7944,1288,2980,2172,0,808,0,140,0,140,0,13292,0,13316,-24,0,0
1959:Q3,9008,1216,3500,1216,2752,2024,0,728,0,324,80,244,0,9008,0,8468,540,0,0
1959:Q4,12656,416,1588,1224,8912,1136,0,7776,0,516,280,236,0,12656,0,13276,-620,0,0
1960:Q1,-160,-2064,5344,548,-3632,-268,0,-3364,0,-356,-112,-244,0,-160,0,-556,396,0,0
