1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33199,0,84,2028,6928,8619,-1691,4900,1408,3492,-2028,814,2843,86,-2,33144,33112,12053,12928,49,1961,235,5885,0,-2,-30,267425
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15704,0,4822,7326,13144,10385,2759,5817,1550,4267,-7326,-56,7270,4821,1,10938,10962,4479,5930,28,1961,72,-1508,0,-2,-57,283128
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1740,0,1413,2886,9306,10002,-696,6420,1589,4831,-2886,171,3057,1414,-1,326,325,2562,1067,-64,123,-7,-3356,0,-2,0,284868
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16909,0,2104,4847,11806,11596,210,6959,1654,5305,-4847,1628,6475,2102,2,14805,14799,7680,3184,85,2127,131,1592,0,-6,0,301777
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,-2158,0,958,723,2834,2662,172,2111,475,1636,-723,164,887,956,2,-3116,-3115,-450,720,-11,57,11,-3442,0,1,-1,330724
1953:Q1,-1557,0,377,888,3019,2792,228,2131,468,1663,-888,815,1703,377,0,-1934,-1934,486,-563,-3,85,51,-1990,0,0,0,329167
1953:Q2,-1364,0,-406,590,2740,2854,-114,2150,475,1674,-590,-46,544,-407,1,-958,-958,316,-180,1,281,19,-1396,0,0,0,327802
1953:Q3,952,0,240,951,3118,2931,188,2167,482,1685,-951,125,1076,238,2,711,711,1565,-266,6,290,24,-908,0,0,0,328754
1953:Q4,1535,0,2710,1186,3369,2902,468,2183,488,1696,-1186,-303,883,2708,2,-1175,-1174,-483,-759,-4,79,11,-19,0,1,0,330289
1954:Q1,221,0,-452,673,2871,2700,172,2198,486,1712,-673,680,1353,-453,1,674,673,-359,287,-7,305,78,370,0,0,0,330510
1954:Q2,-92,0,-1064,451,2664,2756,-91,2213,488,1725,-451,-56,395,-1066,2,972,972,689,456,-9,282,0,-446,0,0,0,330418
1954:Q3,1370,0,-719,814,3042,2907,136,2228,488,1740,-814,294,1108,-720,1,2089,2089,1866,915,-15,-621,7,-62,0,0,0,331788
1954:Q4,2118,0,1161,650,2894,3022,-128,2243,486,1757,-650,-287,363,1158,3,957,958,379,1034,-27,-156,-7,-265,0,1,0,333907
1955:Q1,1974,0,-150,850,3111,3092,19,2261,495,1766,-850,626,1476,-151,1,2125,2125,1025,1021,-7,-233,114,204,0,0,-1,335880
1955:Q2,611,0,-1480,882,3167,3368,-201,2285,497,1788,-882,-229,653,-1482,2,2091,2090,1584,1728,1,192,-10,-1405,0,0,0,336491
1955:Q3,3167,0,-626,934,3253,3505,-252,2319,505,1814,-934,169,1103,-627,1,3793,3794,1412,2736,-18,678,7,-1022,0,0,-1,339657
1955:Q4,4232,0,1192,1242,3604,3442,162,2362,520,1842,-1242,-190,1052,1188,4,3041,3043,650,3282,-28,824,-5,-1678,0,1,-1,343889
1956:Q1,5805,0,166,1009,3423,3348,76,2414,495,1919,-1009,820,1829,165,1,5638,5638,987,3903,-20,424,55,289,0,0,0,349694
1956:Q2,4751,0,-966,488,2948,3240,-292,2460,515,1945,-488,250,738,-968,2,5716,5717,2045,1767,-22,354,30,1544,0,0,1,354445
1956:Q3,3584,0,-321,576,3077,3205,-128,2501,536,1965,-576,605,1181,-322,1,3906,3906,227,3469,-4,654,44,-483,0,0,-1,358029
1956:Q4,2890,0,1143,289,2825,3173,-348,2536,557,1979,-289,1,290,1140,3,1747,1748,-649,1811,-24,345,19,246,0,1,1,360919
1957:Q1,3721,0,254,788,3354,3268,86,2566,509,2057,-788,742,1530,254,0,3466,3466,-123,2586,-31,784,82,168,0,0,0,364640
1957:Q2,2721,0,-400,806,3401,3216,185,2596,529,2067,-806,-442,364,-401,1,3121,3120,772,1821,-24,66,38,446,0,0,1,367361
1957:Q3,3757,0,65,848,3475,3325,150,2627,548,2080,-848,49,897,64,1,3690,3689,1208,1584,29,356,36,476,0,0,2,371118
1957:Q4,2159,0,476,424,3085,3382,-297,2661,566,2095,-424,-79,345,475,1,1682,1682,-592,758,79,644,4,789,0,0,1,373276
1958:Q1,6007,0,708,1160,3856,3387,469,2696,536,2159,-1160,1273,2433,707,1,5298,5299,-245,2493,-79,121,96,2912,0,0,0,379283
1958:Q2,3328,0,62,1016,3740,3424,316,2724,549,2176,-1016,567,1583,60,2,3266,3265,513,2118,8,428,6,191,0,0,1,382611
1958:Q3,3028,0,880,1325,4075,3544,531,2749,557,2193,-1325,920,2245,879,1,2148,2149,254,874,31,225,-22,789,0,0,-1,385639
1958:Q4,1730,0,1243,1510,4279,3797,483,2769,560,2209,-1510,-3,1507,1240,3,489,489,545,660,14,261,-26,-965,0,1,-2,387369
1959:Q1,716,0,-782,1024,3809,3825,-16,2785,578,2208,-1024,333,1357,-784,2,1499,1499,88,1201,73,318,-39,-142,0,0,-1,388085
1959:Q2,-424,0,-2357,842,3640,3991,-351,2798,575,2222,-842,-812,30,-2359,2,1935,1935,397,1723,-3,275,75,-532,0,0,-1,387661
