date,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; total financial assets,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1998:Q4,4173531,0,24858,1043094,24858,121349,202247,297633,397007,17064,3005393,83122,4173531,591299,2585902,391637,360037,528248,298570
1999:Q1,4327921,0,26040,1048425,26040,118031,212589,301658,390107,17453,3142852,93151,4327921,617601,2711263,397423,359115,546786,304006
1999:Q2,4651052,0,27498,1065169,27498,115941,226269,294678,400783,18489,3451209,88687,4651052,671062,2988686,435925,376154,544135,296425
1999:Q3,4498393,0,26902,1049863,26902,108441,230013,285656,398851,19315,3316176,86137,4498393,645196,2854333,446762,358089,540315,288794
1999:Q4,5233194,0,29287,1031477,29287,100884,233166,270315,397825,19934,4060203,92293,5233194,785226,3454773,585188,374314,535107,271310
2000:Q1,5600779,0,30244,1015488,30244,98517,225564,265228,395935,21182,4440119,93746,5600779,856419,3731511,678040,370876,542387,268147
2000:Q2,5463631,0,35474,1007756,35474,100243,227372,258807,385860,22426,4288728,109247,5463631,836251,3642364,649670,361692,537502,263772
2000:Q3,5541139,0,37436,1030773,37436,107279,241041,263789,381228,23397,4333503,116030,5541139,848037,3739442,620861,364682,539827,267969
2000:Q4,5119386,0,36499,1034925,36499,113057,251644,272556,361169,24258,3910517,113187,5119386,783763,3368856,563869,360841,538713,278411
2001:Q1,4588723,0,30272,1074441,30272,111893,277187,281701,373388,22064,3369705,92241,4588723,684980,2893149,484279,344281,572801,286538
2001:Q2,4887912,0,28019,1110982,28019,110969,307914,283415,380665,19416,3644277,85218,4887912,730741,3153393,498344,360118,582462,287132
2001:Q3,4252626,0,27387,1115036,27387,100326,314242,292181,380900,17992,3008946,83265,4252626,618443,2588786,405071,334598,620072,297884
2001:Q4,4689603,0,25828,1143035,25828,105593,337931,293372,380311,16953,3425322,78465,4689603,697503,2946977,444027,357947,638596,296222
2002:Q1,4812247,0,29615,1181445,29615,105656,346949,295756,403469,17058,3493941,90188,4812247,723828,3011156,458227,369588,668444,300225
2002:Q2,4433260,0,25205,1215212,25205,106098,358516,309072,416321,17185,3098686,76972,4433260,646513,2628430,434632,350907,702361,312430
2002:Q3,3898456,0,23595,1280958,23595,119239,402210,328111,407803,17272,2504642,71989,3898456,548434,2132952,349248,312754,766835,333471
2002:Q4,4118082,0,25827,1307441,25827,121054,410213,324655,425692,17465,2688868,78481,4118082,590879,2272689,369368,335270,807747,330037
2003:Q1,4057552,0,25825,1355575,25825,129128,433425,329805,437392,17215,2579752,79185,4057552,577842,2186012,340138,331519,864258,332982
2003:Q2,4649056,0,27139,1446576,27139,135224,456962,342304,484947,16972,3075150,83219,4649056,669266,2587093,411957,382246,922898,342182
2003:Q3,4845657,0,27144,1435031,27144,131249,451919,336398,488321,16737,3282123,84622,4845657,710138,2740967,454061,400406,910848,336800
2003:Q4,5362097,0,31045,1457489,31045,132725,439992,337184,516543,16355,3762039,95169,5362097,801791,3117832,535008,447530,922680,336309
2004:Q1,5620835,0,48156,1437203,48156,116206,367718,342942,562181,17840,3967702,149934,5620835,837925,3262687,590021,477491,947565,340546
2004:Q2,5640075,0,30399,1459957,30399,142725,456097,321838,508898,20688,4033580,95451,5640075,850058,3322834,593506,490710,909911,320580
2004:Q3,5663150,0,31302,1501093,31302,148533,468062,328369,524827,23173,4008437,99145,5663150,852061,3274572,606868,506362,944677,328159
2004:Q4,6194101,0,36910,1522397,36910,150732,461887,328683,544185,25975,4491000,117819,6194101,940550,3625921,716203,552250,968958,328243
2005:Q1,6170973,0,41111,1512632,41111,154161,452714,329756,534890,28223,4457299,131708,6170973,928282,3555484,751036,562601,970519,328402
2005:Q2,6352653,0,40042,1565064,40042,155408,471246,339839,558529,30928,4588344,128275,6352653,965011,3650645,773801,588147,1000105,337110
2005:Q3,6676786,0,39407,1591672,39407,164423,490578,341101,556163,33106,4884903,127698,6676786,1012105,3826052,880794,612097,1015259,339803
2005:Q4,6864553,0,37653,1609780,37653,171557,509657,339800,551113,36520,5056822,123778,6864553,1039195,3929153,955721,621477,1016580,338953
2006:Q1,7313565,0,46132,1633284,46132,169426,490731,343396,583599,38352,5442967,152830,7313565,1098685,4173096,1108924,645347,1037999,345239
2006:Q2,7227911,0,46550,1643985,46550,162940,498444,345020,591031,40808,5343358,153210,7227911,1082994,4071082,1122067,648321,1039218,344575
2006:Q3,7517282,0,48472,1716547,48472,168127,515870,357716,626362,42666,5548721,160876,7517282,1131711,4191321,1199182,682236,1084598,357161
2006:Q4,8059704,0,45383,1791096,45383,173246,537186,367941,667340,46321,6026520,150384,8059704,1224742,4471157,1360434,731503,1128598,365095
2007:Q1,8335378,0,44765,1847010,44765,180427,556265,376556,688997,57148,6235084,151371,8335378,1245792,4564292,1449812,757680,1185651,374731
2007:Q2,8846074,0,42772,1896783,42772,179473,597466,378704,698368,68660,6690863,146996,8846074,1320924,4833653,1611525,799806,1221206,376360
2007:Q3,9078504,0,44483,1952181,44483,176449,607356,379454,744439,75769,6853800,152271,9078504,1365715,4892836,1715149,826505,1260398,378391
2007:Q4,8914408,0,46014,2017732,46014,185444,660824,377812,747638,82389,6611942,156331,8914408,1345595,4694046,1718546,821474,1301489,374139
2008:Q1,8266118,0,45908,2013549,45908,190110,662477,378055,736999,85568,5963957,157136,8266118,1228202,4191078,1568206,780441,1344411,373068
2008:Q2,8280019,0,51905,2046967,51905,172832,648909,387881,785440,88165,5920011,172971,8280019,1224204,4181771,1554386,781433,1368830,384522
2008:Q3,7276842,0,46523,1956384,46523,192794,646990,371236,698841,94356,5019971,159608,7276842,1070367,3655872,1234938,688912,1318819,370800
2008:Q4,5788401,0,35257,1797057,35257,200790,601191,342670,617149,94792,3736342,124953,5788401,853246,2738205,913278,562162,1231862,337789
2009:Q1,5440338,0,24354,1874420,24354,231114,631336,367929,619687,95377,3357674,88513,5440338,791609,2469744,804239,516801,1282074,362776
2009:Q2,6372319,0,29459,2064827,29459,251445,642042,397265,744616,95826,4076209,105998,6372319,925624,2925933,1019150,597220,1432222,391216
2009:Q3,7402832,0,37039,2312180,37039,282798,674308,454273,863762,96179,4827596,129838,7402832,1074853,3401485,1235925,679220,1628912,449545
2009:Q4,7796729,0,43372,2439786,43372,286678,656110,463728,989898,75399,5093642,144530,7796729,1128187,3564049,1303083,717266,1745480,458497
2010:Q1,8215276,0,42183,2605986,42183,336521,677886,485136,1064260,73685,5358728,134694,8215276,1177089,3756170,1354547,755568,1864519,476949
2010:Q2,7689974,0,31337,2755793,31337,394772,758944,501020,1069720,74339,4733116,95389,7689974,1086314,3323451,1202355,711698,1955585,489588
2010:Q3,8478482,0,35737,2931692,35737,414248,751825,527940,1201942,75878,5331986,103189,8478482,1196788,3668792,1405042,780589,2100243,515666
2010:Q4,9029849,93720,32307,2957017,41319,417386,743796,490371,1264145,74567,5872706,-468,9029849,1289495,4053480,1536756,841672,2115219,473955
2011:Q1,9477390,108144,36772,2904732,48535,399064,643718,473001,1340414,86743,6251220,89779,9477390,1346009,4315969,1603637,911428,2183899,452832
2011:Q2,9567658,112650,20233,2932495,28843,400045,650601,485261,1367745,99736,6230062,172482,9567658,1345037,4279003,1617868,925873,2269945,465606
2011:Q3,8437553,101085,-8815,2831722,18506,400788,691163,502312,1218953,95269,5077347,340945,8437553,1172963,3528025,1305426,838213,2277604,480553
2011:Q4,8941397,118535,-479,3086862,20381,469317,832980,519194,1244990,93479,5510024,132976,8941397,1247970,3855199,1352257,883375,2345023,497527
2012:Q1,9888562,139540,14304,3280912,20407,525623,869714,543294,1321874,94198,6220859,138749,9888562,1367924,4362837,1527934,968324,2496927,523999
2012:Q2,9680764,136012,16281,3388329,14207,537758,920634,567712,1348018,99223,5883383,157536,9680764,1320306,4145253,1443149,954839,2583101,544159
2012:Q3,10213795,149455,19426,3557229,16520,609054,885896,595396,1450363,100623,6217479,169583,10213795,1384490,4354585,1535828,1015764,2726203,570262
2012:Q4,10363508,136343,10637,3656944,14041,559231,950102,608894,1524676,90944,6297415,171225,10363508,1395116,4323725,1608433,1031712,2808902,580169
2013:Q1,11103241,163926,21663,3734234,11895,581226,945739,620489,1574885,110746,6865679,206993,11103241,1481842,4781158,1711136,1123575,2885645,591172
2013:Q2,11089666,173196,18458,3570331,20362,536196,940259,581320,1492194,128658,6989334,209689,11089666,1470546,4883492,1701485,1147238,2794358,552853
2013:Q3,11656492,208722,18923,3494948,32240,495211,884401,546695,1536401,155418,7554511,223970,11656492,1541618,5237783,1884367,1213574,2790742,518819
2013:Q4,12333012,221346,16687,3477109,20725,472816,873616,529635,1580317,169430,8227282,221158,12333012,1626629,5725696,2028226,1283797,2784431,499287
2014:Q1,12640668,197981,18262,3510841,26258,579551,731362,543311,1630359,179868,8411502,322214,12640668,1639180,5847530,2083366,1327386,2853152,517665
2014:Q2,13148562,201646,17038,3628763,41178,592685,720869,561178,1712853,174476,8787880,338759,13148562,1686967,6078204,2199536,1388805,2935974,535584
2014:Q3,12978937,196672,13360,3624262,27783,660802,657971,572564,1705142,162105,8622827,359711,12978937,1647944,6002003,2126280,1375419,2915067,551386
2014:Q4,13150628,211234,7749,3702508,25096,682894,689820,586565,1718133,144615,8799214,285308,13150628,1670066,6229304,2076201,1378267,2892154,566478
2015:Q1,13519867,206390,7008,3804017,17734,709433,707895,598926,1770029,140419,9061589,300444,13519867,1698511,6381514,2186935,1408625,2955744,579547
2015:Q2,13533574,191890,3964,3793652,13238,725560,674577,591019,1789258,139033,9118140,286895,13533574,1679352,6339313,2252869,1416462,2946638,571302
2015:Q3,12605717,169254,-5948,3756759,13505,789089,627004,593198,1733963,127819,8282557,275276,12605717,1551968,5787187,2037201,1327131,2872191,575575
2015:Q4,12897215,159412,-2284,3723374,10858,826586,584903,603665,1697362,115264,8625329,276120,12897215,1594795,6042433,2098038,1340623,2818467,593427
2016:Q1,12962099,165807,70,3828283,25279,844046,601036,628776,1729146,109712,8555730,302497,12962099,1582010,5994449,2112483,1348529,2884888,615755
2016:Q2,13208765,156772,2884,3991260,18580,913024,596428,668242,1794986,110780,8649293,297776,13208765,1595603,6083792,2109966,1381282,2981017,649635
2016:Q3,13682571,166624,-12500,4103283,17505,943016,599641,683440,1859681,116539,9007479,301146,13682571,1640522,6303799,2226760,1410244,3072145,664769
2016:Q4,13615579,187467,-6956,3975680,20089,904100,594858,632166,1824467,129179,9069933,260276,13615579,1635489,6411567,2155474,1399053,3034320,613729
2017:Q1,14327132,220505,-7854,4078916,27829,924723,588132,646640,1891592,143554,9604948,287063,14327132,1686135,6759259,2351651,1446472,3146380,628654
2017:Q2,14795306,212051,-7370,4225674,25818,979828,626441,666523,1927064,150695,9923346,290910,14795306,1712574,6931964,2514476,1470483,3237707,646528
2017:Q3,15346982,243653,-6756,4373118,76879,1040876,609886,680445,1965032,150217,10351331,235419,15346982,1751097,7172699,2678433,1507985,3329264,660642
2017:Q4,15898985,217338,-18864,4454311,71048,1090830,599950,688077,2004406,147104,10819639,279457,15898985,1791826,7477892,2813466,1546169,3399824,665343
2018:Q1,15874256,228964,-32202,4503641,63911,1093359,618129,690408,2037834,152697,10761948,259208,15874256,1753987,7414053,2851629,1519928,3422009,670764
2018:Q2,16077205,224053,-17566,4552706,74634,1111114,634973,698695,2033290,166704,10930539,220769,16077205,1770157,7649340,2801029,1518216,3436213,676687
2018:Q3,16559687,266397,-27114,4583231,43180,1127290,638063,701887,2072811,173425,11367339,196409,16559687,1815658,8059711,2817107,1545804,3494764,681156
2018:Q4,14669831,204310,-18507,4441877,10865,1146356,603561,693630,1987465,147850,9657450,236851,14669831,1589661,6800217,2416195,1383216,3385392,675462
2019:Q1,16179620,261042,-22811,4568637,8590,1175247,584596,737249,2062955,140316,10880165,352271,16179620,1733206,7719026,2690134,1487691,3551176,719471
2019:Q2,16669576,373758,-31163,4769604,28457,1204069,608576,773363,2155139,130841,11183989,242547,16669576,1759694,7951703,2752766,1513450,3686912,753905
2019:Q3,16694746,290163,-38677,4968694,50276,1268218,632712,805165,2212323,121397,11073533,279636,16694746,1737361,7887794,2701103,1515982,3791431,785830
2019:Q4,17659517,278815,-36835,5095513,52564,1310902,654007,830982,2247058,114157,11934519,273348,17659517,1815088,8438995,2923353,1578316,3890030,814100
2020:Q1,14543146,278772,-50644,4708171,38495,1114123,682849,786245,2086459,84155,9203756,318936,14543146,1471605,6563226,2248205,1304377,3643854,773268
2020:Q2,16776147,294082,-19243,5015795,46135,1206828,553378,814651,2394803,84111,11129401,272001,16776147,1689627,7944918,2653318,1449242,3911551,805742
2020:Q3,17749306,258418,-48810,5335436,44903,1253671,662964,857464,2516434,83413,11843423,277426,17749306,1767084,8466244,2800572,1503009,4126024,841605
2020:Q4,19562556,270103,-10251,5542766,49876,1293634,696572,891262,2611422,85163,13391070,283705,19562556,1942095,9524108,3192537,1619351,4337206,876575
2021:Q1,20271300,293893,8695,5590379,53926,1299672,699824,913275,2623682,100485,13977907,299941,20271300,1978341,10033659,3245757,1677118,4398971,902561
2021:Q2,21459746,286500,24080,5767063,49756,1405485,661405,956056,2694361,116932,14919355,345816,21459746,2089725,10714369,3456734,1796759,4570860,941591
2021:Q3,21374931,308423,11658,5863421,46719,1444409,679722,974869,2717702,126220,14716362,348847,21374931,2042415,10596806,3383492,1795085,4637577,962455
2021:Q4,22208748,320454,12112,5968189,48542,1466798,686011,987468,2779370,138582,15436662,332749,22208748,2109877,11256866,3458329,1868695,4647740,977119
