date,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; total financial assets,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1958:Q1,9463,0,153,1298,153,314,0,0,831,0,8012,0,9463,0,ND,ND,ND,ND,ND
1958:Q2,10610,0,183,1478,183,401,0,0,894,0,8949,0,10610,0,ND,ND,ND,ND,ND
1958:Q3,11791,0,172,1477,172,356,0,0,949,0,10142,0,11791,0,ND,ND,ND,ND,ND
1958:Q4,13242,0,117,1453,117,401,0,0,935,0,11672,0,13242,0,ND,ND,ND,ND,ND
1959:Q1,14132,0,149,1528,149,432,0,0,947,0,12455,0,14132,0,ND,ND,ND,ND,ND
1959:Q2,14973,0,151,1562,151,432,0,0,979,0,13260,0,14973,0,ND,ND,ND,ND,ND
1959:Q3,14747,0,187,1699,187,517,0,0,995,0,12861,0,14747,0,ND,ND,ND,ND,ND
1959:Q4,15818,0,152,1799,152,556,0,0,1091,0,13867,0,15818,0,ND,ND,ND,ND,ND
1960:Q1,15312,0,180,1848,180,605,0,0,1063,0,13284,0,15312,0,ND,ND,ND,ND,ND
1960:Q2,16097,0,189,1919,189,615,0,0,1115,0,13989,0,16097,0,ND,ND,ND,ND,ND
1960:Q3,15640,0,209,2006,209,608,0,0,1189,0,13425,0,15640,0,ND,ND,ND,ND,ND
1960:Q4,17026,0,177,2043,177,619,0,0,1247,0,14806,0,17026,0,ND,ND,ND,ND,ND
1961:Q1,19440,0,240,2091,240,539,0,0,1312,0,17109,0,19440,0,ND,ND,ND,ND,ND
1961:Q2,20003,0,203,2036,203,511,0,0,1322,0,17764,0,20003,0,ND,ND,ND,ND,ND
1961:Q3,21007,0,256,2160,256,549,0,0,1355,0,18591,0,21007,0,ND,ND,ND,ND,ND
1961:Q4,22875,0,174,2449,174,688,0,0,1587,0,20252,0,22875,0,ND,ND,ND,ND,ND
1962:Q1,23048,0,316,2420,316,652,0,0,1452,0,20312,0,23048,0,ND,ND,ND,ND,ND
1962:Q2,18436,0,254,2358,254,511,0,0,1593,0,15824,0,18436,0,ND,ND,ND,ND,ND
1962:Q3,19088,0,273,2600,273,789,0,0,1538,0,16215,0,19088,0,ND,ND,ND,ND,ND
1962:Q4,21271,0,289,2643,289,737,0,0,1617,0,18339,0,21271,0,ND,ND,ND,ND,ND
1963:Q1,22549,0,316,2646,316,718,0,0,1612,0,19587,0,22549,0,ND,ND,ND,ND,ND
1963:Q2,23693,0,289,2487,289,589,0,0,1609,0,20917,0,23693,0,ND,ND,ND,ND,ND
1963:Q3,24496,0,286,2719,286,728,0,0,1705,0,21491,0,24496,0,ND,ND,ND,ND,ND
1963:Q4,25215,0,307,2823,307,728,0,0,1788,0,22085,0,25215,0,ND,ND,ND,ND,ND
1964:Q1,26881,0,290,2894,290,823,0,0,1781,0,23697,0,26881,0,ND,ND,ND,ND,ND
1964:Q2,27682,0,334,3092,334,831,0,0,1927,0,24256,0,27682,0,ND,ND,ND,ND,ND
