date,Federal government defined contribution retirement funds; total financial assets,Federal government defined contribution retirement funds; debt securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,Federal government retirement funds; agency- and GSE-backed securities held by Thrift Savings Plan; asset,Federal government retirement funds; corporate and foreign bonds held by Thrift Savings Plan; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government retirement funds; corporate equities held by Thrift Savings Plan; asset,Federal government defined contribution retirement funds; total financial assets
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0,0
1974:Q1,0,0,0,0,0,0,0,0
1974:Q2,0,0,0,0,0,0,0,0
1974:Q3,0,0,0,0,0,0,0,0
1974:Q4,0,0,0,0,0,0,0,0
1975:Q1,0,0,0,0,0,0,0,0
1975:Q2,0,0,0,0,0,0,0,0
1975:Q3,0,0,0,0,0,0,0,0
1975:Q4,0,0,0,0,0,0,0,0
1976:Q1,0,0,0,0,0,0,0,0
1976:Q2,0,0,0,0,0,0,0,0
1976:Q3,0,0,0,0,0,0,0,0
1976:Q4,0,0,0,0,0,0,0,0
1977:Q1,0,0,0,0,0,0,0,0
1977:Q2,0,0,0,0,0,0,0,0
1977:Q3,0,0,0,0,0,0,0,0
1977:Q4,0,0,0,0,0,0,0,0
1978:Q1,0,0,0,0,0,0,0,0
1978:Q2,0,0,0,0,0,0,0,0
1978:Q3,0,0,0,0,0,0,0,0
1978:Q4,0,0,0,0,0,0,0,0
1979:Q1,0,0,0,0,0,0,0,0
1979:Q2,0,0,0,0,0,0,0,0
1979:Q3,0,0,0,0,0,0,0,0
1979:Q4,0,0,0,0,0,0,0,0
1980:Q1,0,0,0,0,0,0,0,0
1980:Q2,0,0,0,0,0,0,0,0
1980:Q3,0,0,0,0,0,0,0,0
1980:Q4,0,0,0,0,0,0,0,0
1981:Q1,0,0,0,0,0,0,0,0
1981:Q2,0,0,0,0,0,0,0,0
1981:Q3,0,0,0,0,0,0,0,0
1981:Q4,0,0,0,0,0,0,0,0
1982:Q1,0,0,0,0,0,0,0,0
1982:Q2,0,0,0,0,0,0,0,0
1982:Q3,0,0,0,0,0,0,0,0
1982:Q4,0,0,0,0,0,0,0,0
1983:Q1,0,0,0,0,0,0,0,0
1983:Q2,0,0,0,0,0,0,0,0
1983:Q3,0,0,0,0,0,0,0,0
1983:Q4,0,0,0,0,0,0,0,0
1984:Q1,0,0,0,0,0,0,0,0
1984:Q2,0,0,0,0,0,0,0,0
1984:Q3,0,0,0,0,0,0,0,0
1984:Q4,0,0,0,0,0,0,0,0
1985:Q1,0,0,0,0,0,0,0,0
1985:Q2,0,0,0,0,0,0,0,0
1985:Q3,0,0,0,0,0,0,0,0
1985:Q4,0,0,0,0,0,0,0,0
1986:Q1,0,0,0,0,0,0,0,0
1986:Q2,0,0,0,0,0,0,0,0
1986:Q3,0,0,0,0,0,0,0,0
1986:Q4,0,0,0,0,0,0,0,0
1987:Q1,0,0,0,0,0,0,0,0
1987:Q2,390,390,390,0,0,0,0,390
1987:Q3,727,727,727,0,0,0,0,727
1987:Q4,1086,1086,1086,0,0,0,0,1086
1988:Q1,1435,1435,1435,0,0,0,0,1435
1988:Q2,1846,1846,1846,0,0,0,0,1846
1988:Q3,2273,2268,2268,0,0,0,5,2273
1988:Q4,2739,2732,2730,0,2,0,7,2739
1989:Q1,3241,3223,3218,0,5,0,18,3241
1989:Q2,3788,3761,3753,0,8,0,27,3788
1989:Q3,4321,4279,4268,0,11,0,42,4321
1989:Q4,4926,4871,4855,0,16,0,55,4926
1990:Q1,5541,5452,5427,0,25,0,89,5541
1990:Q2,6254,6131,6096,0,35,0,123,6254
1990:Q3,6928,6786,6743,0,43,0,142,6928
1990:Q4,7911,7571,7481,0,90,0,340,7911
1991:Q1,8630,8181,8064,0,117,0,449,8630
1991:Q2,9400,8926,8796,0,130,0,474,9400
1991:Q3,10204,9535,9368,20,147,0,669,10204
1991:Q4,11398,10353,10141,45,167,0,1045,11398
1992:Q1,12284,10899,10637,79,183,0,1385,12284
1992:Q2,13425,11729,11418,107,204,0,1696,13425
1992:Q3,14499,12498,12113,151,234,0,2001,14499
1992:Q4,15813,13398,12965,183,250,0,2415,15813
1993:Q1,17022,14093,13593,222,278,0,2929,17022
1993:Q2,18260,14967,14387,275,305,0,3293,18260
1993:Q3,19602,15823,15125,343,355,0,3779,19602
1993:Q4,21020,16622,15861,383,378,0,4398,21020
1994:Q1,21954,17162,16348,424,390,0,4792,21954
1994:Q2,23082,17903,17092,426,385,0,5179,23082
1994:Q3,24860,19028,18197,440,391,0,5832,24860
1994:Q4,26106,19927,19112,430,385,0,6179,26106
1995:Q1,28490,21319,20450,461,408,0,7171,28490
1995:Q2,30782,22274,21325,504,445,0,8508,30782
1995:Q3,32886,22940,21941,533,466,0,9946,32886
1995:Q4,35060,14687,13589,589,509,8914,11459,35060
1996:Q1,37268,24147,23012,620,515,0,13121,37268
1996:Q2,39766,24802,23671,621,510,0,14964,39766
1996:Q3,41619,25257,24080,649,528,0,16362,41619
1996:Q4,44880,26102,24886,675,541,0,18778,44880
1997:Q1,46465,26288,25093,666,529,0,20177,46465
1997:Q2,51995,27153,25920,687,546,0,24842,51995
1997:Q3,55097,27154,25872,712,570,0,27943,55097
1997:Q4,58011,28065,26703,761,601,0,29946,58011
1998:Q1,63594,28370,26946,796,628,0,35224,63594
1998:Q2,66799,28951,27477,825,649,0,37848,66799
1998:Q3,63715,29270,27656,912,702,0,34445,63715
1998:Q4,73806,30846,29123,976,747,0,42960,73806
1999:Q1,76983,30780,29056,976,748,0,46203,76983
1999:Q2,82500,31718,30028,962,728,0,50782,82500
1999:Q3,80681,32205,30559,939,707,0,48476,80681
1999:Q4,90140,33231,31687,877,667,0,56909,90140
2000:Q1,93372,32967,31546,803,618,0,60405,93372
2000:Q2,93648,33588,32193,790,605,0,60060,93648
2000:Q3,95051,34336,32884,824,628,0,60715,95051
2000:Q4,91974,35398,33734,966,698,0,56576,91974
2001:Q1,87138,38079,35593,1491,995,0,49059,87138
2001:Q2,92424,39691,36987,1627,1077,0,52733,92424
2001:Q3,86375,42579,38722,2369,1488,0,43796,86375
2001:Q4,95968,46877,40468,4026,2383,0,49091,95968
2002:Q1,98985,48367,42150,3911,2306,0,50618,98985
2002:Q2,94482,50144,43478,4204,2462,0,44338,94482
2002:Q3,90710,55119,47203,4984,2932,0,35591,90710
2002:Q4,96932,57896,49279,5524,3093,0,39036,96932
2003:Q1,99126,12152,2663,6055,3434,49520,37454,99126
2003:Q2,108543,62491,52809,6130,3552,0,46052,108543
2003:Q3,112863,61692,53416,5227,3049,0,51171,112863
2003:Q4,123370,61232,53376,5036,2820,0,62138,123370
2004:Q1,128161,61595,53939,4897,2759,0,66566,128161
2004:Q2,131607,62929,55903,4511,2515,0,68678,131607
2004:Q3,134627,65824,58440,4729,2655,0,68803,134627
2004:Q4,146288,66404,59104,4769,2531,0,79884,146288
2005:Q1,149310,68468,61287,4707,2474,0,80842,149310
2005:Q2,154509,71601,64118,4921,2562,0,82908,154509
2005:Q3,162273,73460,66005,4888,2567,0,88813,162273
2005:Q4,167809,74707,67014,5129,2564,0,93102,167809
2006:Q1,176998,75938,68402,5049,2487,0,101060,176998
2006:Q2,179279,80411,73007,4976,2428,0,98868,179279
2006:Q3,187795,82547,74753,5221,2573,0,105248,187795
2006:Q4,200555,83889,75450,5441,2998,0,116666,200555
2007:Q1,206736,87735,79072,5594,3069,0,119001,206736
2007:Q2,217691,88593,80085,5506,3002,0,129098,217691
2007:Q3,223579,93162,84228,5807,3127,0,130417,223579
2007:Q4,224538,96777,86872,6175,3730,0,127761,224538
2008:Q1,216538,107047,95514,7276,4257,0,109491,216538
2008:Q2,218109,108802,97736,6973,4093,0,109307,218109
2008:Q3,210316,115640,104840,7010,3790,0,94676,210316
2008:Q4,195328,122086,111822,6658,3606,0,73242,195328
2009:Q1,190079,126130,116083,6509,3538,0,63949,190079
2009:Q2,207169,126796,116301,6537,3958,0,80373,207169
2009:Q3,224739,128221,116883,6907,4431,0,96518,224739
2009:Q4,236363,131110,119405,7153,4552,0,105253,236363
2010:Q1,245898,132905,120891,7318,4696,0,112993,245898
