date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3,0,0,0,3,3
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25,0,0,0,25,25
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1981:Q4,4616,4163,457,0,-4,4616
1982:Q1,8642,8724,39,0,-121,8642
1982:Q2,9323,9233,108,0,-18,9323
1982:Q3,13280,13201,105,0,-26,13280
1982:Q4,18288,18181,109,0,-2,18288
1983:Q1,17998,17626,293,0,79,17998
1983:Q2,16544,16365,273,0,-94,16544
1983:Q3,18477,18045,451,0,-19,18477
1983:Q4,13269,13054,214,0,1,13269
1984:Q1,11123,10992,133,0,-2,11123
1984:Q2,7781,7331,488,0,-38,7781
1984:Q3,12194,11499,427,0,268,12194
1984:Q4,13449,13692,17,0,-260,13449
1985:Q1,15046,14143,903,0,0,15046
1985:Q2,17057,16667,347,0,43,17057
1985:Q3,22242,22202,158,0,-118,22242
1985:Q4,24532,24543,72,0,-83,24532
1986:Q1,26723,24661,1993,0,69,26723
1986:Q2,34485,34376,112,0,-3,34485
1986:Q3,46824,45809,1053,0,-38,46824
1986:Q4,55695,54166,1709,132,-312,55695
1987:Q1,43844,42014,1839,-5,-4,43844
1987:Q2,39707,38561,1150,-1,-3,39707
1987:Q3,31942,30942,1004,-2,-2,31942
1987:Q4,22310,21855,520,-61,-4,22310
1988:Q1,8447,7114,1350,-5,-12,8447
1988:Q2,17474,16700,798,-17,-7,17474
1988:Q3,25822,24317,1509,-3,-1,25822
1988:Q4,24150,22579,1572,0,-1,24150
1989:Q1,25172,23726,1452,-4,-2,25172
1989:Q2,24023,22460,1574,-8,-2,24023
1989:Q3,32529,31606,925,0,-1,32529
1989:Q4,42537,42406,133,0,-2,42537
1990:Q1,35616,34520,1099,-1,-2,35616
1990:Q2,39033,38701,335,-1,-1,39033
1990:Q3,34335,34526,-191,0,-1,34335
1990:Q4,41328,39537,1795,0,-3,41328
1991:Q1,30446,32226,-1779,0,-2,30446
1991:Q2,35677,35449,233,-2,-3,35677
1991:Q3,37329,38580,-1250,-1,-1,37329
1991:Q4,33177,33011,170,-1,-3,33177
1992:Q1,23238,23712,-471,-1,-2,23238
1992:Q2,39260,39891,-631,0,0,39260
1992:Q3,24660,25252,-591,0,-1,24660
1992:Q4,28400,28980,-579,-1,-1,28400
1993:Q1,27749,28381,-628,-2,-2,27749
1993:Q2,1504,2156,-651,-1,0,1504
1993:Q3,29255,29480,-223,-1,-1,29255
1993:Q4,26211,26084,129,-1,-1,26211
1994:Q1,42531,42681,-149,-1,-1,42531
1994:Q2,33121,33139,-16,-2,-1,33121
1994:Q3,22516,22761,-243,-1,-1,22516
1994:Q4,17114,16722,393,0,0,17114
1995:Q1,7841,8062,-234,-2,15,7841
1995:Q2,19152,17486,1649,-1,17,19152
1995:Q3,27632,26796,820,-1,17,27632
1995:Q4,43701,41469,2215,0,17,43701
1996:Q1,29364,28456,910,0,-2,29364
1996:Q2,43610,42477,1135,0,-2,43610
1996:Q3,35659,33896,1767,-1,-3,35659
1996:Q4,32344,30555,1794,-4,-1,32344
1997:Q1,28651,27395,1250,0,6,28651
1997:Q2,22162,20738,1418,0,6,22162
1997:Q3,28567,27356,1205,0,6,28567
1997:Q4,35206,33777,1422,0,7,35206
1998:Q1,21261,20037,1201,0,23,21261
1998:Q2,61834,60411,1398,0,25,61834
1998:Q3,66858,62646,4187,0,25,66858
1998:Q4,42722,39021,3675,0,26,42722
1999:Q1,94041,91472,2381,0,188,94041
1999:Q2,70632,68355,2086,0,191,70632
1999:Q3,63575,61295,2092,0,188,63575
1999:Q4,46314,43460,2664,0,190,46314
2000:Q1,29968,28262,1624,0,82,29968
2000:Q2,33133,31124,1927,0,82,33133
2000:Q3,59263,57229,1953,0,81,59263
2000:Q4,77350,74261,3007,0,82,77350
2001:Q1,42579,39298,3275,0,6,42579
2001:Q2,101566,96762,4798,0,6,101566
2001:Q3,123067,119815,3246,0,6,123067
2001:Q4,71327,67018,4302,0,7,71327
2002:Q1,124636,122100,2858,0,-322,124636
2002:Q2,86192,84354,2160,0,-322,86192
2002:Q3,42585,41064,1843,0,-322,42585
2002:Q4,73406,67661,6068,0,-323,73406
2003:Q1,71872,68222,3679,0,-29,71872
2003:Q2,62486,58865,3620,0,1,62486
2003:Q3,82200,73855,7655,0,690,82200
2003:Q4,118814,107320,11520,0,-26,118814
2004:Q1,3137,7716,-4542,0,-37,3137
2004:Q2,20144,17021,3122,0,1,20144
2004:Q3,14233,15162,-926,0,-3,14233
2004:Q4,3253,3936,-657,0,-26,3253
2005:Q1,23163,24468,-1249,0,-56,23163
2005:Q2,35169,36440,-1264,0,-7,35169
2005:Q3,42601,43772,-1131,0,-40,42601
2005:Q4,63532,64331,-808,0,9,63532
2006:Q1,78735,81088,-2807,0,454,78735
2006:Q2,64594,67275,-3196,0,515,64594
2006:Q3,76913,78857,-3238,0,1294,76913
2006:Q4,72394,75543,-3225,0,76,72394
2007:Q1,115659,117221,-1781,0,219,115659
2007:Q2,121712,121708,-1273,0,1277,121712
2007:Q3,175797,175714,144,0,-61,175797
2007:Q4,212848,210713,2210,0,-75,212848
2008:Q1,139591,139963,-282,0,-90,139591
2008:Q2,160212,157804,2554,0,-146,160212
2008:Q3,135780,137314,-1950,0,416,135780
2008:Q4,71841,67564,4327,0,-50,71841
2009:Q1,85488,84491,1053,0,-56,85488
2009:Q2,136177,132496,3729,0,-48,136177
2009:Q3,141005,137712,3358,0,-65,141005
2009:Q4,95659,90859,4818,0,-18,95659
2010:Q1,35217,33934,1922,0,-639,35217
2010:Q2,66276,61788,4008,0,480,66276
2010:Q3,49438,45947,3516,0,-25,49438
2010:Q4,43301,40295,3049,0,-43,43301
2011:Q1,47473,43666,4336,0,-529,47473
2011:Q2,48950,43177,5799,0,-26,48950
2011:Q3,41262,38804,3967,0,-1509,41262
2011:Q4,27385,22291,5139,0,-45,27385
2012:Q1,24925,20259,4714,0,-48,24925
2012:Q2,47030,38658,7940,0,432,47030
2012:Q3,30517,25328,5228,0,-39,30517
2012:Q4,28371,19434,9008,0,-71,28371
2013:Q1,25333,18132,7260,0,-59,25333
2013:Q2,34377,25072,9337,0,-32,34377
2013:Q3,42555,33895,8688,0,-28,42555
2013:Q4,28520,20255,8303,0,-38,28520
2014:Q1,16242,11352,4918,0,-28,16242
2014:Q2,14168,8634,5564,0,-30,14168
2014:Q3,23592,18002,5618,0,-28,23592
2014:Q4,20990,12838,8196,0,-44,20990
2015:Q1,-2318,-5876,3597,0,-39,-2318
2015:Q2,31058,22204,8879,0,-25,31058
2015:Q3,52214,45393,6025,0,796,52214
2015:Q4,45994,32354,13677,0,-37,45994
2016:Q1,28399,18905,9142,0,352,28399
2016:Q2,40123,27022,13070,0,31,40123
2016:Q3,41355,33614,7794,0,-53,41355
2016:Q4,47629,36272,11338,0,19,47629
2017:Q1,44153,36189,7970,0,-6,44153
2017:Q2,45669,34931,11686,0,-948,45669
2017:Q3,53618,40790,12840,0,-12,53618
2017:Q4,50061,29125,20945,0,-9,50061
2018:Q1,35021,23058,12072,0,-109,35021
2018:Q2,38722,29476,9230,0,16,38722
2018:Q3,45043,36970,8071,0,2,45043
2018:Q4,47029,33527,13650,0,-148,47029
2019:Q1,22705,15539,7173,0,-7,22705
2019:Q2,25254,18536,6720,0,-2,25254
2019:Q3,28857,17147,11720,0,-10,28857
2019:Q4,36953,24822,12466,0,-335,36953
2020:Q1,23776,20945,2873,0,-42,23776
2020:Q2,-12247,-14843,2618,0,-22,-12247
2020:Q3,10804,-7385,18260,0,-71,10804
2020:Q4,-50,-14522,14511,0,-39,-50
2021:Q1,3062,-12549,15702,0,-91,3062
2021:Q2,28198,15646,12525,0,27,28198
2021:Q3,15065,10339,4702,0,24,15065
2021:Q4,27139,21991,4815,0,333,27139
