date,FA316902505.A,FA316300001.A,FA316902605.A,FA316025001.A,FA316020001.A,FA316401005.A,FA316402101.A,FA316140005.A,FA316402101.A,FA316240001.A,FA316402015.A,FA316150195.A,FA316130101.A,FA316121105.A,FA316112101.A,FA316130095.A,FA316140005.A,FA316220001.A,FA316601001.A,FA316404001.A,FA316403105.A,FA316403001.A,FA316012005.A,FA316901001.A,FA316006085.A,FA316006385.A,FA316006085.A,FA315440005.A,FA315050905.A,FA315019001.A,FA316300001.A,FA315420003.A,FA315000995.A,FA315000995.A,FA314090005.A,FA313011105.A,FA313011205.A,FA313011303.A,FA314000005.A,FA313011505.A,FA313011405.A,FA313020005.A,FA313030003.A,FA313091105.A,FA314022005.A,FA313061703.A,FA313063763.A,FA314023005.A,FA314041005.A,FA313066220.A,FA313069005.A,FA313065005.A,FA313081105.A,FA313064105.A,FA313092803.A,FA313092403.A,FA313094303.A,FA313094205.A,FA313096005.A,FA313070000.A,FA313078000.A,FA313093003.A,FA314190005.A,FA313111303.A,FA314100005.A,FA314122005.A,FA313161105.A,FA313161705.A,FA314123005.A,FA313152005.A,FA313140003.A,FA313195105.A,FA343073045.A,FA313196005.A,FA713014003.A,FA313170005.A,FA313172003.A,FA313193005.A,FA315000005.A,FV318090185.A,FV312010095.A,FV318090085.A,FU317005045.A,FR312010095.A,FR315015605.A,FR315013265.A,FR315013765.A,FR318080005.A,FR313011105.A,FR314000005.A,FR313064105.A,FR313094303.A,FR313111303.A,FR318200005.A,FC312090095.A,FL312000095.A,LM312010095.A,LM315015605.A,LM315013265.A,LM315013765.A,FL314090005.A,FL313011105.A,FL313011205.A,FL313011303.A,FL314000005.A,FL313011505.A,FL313011405.A,FL313020005.A,FL313030003.A,FL313091105.A,FL314022005.A,FL313061703.A,FL313063763.A,FL314023005.A,FL314041005.A,FL313066220.A,FL313069005.A,FL313065005.A,FL313081105.A,LM313064105.A,FL313092803.A,FL313092403.A,LM313094303.A,FL313094205.A,FL313096005.A,FL313070000.A,FL313078000.A,FL313093003.A,FL312000095.A,FL314190005.A,FL313111303.A,FL314100005.A,FL314122005.A,FL313161105.A,FL313161705.A,FL314123005.A,FL313152005.A,FL313140003.A,FL313195105.A,FL343073045.A,FL313196005.A,FL713014003.A,FL313170005.A,FL313172003.A,FL313193013.A,FL312090095.A
2005,553593,190535,363058,362119,263352,98767,939,-255728,939,99412,-60539,48836,17459,21714,9663,344375,-255728,1268412,853397,1095955,33711,371821,432017,725774,-293757,-366266,-293757,72509,29688,222013,190535,-1790,-395954,-395954,29439,-4509,2,-4511,1284,309,-10216,12155,-963,0,0,0,0,-2958,-5344,3748,-9092,2386,1138,0,1138,0,0,0,34484,9224,24618,642,453908,0,779,346867,347293,-426,0,67549,1136,23016,43397,38713,0,33664,0,5049,-424469,-45831,-500,-16816,28515,112789,92272,5944,14573,-2104,-861,-1243,0,0,-606,111291,-300805,3087989,2432879,1176669,528547,727663,655110,8214,4,8210,67958,18694,8149,37049,1439,2627,0,0,0,271648,195075,89822,105253,76573,43144,0,43144,0,0,0,264146,70992,103211,89943,3087989,7372213,7003,27482,5584775,5560940,23835,0,1542758,42702,75388,1424668,210195,2200,202635,0,5360,-4284224
2006,577949,201286,376664,374790,271690,103100,1874,-263871,1874,99248,-51094,58315,19073,29307,9935,372212,-263871,1435528,905682,1201514,38133,370355,543604,765548,-221944,-270805,-221944,48861,20113,235642,201286,-14244,-290918,-290918,-15469,225,2,223,-5446,367,-3313,-2721,221,0,0,0,0,5957,2251,1605,646,3706,1939,0,1939,0,0,0,-18144,-11595,-7595,1046,295492,0,582,219148,219474,-326,0,63980,1502,18081,44397,11782,0,6222,0,5560,-310961,25466,0,45509,20043,112189,93888,8856,9446,772,437,335,0,0,368,112593,-132747,3246167,2579473,1265685,555322,758466,666694,8874,4,8870,62847,20194,5171,33195,1660,2627,0,0,0,294842,214563,108664,105899,80279,45083,0,45083,0,0,0,255048,59397,104662,90989,3246167,7663138,7371,28064,5803923,5780414,23509,0,1607628,44204,93469,1469955,216152,2200,208857,0,5095,-4416971
2007,604938,212804,392134,389995,283064,106931,2139,-290098,2139,94625,-47452,68568,22638,34818,11112,407978,-290098,1513032,947297,1276630,42666,394956,541311,800988,-259677,-319086,-259677,59409,33900,250037,212804,-3334,-352986,-352986,-433,154,0,154,25796,495,-1021,25142,1181,0,0,0,0,6862,4779,6992,-2213,2083,1581,0,1581,0,0,0,-34826,1196,-36403,381,371306,0,-681,270392,270762,-370,0,72870,1565,23784,47521,28725,0,29319,0,-594,-371739,-19873,0,-1120,18754,92315,61220,8099,22996,677,452,225,0,0,371,92621,-246338,3393035,2709820,1325528,581987,802305,683215,9480,4,9476,88868,22524,4375,56501,2841,2627,0,0,0,301705,219343,115657,103686,82362,46664,0,46664,0,0,0,236498,60593,84535,91370,3393035,8056344,7742,27383,6074315,6051176,23139,0,1701667,45769,137344,1518554,245237,2200,238176,0,4861,-4663309
2008,636580,225859,410721,409609,296494,113115,1112,-275649,1112,93988,-49587,67236,21217,32267,13753,388398,-275649,1395529,974497,1478687,49689,410045,255335,880271,-624937,-748727,-624937,123791,25437,271689,225859,-20393,-774164,-774164,578845,106,0,106,315967,635,3475,313122,-1264,0,54427,54427,0,39128,25664,19494,6170,13464,257646,256340,1306,0,0,0,-88429,4155,-63211,-29373,1367354,0,-832,1302502,1302295,207,0,44189,978,26502,16709,21495,0,21823,0,-328,-788509,85263,0,99608,14345,73060,49421,11881,11758,-67940,-242,-34,-67664,0,-195,5315,-658150,4103945,2828699,1375492,619486,833721,1275246,9344,4,9340,404801,23396,7816,369385,1577,2627,54427,54427,0,340834,245008,135152,109856,95826,236646,188676,47970,0,0,0,229194,64748,102449,61997,4103945,9425404,7547,26551,7376817,7353471,23346,0,1747968,46747,163846,1537375,266521,2200,259999,0,4322,-5321459
2009,668174,233640,434534,433586,312220,121366,947,-219551,947,91384,-56941,99591,26396,66175,7020,354533,-219551,1032282,950663,1630544,67199,505059,-305011,938164,-1243175,-1435195,-1243175,192021,40116,282622,233640,-8866,-1475311,-1475311,246415,48230,0,48230,-170213,335,3357,-174242,337,0,142540,141980,560,176348,163787,97497,66290,12561,3358,595,1567,0,1196,0,46152,-21100,34923,32329,1538401,47598,-352,1505828,1505679,149,0,34565,1098,16567,16900,-49238,3000,-55171,0,2933,-1291986,183554,0,229,-183325,-39276,-47441,2725,5440,-121633,244,345,-121920,-302,219,-161128,-1412769,4246233,2838393,1332809,647114,858470,1407840,57818,4,57814,234933,24953,11518,193921,1914,2627,196967,196407,560,517183,408796,232650,176146,108387,117782,67351,49537,0,894,0,283157,43648,145183,94326,4246233,10980461,55364,26199,8882645,8859150,23495,0,1802245,47845,180413,1573987,214008,5200,204828,0,3980,-6734228
2010,700767,243740,457028,459429,328521,130908,-2401,-205327,-2401,96780,-54242,136024,31719,96300,8005,381487,-205327,1176818,970903,1773974,68141,552014,-315453,1002908,-1318360,-1451405,-1318360,133045,52559,297250,243740,-951,-1503964,-1503964,279850,31,0,31,150488,255,1293,148888,52,0,-46865,-47185,320,130765,136184,131134,5050,-5419,29922,24061,1906,0,3955,0,15509,-706,26061,-9846,1696824,0,-276,1645917,1645251,666,0,39742,862,22484,16396,11441,0,9049,0,2392,-1416974,9476,0,-77514,-86990,63837,19204,13166,31467,-43701,-1021,-186,-41484,-1010,-977,21113,-1420816,4631220,2955761,1360387,684952,910422,1675459,56828,4,56824,385235,25695,12625,342322,1966,2627,150102,149222,880,688548,581980,363784,218196,106568,105210,49928,51443,0,3839,0,289536,42942,162114,84480,4631220,12786264,54387,25923,10528562,10504401,24161,0,1954708,48707,202897,1703104,222684,5200,213877,0,3607,-8155044
2011,716829,254938,461891,468185,331670,136515,-6294,-251337,-6294,108623,-59462,131238,27101,94206,9931,425442,-251337,1369781,903206,1796503,67057,522247,-230042,1004097,-1234140,-1355742,-1234140,121603,39843,295665,254938,-885,-1395585,-1395585,-132326,-1752,0,-1752,-239908,-225,18203,-257617,-269,0,-118218,-118130,-88,157731,154433,130975,23458,3298,42514,40289,1724,0,501,0,27307,4761,23815,-1269,1199529,0,0,1138688,1137581,1107,0,38139,1263,18531,18345,22702,0,9110,0,13592,-1331855,55641,0,-8089,-63730,64775,48556,10758,5461,-32124,-116,-491,-32394,877,-168,32819,-1267282,4546734,3061306,1413994,713140,934172,1485428,54960,4,54956,144836,25617,30337,84558,1697,2627,31884,31092,792,846279,736413,494759,241654,109866,116207,57823,53167,0,5217,0,291262,47703,160348,83211,4546734,13969060,54219,25923,11667250,11641982,25268,0,1990280,49970,221428,1718882,231388,5200,222987,0,3201,-9422326
2012,719010,261638,457372,465152,327616,137536,-7780,-231224,-7780,115164,-57580,141596,21848,109516,10232,422624,-231224,1457786,937959,1799785,56092,493794,-72965,999721,-1072686,-1163565,-1072686,90879,23688,287289,261638,-1964,-1187253,-1187253,75396,37,0,37,11061,196,4023,6666,177,0,-31251,-31091,-160,89988,88357,127488,-39131,1631,-14429,-13179,2159,0,-3409,0,19990,2645,20804,-3459,1245119,0,0,1180578,1180967,-389,0,60010,287,13346,46377,4531,0,12833,0,-8302,-1169723,-643,0,-18172,-17530,39733,34899,173,4662,-4679,57,49,-4736,-49,58,34996,-1129211,4670188,3126726,1445702,726592,954432,1543462,55054,4,55050,155946,24738,34409,92159,2013,2627,633,1,632,936268,824771,622248,202523,111497,96993,39908,55326,0,1759,0,298568,50348,168468,79752,4670188,15221725,54277,25923,12847828,12822949,24879,0,2049919,50257,234774,1764888,243778,5200,235820,0,2758,-10551537
2013,710958,265877,445081,455142,320408,134734,-10061,-116449,-10061,125478,-59245,243705,23473,210918,9314,416326,-116449,1619408,1091780,1840391,69261,497867,325744,957512,-631768,-696042,-631768,64274,1293,269648,265877,-2478,-697335,-697335,364615,22,0,22,65831,159,-3438,69577,-465,-1,-82,0,-82,271810,267837,113269,154568,3973,-4569,-4840,2030,0,-1759,0,31603,3255,24663,3685,873035,0,-350,857299,857691,-392,0,725,230,12157,-11662,15361,0,14099,0,1262,-508420,180590,0,-8325,-188915,74212,45677,5564,22971,139,112,27,0,0,109,74242,-441210,5098343,3204770,1483146,736230,985394,1893573,55188,4,55184,221804,23603,30998,163029,1548,2626,551,1,550,1208078,1092608,735517,357091,115470,92424,35068,57356,0,0,0,315528,53603,178488,83437,5098343,16091090,54386,25573,13705127,13680640,24487,0,2048609,50487,246931,1751191,257395,5200,249919,0,2276,-10992747
2014,723096,270220,452877,459954,324008,135946,-7078,-194756,-7078,136292,-57596,172717,24836,137605,10276,439092,-194756,1763762,1140055,1900595,87253,540867,354851,952201,-597350,-662226,-597350,64877,-9022,263801,270220,-2603,-653204,-653204,32020,23,0,23,57150,122,-3949,60299,678,0,-21,0,-21,-26430,-28154,110731,-138885,1724,421,-1637,2058,0,0,0,877,-5154,-4142,10173,764842,0,-250,735927,736040,-113,0,29246,770,10378,18098,-81,0,-3094,0,3013,-732822,-51427,0,28191,79618,50274,31230,8983,10061,-5003,-3266,-1737,0,0,-3220,48491,-665162,5149798,3248706,1504668,746829,997209,1901092,51945,4,51941,277217,20707,25312,226346,2226,2626,530,1,529,1181648,1064454,846248,218206,117194,92845,33431,59414,0,0,0,296907,48449,154848,93610,5149798,16807707,51166,25323,14441054,14416680,24374,0,2036387,51257,257309,1727821,253777,5200,246825,0,1752,-11657909
2015,737281,271498,465783,469030,330474,138556,-3248,-187753,-3248,140319,-56678,161136,28044,126416,6676,429282,-187753,1883845,1190781,1990268,76176,577850,394932,955146,-560214,-620161,-560214,59947,-35782,266616,271498,-30900,-584379,-584379,236938,9,0,9,103541,93,-6494,110405,-462,0,-37,0,-37,106059,106773,103416,3357,-714,2073,-24,2097,0,0,0,25293,12707,424,12162,755734,0,-551,724572,724392,180,0,13630,-108,7385,6353,18083,0,14541,0,3542,-518796,122475,0,56891,-65583,7118,11685,-2881,-1687,-3332,-2262,-1070,0,0,-2228,6014,-491672,5405616,3251047,1506814,745468,998765,2154569,49692,4,49688,379688,19472,17748,338078,1764,2626,493,1,492,1287708,1171228,949665,221563,116480,94918,33407,61511,0,0,0,342070,61156,175142,105772,5405616,17555197,48938,24772,15165626,15141072,24554,0,2048115,51149,264694,1732272,267746,5200,261366,0,1180,-12149581
2016,749010,270737,478273,479723,336357,143366,-1450,-239669,-1450,136497,-61214,140801,29726,106272,4803,454304,-239669,1883862,1224406,2045156,79650,604985,298109,965708,-667599,-728116,-667599,60517,-10828,268804,270737,-8895,-717289,-717289,206210,684,0,684,67010,29,1501,65708,-228,0,0,0,0,97888,94702,99629,-4927,3186,1687,-60,1747,0,0,0,38941,3787,23944,11210,883236,0,-550,842665,842760,-95,0,5968,114,12866,-7012,35153,0,29375,0,5778,-677026,64889,0,24627,-40262,56063,47684,821,7558,-2060,-1489,-571,0,0,-1462,55465,-607762,5658108,3305242,1544161,748324,1012757,2352866,48887,4,48883,446127,19250,18678,404037,1536,2626,493,1,492,1385595,1265929,1049293,216636,119666,96605,33347,63258,0,0,0,375159,64943,193234,116982,5658108,18415451,47476,24222,16008291,15983832,24459,0,2038953,51263,277560,1710130,296509,5200,290741,0,568,-12757343
2017,768074,275888,492186,491231,344104,147127,956,-263945,956,131594,-59320,139591,29810,103712,6069,476766,-263945,1883900,1284185,2120598,84984,606487,262040,982732,-720692,-538769,-720692,-181923,1925,280037,275888,-2225,-540694,-540694,156064,78,0,78,-171580,23,-1834,-170154,385,0,0,0,0,95782,95606,96286,-680,176,1367,-139,1506,0,0,0,230417,74,220959,9384,635879,0,-250,446970,447034,-64,151678,16754,-173,9555,7372,20727,0,17484,0,3243,-479815,110115,0,49236,-60879,87323,55737,6313,25274,3963,2903,1060,0,0,2818,88468,-340186,5946424,3396663,1587497,761160,1048006,2549761,51868,4,51864,275607,21202,17904,231954,1921,2626,493,1,492,1481377,1361535,1145579,215956,119842,97972,33208,64764,0,0,0,642444,65017,451061,126366,5946424,19043953,50294,23972,16455261,16430866,24395,151678,2049213,51090,287115,1711008,313535,5200,308225,0,110,-13097529
2018,795736,284914,510822,511432,357245,154187,-610,-318218,-610,163630,-62742,123284,36428,79024,7832,541780,-318218,1851011,1345439,2219183,86282,633982,111348,1039431,-928084,-987634,-928084,59551,13877,299568,284914,-777,-1001512,-1001512,322058,156,0,156,178498,5,4820,173546,127,0,0,0,0,99082,95727,90693,5034,3355,5298,3970,1328,0,0,0,39024,10403,14957,13664,1297147,0,-266,1409765,1411220,-1455,-151678,-36278,194,13908,-50380,75604,0,74041,0,1563,-975089,2747,0,-23676,-26423,110057,66354,14124,29580,-5658,-1217,-441,-4000,0,-1177,105576,-879311,6381601,3521291,1642796,787611,1090884,2860310,50807,4,50803,453664,20803,22283,405904,2048,2626,493,1,492,1580459,1457262,1236272,220990,123197,99270,33178,66092,0,0,0,675617,75420,460167,140030,6381601,20358441,49117,23706,17865026,17842086,22940,0,2033289,51284,301023,1680982,387303,5200,382266,0,-163,-13976840
2019,817919,293287,524633,527206,365581,161625,-2573,-373795,-2573,174711,-72352,109911,37695,63823,8393,583491,-373795,1952902,1406236,2348387,72482,659503,49935,1097405,-1047470,-1125224,-1047470,77754,21670,317526,293287,-2570,-1146893,-1146893,84231,237,0,237,5650,76,4270,1040,264,1,0,0,0,93492,92882,82973,9909,610,1367,0,1367,0,0,0,-16515,-1896,-20251,5632,1196620,0,-540,1174872,1176601,-1729,0,-17636,897,14374,-32907,39924,0,36021,0,3903,-1112389,-44647,0,-79152,-34504,58083,38392,5197,14495,-425,-291,-134,0,0,-282,57940,-1111931,6487926,3603734,1673988,812686,1117060,2884192,50753,4,50749,459180,20611,26419,407211,2312,2627,493,1,492,1673951,1550144,1319245,230899,123807,100637,33178,67459,0,0,0,599178,73524,379992,145662,6487926,21576697,48835,23166,19039898,19018687,21211,0,2041510,52181,315397,1673932,423288,5200,418287,0,-199,-15088771
2020,855050,303527,551522,552161,381838,170323,-639,-1017797,-639,158007,-760767,119812,23478,90820,5515,534210,-1017797,1899773,1444640,3406127,62886,931919,-1948544,1161446,-3109990,-3182626,-3109990,72637,33872,340334,303527,-2935,-3216498,-3216498,1701870,81,0,81,1333839,39,8815,1326317,-1331,0,0,0,0,253221,249877,61743,188134,3344,115847,0,1847,0,0,114000,-1118,11328,-18587,6141,4947986,0,-40,4581162,4582166,-1004,0,-11204,190,8236,-19630,378068,0,17179,364715,-3826,-3246116,20728,0,50346,29618,93298,35623,17640,40036,3515,2112,1403,0,0,2029,94784,-3067114,8399105,3733951,1706752,851322,1175877,4665154,52946,4,52942,1794422,22098,36637,1732079,981,2627,493,1,492,1927172,1800021,1380988,419033,127151,216484,33178,69306,0,0,114000,673637,84852,436982,151803,8399105,26554990,50864,23126,23621060,23600853,20207,0,2054559,52371,323633,1678555,805381,5200,435466,364715,0,-18155885
