date,Pension funds; total financial assets,Pension funds; checkable deposits and currency; asset,Pension funds; total time and savings deposits; asset,Pension funds; money market fund shares; asset,Pension funds; security repurchase agreements; asset,Pension funds; debt securities; asset,Pension funds; commercial paper; asset,Pension funds; Treasury securities; asset,Pension funds; agency- and GSE-backed securities; asset,Pension funds; municipal securities; asset,Pension funds; corporate and foreign bonds; asset,Pension funds; loans; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Pension funds; total mortgages; asset,Pension funds; corporate equities; asset,Pension funds; mutual fund shares; asset,Pension funds; total miscellaneous assets,Pension funds; unallocated insurance contracts; asset,Private pension funds; pension fund contributions receivable; asset,Pension funds; claims of pension fund on sponsor; asset,Pension funds; unidentified miscellaneous assets,Pension funds; total liabilities,Defined benefit pension funds; pension entitlements (total liabilities),Defined benefit pension funds; total funded assets,Pension funds; defined benefit claims of pension fund on sponsor; asset,Households and nonprofit organizations; retirement assets,Defined benefit pension funds; pension entitlements (total liabilities),Defined contribution pension funds; total financial assets,All sectors; IRAs; liability,Life insurance companies; pension entitlements, excluding unallocated insurance contracts and IRAs; liability
1952:Q2,119717,469,381,0,86,20101,0,13569,10,1794,4728,255,0,255,1609,0,96816,0,145,96040,631,119771,117494,21454,96040,ND,117494,2277,ND,ND
1952:Q3,123730,465,396,0,90,21143,0,14144,15,1838,5146,272,0,272,1651,0,99713,0,151,98905,657,123780,121418,22513,98905,ND,121418,2362,ND,ND
1952:Q4,127869,468,411,0,93,21725,0,14264,20,1883,5558,290,0,290,1899,0,102983,0,160,102151,672,127927,125432,23281,102151,ND,125432,2495,ND,ND
1953:Q1,131862,483,427,0,94,22407,0,14449,22,1933,6003,311,0,311,1975,0,106165,0,167,105316,682,131922,129329,24013,105316,ND,129329,2593,ND,ND
1953:Q2,135968,510,444,0,96,23453,0,15026,23,1986,6418,333,0,333,2105,0,109027,0,175,108169,683,136034,133335,25166,108169,ND,133335,2699,ND,ND
1953:Q3,139998,538,461,0,96,24222,0,15352,24,2042,6804,356,0,356,2237,0,112088,0,182,111221,685,140071,137272,26051,111221,ND,137272,2799,ND,ND
1953:Q4,143957,555,478,0,97,24756,0,15437,43,2103,7173,380,0,380,2467,0,115224,0,191,114348,685,144028,141122,26774,114348,ND,141122,2906,ND,ND
1954:Q1,147884,561,497,0,99,25437,0,15656,44,2166,7571,405,0,405,2687,0,118198,0,199,117307,692,147958,144940,27633,117307,ND,144940,3018,ND,ND
1954:Q2,151873,558,516,0,101,26448,0,16151,47,2232,8018,430,0,430,2769,0,121051,0,205,120146,700,151949,148843,28697,120146,ND,148843,3106,ND,ND
1954:Q3,155783,553,536,0,103,27090,0,16238,43,2302,8507,457,0,457,2910,0,124134,0,213,123211,710,155863,152648,29437,123211,ND,152648,3215,ND,ND
1954:Q4,159844,551,556,0,106,27860,0,16417,45,2376,9022,487,0,487,3253,0,127031,0,224,126077,730,159935,156554,30477,126077,ND,156554,3381,ND,ND
1955:Q1,163905,558,577,0,111,28499,0,16520,52,2456,9471,521,0,521,3664,0,129975,0,237,128976,762,163996,160428,31452,128976,ND,160428,3568,ND,ND
1955:Q2,168266,570,600,0,118,29487,0,17019,59,2542,9867,557,0,557,4667,0,132267,0,259,131210,798,168365,164493,33283,131210,ND,164493,3872,ND,ND
1955:Q3,172569,583,623,0,125,30391,0,17477,66,2632,10216,597,0,597,5626,0,134624,0,280,133501,843,172683,168522,35021,133501,ND,168522,4161,ND,ND
1955:Q4,176803,589,647,0,132,31031,0,17686,77,2723,10545,639,0,639,6285,0,137480,0,295,136289,896,176930,172553,36264,136289,ND,172553,4377,ND,ND
1956:Q1,181128,594,671,0,140,31743,0,17889,95,2816,10943,685,0,685,7034,0,140261,0,311,138998,952,181260,176646,37648,138998,ND,176646,4614,ND,ND
1956:Q2,185529,595,697,0,150,32605,0,18175,98,2911,11421,733,0,733,6940,0,143809,0,317,142465,1027,185665,180950,38485,142465,ND,180950,4715,ND,ND
1956:Q3,190124,597,724,0,158,33772,0,18664,107,3009,11992,786,0,786,6901,0,147186,0,324,145761,1101,190266,185426,39665,145761,ND,185426,4840,ND,ND
1956:Q4,195128,605,752,0,166,34470,0,18606,114,3110,12640,844,0,844,7265,0,151026,0,339,149534,1153,195275,190224,40690,149534,ND,190224,5051,ND,ND
1957:Q1,202099,624,781,0,172,35319,0,18662,139,3214,13304,907,0,907,7229,0,157067,0,348,155519,1200,202251,197074,41555,155519,ND,197074,5177,ND,ND
1957:Q2,209616,653,811,0,177,36398,0,18942,154,3322,13980,974,0,974,8225,0,162378,0,370,160785,1223,209772,204295,43510,160785,ND,204295,5477,ND,ND
1957:Q3,216908,682,842,0,182,37229,0,18952,171,3431,14675,1046,0,1046,7932,0,168995,0,373,167362,1260,217068,211544,44182,167362,ND,211544,5524,ND,ND
1957:Q4,224098,703,874,0,186,37975,0,18865,210,3539,15361,1123,0,1123,7789,0,175448,0,378,173772,1298,224262,218667,44895,173772,ND,218667,5595,ND,ND
1958:Q1,229518,717,908,0,191,38963,0,19026,244,3648,16045,1203,0,1203,8380,0,179156,0,393,177441,1322,229664,223858,46417,177441,ND,223858,5806,ND,ND
1958:Q2,234951,727,943,0,194,39913,0,19241,218,3760,16694,1286,0,1286,9321,0,182567,0,414,180818,1335,235103,229017,48199,180818,ND,229017,6086,ND,ND
1958:Q3,240497,733,979,0,198,40988,0,19561,228,3868,17331,1376,0,1376,10549,0,185674,0,440,183889,1345,240672,234244,50355,183889,ND,234244,6428,ND,ND
1958:Q4,246113,740,1017,0,204,41916,0,19752,233,3963,17968,1478,0,1478,11961,0,188797,0,469,186962,1366,246309,239493,52531,186962,ND,239493,6816,ND,ND
1959:Q1,250499,746,1056,0,211,42716,0,19991,261,4048,18416,1588,0,1588,12552,0,191630,0,484,189736,1410,250675,243646,53910,189736,ND,243646,7029,ND,ND
1959:Q2,255312,750,1096,0,218,43813,0,20447,304,4124,18938,1703,0,1703,13731,0,194001,0,510,192036,1455,255516,248130,56094,192036,ND,248130,7386,ND,ND
1959:Q3,260211,754,1138,0,227,44999,0,21058,327,4192,19422,1832,0,1832,13882,0,197379,0,520,195341,1518,260446,252899,57558,195341,ND,252899,7547,ND,ND
1959:Q4,265022,756,1182,0,235,45905,0,21245,338,4251,20071,1981,0,1981,15025,0,199938,0,547,197821,1570,265279,257362,59541,197821,ND,257362,7917,ND,ND
1960:Q1,270717,761,1227,0,245,46817,0,21451,428,4305,20633,2154,0,2154,14619,0,204894,0,549,202693,1652,271006,263035,60342,202693,ND,263035,7971,ND,ND
1960:Q2,276994,765,1275,0,255,48160,0,22117,476,4356,21211,2354,0,2354,15650,0,208535,0,572,206238,1725,277286,268998,62760,206238,ND,268998,8288,ND,ND
1960:Q3,282548,772,1324,0,266,48896,0,22099,487,4393,21917,2560,0,2560,15124,0,213606,0,573,211215,1818,282843,274511,63296,211215,ND,274511,8332,ND,ND
1960:Q4,288527,789,1374,0,275,49908,0,22205,474,4406,22823,2751,0,2751,17145,0,216285,0,613,213809,1863,288824,279949,66140,213809,ND,279949,8875,ND,ND
1961:Q1,294406,819,1427,0,284,50644,0,22403,484,4399,23358,2933,0,2933,19786,0,218513,0,657,215961,1895,294668,285216,69255,215961,ND,285216,9452,ND,ND
1961:Q2,300356,861,1482,0,291,52271,0,23228,483,4374,24186,3110,0,3110,20331,0,222010,0,674,219394,1942,300658,290969,71575,219394,ND,290969,9689,ND,ND
1961:Q3,305995,904,1539,0,298,53030,0,23292,513,4330,24895,3284,0,3284,21452,0,225488,0,697,222806,1985,306329,296320,73514,222806,ND,296320,10009,ND,ND
1961:Q4,311781,937,1598,0,307,53788,0,23231,560,4263,25734,3456,0,3456,23756,0,227939,0,740,225178,2021,312143,301563,76385,225178,ND,301563,10580,ND,ND
1962:Q1,314902,962,1660,0,321,54754,0,23500,658,4175,26421,3624,0,3624,23797,32,229752,0,749,226868,2135,315266,304531,77663,226868,ND,304531,10735,ND,ND
1962:Q2,317631,981,1723,0,338,56478,0,24442,697,4058,27281,3787,0,3787,18598,86,235640,0,686,232603,2351,318001,308016,75413,232603,ND,308016,9985,ND,ND
1962:Q3,321158,997,1790,0,355,57116,0,24572,731,3930,27883,3949,0,3949,20096,140,236715,0,716,233519,2480,321532,311116,77597,233519,ND,311116,10416,ND,ND
1962:Q4,325130,1014,1858,0,369,57993,0,24699,719,3804,28771,4118,0,4118,22885,172,236721,0,768,233398,2555,325504,314380,80982,233398,ND,314380,11124,ND,ND
1963:Q1,330551,1032,1930,0,380,58839,0,24876,720,3682,29561,4288,0,4288,24631,184,239267,0,803,235853,2611,330958,319363,83510,235853,ND,319363,11595,ND,ND
1963:Q2,336729,1048,2004,0,385,60854,0,26130,716,3553,30455,4455,0,4455,26198,177,241608,0,834,238142,2632,337129,325112,86970,238142,ND,325112,12017,ND,ND
1963:Q3,342580,1066,2081,0,393,61849,0,26263,728,3426,31432,4631,0,4631,27645,169,244746,0,864,241212,2670,342999,330569,89357,241212,ND,330569,12430,ND,ND
1963:Q4,348662,1086,2161,0,409,62713,0,26349,717,3304,32343,4832,0,4832,29170,176,248115,0,895,244435,2785,349099,336215,91780,244435,ND,336215,12884,ND,ND
1964:Q1,355176,1115,2244,0,435,63984,0,26865,727,3194,33198,5073,0,5073,31347,201,250777,0,940,246865,2972,355625,342086,95221,246865,ND,342086,13539,ND,ND
1964:Q2,362244,1163,2330,0,471,65993,0,27819,748,3089,34337,5328,0,5328,32918,241,253800,0,978,249567,3255,362721,348620,99053,249567,ND,348620,14101,ND,ND
1964:Q3,369110,1170,2419,0,507,66947,0,28075,731,2991,35150,5577,0,5577,34544,283,257663,0,1014,253098,3551,369601,354922,101824,253098,ND,354922,14679,ND,ND
1964:Q4,376113,1203,2512,0,537,68062,0,28154,858,2900,36150,5848,0,5848,35705,312,261934,0,1049,257104,3781,376626,361410,104306,257104,ND,361410,15216,ND,ND
1965:Q1,383330,1063,2609,0,560,69472,0,28806,779,2820,37067,6140,0,6140,37047,331,266108,0,1081,261072,3955,383888,368158,107086,261072,ND,368158,15730,ND,ND
1965:Q2,391089,1039,2709,0,577,71436,0,29849,785,2748,38054,6564,0,6564,36644,341,271779,0,1087,266587,4105,391665,375832,109245,266587,ND,375832,15833,ND,ND
1965:Q3,399513,1072,2813,0,594,72158,0,29536,916,2684,39022,6865,0,6865,40934,349,274728,0,1157,269385,4186,400108,383354,113969,269385,ND,383354,16754,ND,ND
1965:Q4,407945,1258,2921,0,616,72935,0,29416,946,2625,39948,7131,0,7131,43254,360,279470,0,1203,273927,4340,408601,391197,117270,273927,ND,391197,17404,ND,ND
1966:Q1,416767,1282,3034,0,642,74788,0,29538,967,2579,41704,7444,0,7444,43345,372,285860,0,1226,280083,4551,417431,399651,119568,280083,ND,399651,17780,ND,ND
1966:Q2,426329,1126,3151,0,671,76790,0,30258,1097,2543,42892,7734,0,7734,42501,384,293972,0,1223,287929,4820,426997,409120,121191,287929,ND,409120,17877,ND,ND
1966:Q3,435243,1068,3271,0,702,78183,0,30452,1113,2513,44105,8054,0,8054,39238,397,304330,0,1189,298009,5132,435918,418351,120342,298009,ND,418351,17567,ND,ND
1966:Q4,445589,1126,3418,0,734,79390,0,30396,1098,2481,45415,8427,0,8427,42268,414,309812,0,1249,303208,5355,446270,427837,124629,303208,ND,427837,18433,ND,ND
1967:Q1,456136,1231,3539,0,767,80072,0,29873,1101,2461,46637,8672,0,8672,48789,435,312631,0,1353,305728,5550,456833,436980,131252,305728,ND,436980,19853,ND,ND
1967:Q2,466661,1254,3699,0,803,81833,0,30688,1134,2442,47569,8823,0,8823,50240,459,319550,0,1380,312328,5842,467381,447034,134706,312328,ND,447034,20347,ND,ND
1967:Q3,477293,1263,3898,0,838,82955,0,30349,1121,2424,49061,8984,0,8984,54259,485,324611,0,1451,317070,6090,478036,456662,139592,317070,ND,456662,21374,ND,ND
1967:Q4,487543,1197,4175,0,870,84248,0,30444,1122,2406,50276,9086,0,9086,55004,510,332453,0,1470,324623,6360,488313,466547,141924,324623,ND,466547,21766,ND,ND
1968:Q1,498981,1236,4244,0,900,85455,0,30760,1116,2437,51142,9239,0,9239,52127,535,345245,0,1443,337147,6655,499797,478226,141079,337147,ND,478226,21571,ND,ND
1968:Q2,513385,1353,4378,0,928,87519,0,31904,1407,2372,51836,9319,0,9319,60670,561,348657,0,1566,340310,6781,514240,490975,150665,340310,ND,490975,23265,ND,ND
1968:Q3,526800,1412,4631,0,954,88457,0,31737,1539,2384,52797,9346,0,9346,64101,587,357312,0,1621,348726,6965,527708,503632,154906,348726,ND,503632,24076,ND,ND
1968:Q4,540886,1392,4910,0,980,89662,0,31908,1807,2382,53565,9429,0,9429,67256,614,366643,0,1671,357821,7151,541846,516987,159166,357821,ND,516987,24859,ND,ND
1969:Q1,554457,1502,4851,0,1006,90558,0,32065,1870,2386,54237,9505,0,9505,66904,639,379492,0,1667,370443,7382,555424,530499,160056,370443,ND,530499,24925,ND,ND
1969:Q2,569503,1324,5183,0,1030,92464,0,32877,1933,2368,55286,9544,0,9544,67383,664,391911,0,1674,382647,7590,570472,545331,162684,382647,ND,545331,25141,ND,ND
1969:Q3,584562,1333,5431,0,1053,94458,0,33031,2102,2348,56977,9684,0,9684,66455,689,405459,0,1672,395980,7807,585540,560301,164321,395980,ND,560301,25239,ND,ND
1969:Q4,600344,1333,5599,0,1079,95444,0,32767,2174,2331,58172,9791,0,9791,68725,715,417658,0,1710,407950,7998,601325,575487,167537,407950,ND,575487,25838,ND,ND
1970:Q1,620127,1265,5784,0,1105,96695,0,32601,2170,2308,59616,9880,0,9880,69089,737,435572,0,1720,425625,8227,621124,591952,166327,425625,ND,591952,29172,ND,ND
1970:Q2,635158,1224,6075,0,1133,99368,0,34073,2269,2159,60867,10021,0,10021,56873,752,459712,0,1560,449521,8631,636187,609454,159933,449521,ND,609454,26733,ND,ND
1970:Q3,654949,1302,6266,0,1161,101759,0,34472,2492,2133,62662,9982,0,9982,68490,774,465215,0,1730,454770,8715,656013,626474,171704,454770,ND,626474,29539,ND,ND
1970:Q4,674229,1494,6528,0,1190,103681,0,34756,2395,2032,64498,10091,0,10091,77187,817,473241,0,1858,462530,8853,675319,643648,181118,462530,ND,643648,31671,ND,ND
1971:Q1,695187,1551,6800,0,1221,104105,0,34865,2173,2040,65027,10099,0,10099,88918,882,481611,0,2004,470625,8982,696355,662182,191557,470625,ND,662182,34173,ND,ND
1971:Q2,715334,1625,6945,0,1252,105898,0,36010,1993,2042,65853,10084,0,10084,91735,968,496827,0,2029,485557,9241,716586,681826,196269,485557,ND,681826,34760,ND,ND
1971:Q3,735915,1692,7207,0,1286,106344,0,36229,2038,2050,66027,9946,0,9946,97241,1062,511137,0,2097,499568,9472,737250,701217,201649,499568,ND,701217,36033,ND,ND
1971:Q4,757662,1853,7418,0,1321,108304,0,36392,2150,2152,67610,9946,0,9946,104051,1150,523619,0,2199,511727,9693,759088,721305,209578,511727,ND,721305,37783,ND,ND
1972:Q1,781822,2116,7552,0,1474,110134,308,36462,2526,2229,68609,9641,0,9641,113687,1237,535981,0,2350,522716,10915,783406,742624,219908,522716,ND,742624,40782,ND,ND
1972:Q2,806381,2218,7854,0,1707,114959,794,38597,3007,2466,70095,9390,0,9390,115596,1330,553327,0,2426,537965,12936,808063,765283,227318,537965,ND,765283,42780,ND,ND
1972:Q3,831135,2300,8220,0,1948,118773,1322,38959,3685,2123,72684,9205,0,9205,119193,1419,570077,0,2537,552542,14998,832919,787556,235014,552542,ND,787556,45363,ND,ND
1972:Q4,857113,2557,8702,0,2130,122140,1755,40342,4183,2029,73831,9198,0,9198,130017,1494,580875,0,2722,561708,16445,858974,810028,248320,561708,ND,810028,48946,ND,ND
1973:Q1,869416,2501,9195,0,2260,125353,2104,40594,4882,1622,76151,9146,0,9146,123746,1555,595660,0,2695,575320,17645,871381,822394,247074,575320,ND,822394,48987,ND,ND
1973:Q2,882250,2680,9661,0,2348,130192,2382,42968,5268,1536,78038,9260,0,9260,115925,1603,610581,0,2634,589446,18501,884355,836037,246591,589446,ND,836037,48318,ND,ND
1973:Q3,898700,2940,10340,0,2427,133472,2677,42932,5808,1650,80405,9249,0,9249,127230,1647,611395,0,2826,589549,19020,900962,849307,259758,589549,ND,849307,51655,ND,ND
1973:Q4,910891,2999,10827,0,2530,135852,3079,43386,6526,1691,81170,9517,0,9517,113757,1695,633714,0,2697,610950,20067,913312,863344,252394,610950,ND,863344,49968,ND,ND
1974:Q1,933140,2963,11331,0,2645,137957,3554,43062,7069,1845,82427,9670,0,9670,117902,1734,648938,0,2791,625132,21015,935789,883852,258720,625132,ND,883852,51937,ND,ND
1974:Q2,954378,3145,12056,0,2765,144962,4069,47710,7409,1444,84330,9707,0,9707,107860,1751,672132,0,2718,647253,22161,957201,906000,258747,647253,ND,906000,51201,ND,ND
1974:Q3,971760,3363,12704,0,2894,149045,4670,47876,7912,1248,87339,9791,0,9791,80756,1790,711417,0,2459,685368,23590,974809,927311,241943,685368,ND,927311,47498,ND,ND
1974:Q4,996708,3620,13500,0,3041,153198,5403,48382,8888,983,89542,10074,0,10074,91155,1895,720225,0,2670,692858,24697,999984,948607,255749,692858,ND,948607,51377,ND,ND
1975:Q1,1026596,3943,14306,0,3211,159177,6329,49129,9392,789,93538,10114,0,10114,112160,2065,721620,0,3035,692724,25861,1030180,969670,276946,692724,ND,969670,60510,ND,ND
1975:Q2,1056601,4247,14839,0,3575,170482,7508,55774,9736,728,96736,10188,0,10188,134377,2301,716592,0,3436,684416,28740,1060430,991764,307348,684416,ND,991764,68666,ND,ND
1975:Q3,1078753,4479,15174,0,4042,175162,8447,56406,10026,906,99377,10241,0,10241,122159,2559,744937,0,3431,708561,32945,1082782,1013069,304508,708561,ND,1013069,69713,ND,ND
1975:Q4,1105534,4675,15625,0,4346,181614,9066,56997,10720,1940,102891,9925,0,9925,132299,2795,754255,0,3665,715140,35450,1109789,1035177,320037,715140,ND,1035177,74612,ND,ND
1976:Q1,1125159,4882,16160,0,4385,186279,9892,57994,11487,2193,104713,9926,0,9926,151868,2795,748864,0,3965,709402,35497,1129499,1049322,339920,709402,ND,1049322,80177,ND,ND
1976:Q2,1140651,4989,16779,0,4140,199267,10440,66524,12181,3150,106972,10006,0,10006,152274,3033,750163,0,3984,712901,33278,1145080,1065209,352308,712901,ND,1065209,79871,ND,ND
1976:Q3,1157256,4873,17151,0,4386,200339,10756,66583,12792,3383,106825,9998,0,9998,152777,3297,764435,0,4032,724958,35445,1161778,1080249,355291,724958,ND,1080249,81529,ND,ND
1976:Q4,1175625,4776,17787,0,4736,201962,10952,68789,12911,3360,105950,10146,0,10146,155601,3534,777083,0,4130,734460,38493,1180240,1095899,361439,734460,ND,1095899,84341,ND,ND
1977:Q1,1198248,4735,18398,0,5319,203142,11138,68051,15501,2872,105580,10104,0,10104,147405,3692,805453,0,4140,757588,43725,1203009,1116900,359312,757588,ND,1116900,86109,ND,ND
1977:Q2,1223502,4867,19435,23,5335,211571,11272,73453,16249,3628,106969,10403,0,10403,153119,3771,814978,0,4284,766961,43733,1228413,1139758,372797,766961,ND,1139758,88655,ND,ND
1977:Q3,1248393,5014,20304,53,5803,222463,11309,79939,17449,3556,110210,10108,0,10108,149797,3771,831080,0,4348,778851,47881,1253459,1162347,383496,778851,ND,1162347,91112,ND,ND
1977:Q4,1273858,5115,21060,94,5717,230082,11314,81300,18086,3544,115838,10538,0,10538,153610,3746,843896,0,4459,792445,46992,1279085,1186319,393874,792445,ND,1186319,92766,ND,ND
1978:Q1,1302290,5276,22350,150,6268,233084,11350,81067,19440,3386,117841,10641,0,10641,151277,3750,869494,0,4551,813081,51862,1307735,1211765,398684,813081,ND,1211765,95970,ND,ND
1978:Q2,1334330,5418,23633,212,6136,243782,11335,84705,19774,3732,124236,10893,0,10893,169069,3750,871437,0,4845,816214,50378,1339997,1239218,423004,816214,ND,1239218,100779,ND,ND
1978:Q3,1367111,5538,24945,272,6488,256052,11173,90285,21895,3668,129031,11113,0,11113,189552,3708,869443,0,5214,811052,53177,1373026,1264751,453699,811052,ND,1264751,108275,ND,ND
1978:Q4,1393978,5569,26014,359,6935,263677,11162,92892,22646,3951,133026,11307,0,11307,183608,3715,892794,0,5270,830378,57146,1400148,1289528,459150,830378,ND,1289528,110620,ND,ND
1979:Q1,1426804,5666,27474,500,7253,267171,11593,92955,24327,4073,134223,11595,0,11595,198044,3862,905239,0,5571,839963,59705,1433525,1313265,473302,839963,ND,1313265,120260,ND,ND
1979:Q2,1456466,5668,28521,688,7490,279240,12498,98301,25230,3867,139344,11767,0,11767,201877,4152,917063,0,5772,849651,61640,1463763,1339184,489533,849651,ND,1339184,124579,ND,ND
1979:Q3,1489999,5626,29769,913,7532,294510,13894,106663,26069,3880,144004,12290,0,12290,216832,4585,917942,0,6095,850159,61688,1497912,1367132,516973,850159,ND,1367132,130780,ND,ND
1979:Q4,1532221,5621,31352,1182,7768,302855,15396,108960,27919,3910,146670,12743,0,12743,212537,11476,946687,0,6196,876781,63710,1540773,1401056,524275,876781,ND,1401056,139717,ND,ND
1980:Q1,1560558,5535,32399,1500,7979,313280,16621,109523,29324,4101,153711,13245,0,13245,202192,12220,972208,0,6240,900378,65590,1569869,1433301,532923,900378,ND,1433301,136568,ND,ND
1980:Q2,1608461,5385,33255,1845,8189,330296,17671,114327,32810,4025,161463,13558,0,13558,228738,13033,974162,0,6761,900430,66971,1618530,1471448,571018,900430,ND,1471448,147082,ND,ND
1980:Q3,1656801,5036,34079,2195,8485,351169,18650,127492,34499,3921,166607,14068,0,14068,251630,14520,975619,0,7241,899204,69174,1667661,1510570,611366,899204,ND,1510570,157091,ND,ND
1980:Q4,1700467,4765,35511,2633,8378,361282,19531,130325,37428,4059,169939,14454,0,14454,267768,15735,989941,0,7566,914468,67907,1712163,1548800,634332,914468,ND,1548800,163363,ND,ND
