date,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Security brokers and dealers; proprietors' equity in noncorporate business
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,572,572,0
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,86,86,0
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4821,4821,0
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1414,1414,0
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2102,2102,0
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1995:Q4,2812,2707,105
1996:Q1,-1802,-2496,694
1996:Q2,2295,2485,-190
1996:Q3,543,80,463
1996:Q4,-752,-617,-135
1997:Q1,-6230,-7291,1061
1997:Q2,-4865,-6082,1217
1997:Q3,-4078,-5122,1044
1997:Q4,619,867,-248
1998:Q1,-7440,-8275,835
1998:Q2,-14200,-13893,-307
1998:Q3,-2032,-1776,-256
1998:Q4,-9962,-10036,74
1999:Q1,-6498,-6630,132
1999:Q2,-21016,-21412,396
1999:Q3,-16969,-17332,363
1999:Q4,-20088,-21714,1626
2000:Q1,-5088,-5325,237
2000:Q2,-6744,-7637,893
2000:Q3,7327,7671,-344
2000:Q4,-10633,-10682,49
2001:Q1,8046,6209,1837
2001:Q2,-2491,-3898,1407
2001:Q3,-3996,-4485,489
2001:Q4,-6501,-7391,890
2002:Q1,-46915,-45996,-919
2002:Q2,-7604,-7488,-116
2002:Q3,-5016,-4763,-253
2002:Q4,-9336,-9987,651
2003:Q1,-24583,-23954,-629
2003:Q2,26223,25466,757
2003:Q3,25779,25775,4
2003:Q4,9858,9509,349
2004:Q1,-29303,-27806,-1497
2004:Q2,34959,35174,-215
2004:Q3,30691,29862,829
2004:Q4,14541,13924,617
2005:Q1,-55798,-56078,280
2005:Q2,3327,3478,-151
2005:Q3,-6099,-5912,-187
2005:Q4,-14221,-14434,213
2006:Q1,-48080,-48526,446
2006:Q2,11339,11782,-443
2006:Q3,10945,11141,-196
2006:Q4,-13952,-12157,-1795
2007:Q1,-59708,-62638,2930
2007:Q2,2972,2384,588
2007:Q3,4121,3513,608
2007:Q4,-10090,-11217,1127
2008:Q1,-134420,-134964,544
2008:Q2,-75178,-75320,142
2008:Q3,-74088,-75198,1110
2008:Q4,-78323,-76082,-2241
2009:Q1,-50741,-53609,2868
2009:Q2,-3578,-447,-3131
2009:Q3,897,1465,-568
2009:Q4,1996,-85,2081
2010:Q1,17819,16970,849
2010:Q2,51252,51491,-239
2010:Q3,52205,51271,934
2010:Q4,60004,55386,4618
2011:Q1,15017,16782,-1765
2011:Q2,51954,51634,320
2011:Q3,46832,48144,-1312
2011:Q4,58071,57065,1006
2012:Q1,-15512,-25120,9608
2012:Q2,12960,12535,425
2012:Q3,10282,9673,609
2012:Q4,10972,11174,-202
2013:Q1,-3584,-4397,813
2013:Q2,51103,50566,537
2013:Q3,45180,47827,-2647
2013:Q4,52217,48012,4205
2014:Q1,-25047,-26657,1610
2014:Q2,30698,29638,1060
2014:Q3,30791,29895,896
2014:Q4,31296,30535,761
2015:Q1,-10076,-10373,297
2015:Q2,50309,50268,41
2015:Q3,47277,43025,4252
2015:Q4,44668,43975,693
2016:Q1,-98880,-100113,1233
2016:Q2,-38376,-38131,-245
2016:Q3,-19586,-37832,18246
2016:Q4,-44190,-42293,-1897
2017:Q1,-23140,-24917,1777
2017:Q2,45293,46146,-853
2017:Q3,38130,36771,1359
2017:Q4,38401,39732,-1331
2018:Q1,-46558,-52055,5497
2018:Q2,16510,14178,2332
2018:Q3,-1839,-4045,2206
2018:Q4,9520,10018,-498
2019:Q1,-53097,-53272,175
2019:Q2,26323,26332,-9
2019:Q3,26928,24730,2198
2019:Q4,17785,14904,2881
2020:Q1,-52298,-53632,1334
2020:Q2,17264,13620,3644
2020:Q3,22563,23931,-1368
2020:Q4,25255,22006,3249
2021:Q1,-71183,-74628,3445
2021:Q2,27631,23435,4196
2021:Q3,23481,21831,1650
2021:Q4,17432,14827,2605
