1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,1141,-3,15,0,8,319,0,-58,6,371,34,194,0,574,0,7,538,29,1142
1956:Q4,1382,1,15,0,8,396,0,-50,3,443,34,203,0,725,0,15,690,20,1383
1957:Q1,1585,9,15,0,6,397,0,-55,14,438,33,212,0,913,0,9,886,18,1585
1957:Q2,1748,15,16,0,5,351,0,-55,5,401,32,220,0,1109,0,22,1078,9,1748
1957:Q3,1751,15,16,0,5,307,0,-52,8,351,33,231,0,1144,0,3,1127,14,1751
1957:Q4,1574,12,17,0,4,269,0,-55,24,300,36,245,0,991,0,5,971,15,1574
1958:Q1,1309,9,18,0,5,277,0,-38,23,292,36,256,0,708,0,15,684,9,1309
1958:Q2,1135,7,19,0,3,288,0,16,-24,296,36,266,0,516,0,21,490,5,1135
1958:Q3,1094,6,19,0,4,307,0,-1,4,304,40,281,0,437,0,26,407,4,1094
1958:Q4,1195,8,20,0,6,327,0,15,0,312,47,302,0,485,0,29,448,8,1195
1959:Q1,1334,9,21,0,7,206,0,19,16,171,54,340,0,697,0,15,665,17,1334
1959:Q2,1495,11,21,0,7,311,0,35,27,249,60,388,0,697,0,26,654,17,1495
1959:Q3,1560,11,22,0,9,282,0,48,13,221,65,304,0,867,0,10,832,25,1560
1959:Q4,1484,8,23,0,8,380,0,24,3,353,68,362,0,635,0,27,588,20,1484
1960:Q1,1318,3,24,0,10,269,0,-61,60,270,74,377,0,561,0,2,527,32,1318
1960:Q2,1145,-2,26,0,10,226,0,-60,28,258,82,392,0,411,0,23,359,29,1145
1960:Q3,1006,0,26,0,11,285,0,-37,-1,323,82,369,0,233,0,1,195,37,1006
1960:Q4,894,10,26,0,9,417,0,-3,-20,440,74,419,0,-62,0,40,-120,18,894
1961:Q1,785,22,28,0,9,104,0,2,-6,108,68,435,0,119,0,44,63,12,785
1961:Q2,703,33,29,0,7,318,0,17,-16,317,61,438,0,-184,0,17,-220,19,703
1961:Q3,593,34,31,0,7,217,0,1,9,207,61,457,0,-215,0,23,-255,17,593
