1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,5177,0,367,0,0,2687,0,669,14,2004,0,1403,0,720,0,0,720,5177
1957:Q2,5477,0,381,0,0,2772,0,651,16,2105,0,1590,0,734,0,0,734,5477
1957:Q3,5524,0,396,0,0,2844,0,634,18,2192,0,1528,0,756,0,0,756,5524
1957:Q4,5595,0,411,0,0,2907,0,615,25,2267,0,1498,0,779,0,0,779,5595
1958:Q1,5806,0,427,0,0,2974,0,603,31,2340,0,1612,0,793,0,0,793,5806
1958:Q2,6086,0,443,0,0,3046,0,608,24,2414,0,1796,0,801,0,0,801,6086
1958:Q3,6428,0,460,0,0,3124,0,608,25,2491,0,2037,0,807,0,0,807,6428
1958:Q4,6816,0,478,0,0,3206,0,613,25,2568,0,2312,0,820,0,0,820,6816
1959:Q1,7029,0,496,0,0,3260,0,619,30,2611,0,2427,0,846,0,0,846,7029
1959:Q2,7386,0,515,0,0,3342,0,631,38,2673,0,2656,0,873,0,0,873,7386
1959:Q3,7547,0,535,0,0,3417,0,647,41,2729,0,2684,0,911,0,0,911,7547
1959:Q4,7917,0,556,0,0,3514,0,655,42,2817,0,2905,0,942,0,0,942,7917
1960:Q1,7971,0,577,0,0,3577,0,634,59,2884,0,2826,0,991,0,0,991,7971
1960:Q2,8288,0,599,0,0,3630,0,614,67,2949,0,3024,0,1035,0,0,1035,8288
1960:Q3,8332,0,622,0,0,3698,0,602,66,3030,0,2921,0,1091,0,0,1091,8332
1960:Q4,8875,0,646,0,0,3802,0,601,61,3140,0,3309,0,1118,0,0,1118,8875
1961:Q1,9452,0,671,0,0,3828,0,602,59,3167,0,3816,0,1137,0,0,1137,9452
1961:Q2,9689,0,697,0,0,3908,0,607,55,3246,0,3919,0,1165,0,0,1165,9689
1961:Q3,10009,0,723,0,0,3963,0,608,57,3298,0,4132,0,1191,0,0,1191,10009
1961:Q4,10580,0,751,0,0,4045,0,606,63,3376,0,4571,0,1213,0,0,1213,10580
1962:Q1,10735,0,780,0,0,4101,0,605,73,3423,0,4573,0,1281,0,0,1281,10735
1962:Q2,9985,0,810,0,0,4195,0,615,78,3502,0,3569,0,1411,0,0,1411,9985
1962:Q3,10416,0,841,0,0,4237,0,631,77,3529,0,3850,0,1488,0,0,1488,10416
1962:Q4,11124,0,873,0,0,4341,0,650,71,3620,0,4377,0,1533,0,0,1533,11124
1963:Q1,11595,0,907,0,0,4419,0,657,73,3689,0,4702,0,1567,0,0,1567,11595
1963:Q2,12017,0,942,0,0,4506,0,664,73,3769,0,4990,0,1579,0,0,1579,12017
1963:Q3,12430,0,978,0,0,4596,0,660,83,3853,0,5254,0,1602,0,0,1602,12430
1963:Q4,12884,0,1016,0,0,4663,0,670,81,3912,0,5534,0,1671,0,0,1671,12884
1964:Q1,13539,0,1055,0,0,4763,0,718,85,3960,0,5938,0,1783,0,0,1783,13539
1964:Q2,14101,0,1095,0,0,4826,0,666,82,4078,0,6227,0,1953,0,0,1953,14101
1964:Q3,14679,0,1137,0,0,4883,0,665,79,4139,0,6528,0,2131,0,0,2131,14679
1964:Q4,15216,0,1181,0,0,5025,0,679,105,4241,0,6741,0,2269,0,0,2269,15216
1965:Q1,15730,0,1226,0,0,5140,0,727,88,4325,0,6991,0,2373,0,0,2373,15730
1965:Q2,15833,0,1273,0,0,5183,0,677,89,4417,0,6914,0,2463,0,0,2463,15833
1965:Q3,16754,0,1322,0,0,5198,0,614,95,4489,0,7722,0,2512,0,0,2512,16754
1965:Q4,17404,0,1373,0,0,5276,0,635,100,4541,0,8151,0,2604,0,0,2604,17404
1966:Q1,17780,0,1426,0,0,5470,0,620,102,4748,0,8153,0,2731,0,0,2731,17780
1966:Q2,17877,0,1481,0,0,5530,0,594,104,4832,0,7974,0,2892,0,0,2892,17877
1966:Q3,17567,0,1537,0,0,5609,0,588,97,4924,0,7342,0,3079,0,0,3079,17567
1966:Q4,18433,0,1606,0,0,5720,0,576,98,5046,0,7894,0,3213,0,0,3213,18433
1967:Q1,19853,0,1663,0,0,5761,0,537,95,5129,0,9099,0,3330,0,0,3330,19853
1967:Q2,20347,0,1731,0,0,5747,0,500,86,5161,0,9364,0,3505,0,0,3505,20347
1967:Q3,21374,0,1800,0,0,5816,0,492,79,5245,0,10104,0,3654,0,0,3654,21374
1967:Q4,21766,0,1887,0,0,5842,0,497,74,5271,0,10221,0,3816,0,0,3816,21766
1968:Q1,21571,0,1944,0,0,5978,0,552,78,5348,0,9656,0,3993,0,0,3993,21571
1968:Q2,23265,0,2022,0,0,5979,0,545,83,5351,0,11195,0,4069,0,0,4069,23265
1968:Q3,24076,0,2108,0,0,6015,0,530,88,5397,0,11774,0,4179,0,0,4179,24076
1968:Q4,24859,0,2200,0,0,6077,0,590,87,5400,0,12291,0,4291,0,0,4291,24859
1969:Q1,24925,0,2256,0,0,6077,0,615,95,5367,0,12163,0,4429,0,0,4429,24925
1969:Q2,25141,0,2369,0,0,6033,0,548,103,5382,0,12185,0,4554,0,0,4554,25141
1969:Q3,25239,0,2453,0,0,6151,0,540,121,5490,0,11951,0,4684,0,0,4684,25239
1969:Q4,25838,0,2552,0,0,6202,0,546,133,5523,0,12285,0,4799,0,0,4799,25838
1970:Q1,29172,0,2654,0,0,6247,0,520,127,5600,0,15335,0,4936,0,0,4936,29172
1970:Q2,26733,0,2757,0,0,6267,0,496,145,5626,0,12530,0,5179,0,0,5179,26733
1970:Q3,29539,0,2867,0,0,6465,0,538,201,5726,0,14978,0,5229,0,0,5229,29539
1970:Q4,31671,0,2968,0,0,6619,0,531,199,5889,0,16772,0,5312,0,0,5312,31671
1971:Q1,34173,0,3086,0,0,6483,0,565,167,5751,0,19215,0,5389,0,0,5389,34173
1971:Q2,34760,0,3180,0,0,6301,0,500,130,5671,0,19734,0,5545,0,0,5545,34760
1971:Q3,36033,0,3306,0,0,6219,0,511,130,5578,0,20825,0,5683,0,0,5683,36033
1971:Q4,37783,0,3417,0,0,6387,0,531,133,5723,0,22163,0,5816,0,0,5816,37783
1972:Q1,40782,0,3531,0,0,6644,123,635,188,5698,0,24058,0,6549,0,0,6549,40782
1972:Q2,42780,0,3676,0,0,7071,318,613,265,5875,0,24271,0,7762,0,0,7762,42780
1972:Q3,45363,0,3833,0,0,7690,529,656,383,6122,0,24841,0,8999,0,0,8999,45363
1972:Q4,48946,0,4000,0,0,8125,702,845,457,6121,0,26954,0,9867,0,0,9867,48946
1973:Q1,48987,0,4179,0,0,8656,842,931,571,6312,0,25565,0,10587,0,0,10587,48987
1973:Q2,48318,0,4339,0,0,8978,953,1003,613,6409,0,23900,0,11101,0,0,11101,48318
1973:Q3,51655,0,4550,0,0,9498,1071,1178,653,6596,0,26195,0,11412,0,0,11412,51655
1973:Q4,49968,0,4713,0,0,9826,1232,1345,702,6547,0,23389,0,12040,0,0,12040,49968
1974:Q1,51937,0,4909,0,0,10203,1422,1527,715,6539,0,24216,0,12609,0,0,12609,51937
1974:Q2,51201,0,5110,0,0,10653,1628,1728,718,6579,0,22141,0,13297,0,0,13297,51201
1974:Q3,47498,0,5326,0,0,11448,1868,2059,772,6749,0,16570,0,14154,0,0,14154,47498
1974:Q4,51377,0,5620,0,0,12250,2161,2140,947,7002,0,18689,0,14818,0,0,14818,51377
1975:Q1,60510,0,5873,0,0,13389,2532,2406,1028,7423,0,25731,0,15517,0,0,15517,60510
1975:Q2,68666,0,6181,0,0,14439,3003,2629,1078,7729,0,30802,0,17244,0,0,17244,68666
1975:Q3,69713,0,6501,0,0,15475,3379,2974,1096,8026,0,27970,0,19767,0,0,19767,69713
1975:Q4,74612,0,6793,0,0,16309,3626,3099,1202,8382,0,30240,0,21270,0,0,21270,74612
1976:Q1,80177,0,7095,0,0,17158,3957,3403,1309,8489,0,34626,0,21298,0,0,21298,80177
1976:Q2,79871,0,7354,0,0,17954,4176,3803,1391,8584,0,34596,0,19967,0,0,19967,79871
1976:Q3,81529,0,7565,0,0,18111,4302,4093,1433,8283,0,34586,0,21267,0,0,21267,81529
1976:Q4,84341,0,7820,0,0,18285,4381,4519,1336,8049,0,35140,0,23096,0,0,23096,84341
1977:Q1,86109,0,8131,0,0,18505,4455,4468,1559,8023,0,33238,0,26235,0,0,26235,86109
