1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,434510,4259,17049,970,117821,1885,74188,7401,556,0,0,0,6845,30412,3935,0,0,0,0,3935,284182,79786,2312,163823,38261,1800,0,0,229,8200,403037,-256,2600,31,-2265,-622,135811,6548,13195,113004,3064,248307,1012,2568,2335,233,4784,710,10101,0,10101,0,ND
1964:Q1,436568,4500,16611,2133,117467,2045,72926,6898,572,0,0,0,6326,31184,4414,0,0,0,0,4414,285631,76184,2482,167836,39129,1891,0,0,235,8100,404676,-1682,1497,55,-2601,-633,129423,7870,13951,104443,3159,255573,2411,2926,2506,420,4168,914,10943,0,10943,0,ND
1964:Q2,448822,4539,16973,1172,116033,1955,70634,7159,581,0,0,0,6578,31828,4457,0,0,0,0,4457,299542,82651,2519,173200,41172,1934,0,0,240,8389,415926,-1975,1633,79,-2743,-944,133485,10257,12582,107162,3484,263000,1515,3077,2544,533,4769,846,11209,0,11209,0,ND
1964:Q3,459132,4780,17121,1955,119029,2166,72165,7202,625,0,0,0,6577,33091,4405,0,0,0,0,4405,305175,81476,2540,178652,42507,1976,0,0,246,8850,426058,-1057,1567,93,-1742,-975,135111,9200,12590,109641,3680,268829,2000,3243,2566,677,4837,886,12209,0,12209,0,ND
1964:Q4,475251,4532,17850,1331,122984,2338,74423,8044,630,0,0,0,7414,33925,4254,0,0,0,0,4254,317414,87946,2708,183325,43435,2000,0,0,251,8889,441196,-1165,2606,156,-2869,-1058,141790,6510,13519,117864,3897,277642,1892,3508,2735,773,5325,935,11269,0,11269,0,ND
1965:Q1,478611,4840,17277,2048,120825,1863,71078,8299,631,0,0,0,7668,35273,4312,0,0,0,0,4312,323262,88958,2660,186994,44650,2044,0,0,257,8058,444863,-1948,1114,109,-2279,-892,134950,8350,13591,109184,3825,287122,2671,3579,2686,893,4747,769,12973,0,12973,0,ND
1965:Q2,493994,4978,18229,1540,120087,2057,68573,8229,667,0,0,0,7562,36901,4327,0,0,0,0,4327,337587,95640,2684,192116,47147,2003,0,0,263,9307,459281,-797,1349,646,-2008,-784,139887,11796,13385,110966,3740,294440,2277,4201,2711,1490,5586,678,13009,0,13009,0,ND
1965:Q3,500437,5370,17797,2246,120551,2129,67578,8427,698,0,0,0,7729,38243,4174,0,0,0,0,4174,343397,94914,2651,197560,48272,2215,0,0,270,8591,465843,-975,1405,123,-1913,-590,137430,7370,13205,112915,3940,301135,3208,4195,2678,1517,5802,784,14264,0,14264,0,ND
1965:Q4,519172,4851,18447,2063,124611,1787,71192,8678,655,0,0,0,8023,38975,3979,0,0,0,0,3979,357548,103738,2714,202026,49070,2300,0,0,276,9076,483874,-984,2248,96,-2465,-863,147271,5525,14244,123437,4065,309744,2438,4331,2741,1590,5997,806,14271,0,14271,0,ND
1966:Q1,520100,5470,17941,2060,122358,1827,67623,9020,733,0,0,0,8287,39922,3966,0,0,0,0,3966,360969,102277,2710,205747,50235,2248,0,0,283,8771,484941,-883,1388,579,-2403,-447,139414,5120,14692,115652,3950,316438,2400,4371,2738,1633,5687,1062,16452,0,16452,0,ND
1966:Q2,534516,5234,18564,2059,120772,1499,64852,9546,756,0,0,0,8790,40898,3977,0,0,0,0,3977,375726,111704,2736,209618,51668,2132,0,0,289,9740,498709,416,1957,287,-1493,-335,145885,10997,14931,116160,3797,322171,2352,4457,2763,1694,6783,624,16021,0,16021,0,ND
1966:Q3,535464,5830,18070,2300,121216,1562,65036,8786,844,0,0,0,7942,41710,4122,0,0,0,0,4122,375941,108707,2696,212531,52007,1904,0,0,296,9907,499724,2954,1647,979,-472,800,139268,6000,13966,115277,4025,324352,2600,4417,2723,1694,7175,613,18345,0,18345,0,ND
1966:Q4,547137,5450,19794,2461,123936,1703,67624,9073,857,0,0,0,8216,41255,4281,0,0,0,0,4281,384056,114609,2882,214415,52150,2000,0,0,303,9137,510509,3238,2510,173,-1101,1656,148892,4992,15047,124602,4251,329201,2824,4605,2911,1694,6935,731,14083,0,14083,0,ND
1967:Q1,552356,5970,18619,3200,130538,2360,69590,9819,1006,0,0,0,8813,43648,5121,0,0,0,0,5121,382185,111685,2963,215551,51986,2279,0,0,322,9243,515513,152,1260,29,-2216,1079,142116,5520,14627,117819,4150,342349,3600,4890,2993,1897,5175,897,16334,0,16334,0,ND
1967:Q2,565981,4854,19505,3874,132439,2552,65673,10977,1073,0,0,0,9904,47121,6116,0,0,0,0,6116,392552,116515,3305,219070,53662,2346,0,0,341,10070,528612,1052,1345,53,-1372,1026,144689,5152,15207,120264,4066,353308,4411,5258,3338,1920,4302,558,15034,0,15034,0,ND
1967:Q3,582919,6252,20039,3900,141977,2816,72743,11219,1081,0,0,0,10138,48288,6911,0,0,0,0,6911,397437,115209,3317,223980,54931,2525,0,0,362,10427,545401,3184,1235,171,-126,1904,148972,7022,14283,123367,4300,361247,4700,5305,3350,1955,4122,639,17232,0,17232,0,ND
1967:Q4,611398,5931,21092,3919,147416,2650,75149,12302,1093,0,0,0,11209,50225,7090,0,0,0,0,7090,418769,131054,3454,228438,55823,2500,0,0,385,11386,564378,4614,2483,141,-237,2227,160896,5234,15564,135536,4562,368674,4979,5451,3488,1963,4386,647,14731,0,14731,0,ND
1968:Q1,606496,6250,21232,4317,150025,2935,74850,13107,1326,0,0,0,11781,51561,7572,0,0,0,0,7572,410912,119693,3469,231724,56026,2266,0,0,408,11086,566954,4374,1344,1390,-1392,3032,150756,5320,15716,125240,4480,377180,5700,5466,3503,1963,4269,660,18549,0,18549,0,ND
1968:Q2,618971,5190,21462,4685,148398,2620,71972,13050,1449,0,0,0,11601,52840,7916,0,0,0,0,7916,424568,126317,3429,236391,58431,2453,0,0,433,11782,578540,7012,1938,292,539,4243,155115,4970,16284,129459,4402,381174,6530,5602,3463,2139,4889,562,17656,0,17656,0,ND
1968:Q3,639067,6660,22413,5647,156075,3025,75546,13586,1521,0,0,0,12065,55648,8270,0,0,0,0,8270,432151,126479,3462,241452,60758,2402,0,0,460,13259,598583,9122,1770,1565,773,5014,160116,9040,14479,131997,4600,390575,7000,5718,3496,2222,5026,664,20362,0,20362,0,ND
1968:Q4,662741,7195,21859,6632,161380,2606,77213,13920,1523,0,0,0,12397,58842,8799,0,0,0,0,8799,450420,137361,3542,246769,62748,2400,0,0,488,12367,621157,8765,3482,188,1104,3991,173076,5010,16876,146354,4836,400659,7467,5799,3578,2221,5259,620,19512,0,19512,0,ND
1969:Q1,659651,6490,22066,7010,157368,2919,72145,14118,1690,0,0,0,12428,59034,9152,0,0,0,0,9152,453544,135529,3571,250915,63529,2349,0,0,518,10306,619209,11102,2034,997,499,7572,158410,5510,16681,131394,4825,402550,9300,5704,3607,2097,5331,774,26038,1000,25038,0,ND
1969:Q2,673272,6258,20808,7308,153307,3069,66693,14464,1761,0,0,0,12703,60358,8723,0,0,0,0,8723,469921,143558,3904,256372,66087,2393,0,0,550,12727,633024,17031,1472,1049,3357,11153,165339,5639,16930,137956,4814,402124,11144,5952,3943,2009,6413,618,24403,2000,22403,0,ND
1969:Q3,674870,6950,22508,8683,151009,3145,65293,13944,1720,0,0,0,12224,60005,8622,0,0,0,0,8622,473017,140349,4186,261387,67095,2402,0,0,584,9717,636071,13284,2313,1526,2029,7416,162251,7610,16505,133136,5000,396218,13000,6242,4227,2015,7940,738,36398,3000,33398,0,ND
1969:Q4,689852,7320,22085,10107,151588,3021,65538,14741,1614,0,0,0,13127,59476,8812,0,0,0,0,8812,485479,149431,4361,263880,67807,2500,0,0,619,10154,650538,15583,3440,183,1579,10381,177739,5054,17558,149922,5205,397481,14690,6442,4405,2037,9289,704,28610,4000,24610,0,ND
1970:Q1,682163,6940,22568,10893,150307,2965,61050,15638,1685,0,0,0,13953,60463,10191,0,0,0,0,10191,478159,141703,4282,265252,66922,2518,0,0,658,10120,644235,14783,2237,1554,1583,9409,161062,6140,16445,133252,5225,400903,15200,6385,4325,2060,9745,1143,35014,5000,30014,0,ND
1970:Q2,698345,7090,21991,11412,154631,3221,60310,16209,1809,0,0,0,14400,63193,11698,0,0,0,0,11698,489075,147702,4778,268173,68422,2079,0,0,698,11369,660012,14782,2562,330,3006,8884,168495,8076,17061,138120,5238,412415,15666,6919,4826,2093,10236,857,30642,6000,24642,0,ND
1970:Q3,719269,7260,23938,14007,164601,3762,65415,17789,2020,0,0,0,15769,65973,11662,0,0,0,0,11662,496760,149396,4678,272836,69850,2502,0,0,741,9460,682869,14010,2313,853,3392,7452,167739,8470,16137,137632,5500,432405,16100,6835,4725,2110,10525,1044,34211,8000,26211,0,ND
1970:Q4,749781,7047,24150,16468,178416,4064,71287,20809,2297,0,0,0,18512,69957,12299,0,0,0,0,12299,509160,155752,5646,277693,70069,2800,0,0,786,10954,713815,11823,4261,335,2646,4581,182893,7938,17763,151463,5729,450075,16615,7838,5703,2135,10615,1062,32894,10000,22894,0,ND
1971:Q1,768762,7230,25932,17143,188785,4517,72198,22329,2571,0,0,0,19758,74455,15286,0,0,0,0,15286,511075,151965,5738,282965,70407,3174,0,0,835,14588,732933,9581,2550,391,4883,1757,168336,4520,16697,141694,5425,478845,18500,8346,5796,2550,9690,1315,38320,11000,27320,0,ND
1971:Q2,794219,7634,24550,16677,195257,4246,71042,25733,2813,0,0,0,22920,77723,16513,0,0,0,0,16513,530564,159158,6116,291831,73459,3193,0,0,886,15458,757966,9423,2549,446,5944,484,179071,8412,17276,148285,5098,495552,20406,8815,6177,2638,7241,860,36598,12000,24598,0,ND
1971:Q3,813441,8100,25424,18797,197227,4359,68370,26810,3163,0,0,0,23647,79855,17833,0,0,0,0,17833,545077,159267,6518,302928,76364,3306,0,0,940,14570,778389,7401,2527,382,4227,265,176879,8920,16005,146779,5175,509940,22300,9358,6583,2775,7637,993,43881,14000,29881,0,ND
1971:Q4,849441,7541,27788,20927,208555,4505,74124,28569,3225,0,0,0,25344,82960,18397,0,0,0,0,18397,564425,166312,6311,312799,79003,3500,0,0,998,15707,812677,5054,4343,39,1444,-772,195933,10169,17665,162866,5233,528641,24214,9364,6374,2990,7936,1080,40455,15000,25455,0,ND
1972:Q1,869164,8050,28471,22077,213208,3873,72140,30672,3473,0,0,0,27199,85581,20942,0,0,0,0,20942,576094,166796,6388,322630,80280,3822,0,0,1059,16383,832784,-1139,2673,1030,-3720,-1122,189927,8740,17142,158465,5580,552565,27505,9938,6452,3486,5992,1054,46942,16000,30942,0,ND
1972:Q2,898352,6799,27482,21923,214916,3698,69280,32147,3715,0,0,0,28432,87384,22407,0,0,0,0,22407,603406,176436,5655,336533,84782,3912,0,0,1124,18790,862242,-56,3299,130,-2807,-678,195032,9083,17687,162305,5957,572541,30701,9335,5712,3623,6075,749,47865,17000,30865,0,ND
1972:Q3,924884,8840,26692,24990,217903,3443,69176,33164,3902,0,0,0,29262,89570,22550,0,0,0,0,22550,624270,179041,5282,351594,88353,4077,0,0,1193,16919,889565,-3345,3742,842,-6373,-1556,198995,9470,17048,166184,6293,592926,32215,9094,5334,3760,6736,894,52050,19000,33050,0,ND
1972:Q4,971586,8648,25647,27459,228547,4265,75648,35791,4313,0,0,0,31478,90567,22276,0,0,0,0,22276,657081,193495,5518,365919,92149,4500,0,0,1266,18438,937386,-676,3974,1981,-4530,-2101,218896,10870,18588,183098,6340,612961,34102,9701,5574,4127,7979,906,53517,21000,32517,0,ND
1973:Q1,997332,8889,26873,29596,223381,2965,69722,36767,7319,0,0,0,29448,91383,22544,0,0,0,0,22544,683824,204139,5487,378156,96042,4340,0,0,1344,19085,960889,-3714,2121,2028,-5048,-2815,204649,11382,17058,170128,6081,643325,39487,9601,5542,4059,8420,1242,57879,21000,36879,0,ND
1973:Q2,1031297,7666,24818,29555,223122,2619,65666,40218,7946,0,0,0,32272,92499,22120,0,0,0,0,22120,718288,216707,5790,394407,101384,4126,0,0,1427,22295,993185,-4913,2048,1770,-6010,-2721,209940,10423,18166,174664,6687,661790,42602,9806,5847,3959,11145,918,61897,22000,39897,0,ND
1973:Q3,1058742,9671,30962,30700,221819,3362,61875,42948,7899,0,0,0,35049,93251,20383,0,0,0,0,20383,742563,221984,6536,408615,105428,4606,0,0,1514,16907,1017923,-57,3036,4522,-4592,-3023,205582,8203,16637,173824,6918,676143,45825,10542,6602,3940,14298,1024,64566,21500,43066,0,ND
1973:Q4,1093182,10688,27060,32929,229915,3525,65168,45406,7727,0,0,0,37679,96245,19571,0,0,0,0,19571,763884,230352,7114,418276,108142,4200,0,0,1607,22899,1051105,-6624,3099,1258,-7099,-3882,231556,9862,18663,194465,8566,687395,48661,11320,7185,4135,15147,1027,62623,22500,40123,0,ND
1974:Q1,1111123,9709,28410,38537,233109,3682,64256,47033,8450,0,0,0,38583,98291,19847,0,0,0,0,19847,775680,233305,8133,426306,107936,4476,0,0,1706,19496,1070032,-4312,2222,2033,-6186,-2381,211323,8607,17026,176666,9024,712183,53450,12414,8214,4200,14995,1318,68661,24000,44661,0,ND
1974:Q2,1145173,8355,30086,40897,231349,3984,58675,48418,8701,0,0,0,39717,100941,19331,0,0,0,0,19331,809518,249314,10539,438681,110984,4260,0,0,1811,18897,1102761,-1765,2297,3210,-1191,-6081,212683,8364,19379,175463,9477,733608,58877,14955,10645,4310,17642,1004,65757,26000,39757,0,ND
1974:Q3,1162350,10507,33256,43203,228790,4123,56313,48986,8874,0,0,0,40112,100065,19303,0,0,0,0,19303,826832,253637,12828,447294,113073,3281,0,0,1922,14559,1120967,-2828,3721,5192,-3957,-7784,210314,7377,16847,176532,9558,744243,60250,17256,12956,4300,20772,1194,69766,27500,42266,0,ND
1974:Q4,1181307,11640,25843,46102,236843,4297,60167,50166,9258,0,0,0,40908,101799,20414,0,0,0,0,20414,839498,261119,14787,451470,112122,3700,0,0,2040,15641,1138225,-13770,2001,299,-8124,-7946,230361,4804,18611,196309,10637,761931,61615,19225,14935,4290,21804,1212,55847,28500,27347,0,ND
1975:Q1,1186801,10562,30437,47897,247992,5685,65550,52087,10427,0,0,0,41660,101678,22992,0,0,0,0,22992,826966,247940,14984,454481,109561,4426,0,0,2165,16356,1144309,-15835,2163,813,-6559,-12252,210471,3945,17275,180134,9117,787232,62400,19469,15134,4335,18164,1431,60977,30000,30977,0,ND
1975:Q2,1211489,10084,25976,49326,267127,5165,75203,54866,11933,0,0,0,42933,103640,28253,0,0,0,0,28253,837723,249069,14192,463779,110683,5013,0,0,2298,13942,1169386,-22727,1791,561,-8162,-16917,223065,3110,18217,191843,9895,806750,63060,18696,14334,4362,16803,933,62806,32000,30806,0,ND
1975:Q3,1229168,11168,29363,38664,276481,6004,84227,56424,12842,0,0,0,43582,104067,25759,0,0,0,0,25759,844057,242446,13432,474537,113642,4275,0,0,2440,22720,1189895,-17717,2406,1402,-6343,-15182,218815,3175,16652,189311,9677,822215,55203,18046,13566,4480,17482,971,74880,34000,40880,0,ND
1975:Q4,1265480,12252,26052,42773,289561,8087,94063,57912,13740,0,0,0,44172,105056,24443,0,0,0,0,24443,862860,246703,14982,485024,116151,4400,0,0,2589,24993,1222410,-23841,3688,229,-10468,-17290,237731,3112,18726,205715,10178,841989,54623,19660,15131,4529,17845,1006,73397,35500,37897,0,ND
1976:Q1,1283211,11257,28150,41457,301931,7390,100744,59977,15826,0,0,0,44151,103106,30714,0,0,0,0,30714,865068,237394,15121,496562,115991,4826,0,0,2748,27774,1239700,-24438,2110,54,-7414,-19188,220542,2378,15971,192472,9721,870590,58864,19972,15272,4700,15757,1072,77341,36500,40841,0,ND
1976:Q2,1316616,11981,27460,40489,307855,7625,103706,60783,16895,0,0,0,43888,106438,29303,0,0,0,0,29303,894940,245086,15826,513478,120550,4599,0,0,2917,26375,1272719,-28531,3577,314,-8916,-23506,231168,4626,17336,199314,9892,890940,61368,20951,15985,4966,15274,1095,80454,37400,43054,0,ND
1976:Q3,1347053,12287,29716,42415,314753,8559,106430,63718,18421,0,0,0,45297,106828,29218,0,0,0,0,29218,915106,242920,15679,531259,125248,4415,0,0,3069,25292,1302386,-26447,2811,326,-6265,-23319,226822,5678,16520,193994,10630,910013,66053,20976,15836,5140,16062,1154,87753,38500,49253,0,ND
1976:Q4,1398184,12121,25158,51826,327931,11648,115909,62830,17705,0,0,0,45125,108248,29296,0,0,0,0,29296,949004,254802,18018,547314,128870,4400,0,0,3286,24458,1348460,-35126,2601,25,-11224,-26528,249377,3023,17715,216782,11857,943363,72472,23499,18198,5301,15862,1214,77799,40040,37759,0,ND
1977:Q1,1428161,12124,26883,52181,335050,8894,119487,65497,20149,0,0,0,45348,109611,31561,0,0,0,0,31561,966278,255520,18155,561830,130773,4207,0,0,3488,27950,1380779,-33953,2913,149,-9104,-27911,235645,3426,16300,204760,11159,978958,76210,23687,18337,5350,14462,1300,84470,41400,43070,0,ND
1977:Q2,1473038,12725,24562,50015,337510,9167,117172,67365,20704,0,0,0,46661,113938,29868,0,0,0,0,29868,1008376,264035,18752,586720,138869,4560,0,0,3702,31588,1423826,-33340,3604,260,-8020,-29184,242874,2820,17825,210804,11425,1000769,79278,24976,18939,6037,15717,1406,92146,42400,49746,0,ND
1977:Q3,1512661,11326,23953,50973,339852,9222,114782,68779,22037,0,0,0,46742,117261,29808,0,0,0,0,29808,1047131,270057,18654,612471,145949,4643,0,0,3930,30853,1462755,-33419,1956,1292,-14513,-22154,242463,5294,16800,209154,11215,1028143,83857,25134,18840,6294,17054,1516,98007,43400,54607,0,ND
1977:Q4,1571091,13922,26870,58890,343769,11997,115232,70842,22484,0,0,0,48358,117847,27851,0,0,0,0,27851,1089233,280086,20523,636562,152062,4800,0,0,4171,29436,1517209,-41247,3810,265,-16384,-28938,271467,7315,18948,231671,13533,1056626,87514,27739,20729,7010,20173,1613,93324,46448,46876,0,ND
1978:Q1,1594281,11622,27700,55542,344638,9012,114065,73246,24020,0,0,0,49226,118165,30150,0,0,0,0,30150,1112850,283742,19345,654640,155123,4618,0,0,4408,32903,1542232,-42894,2732,332,-13847,-32111,247153,3560,16700,214364,12529,1090446,94364,26603,19538,7065,21278,1702,103580,47200,56380,0,ND
1978:Q2,1652348,11888,27431,54357,348178,8956,112396,75914,25143,0,0,0,50771,121428,29484,0,0,0,0,29484,1164892,298478,19431,680665,166318,4923,0,0,4658,36021,1598645,-41123,3318,1428,-17187,-28682,262900,7960,18210,223875,12855,1112365,95327,27215,19626,7589,25274,1787,114900,49490,65410,0,ND
1978:Q3,1699008,12141,26356,51869,353890,9621,109268,80181,26413,0,0,0,53768,124741,30079,0,0,0,0,30079,1200309,301335,17562,706590,174822,5219,0,0,4922,44302,1643097,-35673,3719,1365,-17834,-22923,262455,7941,17121,225207,12186,1139201,97781,25495,17738,7757,29158,1867,122813,50454,72359,0,ND
1978:Q4,1760182,15470,30645,58530,358864,10233,106418,83297,27397,0,0,0,55900,129292,29624,0,0,0,0,29624,1242038,312760,20108,729568,179602,4800,0,0,5201,44634,1697425,-46833,6516,1172,-24753,-29768,294969,14075,18978,248431,13485,1163929,98095,28143,20290,7853,32670,1941,124511,52223,72288,0,ND
1979:Q1,1786686,12345,31097,60968,364345,9763,107182,85541,28835,0,0,0,56706,131181,30678,0,0,0,0,30678,1263062,315204,20324,745027,182507,4983,0,0,5497,44389,1725624,-32748,4337,963,-22477,-15571,261346,4163,16540,229116,11527,1190277,112724,28555,20515,8040,31881,2021,131568,52815,78753,0,ND
1979:Q2,1844537,13272,29607,65650,363997,10782,105035,88687,30002,0,0,0,58685,132496,26997,0,0,0,0,26997,1313660,332160,21878,768981,190641,4903,0,0,5808,47640,1780005,-28757,3924,1558,-25277,-8962,285789,16276,17630,238609,13274,1195640,120255,30958,22649,8309,35071,2116,138933,53238,85695,0,ND
1979:Q3,1894494,13609,28196,72885,370994,11079,103082,91635,30978,0,0,0,60657,136379,28819,0,0,0,0,28819,1359866,343957,24887,791892,199130,5064,0,0,6138,37742,1824596,-34331,2654,1156,-31805,-6336,296562,19862,16775,245591,14334,1224193,123611,35100,26126,8974,38596,2186,138679,55387,83292,0,ND
1979:Q4,1937825,18488,29226,73108,378282,12658,104386,95697,32408,0,0,0,63289,138318,27223,0,0,0,0,27223,1392128,352640,26125,807645,205718,4700,0,0,6486,35407,1864542,-39148,6767,1454,-32745,-14624,321421,14475,18697,271208,17041,1244917,119932,36838,27343,9495,41838,2185,136559,58464,78095,0,ND
1980:Q1,1958631,15333,31504,70972,383279,11603,104944,98529,33719,0,0,0,64810,138927,29276,0,0,0,0,29276,1404180,355161,28858,816319,203842,4165,0,0,6854,42344,1881268,-38028,3682,2502,-36271,-7941,296218,8099,16399,255258,16462,1274402,118619,39511,30041,9470,44122,2118,144306,59158,85148,0,ND
1980:Q2,1980092,16029,32824,79116,398133,14328,106834,102994,35207,0,0,0,67787,142460,31517,0,0,0,0,31517,1400966,349038,31350,821921,198657,4319,0,0,7243,41462,1899940,-64308,4167,215,-42271,-26419,310537,13026,17750,260386,19375,1291143,132789,42994,32952,10042,42364,1975,142446,61506,80940,0,ND
1980:Q3,2024350,17307,27634,83434,417311,14912,115212,109313,38481,0,0,0,70832,147620,30254,0,0,0,0,30254,1425715,357232,31371,836219,200893,4307,0,0,7654,40988,1940628,-75959,3192,982,-43791,-36342,321658,19090,16716,269675,16177,1319252,141782,43220,33148,10072,44161,1815,144699,63099,81600,0,ND
1980:Q4,2093355,19807,26737,83353,436261,14789,121131,115687,41241,0,0,0,74446,150976,33678,0,0,0,0,33678,1467938,380135,31963,852973,202867,4200,0,0,8089,46970,2003898,-87696,4467,1809,-53228,-40744,333212,11917,18166,286256,16873,1376829,142932,43589,33574,10015,48963,1688,144381,63207,81174,0,ND
1981:Q1,2110321,17288,25257,90567,441902,14512,125092,119438,42432,0,0,0,77006,150055,32805,0,0,0,0,32805,1471831,375652,35716,860950,199513,3963,0,0,8548,50965,2020274,-94362,3261,656,-53460,-44819,319905,10219,15493,279022,15171,1393623,153223,46880,37195,9685,49175,1591,150239,66080,84159,0,ND
1981:Q2,2156579,18549,22482,86988,445248,15809,125071,122416,44040,0,0,0,78376,151290,30662,0,0,0,0,30662,1514458,400178,36701,874988,202591,3690,0,0,9033,56131,2066151,-97925,2506,1010,-57619,-43822,331862,17006,16664,280985,17207,1412124,155924,47768,38321,9447,56095,1502,158801,68997,89804,0,ND
1981:Q3,2192720,19185,25826,87509,449547,14889,122067,128164,45574,0,0,0,82590,154063,30364,0,0,0,0,30364,1541419,411713,38374,885085,206247,3188,0,0,9545,56501,2102892,-100983,2811,2486,-63678,-42602,334520,19560,15300,282675,16985,1441107,157044,49294,40220,9074,64347,1427,156136,70658,85478,0,ND
1981:Q4,2259054,18623,23912,108049,459041,15789,122975,132851,48095,0,0,0,84756,156693,30733,0,0,0,0,30733,1584583,446036,40209,890159,208179,3237,0,0,10087,51522,2177575,-115806,1762,1601,-68242,-50927,355783,10803,16735,314394,13851,1491882,178182,51497,42091,9406,65194,1364,149479,75780,73699,0,ND
1982:Q1,2286276,16612,24964,105772,475509,19359,126758,141163,54854,0,0,0,86309,155883,32346,0,0,0,0,32346,1589626,452553,40589,889707,206777,2863,0,0,6513,64418,2197744,-126382,1882,2646,-62226,-68685,336630,12869,14648,297261,11852,1536435,181134,52588,43510,9078,66162,1325,149852,73907,75945,0,ND
1982:Q2,2325733,20097,18886,103149,478789,17591,124386,150905,62430,0,0,0,88475,154727,31180,0,0,0,0,31180,1619579,476230,43666,890235,209448,2661,0,0,6714,75858,2230164,-142997,2545,1638,-59035,-88145,338352,11355,15924,298743,12330,1569627,177446,54804,45848,8956,69398,1307,162228,70162,92066,0,ND
1982:Q3,2349051,19198,18771,109156,491278,19172,126665,157866,68111,0,0,0,89755,154461,33114,0,0,0,0,33114,1623372,485840,43734,880445,213353,2887,0,0,7010,77379,2262250,-160233,550,1123,-61749,-100157,354855,20841,14659,307890,11465,1605095,185752,55820,46200,9620,67642,1298,152021,82510,69511,0,ND
1982:Q4,2425376,19532,24826,124533,533009,18551,145776,168400,76691,0,0,0,91709,160773,39509,0,0,0,0,39509,1633161,497994,47179,870502,217486,3300,0,0,7266,79749,2338703,-166086,2735,717,-60602,-108936,383151,16864,15564,339118,11605,1661389,192419,62039,51600,10439,66001,1283,138507,89757,48750,0,ND
1983:Q1,2462086,18286,21592,121781,571488,18984,167493,183711,88137,0,0,0,95574,155869,45431,0,0,0,0,45431,1629614,495871,43010,875894,214839,3614,0,0,7685,88027,2375522,-180880,486,2808,-66793,-117381,372480,14563,13827,331630,12460,1718629,191190,57689,46824,10865,60467,1274,154674,85475,69199,0,ND
1983:Q2,2532197,20451,16763,121857,605939,18427,185520,191975,96013,0,0,0,95962,157084,52933,0,0,0,0,52933,1667493,506562,46526,894117,220288,4163,0,0,7906,87624,2451150,-175764,1020,3610,-59538,-120856,394653,22160,15760,343775,12958,1755023,191871,59821,49046,10775,59980,1270,164297,84974,79323,0,ND
1983:Q3,2597377,17410,19759,116226,626930,18616,195919,201958,106018,0,0,0,95940,158927,51510,0,0,0,0,51510,1714200,511231,48376,923495,231098,4335,0,0,8188,90328,2516920,-175319,-60,1625,-61910,-114974,392801,22836,13628,344067,12270,1800940,196241,61658,50839,10819,59807,1258,179534,93589,85945,0,ND
1983:Q4,2669245,20996,20449,115502,646475,17782,204575,205220,110694,0,0,0,94526,164392,54506,0,0,0,0,54506,1764855,517518,51796,950389,245152,4317,0,0,10025,86626,2603389,-161796,1563,918,-78214,-86063,407926,11521,15365,368066,12974,1836906,203614,65175,54628,10547,61416,1254,188894,102078,86816,0,ND
1984:Q1,2777462,17333,21267,121125,669893,17206,216144,211225,147872,0,0,0,63353,163599,61719,360,0,0,0,61359,1817836,532612,50115,980485,254624,4145,0,0,10273,115589,2656521,-154657,787,896,-64852,-91488,402862,13040,17411,359706,12705,1891113,215922,62363,51922,10441,60382,4299,174237,96350,77887,0,ND
1984:Q2,2876370,18073,19252,122621,670696,16247,211237,219879,155217,0,0,0,64662,163204,60129,422,0,0,0,59707,1910070,559153,55097,1022247,273573,3955,0,0,10999,120705,2753104,-143229,-655,4760,-61409,-85924,408074,12040,19989,363135,12910,1949614,220046,69993,57445,12548,68772,4509,175324,91745,83579,0,ND
1984:Q3,2973974,18345,22512,120740,686600,16634,213244,224169,158097,0,0,0,66072,168573,63980,435,0,0,0,63545,1968280,570692,50308,1058155,289125,4219,0,0,11016,142262,2869636,-137076,289,6633,-51996,-92002,411224,24718,17939,355599,12968,2003947,229873,64348,52082,12266,76010,4560,216750,108799,107951,0,ND
1984:Q4,3083126,24238,20519,137579,698288,15451,214892,220782,151866,0,0,0,68916,176674,70489,372,0,0,0,70117,2034550,598521,48949,1084010,303070,4142,0,0,11024,152787,2989010,-145860,855,3577,-50204,-100089,444553,15546,21033,392018,15956,2071964,235806,67097,51056,16041,77793,4387,233270,120388,112882,0,ND
