1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,197943,2697,20056,8,89139,427,72967,1825,18,0,0,0,1807,9333,4587,0,0,0,0,4587,83189,32124,392,39702,10971,227,0,0,50,2577,183007,591,1184,19,-976,364,102435,3359,8528,89481,1067,75666,11,396,396,0,911,615,2382,0,2382,0,ND
1952:Q1,198778,2420,20276,160,89218,461,72627,1698,41,0,0,0,1657,9722,4710,0,0,0,0,4710,83626,31701,366,40535,11024,248,0,0,50,2780,183793,324,710,157,-977,434,101580,5560,8843,86143,1034,77397,235,370,370,0,589,721,2577,0,2577,0,ND
1952:Q2,201333,2396,19381,12,89471,400,72503,1565,48,0,0,0,1517,10089,4914,0,0,0,0,4914,86843,32596,333,42000,11914,276,0,0,52,2902,186051,-47,581,44,-1147,475,102076,5837,8822,86277,1140,79634,38,336,336,0,653,691,2670,0,2670,0,ND
1952:Q3,206590,2530,20581,420,90836,493,73072,1938,38,0,0,0,1900,10474,4859,0,0,0,0,4859,88886,32560,363,43599,12364,289,0,0,54,2994,191156,1025,738,355,-476,408,103807,6180,8385,87790,1452,81061,424,367,367,0,715,803,2954,0,2954,0,ND
1952:Q4,212159,2753,19950,26,92477,472,74556,2159,32,0,0,0,2127,10524,4766,0,0,0,0,4766,93401,34826,394,44996,13185,336,0,0,59,3157,196461,509,967,127,-985,400,107542,4941,8910,92416,1275,83530,46,398,398,0,864,801,2771,0,2771,0,ND
1953:Q1,211599,2550,20148,489,90269,425,71948,2112,59,0,0,0,2053,10938,4846,0,0,0,0,4846,94680,34157,364,46148,14011,350,0,0,61,3052,195829,982,810,690,-969,451,104072,5530,8996,88390,1156,85461,623,368,368,0,611,720,2992,0,2992,0,ND
1953:Q2,211142,2590,19561,34,87994,331,70135,1675,60,0,0,0,1615,10923,4930,0,0,0,0,4930,97268,34305,342,47918,14703,371,0,0,63,3261,195016,200,601,54,-934,479,101818,3634,9350,87746,1088,88158,44,346,346,0,718,634,3098,0,3098,0,ND
1953:Q3,217577,2650,19309,222,92066,431,73636,1882,78,0,0,0,1804,11091,5026,0,0,0,0,5026,99669,34782,412,49565,14910,392,0,0,66,3203,201140,974,685,329,-576,536,104799,5870,8832,89048,1049,89709,233,416,416,0,801,744,3464,0,3464,0,ND
1953:Q4,222163,2512,20160,5,95004,477,74555,3698,71,0,0,0,3627,11249,5025,0,0,0,0,5025,100386,33868,458,51054,15006,431,0,0,69,3596,205596,242,935,13,-1017,311,107644,4146,9546,93004,948,92372,37,463,463,0,952,977,2909,0,2909,0,ND
1954:Q1,219906,2630,19194,112,93618,630,71759,4093,82,0,0,0,4011,11884,5252,0,0,0,0,5252,100240,32917,464,52291,14568,471,0,0,71,3570,203088,-389,535,132,-1299,243,103309,5060,9945,87410,894,94999,74,469,469,0,630,851,3145,0,3145,0,ND
