1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1341,67,1274,0,0,1341,260,0,0,20,0,643,0,416,6,10,0,0,0,-14,0
1952:Q1,712,36,676,0,0,712,472,0,0,20,0,-180,0,320,4,12,0,0,0,64,0
1952:Q2,868,43,825,0,0,868,268,0,0,12,0,312,0,236,8,12,0,0,0,20,0
1952:Q3,952,48,904,0,0,952,244,0,0,28,0,384,0,244,12,12,0,0,0,28,0
1952:Q4,824,41,783,0,0,824,256,0,0,-4,0,312,0,228,8,12,0,0,0,12,0
1953:Q1,424,21,403,0,0,424,212,0,0,88,0,96,0,68,12,16,0,0,0,-68,0
1953:Q2,716,36,680,0,0,716,208,0,0,96,0,292,0,60,12,16,0,0,0,32,0
1953:Q3,672,34,638,0,0,672,184,0,0,156,0,204,0,48,12,12,0,0,0,56,0
1953:Q4,748,37,711,0,0,748,308,0,0,100,0,208,0,124,12,20,0,0,0,-24,0
1954:Q1,212,11,201,0,0,212,252,0,0,-104,0,4,0,24,12,16,0,0,0,8,0
1954:Q2,552,28,524,0,0,552,276,0,0,100,0,108,0,28,8,20,0,0,0,12,0
1954:Q3,560,28,532,0,0,560,220,0,0,272,0,-36,0,36,12,20,0,0,0,36,0
1954:Q4,852,43,809,0,0,852,392,0,0,68,0,256,0,76,16,20,0,0,0,24,0
1955:Q1,468,23,445,0,0,468,352,0,0,108,0,-196,0,128,16,20,0,0,0,40,0
1955:Q2,828,41,787,0,0,828,332,0,0,120,0,192,0,80,20,20,0,0,0,64,0
1955:Q3,760,38,722,0,0,760,324,0,0,48,0,152,0,96,20,20,0,0,0,100,0
1955:Q4,1244,62,1182,0,0,1244,460,0,0,184,0,264,0,288,28,20,0,0,0,0,0
1956:Q1,668,33,635,0,0,668,376,0,0,60,0,108,0,108,32,24,4,0,0,-44,0
1956:Q2,680,34,646,0,0,680,448,0,0,60,0,44,0,96,32,16,0,0,0,-16,0
1956:Q3,580,29,551,0,0,580,400,0,0,16,0,56,0,28,36,24,-4,0,0,24,0
1956:Q4,368,18,350,0,0,368,328,0,0,36,0,-36,0,20,36,28,0,0,0,-44,0
1957:Q1,84,4,80,0,0,84,304,0,0,72,0,-116,0,-148,32,36,0,0,0,-96,0
1957:Q2,388,19,369,0,0,388,388,0,0,24,0,56,0,-116,32,44,0,0,0,-40,0
1957:Q3,788,30,566,192,0,788,624,0,0,8,0,84,0,-8,36,48,0,0,0,-4,0
1957:Q4,928,37,699,192,0,928,572,0,0,68,0,196,0,16,36,52,0,0,0,-12,0
1958:Q1,1656,58,1094,504,0,1656,1012,0,0,64,4,440,0,-4,40,56,0,0,0,44,0
1958:Q2,1968,73,1395,500,0,1968,1204,0,0,60,8,560,0,-4,40,56,0,0,0,44,0
1958:Q3,2012,82,1562,368,0,2012,1064,0,0,52,8,740,0,-4,44,64,0,0,0,44,0
1958:Q4,2180,90,1718,372,0,2180,996,0,0,360,4,656,0,-4,52,72,0,0,0,44,0
1959:Q1,2268,104,1968,196,0,2268,880,0,0,380,4,568,0,256,60,72,0,0,0,48,0
1959:Q2,2188,99,1885,204,0,2188,1012,0,0,316,4,568,0,180,64,68,0,0,0,-24,0
1959:Q3,2132,85,1619,428,0,2132,1080,0,0,296,4,596,0,-32,68,80,0,0,0,40,0
1959:Q4,1952,76,1444,432,0,1952,1032,0,0,212,12,420,0,72,72,100,0,0,0,32,0
1960:Q1,1996,80,1516,400,0,1996,968,0,0,140,8,352,0,300,84,128,0,0,0,16,0
1960:Q2,2012,80,1524,408,0,2012,844,0,0,128,4,668,0,172,88,148,0,0,0,-40,0
1960:Q3,2364,98,1862,404,0,2364,896,0,0,100,12,848,0,224,88,156,4,0,0,36,0
1960:Q4,1972,78,1486,408,0,1972,820,0,0,112,32,700,0,100,80,148,4,0,0,-24,0
1961:Q1,2552,117,2219,216,0,2552,852,0,0,60,44,952,0,412,80,148,0,0,0,4,0
1961:Q2,2076,93,1767,216,0,2076,660,0,0,80,60,912,0,124,64,148,0,0,0,28,0
1961:Q3,3388,158,3002,228,0,3388,944,0,0,112,72,1604,0,320,72,148,0,0,0,116,0
1961:Q4,3328,155,2945,228,0,3328,1136,0,0,80,84,1008,0,684,80,136,0,0,0,120,0
1962:Q1,2384,103,1961,320,0,2384,164,0,0,8,96,1708,0,224,84,120,4,0,0,-24,0
1962:Q2,2876,128,2424,324,0,2876,380,0,0,148,108,1648,0,280,84,108,20,0,0,100,0
1962:Q3,3328,157,2979,192,0,3328,360,0,0,-32,124,2220,0,344,92,108,0,0,0,112,0
1962:Q4,3852,182,3466,204,0,3852,324,0,0,0,144,1996,0,1144,96,116,16,0,0,16,0
1963:Q1,2600,125,2375,100,0,2600,108,0,0,-132,164,1916,0,336,92,116,0,0,0,0,0
1963:Q2,3280,159,3013,108,0,3280,-4,0,0,-60,184,2300,0,536,88,116,0,0,0,120,0
1963:Q3,3168,158,2994,16,0,3168,-228,0,0,-132,196,2340,0,632,92,120,-4,4,0,148,0
1963:Q4,4120,205,3891,24,0,4120,-20,0,0,-8,196,2724,0,876,120,136,4,0,0,92,0
1964:Q1,3648,183,3477,-12,0,3648,-108,0,0,36,204,1620,0,1624,160,140,-4,0,0,-24,0
1964:Q2,4636,233,4427,-24,0,4636,-144,0,0,84,220,2248,0,1756,176,148,0,0,0,148,0
1964:Q3,4872,240,4560,72,0,4872,68,0,0,-76,216,2376,0,1872,164,160,0,4,0,88,0
1964:Q4,5060,249,4727,84,0,5060,44,0,0,-96,204,2196,0,2320,168,188,0,0,0,36,0
1965:Q1,3224,156,2972,96,0,3224,-376,0,0,-144,192,1664,0,1484,164,204,0,0,0,36,0
1965:Q2,3664,178,3382,104,0,3664,-504,0,0,-188,188,2080,0,1496,288,220,0,0,0,84,0
1965:Q3,3772,192,3640,-60,0,3772,-636,0,0,80,176,2176,0,1428,144,236,0,4,0,164,0
1965:Q4,3880,197,3747,-64,0,3880,-488,0,0,244,164,1740,0,1892,104,240,-4,4,0,-16,0
1966:Q1,3896,198,3758,-60,0,3896,-76,0,0,520,140,1516,0,1412,148,256,0,0,0,-20,0
1966:Q2,3552,181,3431,-60,0,3552,52,0,0,336,120,1196,0,1508,96,276,0,-4,0,-28,0
1966:Q3,2532,130,2462,-60,0,2532,-172,0,0,192,112,508,0,1508,140,264,0,4,0,-24,0
1966:Q4,2268,117,2219,-68,0,2268,-84,0,0,160,124,280,0,1484,232,228,0,0,0,-156,0
1967:Q1,2772,141,2683,-52,0,2772,-196,0,0,248,128,808,0,1460,100,228,-4,4,0,-4,0
1967:Q2,3332,170,3222,-60,0,3332,-124,0,0,88,128,1528,0,1316,-12,224,0,0,0,184,0
1967:Q3,3788,193,3663,-68,0,3788,-32,0,0,184,132,1956,0,1272,100,108,0,8,0,60,0
1967:Q4,4268,217,4123,-72,0,4268,180,0,0,340,140,1816,0,1664,32,112,0,8,0,-24,0
1968:Q1,2648,133,2535,-72,52,2648,20,0,0,372,148,1352,0,628,8,188,8,4,0,-80,0
1968:Q2,3060,154,2926,-72,52,3060,-356,0,0,324,156,1744,0,824,-48,156,0,8,0,132,120
1968:Q3,3596,177,3367,-56,108,3596,252,0,0,276,164,1736,0,980,24,8,12,12,0,80,52
1968:Q4,4440,223,4229,-64,52,4440,-260,0,0,400,176,1980,0,1716,0,120,8,12,0,160,128
1969:Q1,3780,182,3466,-76,208,3780,244,0,0,252,152,1888,0,828,16,88,8,16,0,-8,296
1969:Q2,4624,236,4476,-100,12,4624,-268,0,0,680,200,2456,0,948,-4,116,8,16,0,208,264
1969:Q3,4640,234,4438,-48,16,4640,-352,0,0,768,444,1984,0,1260,84,100,32,16,0,-52,356
1969:Q4,6656,334,6354,-100,68,6656,-1260,0,0,1024,748,1912,0,2888,120,140,12,20,0,296,756
1970:Q1,8768,442,8390,-68,4,8768,3360,0,0,452,932,1456,0,1296,32,100,88,20,0,-60,1092
1970:Q2,6348,321,6103,-96,20,6348,112,0,0,364,316,2276,0,1620,0,148,388,20,0,600,504
1970:Q3,8456,423,8041,-104,96,8456,1148,0,0,596,432,2772,0,1568,-96,40,384,32,0,1052,528
1970:Q4,8644,432,8212,-32,32,8644,-56,0,0,612,608,3040,0,2452,60,40,300,28,0,580,980
1971:Q1,8732,437,8303,-56,48,8732,-1208,0,300,572,892,4908,0,836,-176,636,456,36,0,932,548
1971:Q2,10960,550,10450,-84,44,10960,-1132,0,300,344,388,7700,0,372,-524,544,600,40,0,1480,848
1971:Q3,9388,472,8964,-72,24,9388,-1516,0,300,228,820,5568,0,808,-124,212,892,36,0,1144,1020
1971:Q4,9804,491,9329,-76,60,9804,-2660,0,300,452,764,6740,0,1096,-428,-248,1328,104,0,1136,1220
1972:Q1,10344,519,9857,-100,68,10344,-136,0,300,248,932,4896,0,360,-716,-28,1040,128,0,856,2464
1972:Q2,13464,664,12608,-72,264,13464,712,0,300,296,916,7844,0,44,-444,-56,772,264,0,1224,1592
1972:Q3,11152,554,10534,-84,148,11152,152,0,300,208,1064,6548,0,508,-188,56,1104,272,0,-308,1436
1972:Q4,16168,806,15306,-88,144,16168,388,0,300,376,1000,6952,0,1488,-32,-176,1000,448,0,1752,2672
1973:Q1,7268,360,6836,-88,160,7268,-952,0,148,-68,616,4692,0,48,-200,-384,1020,440,0,768,1140
1973:Q2,13456,667,12677,-72,184,13456,-828,0,88,144,620,4924,0,988,-16,24,2296,176,0,1164,3876
1973:Q3,12680,637,12099,-64,8,12680,-836,0,-44,568,1080,4744,0,1284,-100,96,2132,208,0,920,2628
1973:Q4,8256,414,7858,-60,44,8256,-1172,0,-156,548,1352,2900,0,2096,-72,-24,1928,72,0,-1096,1880
1974:Q1,8656,432,8216,-80,88,8656,132,0,-24,248,928,1996,0,916,52,80,2244,64,0,628,1392
1974:Q2,7464,377,7163,-88,12,7464,-12,0,-40,340,1104,3704,0,1020,32,-56,2336,64,0,-940,-88
1974:Q3,6848,347,6589,-124,36,6848,-60,0,-64,1012,1332,2472,0,1096,24,136,2296,356,0,-916,-836
1974:Q4,4532,232,4400,-132,32,4532,-192,0,-100,1260,2044,1080,0,1664,12,188,1948,152,0,-3716,192
1975:Q1,-328,-16,-296,-16,0,-328,2252,-568,-200,1300,664,-652,0,700,248,-60,876,480,0,-824,-4544
1975:Q2,596,40,760,-168,-36,596,808,408,-152,1560,1196,1708,0,-144,8,44,160,-172,0,-536,-4292
1975:Q3,320,22,422,-68,-56,320,1628,276,-32,1136,684,1488,0,-244,-40,0,-84,948,0,-804,-4636
1975:Q4,-540,-22,-410,-108,0,-540,404,132,64,852,448,1020,0,-296,-40,624,12,344,0,-900,-3204
1976:Q1,5764,289,5483,-88,80,5764,-592,1616,92,284,-552,5428,0,-256,-20,-48,-540,1084,0,416,-1148
1976:Q2,5752,284,5392,-88,164,5752,-1300,1412,152,-356,420,7996,0,-792,92,68,16,92,0,-944,-1104
1976:Q3,5208,260,4940,-128,136,5208,-836,1284,296,1408,652,3768,0,-532,20,-204,20,356,0,36,-1060
1976:Q4,3944,187,3549,-60,268,3944,-840,976,432,-452,720,4516,0,-224,-12,60,264,404,0,-888,-1012
1977:Q1,4988,257,4891,-132,-28,4988,-672,1616,172,160,424,3636,0,-980,108,-52,4,1060,0,-56,-432
1977:Q2,10416,533,10123,-120,-120,10416,-1088,1844,220,268,4,8200,0,-104,104,-112,484,252,0,776,-432
1977:Q3,8356,427,8105,-100,-76,8356,-376,1616,344,-112,476,6820,0,-224,-16,-1156,224,900,0,284,-424
1977:Q4,9776,495,9409,-100,-28,9776,-492,1632,460,872,248,5672,0,-112,-96,720,-500,1488,0,304,-420
1978:Q1,10088,529,10059,-96,-404,10088,-920,1716,480,1392,336,6764,0,-700,12,140,-132,1204,0,-48,-156
1978:Q2,13780,685,13011,-108,192,13780,-128,2020,512,268,788,7808,0,160,-8,924,-776,2336,0,28,-152
1978:Q3,9636,477,9055,-104,208,9636,-256,1588,596,1624,-476,4588,0,216,-56,220,280,1068,0,436,-192
1978:Q4,9788,483,9181,-80,204,9788,-596,1576,680,484,904,2372,0,1032,-200,956,596,1444,0,648,-108
1979:Q1,9804,492,9340,-104,76,9804,-384,1672,640,840,856,4028,0,256,-32,612,260,1000,0,60,-4
1979:Q2,9072,463,8793,-164,-20,9072,-556,1864,588,388,1276,3408,0,48,-32,640,-192,1332,0,312,-4
1979:Q3,9972,506,9614,-100,-48,9972,-208,1772,464,752,1204,2640,0,-48,208,808,440,1152,0,792,-4
1979:Q4,10524,532,10116,-104,-20,10524,-636,2040,360,2488,2168,1876,0,604,-8,208,244,1356,0,-172,-4
1980:Q1,7916,401,7611,-84,-12,7916,-332,2480,-208,1740,1052,1952,0,200,-244,900,144,316,0,0,-84
1980:Q2,5524,283,5385,-128,-16,5524,-68,804,-32,3224,1532,-636,0,108,-108,216,-248,884,0,-68,-84
1980:Q3,7240,369,7003,-116,-16,7240,-624,528,416,668,1776,2440,0,184,-304,644,344,856,0,396,-84
1980:Q4,9232,467,8865,-88,-12,9232,-340,372,780,1800,1464,2876,0,704,-176,288,404,576,0,564,-80
1981:Q1,5688,290,5518,-120,0,5688,-352,-516,1300,1744,532,2396,0,52,-48,536,-80,540,0,-364,-52
1981:Q2,4016,206,3914,-108,4,4016,-444,-812,1428,1588,1532,-340,0,-128,32,852,-76,360,0,76,-52
1981:Q3,4348,223,4229,-112,8,4348,-392,-1088,1752,-1552,1584,1768,0,-216,-8,1648,48,692,0,164,-52
1981:Q4,5112,260,4932,-96,16,5112,-1080,-2620,2020,2052,1348,1668,0,-632,-24,652,-216,1828,0,168,-52
1982:Q1,5052,256,4872,-104,28,5052,540,-1656,1268,-380,1488,2432,0,-296,0,1408,-92,156,0,72,112
1982:Q2,4216,215,4085,-128,44,4216,3796,-4620,1180,1288,808,1556,0,-836,-92,40,-100,432,0,652,112
1982:Q3,2816,144,2744,-120,48,2816,-200,-1028,952,-3396,1500,3648,0,-92,-36,804,-152,420,0,284,112
1982:Q4,9688,489,9295,-124,28,9688,336,684,784,1256,1612,4368,0,-484,712,304,-140,436,0,-296,116
1983:Q1,4128,208,3960,-60,20,4128,1888,-1760,656,-1288,1192,1692,0,32,140,628,-40,1172,0,-224,40
1983:Q2,14964,754,14326,-128,12,14964,4340,-1224,820,152,2388,6916,0,-344,140,472,152,1092,0,20,40
1983:Q3,20092,1007,19137,-56,4,20092,4440,-2172,1212,-756,2488,13288,0,316,-76,200,-384,1804,0,-308,40
1983:Q4,21780,1093,20771,-80,-4,21780,4012,-3648,1540,504,3516,13700,0,1000,-32,1052,-36,856,0,-720,36
1984:Q1,24172,1210,22998,-148,112,24172,4,572,2188,-1940,3864,16832,0,-184,1028,112,208,532,0,532,424
1984:Q2,32016,1597,30335,-96,180,32016,-176,1008,2132,-24,5632,19312,0,-308,-96,76,1816,1952,0,296,396
1984:Q3,21668,1080,20528,-112,172,21668,-540,144,1984,-2036,4796,15316,0,-860,196,44,496,1708,0,0,420
1984:Q4,23084,1152,21896,-44,80,23084,-812,700,1884,1092,3712,14428,0,676,140,44,916,68,0,-104,340
1985:Q1,21604,1085,20607,-100,12,21604,900,-1436,1228,-956,2052,12800,0,260,1488,-92,968,3612,0,632,148
1985:Q2,25896,1298,24662,-80,16,25896,-184,-184,1012,888,2524,17036,0,232,628,108,2100,1388,0,128,220
1985:Q3,22696,1136,21592,-52,20,22696,184,184,472,-316,3216,16020,0,52,-36,-60,2136,632,0,-20,232
1985:Q4,43804,2191,41633,-44,24,43804,676,676,52,476,4928,24400,0,3280,4456,-32,2584,288,0,960,1060
1986:Q1,28236,1405,26699,-44,176,28236,-384,-380,744,784,7868,15336,0,552,-2052,152,-2340,7972,0,-292,276
1986:Q2,31552,1564,29724,-36,300,31552,1104,1100,836,264,6952,9328,0,836,2576,-40,5068,448,0,2708,372
1986:Q3,31904,1598,30370,-48,-16,31904,320,324,1068,788,5788,13508,0,2244,864,12,1204,4212,0,1448,124
1986:Q4,42224,2118,40242,-16,-120,42224,2944,2944,1264,1968,7500,21400,0,600,-52,-48,-2836,6836,660,-192,-764
1987:Q1,14036,698,13254,-36,120,14036,-7308,8296,-788,-120,12812,2948,0,-72,-4136,-600,-2124,7356,36,-2552,288
1987:Q2,18996,950,18050,-8,4,18996,-1800,2976,-1244,344,12576,-1860,0,2916,-556,-56,1104,4600,76,-48,-32
1987:Q3,17808,889,16883,-12,48,17808,956,-1324,-1152,188,2060,11164,0,1220,636,-312,-492,4016,760,-388,476
1987:Q4,16572,816,15512,-4,248,16572,0,-1884,-532,1064,532,11660,0,2224,-328,-456,288,2080,584,752,588
1988:Q1,47808,2391,45433,0,-16,47808,0,6224,17120,384,836,13356,0,712,1080,-228,684,5400,1012,868,360
1988:Q2,-9460,-474,-9014,4,24,-9460,0,9892,-34244,-944,804,6380,0,1972,1716,-124,1252,3192,36,560,48
1988:Q3,13228,663,12605,-8,-32,13228,0,-26724,25848,1024,860,180,0,2132,1028,-160,988,6036,220,1144,652
1988:Q4,21072,1035,19669,-16,384,21072,0,-1824,1392,872,1872,6228,0,3328,544,-176,1488,6288,484,-424,1000
1989:Q1,13219,658,12501,-4,64,13219,0,9112,-8972,1304,1440,2880,0,1764,-12,-148,1260,5807,-132,-764,-320
1989:Q2,20659,1032,19603,-4,28,20659,0,880,-1240,940,956,5348,0,2188,2792,-240,1965,6294,-60,916,-80
1989:Q3,3297,157,2977,-4,168,3297,0,-1548,-1332,-1344,236,-1656,0,2316,736,-372,2166,3700,140,440,-184
1989:Q4,4746,229,4345,0,172,4746,0,-384,-1256,908,2228,-6712,0,3120,1724,-292,4615,531,-4,68,200
1990:Q1,7638,373,7089,4,172,7638,0,8028,3812,6816,1352,-13084,0,2592,-11320,-428,299,4395,156,5112,-92
1990:Q2,-23937,-1205,-22892,-12,172,-23937,0,-13616,-164,11052,1108,-24572,0,1888,176,-8,-67,1338,-132,-904,-36
1990:Q3,9299,450,8550,-4,304,9299,0,-144,-228,20838,544,-14332,0,292,88,-260,2424,-763,-180,1048,-28
1990:Q4,2084,96,1816,0,172,2084,0,-1156,-300,3875,1048,-13952,0,3516,56,-36,2103,7178,-184,608,-672
1991:Q1,6129,302,5731,4,92,6129,0,-1268,-444,17648,1572,-6412,0,2056,-304,-120,-432,-7114,332,1180,-564
1991:Q2,4985,244,4637,-4,108,4985,0,348,-568,14781,352,-11108,0,2052,-400,-272,1108,932,-112,-2128,0
1991:Q3,-30187,-1516,-28799,0,128,-30187,0,-4048,-848,-677,1356,-25280,0,-176,-276,-312,404,-4998,4860,-192,0
1991:Q4,5806,276,5245,0,284,5806,0,836,-364,4026,584,-6824,0,-2480,-356,-208,2836,679,6568,508,0
1992:Q1,-720,-50,-954,0,284,-720,0,-424,24,7034,480,-10736,0,-1000,-196,-660,2015,-1886,4552,264,-188
1992:Q2,-15386,-770,-14636,-8,28,-15386,0,-320,-56,-11460,1328,-6832,0,-1700,-232,-816,1025,-2522,5812,-120,508
1992:Q3,-13960,-705,-13399,0,144,-13960,0,-16,8,-7660,276,-2408,0,-2520,-132,-748,1302,-2362,-304,1292,-688
1992:Q4,-22626,-1145,-21764,0,284,-22626,0,88,-156,-4842,756,-16052,0,-3264,-176,-508,2176,-2315,1128,120,420
1993:Q1,-8388,-442,-8402,0,456,-8388,0,-188,-2204,-6035,576,1188,0,-528,24,-520,1328,-2513,824,-72,-268
1993:Q2,-11304,-588,-11165,0,448,-11304,0,332,-688,-5290,808,-6460,0,-1068,-64,228,873,-2603,3048,40,-460
1993:Q3,-5096,-356,-6768,-4,2032,-5096,0,328,-480,-4055,580,-1148,0,-2112,96,-128,2057,-890,1100,-340,-104
1993:Q4,6428,231,4396,-4,1804,6428,0,-192,-1036,-2643,-64,60,0,5004,-68,144,2500,514,2212,288,-292
1994:Q1,-444,-184,-3500,0,3240,-444,0,716,-1356,-2107,692,-1360,0,64,112,176,1784,-597,428,-36,1040
1994:Q2,4635,27,516,0,4092,4635,0,284,2400,-2386,640,-2748,0,2460,204,80,800,-63,2372,160,432
1994:Q3,-434,-220,-4174,0,3960,-434,0,168,340,2735,1020,-4040,0,-1884,200,316,328,-972,1024,356,-24
1994:Q4,-802,-121,-2301,0,1620,-802,0,304,1204,-8482,1420,-428,0,552,664,196,524,1571,1964,208,-500
1995:Q1,-2345,-173,-3280,0,1108,-2345,0,-792,-1032,-2342,1080,916,0,-36,-4,204,972,-936,-160,600,-816
1995:Q2,8880,314,5974,0,2592,8880,0,-788,-468,-6205,1184,6728,0,144,-4,244,-172,6597,1368,568,-316
1995:Q3,4532,153,2900,0,1480,4532,0,-792,-748,-6120,436,3948,0,1176,-8,220,644,3280,1392,1460,-356
1995:Q4,14260,621,11791,0,1848,14260,0,-776,-476,-2593,844,-2464,0,2200,-4,228,712,8861,5816,2740,-828
1996:Q1,3552,85,1619,0,1848,3552,0,1804,-528,-2892,1004,-2208,0,1832,-4,236,692,3640,1008,292,-1324
1996:Q2,12912,516,9808,-4,2592,12912,0,204,-744,-620,916,3336,0,1740,-4,232,-1620,4540,2596,3056,-720
1996:Q3,9752,333,6335,-4,3088,9752,0,376,-252,-3740,1732,6748,0,-3324,-4,240,-972,7068,3828,-1816,-132
1996:Q4,23108,1014,19258,-8,2844,23108,0,372,-284,-4156,3696,2176,0,7896,20,248,-1156,7176,7756,-1352,716
1997:Q1,1248,-211,-4009,-8,5476,1248,0,696,-928,-2808,-8,272,0,-2772,28,248,-1488,5000,-148,3116,40
1997:Q2,16164,541,10275,0,5348,16164,0,600,-360,-636,796,4120,0,2512,32,248,-2152,5672,4508,-368,1192
1997:Q3,8872,333,6331,0,2208,8872,0,600,-504,228,564,1496,0,1256,36,252,-1200,4820,2392,-1780,712
1997:Q4,21824,759,14421,0,6644,21824,0,600,-388,-436,1440,2880,0,-2388,-212,248,-1108,5688,11616,2240,1644
1998:Q1,26476,1174,22298,0,3004,26476,0,-308,2644,20,880,7676,0,-32,-48,972,-3104,4804,14124,-1452,300
1998:Q2,29160,1130,21478,0,6552,29160,0,-308,2644,-268,1236,1244,0,896,-44,2252,-852,5592,16052,448,268
1998:Q3,34072,1050,19950,0,13072,34072,0,-316,2648,-632,9784,-4552,0,-212,-40,916,744,16748,8148,192,644
1998:Q4,53200,2155,40949,0,10096,53200,0,-316,2644,-200,11716,5460,0,4768,-316,1020,3052,14700,12824,-1152,-1000
1999:Q1,38172,1577,29955,0,6640,38172,0,-168,-828,-68,1848,13388,0,-1912,240,428,3896,9524,11908,344,-428
1999:Q2,25784,1492,28340,0,-4048,25784,0,-168,-832,84,724,3024,0,1140,240,1316,6176,8344,6628,-500,-392
1999:Q3,42456,1968,37396,0,3092,42456,0,-168,-828,56,584,22788,0,792,240,-128,4680,8368,6288,188,-404
1999:Q4,55360,2638,50113,0,2609,55360,0,-168,-828,-84,4348,22016,0,3280,244,2052,2536,10656,9280,120,1908
2000:Q1,27240,1206,22914,0,3120,27240,0,-68,-228,268,644,13940,0,-652,28,-1592,5008,6496,3948,208,-760
2000:Q2,33676,1560,29632,0,2484,33676,0,-68,-228,232,-1232,18052,0,1980,8,644,2236,7708,4544,-68,-132
2000:Q3,21288,943,17921,0,2424,21288,0,-68,-232,248,224,9052,0,1312,32,-3268,3020,7812,3024,576,-444
2000:Q4,35120,1545,29355,0,4220,35120,0,-68,-228,492,-1668,7304,0,812,0,396,7552,12028,10148,-668,-980
2001:Q1,19104,893,16971,0,1240,19104,0,60,1180,-2436,-1016,14468,0,-492,-1004,-172,7248,13100,-11392,-408,-32
2001:Q2,45356,2224,42252,0,880,45356,0,60,1176,176,1872,4144,0,1200,812,-1484,8072,19192,10212,-164,88
2001:Q3,37564,2017,38327,0,-2780,37564,0,64,1176,972,-3544,18564,0,116,760,564,7404,12984,-1232,-268,4
