1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,15776,15441,0,180,-443,98,0,-1,30,-10,121,84,-78,0,-17,0,371,544,830,0,0,0,17,-325,0,3,0,0,104,30,0,0,0,0,-3,-100,0,-12,0,0,15232
1952:Q1,13149,15289,0,-172,-1548,-1800,8,0,28,0,192,-124,532,0,-64,0,808,-6073,-9229,0,0,124,116,1436,128,8,0,0,100,648,0,0,0,0,912,-316,0,0,0,0,19222
1952:Q2,17230,19670,0,-204,208,-2492,40,0,36,4,452,-464,492,0,-68,0,-444,-1872,236,0,0,388,108,-3848,64,8,0,0,88,108,0,0,0,0,316,672,0,-12,0,0,19102
1952:Q3,-11197,-7261,0,-136,-2820,-1908,4,4,40,4,352,-152,400,0,-124,0,400,18112,9688,0,0,464,296,7400,-36,8,0,0,80,100,0,0,0,0,-32,160,0,-16,0,0,-29309
1952:Q4,-34874,-47458,0,-232,4408,7744,-40,0,40,4,284,24,388,0,-248,0,212,-1348,2944,0,0,468,-400,-3532,-44,12,0,0,56,60,0,0,0,0,-1288,404,0,-28,0,0,-33526
1953:Q1,-20964,-19024,0,-36,-1156,-2112,-72,0,28,0,280,224,-104,0,72,0,936,-8472,-8792,0,0,-464,68,76,760,-4,0,0,52,40,0,0,0,0,1032,-1224,0,-16,0,0,-12492
1953:Q2,-42856,-41144,0,-60,-676,-1616,96,-4,44,4,208,-92,572,0,64,0,-252,-2124,924,0,0,-436,-304,-2444,-952,-16,0,0,32,0,0,0,0,0,316,772,0,-16,0,0,-40732
1953:Q3,-24064,-22332,0,48,-1068,-1864,-4,0,44,4,40,36,524,0,40,0,468,16864,9792,0,0,548,384,5904,-64,-4,0,0,36,4,0,0,0,0,-32,312,0,-16,0,0,-40928
1953:Q4,63144,54520,0,-148,3128,6144,-48,0,60,4,4,-12,-300,0,-128,0,-80,-436,2392,0,0,496,-156,-2592,-104,4,0,0,52,0,0,0,0,0,-728,216,0,-16,0,0,63580
1954:Q1,41293,43921,0,24,-1192,-2652,-12,0,72,4,528,104,300,0,-260,0,456,-9320,-8540,0,0,-520,56,-476,136,16,0,0,88,24,0,0,0,0,428,-512,0,-20,0,0,50613
1954:Q2,61366,61506,0,-64,4,-512,-8,-4,76,4,552,-132,468,0,-196,0,-328,1416,204,0,0,-584,-276,872,88,16,0,0,112,24,0,0,0,0,408,572,0,-20,0,0,59950
1954:Q3,72730,75886,0,136,-1408,-1720,-24,4,72,4,128,-32,260,0,-312,0,-264,14628,9384,0,0,364,328,4388,80,24,0,0,112,40,0,0,0,0,-152,80,0,-20,0,0,58102
1954:Q4,19217,9545,0,-32,1944,7396,-228,0,84,-16,-192,136,1620,0,-276,0,-764,748,1848,0,0,412,-160,-1824,-128,48,0,0,84,72,0,0,0,0,-312,728,0,-20,0,0,18469
1955:Q1,24697,26837,0,200,-600,-4428,44,0,56,4,-16,-4,1416,0,-96,0,1284,-8616,-8016,0,0,-408,28,-664,68,8,0,0,52,128,0,0,0,0,280,-68,0,-24,0,0,33313
1955:Q2,101094,92294,0,-152,512,3020,88,4,72,8,292,92,4516,0,-268,0,616,5688,744,0,0,-288,-8,3720,-32,0,0,0,24,140,0,0,0,0,432,980,0,-24,0,0,95406
1955:Q3,59079,59371,0,208,-704,-1676,-44,4,76,4,144,152,1860,0,-196,0,-120,11084,8388,0,0,688,44,1628,-200,4,0,0,24,180,0,0,0,0,-104,456,0,-24,0,0,47995
1955:Q4,18189,7653,0,-860,1684,6780,8,0,84,-4,240,-180,3504,0,-124,0,-596,920,3320,0,0,624,52,-3324,-40,16,0,0,64,208,0,0,0,0,-640,664,0,-24,0,0,17269
1956:Q1,63753,68677,0,524,-1424,-4248,20,-4,92,8,460,-36,-2276,0,-296,0,2256,-6012,-6660,0,0,-312,-156,816,420,12,0,0,100,220,0,0,0,0,284,-708,0,-28,0,0,69765
1956:Q2,-37771,-41227,0,-272,728,2624,12,4,92,4,492,228,-36,0,60,0,-480,6468,112,0,0,-400,440,4728,356,12,0,0,136,300,0,0,0,0,492,320,0,-28,0,0,-44239
1956:Q3,-32659,-27643,0,1296,-1280,-2976,-56,-4,96,0,-136,-172,-1184,0,68,0,-668,3688,6916,0,0,700,244,-4252,308,20,0,0,136,292,0,0,0,0,-160,-488,0,-28,0,0,-36347
1956:Q4,85590,79074,0,172,1456,5736,-112,0,104,12,124,624,-800,0,-24,0,-776,4240,4496,0,0,268,-112,-604,128,32,0,0,104,204,0,0,0,0,-684,436,0,-28,0,0,81350
1957:Q1,-68953,-63161,0,-1236,-1104,-5724,12,0,104,4,164,-288,168,0,104,0,2004,-8580,-7368,0,0,-616,-420,376,4,56,0,0,80,184,0,0,0,0,268,-1112,0,-32,0,0,-60373
1957:Q2,74125,68201,0,1172,156,4172,56,0,112,4,360,28,680,0,-148,0,-668,7596,80,0,0,-628,-32,7252,172,80,0,0,60,88,0,0,0,0,488,68,0,-32,0,0,66529
1957:Q3,-121153,-115977,0,-928,-836,-2092,-296,0,120,0,-36,-40,-1068,0,192,0,-192,-2184,5748,0,0,616,-8,-7516,-80,84,0,0,56,144,0,0,0,0,-84,-1112,0,-32,0,0,-118969
1957:Q4,3721,-4899,0,944,1280,5964,-236,-4,144,24,260,204,-160,0,104,0,96,5552,3124,0,0,656,392,816,120,92,0,0,60,148,0,0,0,0,-656,836,0,-36,0,0,-1831
1958:Q1,49359,59483,0,-872,-864,-7036,92,-4,152,4,-32,8,-2864,0,-120,0,1412,-6420,-8176,0,0,-880,-196,2100,92,40,0,0,68,92,0,0,0,0,248,220,0,-28,0,0,55779
1958:Q2,71987,63187,0,1368,2800,4096,368,0,144,0,920,-16,-1296,0,-212,0,628,11336,2108,0,0,-780,0,7972,328,20,0,0,60,48,0,0,0,0,588,1024,0,-32,0,0,60651
1958:Q3,120921,125821,0,-736,-3880,-1136,-56,0,140,0,204,-104,1480,0,-360,0,-452,-7948,4856,0,0,484,-60,-12596,288,12,0,0,72,40,0,0,0,0,-92,-920,0,-32,0,0,128869
1958:Q4,65079,53063,0,416,2608,8268,-48,-4,152,-20,-400,116,2288,0,-152,0,-1208,11400,4356,0,0,860,-16,5260,-68,24,0,0,88,80,0,0,0,0,-664,1512,0,-32,0,0,53679
1959:Q1,19044,26680,0,-1672,-1248,-4956,24,0,120,0,-460,540,-844,0,-68,0,928,-1582,-6110,0,0,112,20,3152,572,20,0,0,116,172,0,0,0,0,216,184,0,-36,0,0,20626
1959:Q2,58266,52034,0,700,176,5892,16,4,120,4,-200,-324,-528,0,-52,0,424,9381,2385,0,0,-148,136,4844,800,16,0,0,148,172,0,0,0,0,600,464,0,-36,0,0,48885
1959:Q3,-34365,-29369,0,-1252,-2224,-2272,-172,0,120,4,-428,-200,1156,0,-8,0,280,-4313,4631,0,0,36,160,-8936,648,16,0,0,152,252,0,0,0,0,-8,-1228,0,-36,0,0,-30052
1959:Q4,95752,83892,0,564,4420,6432,-184,-4,136,4,244,312,2116,0,-44,0,-2136,1794,4198,0,0,44,176,-1808,-2052,76,0,0,132,204,0,0,0,0,-636,1496,0,-36,0,0,93958
1960:Q1,-105197,-93349,0,-728,-4112,-8800,-184,-8,144,0,720,64,-4124,0,104,0,5076,-2401,-3345,0,0,-36,8,44,560,24,0,0,112,324,0,0,0,0,192,-244,0,-40,0,0,-102796
1960:Q2,36077,29589,0,1540,3160,40,320,-8,140,8,552,-48,104,0,-32,0,712,3123,-781,0,0,24,680,1160,464,24,0,0,88,288,0,0,0,0,684,532,0,-40,0,0,32954
1960:Q3,-115515,-106767,0,-308,-4136,-4468,-548,-4,112,8,136,112,604,0,88,0,-344,-3210,5962,0,0,128,-604,-7352,-268,28,0,0,96,368,0,0,0,0,20,-1548,0,-40,0,0,-112305
1960:Q4,183298,173702,0,412,4392,6900,-376,-8,112,-8,96,-104,-88,0,-160,0,-1572,4117,-2935,0,0,88,-268,6932,-188,56,0,0,132,180,0,0,0,0,-884,1048,0,-44,0,0,179181
1961:Q1,172174,180622,0,-368,-3756,-7304,-188,-8,116,8,296,344,-72,0,-304,0,2788,-11613,-7635,0,0,144,-34,-2712,-1560,44,0,0,176,120,0,0,0,0,296,-408,0,-44,0,0,183787
1961:Q2,6478,442,0,1116,640,3444,-160,-4,116,0,792,-424,544,0,-8,0,-20,15078,3196,0,0,-88,-122,9372,264,64,0,0,224,188,0,0,0,0,696,1332,0,-48,0,0,-8600
1961:Q3,44526,49206,0,-1452,-1716,-2212,-200,-4,104,4,336,-64,1376,0,-16,0,-836,-7773,3351,0,0,-140,180,-10392,-116,64,0,0,224,168,0,0,0,0,-108,-956,0,-48,0,0,52299
1961:Q4,65834,51642,0,560,4256,12140,-372,0,96,-44,-200,248,936,0,-36,0,-3392,5504,-1308,0,0,24,-132,5048,-208,72,0,0,168,140,0,0,0,0,-800,2548,0,-48,0,0,60330
1962:Q1,-2201,5471,0,768,-4120,-8180,-88,-8,68,0,-416,12,-364,0,-24,0,4680,-9279,-6547,0,0,28,232,-3076,-12,32,0,0,132,448,0,0,0,0,284,-748,0,-52,0,0,7078
1962:Q2,9663,2903,0,-736,1064,3224,164,-8,60,4,284,204,2188,0,20,0,292,11369,2005,0,0,-216,716,5196,-44,16,0,0,88,864,0,0,0,0,696,2100,0,-52,0,0,-1706
1962:Q3,3150,3610,0,684,-488,-2912,256,-4,36,4,224,-372,2032,0,-68,0,148,2831,5655,0,0,-164,-16,-1972,-12,24,0,0,80,508,0,0,0,0,-52,-1164,0,-56,0,0,319
1962:Q4,14955,1791,0,-660,3904,9780,-140,0,32,24,1268,216,252,0,-72,0,-1440,3301,-629,0,0,-156,-322,2644,660,56,0,0,112,300,0,0,0,0,-876,1568,0,-56,0,0,11654
1963:Q1,-3391,5821,0,360,-5048,-8668,228,-8,20,0,-312,296,-224,0,-80,0,4224,-21333,-14879,0,0,96,-82,-6028,-500,44,0,0,132,220,0,0,0,0,228,-504,0,-60,0,0,17942
1963:Q2,13806,414,0,-340,776,6628,-8,-4,-4,4,1028,-108,3340,0,4,0,2076,13485,3697,0,0,-100,16,6796,-104,44,0,0,152,80,0,0,0,0,804,2160,0,-60,0,0,321
1963:Q3,7562,3658,0,-364,-200,1320,60,0,-8,-4,428,-308,2544,0,-44,0,480,5327,5403,0,0,-12,-180,552,80,60,0,0,156,148,0,0,0,0,8,-824,0,-64,0,0,2235
1963:Q4,12690,-114,0,-440,3864,9980,-144,0,-4,-20,312,208,972,0,-24,0,-1900,5699,-1001,0,0,-196,68,4384,564,64,0,0,144,460,0,0,0,0,-1140,2416,0,-64,0,0,6991
1964:Q1,-8860,5868,0,-52,-4772,-10880,-184,-20,-44,0,-8,116,-1048,0,-148,0,2312,-13979,-12331,0,0,-168,508,-2364,36,92,0,0,136,744,0,0,0,0,316,-880,0,-68,0,0,5119
1964:Q2,12164,-1160,0,-340,568,7336,-484,-24,-36,4,676,292,2288,0,-20,0,3064,4848,3628,0,0,-28,-572,-2676,360,108,0,0,128,1128,0,0,0,0,752,2088,0,-68,0,0,7316
1964:Q3,-914,1994,0,156,860,-1452,-636,-4,-36,4,92,-368,1524,0,-88,0,-2960,10717,4119,0,0,56,506,6432,28,100,0,0,128,1180,0,0,0,0,-72,-1688,0,-72,0,0,-11631
1964:Q4,18784,804,0,-836,6076,9684,-852,-12,-28,-28,284,228,96,0,1976,0,1392,6546,2824,0,0,64,-282,1288,560,92,0,0,148,920,0,0,0,0,-948,1956,0,-76,0,0,12238
1965:Q1,-1870,3286,0,308,-4984,-5948,-460,-12,-32,4,404,256,464,0,-84,0,4928,-18012,-12032,0,0,-156,624,-8556,1212,16,0,0,168,692,0,0,0,0,320,-224,0,-76,0,0,16142
1965:Q2,7001,-4167,0,740,-496,8016,536,-12,-28,-4,880,-160,-60,0,116,0,1640,14430,7910,0,0,48,8,2056,1232,-32,0,0,196,592,0,0,0,0,1036,1464,0,-80,0,0,-7429
1965:Q3,-1159,-175,0,-276,1048,-1564,1260,-8,-36,-4,252,-296,1228,0,-384,0,-2204,830,-336,0,0,148,946,2980,-2192,-28,0,0,192,324,0,0,0,0,-220,-900,0,-84,0,0,-1989
1965:Q4,12811,519,0,-676,3112,11504,-52,-16,-20,-4,204,796,-2464,0,-72,0,-20,30661,24721,0,0,-48,-572,5108,-120,56,0,0,176,608,0,0,0,0,-916,1732,0,-84,0,0,-17850
1966:Q1,-9112,236,0,-468,-5664,-3180,616,-4,-20,-4,-1240,512,-2600,0,80,0,2624,-18239,-9571,0,0,8,-568,-8184,88,76,0,0,-516,844,0,0,0,0,372,-700,0,-88,0,0,9127
1966:Q2,1006,-8418,0,-300,212,11892,116,0,-8,4,1488,-788,-3368,0,84,0,92,12703,4649,0,0,260,734,3868,1572,116,0,0,-440,1068,0,0,0,0,744,224,0,-92,0,0,-11697
1966:Q3,842,-3534,0,604,1880,-1520,-64,-4,-28,8,1588,-4,-1240,0,420,0,2736,4836,5272,0,0,12,-60,1540,-220,128,0,0,-476,1248,0,0,0,0,40,-2552,0,-96,0,0,-3994
1966:Q4,-3539,1541,0,-412,4140,-6980,-340,-8,-8,36,-236,-88,-5660,0,-156,0,4632,-12860,-16090,0,0,300,594,2208,-868,128,0,0,856,888,0,0,0,0,-1520,740,0,-96,0,0,9321
1967:Q1,-12281,-5053,0,784,-6456,-3936,-672,-4,8,4,-308,4,-1564,0,-720,0,5632,-30345,-20939,0,0,20,-402,-10168,-1832,100,0,-52,2548,772,0,0,0,0,200,-560,0,-32,0,0,18064
1967:Q2,9301,-10247,0,1756,112,15356,-32,-4,20,4,1636,76,584,0,-80,0,120,17812,5956,0,0,164,432,6224,1072,108,0,0,-136,1168,0,0,0,0,960,1900,0,-36,0,0,-8511
1967:Q3,-11867,-903,0,-96,2836,-8444,256,0,0,4,1128,-32,-2020,0,-380,0,-4216,2787,1623,0,0,-120,604,2488,-1048,96,0,0,-168,988,0,0,0,0,108,-1752,0,-32,0,0,-14654
1967:Q4,15922,11090,0,-1748,3760,184,412,0,16,-20,1096,196,-5088,0,-24,0,6048,24910,12760,0,0,-64,318,10348,-472,80,0,0,4,1080,0,0,0,0,-1104,1996,0,-36,0,0,-8988
1968:Q1,-12137,-13581,0,1612,-6204,216,20,4,-4,4,-128,100,2112,0,432,0,3280,-21076,-9574,0,0,76,-566,-12456,684,128,0,0,120,1180,0,0,0,0,424,-1052,-4,-36,0,0,8939
1968:Q2,12522,-14034,0,704,224,24728,-804,4,0,4,696,428,1232,0,-824,0,164,9036,-3934,0,0,-28,-1602,10516,1176,4,0,0,204,500,0,0,0,0,956,1272,4,-32,0,0,3486
1968:Q3,-7095,-2083,0,652,3076,-12380,4,0,-16,4,224,-488,3380,0,-188,0,720,-10520,-5184,0,0,-256,224,-720,-3644,108,0,0,260,732,0,0,0,0,-588,-1412,-4,-36,0,0,3425
