1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1400,0,0,4,638,84,402,0,60,92,757,659,98,0,1,0,1451,892,962,-70,308,108,5,99,39,0,0,0,149,ND
1952:Q1,1568,0,0,5,693,98,433,0,64,98,836,744,92,0,2,32,1386,1013,1095,-82,348,118,5,93,39,-230,0,-230,149,ND
1952:Q2,1717,0,0,6,754,103,471,0,71,109,907,824,83,0,2,48,1534,1112,1206,-94,382,132,5,84,39,-220,0,-220,152,ND
1952:Q3,1570,0,0,5,672,77,425,0,67,103,852,761,91,0,2,39,1385,978,1066,-88,344,146,4,92,40,-219,0,-219,154,ND
1952:Q4,1643,0,0,6,722,97,445,0,71,109,885,787,98,0,2,28,1456,1021,1113,-92,360,160,4,99,41,-229,0,-229,158,ND
1953:Q1,1772,0,0,5,682,87,415,0,71,109,865,774,91,0,2,218,1656,938,1030,-92,654,173,4,92,42,-247,0,-247,160,ND
1953:Q2,1588,0,0,5,709,84,423,0,80,122,892,806,86,0,2,-20,1470,996,1092,-96,377,187,4,86,43,-223,0,-223,163,ND
1953:Q3,1591,0,0,6,700,69,416,0,85,130,918,815,103,0,3,-36,1470,983,1078,-95,361,199,4,104,43,-224,0,-224,167,ND
1953:Q4,1663,0,0,6,758,90,435,0,92,141,958,843,115,0,3,-62,1546,1021,1122,-101,381,210,4,116,43,-229,0,-229,164,ND
1954:Q1,1680,0,0,6,729,83,423,0,88,135,970,854,116,0,3,-28,1562,1017,1118,-101,388,224,4,117,44,-232,0,-232,167,ND
1954:Q2,1739,0,0,6,728,81,440,0,82,125,1007,889,118,0,4,-6,1619,1044,1149,-105,405,237,4,119,44,-234,0,-234,170,ND
1954:Q3,1786,0,0,7,716,70,449,0,78,119,1044,922,122,0,5,14,1667,1068,1174,-106,416,250,5,123,45,-240,0,-240,172,ND
1954:Q4,1938,0,0,7,798,95,490,0,84,129,1146,971,175,0,5,-18,1809,1174,1288,-114,457,259,5,176,48,-310,0,-310,185,ND
1955:Q1,1893,0,0,7,781,82,456,0,96,147,1101,940,161,0,5,-1,1764,1140,1251,-111,447,259,5,163,49,-299,0,-299,187,ND
1955:Q2,1996,0,0,8,876,80,475,0,127,194,1115,984,131,0,6,-9,1867,1229,1346,-117,474,254,5,132,50,-277,0,-277,190,ND
1955:Q3,1951,0,0,8,903,60,461,0,151,231,1093,959,134,0,6,-59,1820,1203,1317,-114,465,249,5,136,50,-288,0,-288,194,ND
1955:Q4,1987,0,0,8,963,75,465,0,167,256,1079,951,128,0,6,-69,1851,1233,1349,-116,476,247,5,130,53,-293,0,-293,202,ND
1956:Q1,2042,0,0,8,894,69,453,0,147,225,1098,966,132,0,6,36,1905,1257,1376,-119,487,258,5,133,53,-288,0,-288,206,ND
1956:Q2,2190,0,0,9,888,71,481,0,133,203,1162,1025,137,0,6,125,2054,1348,1473,-125,516,277,6,138,54,-285,0,-285,208,ND
1956:Q3,2333,0,0,9,866,65,508,0,116,177,1250,1089,161,0,6,202,2199,1436,1569,-133,544,294,6,163,55,-299,0,-299,210,ND
1956:Q4,2387,0,0,10,855,81,518,0,101,155,1282,1089,193,0,6,234,2257,1460,1596,-136,559,303,6,195,54,-320,0,-320,207,ND
1957:Q1,2355,0,0,10,831,69,484,0,110,168,1272,1068,204,0,7,235,2225,1437,1571,-134,547,291,7,206,54,-317,0,-317,210,ND
1957:Q2,2451,0,0,10,847,68,501,0,110,168,1309,1113,196,0,7,278,2325,1530,1664,-134,565,272,8,198,55,-303,0,-303,210,ND
1957:Q3,2424,0,0,10,811,49,489,0,108,165,1337,1098,239,0,8,258,2299,1522,1653,-131,597,251,9,242,55,-377,0,-377,211,ND
1957:Q4,2435,0,0,11,785,63,487,0,93,142,1342,1081,261,0,9,288,2321,1541,1668,-127,638,239,10,264,52,-423,0,-423,202,ND
1958:Q1,2498,0,0,11,753,52,473,0,90,138,1414,1108,306,0,9,311,2386,1601,1731,-130,585,228,10,309,53,-400,0,-400,202,ND
1958:Q2,2647,0,0,11,788,59,501,0,90,138,1446,1176,270,0,9,393,2537,1730,1866,-136,552,226,11,273,53,-308,0,-308,203,ND
1958:Q3,2696,0,0,11,750,43,482,0,89,136,1460,1204,256,0,10,465,2588,1774,1910,-136,589,224,11,259,53,-322,0,-322,204,ND
