1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,71366,0,766,4883,7297,3961,2010,377,261,688,57928,49650,7030,1248,131,361,81319,27017,7222,19795,10391,20207,11074,7450,497,4683,0,4683,1912,ND
1980:Q2,74057,19,788,5534,7103,3709,2125,354,336,579,56731,47475,7617,1639,121,3761,86304,25280,524,24756,13601,20080,11669,8103,539,7032,4024,3008,2075,ND
1980:Q3,79598,20,512,5769,8147,4363,2447,353,384,600,60808,50741,8138,1929,125,4217,92941,28533,3727,24806,14716,23436,9111,8894,596,7655,4563,3092,2292,ND
1980:Q4,88642,21,719,6690,8805,4764,2530,389,386,736,67308,57303,7827,2178,117,4982,102854,33484,1341,32143,13749,28429,10313,8649,953,7277,3892,3385,3664,ND
1981:Q1,90747,21,907,5517,9001,4951,2343,447,387,873,69777,58757,8462,2558,92,5432,109075,35742,3202,32540,12950,29742,11956,9291,1000,8394,4566,3828,3844,ND
1981:Q2,93361,23,1144,7374,9677,5414,2371,460,350,1082,69299,57291,8954,3054,80,5764,111396,40760,3504,37256,12487,30408,10224,10248,1115,6154,2775,3379,4288,ND
1981:Q3,101405,22,1417,7471,9816,5500,2431,654,347,884,75397,62780,9190,3427,82,7200,122756,46863,6065,40798,11456,33500,11924,10633,1196,7184,2952,4232,4599,ND
1981:Q4,109127,22,1316,10350,11173,5808,2942,590,315,1518,78463,63672,10875,3916,66,7737,138270,34261,-11006,45267,7605,47143,18474,11865,1352,17570,12610,4960,5201,ND
1982:Q1,114044,24,1393,7783,10508,5285,3108,580,287,1248,84935,69434,11246,4255,73,9328,145131,32949,-10711,43660,6116,54861,18388,12423,1299,19095,13446,5649,2962,ND
1982:Q2,120035,26,1312,8587,10450,5265,2841,582,269,1493,89987,73843,11493,4651,70,9603,157998,29758,-14514,44272,6343,66616,18080,13356,1444,22401,15043,7358,3215,ND
1982:Q3,123230,26,1547,5529,10585,5229,2798,597,265,1696,95561,79324,11361,4876,72,9910,169127,28685,-20880,49565,5506,75788,21698,12661,1542,23247,16766,6481,3457,ND
1982:Q4,130194,24,1663,8019,11527,5109,3757,589,265,1807,96793,80159,11640,4994,76,12092,167925,23470,-25764,49234,5920,81782,19147,13415,1326,22865,17067,5798,4210,ND
1983:Q1,129527,24,1827,9246,8934,1487,4645,555,265,1982,101078,85098,10955,5025,85,8333,165583,30196,-21781,51977,5446,74613,19297,12492,1351,22188,16273,5915,4407,ND
1983:Q2,126837,25,1241,9445,10174,1936,5424,523,150,2141,98293,82241,11078,4974,86,7573,170348,24898,-24387,49285,6271,83556,19726,12432,1420,22045,16866,5179,4405,ND
1983:Q3,134889,24,938,6586,10319,1849,5034,617,250,2569,108192,90266,13093,4833,83,8747,180594,27566,-25763,53329,5751,88414,20011,14553,1584,22715,16609,6106,4662,ND
1983:Q4,141846,27,997,9752,11067,1743,5390,648,168,3118,111417,92351,13876,5190,77,8509,203225,34783,-18534,53317,6252,102558,16948,15652,1545,25487,19257,6230,5339,ND
1984:Q1,143160,25,900,8523,10407,794,5183,603,156,3671,113589,94544,14623,4422,79,9637,192134,22120,-28531,50651,6159,98703,21369,16358,1573,25852,19167,6685,5509,ND
1984:Q2,147208,25,1000,7604,11067,854,5068,599,106,4440,117327,96419,16644,4264,79,10106,199386,21460,-28431,49891,6349,110182,20098,18510,1763,21024,14786,6238,5669,ND
1984:Q3,156071,29,1100,10035,12133,795,4996,756,171,5415,120318,96118,19793,4407,75,12381,209798,18114,-25627,43741,5590,111227,22907,21840,1945,28175,20041,8134,6236,ND
1984:Q4,163749,35,1300,9410,12576,852,4812,597,77,6238,128973,102874,20483,5616,4,11451,216327,16898,-27264,44162,5218,120036,21866,22921,1927,27461,19592,7869,6017,ND
1985:Q1,162808,25,1450,8742,13638,887,4807,581,75,7288,127608,102117,20038,5453,69,11276,222048,12545,-31485,44030,5494,126071,23006,22505,1991,30436,21362,9074,6182,ND
1985:Q2,166652,25,1600,9222,14594,1164,3992,590,87,8761,131581,105534,20667,5380,74,9556,229163,18163,-27013,45176,5747,121172,30128,23159,2062,28732,21025,7707,6266,ND
1985:Q3,177035,34,1700,11785,16773,1269,4424,708,71,10301,135356,108785,21100,5471,85,11302,240468,20020,-25637,45657,6900,127141,28604,23012,2261,32530,20436,12094,6856,ND
1985:Q4,189699,0,2014,9729,20525,1178,4773,1079,0,13495,149941,122103,22095,5743,90,7400,245698,31664,-5846,37510,7329,117903,34082,24416,2159,28145,22679,5466,7944,ND
1986:Q1,190678,0,1852,9712,20234,820,4148,1583,0,13683,149321,121003,22144,6174,99,9460,249288,36153,1600,34553,6820,115365,32007,24309,2280,32354,25592,6762,8144,ND
1986:Q2,200028,0,2566,12953,24234,1029,5497,2078,0,15630,151399,122777,22035,6587,80,8796,251082,35810,3554,32256,8045,116105,39259,24954,2364,24545,18861,5684,8329,ND
1986:Q3,216487,0,1965,13325,28139,1095,6298,2378,0,18368,161692,130022,24677,6993,85,11281,269457,31038,-3874,34912,7660,128555,39771,27909,2510,32014,24477,7537,8885,ND
1986:Q4,238294,0,2606,16560,30821,1026,6876,2589,0,20330,177485,145033,23777,8675,97,10725,293976,37049,-2507,39556,8253,145700,39504,27240,2533,33697,26850,6847,9327,ND
1987:Q1,245201,0,2234,17100,33736,1698,8194,2584,0,21260,180019,147367,24291,8361,105,12007,296538,37655,-3674,41329,7474,143731,41723,27218,2789,35948,27370,8578,9470,ND
1987:Q2,251357,0,2796,12451,35083,1213,7169,2917,0,23784,189443,150152,29514,9777,110,11474,305559,22480,-22001,44481,7568,155756,45487,32669,2679,38920,30929,7991,9014,ND
1987:Q3,262674,0,2701,15111,35677,1344,7495,3540,0,23298,194886,153211,30440,11235,101,14198,325016,30972,-12878,43850,7936,166360,41244,32394,3182,42928,32855,10073,9442,ND
1987:Q4,276737,0,2190,17857,37041,2216,6493,3832,0,24500,205779,161609,30249,13921,7,13863,337987,37872,-5066,42938,7647,173772,37354,33830,3242,44270,34073,10197,10302,ND
1988:Q1,277378,0,2130,14680,37801,1616,7502,3983,0,24700,205478,160243,29276,15959,6,17283,338044,30133,-12060,42193,8175,163642,48277,32744,3301,51772,38721,13051,11411,ND
1988:Q2,289661,0,1290,16202,38116,1489,7390,4281,0,24956,217140,169108,30169,17863,14,16899,353773,30320,-11636,41956,8979,166264,55828,33269,3336,55777,42946,12831,11638,ND
1988:Q3,289725,0,1361,14531,37704,1441,7328,4599,0,24336,218175,168982,29238,19955,14,17940,351202,22236,-22745,44981,8715,174027,50439,32532,3382,59871,45603,14268,11493,ND
1988:Q4,306555,0,1074,19469,37247,1749,6610,4922,0,23966,230121,177070,30988,22063,6,18638,377918,32095,-11963,44058,8662,190280,47320,34360,3666,61535,46871,14664,12786,ND
1989:Q1,303029,0,1020,13672,36472,1812,6196,5597,0,22867,230442,179585,27244,23613,7,21416,370902,15806,-27038,42844,8444,199292,44935,30500,4359,67566,50758,16808,13088,ND
1989:Q2,304855,0,1383,13628,36957,2014,5790,5978,0,23175,231989,176565,29870,25554,8,20890,375831,13274,-29622,42896,8531,195525,54492,33087,4423,66499,49358,17141,13099,ND
1989:Q3,323737,0,917,20070,38706,2339,5816,5185,0,25366,239402,179656,31829,27917,8,24634,374039,10643,-33677,44320,9250,196647,50694,34250,4411,68144,47152,20992,13679,ND
1989:Q4,336169,0,1035,20718,41019,2111,6432,5222,0,27254,250726,186493,34044,30189,8,22663,394540,11824,-35205,47029,8389,212932,52819,35386,4450,68740,49482,19258,16823,ND
1990:Q1,332362,0,1371,18330,45640,2158,8933,5902,0,28647,243854,178346,29747,35761,8,23159,382723,9076,-36159,45235,8993,196079,64939,33173,4569,65894,46650,19244,17378,ND
1990:Q2,341440,0,1033,19589,48258,3179,9240,6194,0,29645,250501,182722,29234,38545,9,22050,390160,681,-50675,51356,8595,194216,85365,32955,4743,63605,44250,19355,18013,ND
1990:Q3,348310,0,1318,21561,50792,3045,10468,6541,0,30738,249054,180884,26844,41326,8,25577,395958,5783,-31327,37110,9212,193836,77421,32129,4712,72865,50083,22782,18201,ND
1990:Q4,365844,0,1210,17956,56387,4133,11424,7153,0,33677,265006,191169,28303,45534,8,25277,408801,8982,-35220,44202,8744,214095,68464,34501,4308,69707,47640,22067,15358,ND
1991:Q1,372385,0,525,14998,59504,3317,14770,7942,0,33475,267210,195098,22983,49129,4,30144,403845,-5620,-38034,32414,8285,227691,68480,28106,4166,72737,46732,26005,15948,ND
1991:Q2,379968,0,424,22177,57073,3151,12523,8660,0,32739,273566,198016,23852,51698,4,26724,391647,-24666,-51190,26524,8047,223579,86138,28010,4354,66185,42634,23551,15598,ND
1991:Q3,402047,0,832,25521,60526,2621,14412,9000,0,34493,284065,207878,23641,52546,12,31091,424001,-8815,-38185,29370,8561,242454,81100,26181,4209,70311,44470,25841,15991,ND
1991:Q4,427702,0,943,26568,72504,3085,20843,11151,0,37425,297387,220393,22695,54299,27,30273,442053,-7543,-36162,28619,8946,255028,81558,24906,5306,73852,47233,26619,25870,ND
1992:Q1,416526,0,791,24524,70402,4239,18662,11720,0,35781,289949,216283,19458,54208,11,30849,417934,-19161,-43123,23962,8037,247922,79390,23137,5308,73301,47688,25613,26480,ND
1992:Q2,432800,0,490,28127,77409,4463,23598,13532,0,35816,295528,221437,19700,54391,11,31235,439929,-23606,-42437,18831,8109,251796,98048,22045,5473,78064,51548,26516,26812,ND
1992:Q3,447575,0,1227,37332,79202,3166,25342,13759,0,36935,292755,221124,18114,53517,12,37047,441076,-11406,-30367,18961,8399,256101,79361,20142,5396,83083,51706,31377,27066,ND
1992:Q4,451336,0,652,37152,83149,3287,29591,14084,0,36187,296913,226183,19125,51605,3,33467,446278,-10417,-30671,20254,8320,270553,73517,21155,4523,78627,51104,27523,22813,ND
1993:Q1,442973,0,1174,35366,88188,2074,31813,17036,0,37265,283095,215214,17646,50235,3,35147,430792,3126,-13752,16878,8340,256343,68586,19304,4656,70437,41999,28438,22783,ND
1993:Q2,450544,0,854,42582,88345,2045,31673,17988,0,36639,281766,215759,17008,48999,157,36840,437720,-3497,-20728,17231,8534,267978,74609,18173,5090,66833,38059,28774,23577,ND
1993:Q3,446586,0,1482,43141,90370,1537,31927,19021,0,37885,273842,210228,15813,47801,18,37733,433196,923,-7287,8210,9192,261287,66256,16490,5256,73792,44070,29722,23431,ND
1993:Q4,456077,0,981,50826,98316,2405,36113,21481,0,38317,273239,213064,15115,45060,3,32712,443446,6087,-12602,18689,8347,275853,60443,16027,5825,70864,44541,26323,25272,ND
1994:Q1,452793,0,614,39929,103486,1772,39220,25089,0,37405,270273,213056,13681,43536,2,38489,448248,17188,2414,14774,8805,267119,60259,14372,5828,74677,43630,31047,25696,ND
1994:Q2,469383,0,760,50942,105346,1915,39562,24794,0,39075,266382,210326,13542,42514,2,45951,460272,9608,-7791,17399,8605,270272,68095,14163,5854,83675,46560,37115,25866,ND
1994:Q3,470809,0,645,49476,103863,1830,37341,23970,0,40722,269821,214455,13942,41424,2,47002,460976,4175,-11556,15731,8701,284903,61573,14652,6017,80955,41396,39559,26584,ND
1994:Q4,485445,0,952,60313,99102,2170,32656,23030,0,41246,279211,225963,12987,40261,2,45865,476661,8002,-6630,14632,8768,289205,66547,13439,5688,85012,44072,40940,26487,ND
1995:Q1,496813,0,419,40269,128014,1190,53242,31240,0,42342,284505,233148,12531,38826,4,43602,502951,-2739,-17296,14557,8135,293400,63913,13041,5755,121446,50226,71220,28010,ND
1995:Q2,522827,0,760,44068,140900,1817,59959,36110,0,43014,296922,246624,12640,37658,8,40169,531588,-6778,-21344,14566,7933,304170,74265,12876,5808,133314,52251,81063,28189,ND
1995:Q3,534275,0,473,50261,141031,1519,58937,36165,0,44410,300348,252352,11167,36829,2,42160,538750,5615,-12776,18391,8138,307777,70726,11643,6252,128599,51329,77270,30605,ND
1995:Q4,540540,0,848,53436,145062,1745,62276,37288,0,43753,304602,259423,10056,35123,7,36585,543894,18950,5572,13378,8659,297532,75547,10356,6500,126350,50734,75616,41767,ND
1996:Q1,537256,0,454,47137,151060,1975,67778,39111,0,42196,307181,264190,9787,33204,7,31417,544665,28620,7107,21513,8564,296740,72989,10033,6745,120974,52693,68281,41586,ND
1996:Q2,548245,0,586,48445,156342,1484,72038,40505,0,42315,314950,274028,8612,32310,7,27915,553543,21301,3190,18111,8727,301740,88380,8780,6518,118097,52851,65246,39839,ND
1996:Q3,553132,0,649,38734,160566,1399,71857,43387,0,43923,325546,284707,8611,32228,5,27632,560767,8729,-7479,16208,7988,323196,81197,8898,6534,124225,59431,64794,40465,ND
1996:Q4,594755,0,1119,54168,178299,2259,80714,49722,0,45604,333791,292125,9443,32223,3,27375,618422,20770,1892,18878,7998,343485,92451,9643,6073,138002,64468,73534,43780,ND
1997:Q1,618151,0,653,53133,196478,543,93987,54772,0,47176,338948,298869,9314,30765,3,28936,645504,8167,-17879,26046,8001,356733,93225,9738,6569,163071,79358,83713,44666,ND
1997:Q2,632372,0,1019,65712,190341,486,85764,57467,0,46624,348288,310120,9891,28277,3,27009,653536,-10759,-32262,21503,8857,374018,107555,10347,7220,156298,74288,82010,47337,ND
1997:Q3,623272,0,590,59102,198330,428,90508,60320,0,47074,339607,302981,9015,27611,0,25643,661577,-15974,-30348,14374,8255,388440,100983,9249,7364,163260,82895,80365,48908,ND
1997:Q4,657433,0,2910,72344,206101,382,95073,62196,0,48450,347524,314516,6911,26097,0,28554,688952,-4965,-17569,12604,8817,390135,114423,7215,8436,164891,78803,86088,68535,ND
1998:Q1,650995,0,876,65103,216923,289,99679,67245,0,49710,341524,312324,5243,23957,0,26569,686833,-36187,-50272,14085,8303,400822,128227,5511,8532,171625,87532,84093,68414,ND
1998:Q2,673981,0,1693,78040,221390,375,103805,70462,0,46748,341832,314945,3861,23026,0,31026,705279,-19614,-32750,13136,8842,392054,142392,3996,8723,168886,79295,89591,68423,ND
1998:Q3,675726,0,772,94582,200652,247,86352,65883,0,48170,344239,318009,3390,22840,0,35481,719210,-25835,-31377,5542,8323,385713,163371,3541,9415,174682,89468,85214,72330,ND
1998:Q4,654488,0,998,79432,205051,283,84795,67436,0,52537,334214,311574,2244,20396,0,34793,688378,7189,3189,4000,8584,359149,126988,2406,10453,173609,90559,83050,98752,ND
1999:Q1,630799,0,543,78993,203073,245,85984,70019,0,46825,315326,294969,1995,18362,0,32864,672970,-4072,-15402,11330,8882,352891,135878,2132,11191,166068,89790,76278,97722,ND
1999:Q2,600391,0,1208,76080,194213,251,83161,64669,0,46132,298539,279822,1570,17147,0,30351,653196,-20011,-29974,9963,7865,352834,134250,2100,12502,163656,88473,75183,110942,ND
1999:Q3,612102,0,493,71830,206474,417,92495,69718,0,43844,301310,283041,1398,16871,0,31995,678449,-21700,-31193,9493,8148,358851,125953,1821,13176,192200,102479,89721,110711,ND
1999:Q4,623372,0,1436,64236,214576,636,94503,72350,0,47087,305981,288411,1630,15940,0,37143,692285,-32940,-39558,6618,9138,409651,106181,2003,15045,183207,93031,90176,139542,ND
2000:Q1,629894,0,457,84121,209897,767,89739,71690,0,47701,302412,284116,1644,16652,0,33007,668855,-113960,-123046,9086,8250,430248,119386,1959,15233,207739,114567,93172,140344,ND
2000:Q2,631056,0,617,92410,202625,785,84355,70440,0,47045,304880,285946,1730,17204,0,30524,701614,-100971,-110540,9569,9321,431088,139890,2029,15339,204918,114542,90376,140491,ND
2000:Q3,654771,0,432,105206,210385,695,91203,70789,0,47698,305957,287326,1627,17004,0,32791,723755,-111718,-121018,9300,8039,436907,153516,1940,17334,217737,119921,97816,139885,ND
2000:Q4,690585,0,477,111206,221998,569,94029,72703,0,54697,323423,304689,1606,17128,0,33481,773835,-106382,-127503,21121,8740,439248,176198,1962,14709,239360,138669,100691,107776,ND
2001:Q1,708119,0,556,126383,225309,588,97915,75316,0,51490,322897,304310,1476,17111,0,32974,790615,-137591,-149402,11811,8235,468263,189893,1819,15639,244357,134244,110113,106560,ND
2001:Q2,666648,0,460,95582,229728,0,102192,56905,0,70631,309327,291366,1222,16739,0,31551,747603,-139302,-159744,20442,8072,471666,161106,1353,16289,228419,126241,102178,109948,ND
2001:Q3,672765,0,628,86357,238145,0,108594,56271,0,73280,307980,289181,910,17889,0,39655,728664,-111933,-136065,24132,8503,449430,148941,1030,16674,216019,109261,106758,109887,ND
2001:Q4,676992,0,627,98864,241455,0,103830,50682,0,86943,304009,285132,1010,17867,0,32037,742110,-118451,-148725,30274,9095,474020,161754,1089,16851,197752,108718,89034,92597,483115
2002:Q1,657676,0,563,84293,226922,0,94055,51681,0,81186,314065,294817,996,18252,0,31833,731679,-108709,-146653,37944,8094,511412,129816,966,17098,173002,102208,70794,93411,519506
2002:Q2,675665,0,980,95372,242377,0,105714,55258,0,81405,302887,283444,850,18593,0,34049,777249,-138258,-171530,33272,7456,506064,161502,939,16134,223412,123404,100008,95035,513520
2002:Q3,689956,0,942,103455,260775,0,114976,61487,0,84312,290519,270520,983,19016,0,34265,793021,-98948,-127747,28799,7543,459522,181134,1066,15434,227270,116654,110616,95948,467065
2002:Q4,703641,0,1232,116376,264218,0,116699,61559,0,85960,285548,265935,624,18989,0,36267,784388,-112166,-136208,24042,8444,426211,208098,655,16871,236275,127291,108984,77024,434655
2003:Q1,721448,0,1126,136369,272775,0,44507,60338,0,167930,275734,256203,531,19000,0,35444,801334,-133084,-162461,29377,7951,434108,241972,538,16774,233075,127473,105602,80942,442059
2003:Q2,729980,0,1145,136767,279592,0,44497,63426,0,171669,267303,247320,440,19543,0,45173,830553,-139225,-168356,29131,9599,426040,252927,458,16555,264199,126111,138088,81035,435639
2003:Q3,698384,0,2424,149984,261005,0,39872,55002,0,166131,251632,226959,484,24189,0,33339,779343,-144045,-173671,29626,9086,428242,231458,470,15660,238472,122928,115544,81784,437328
2003:Q4,683712,0,854,142209,250722,0,33412,53263,0,164047,260356,242240,614,17502,0,29571,766718,-148365,-175653,27288,9541,436448,207868,592,16350,244284,134697,109587,109735,445989
2004:Q1,720319,0,1114,172312,261743,0,36540,50463,0,174740,257134,238825,527,17782,0,28016,808622,-212536,-241842,29306,9027,486421,239350,550,16641,269169,158950,110219,109765,495448
2004:Q2,708455,0,866,168995,253011,0,33488,53519,0,166004,252878,237263,552,15063,0,32705,778952,-231086,-267479,36393,8569,500194,250442,576,16128,234129,136478,97651,111464,508763
2004:Q3,712319,0,1052,173564,255897,0,34385,50170,0,171342,249615,233380,629,15606,0,32191,792873,-243929,-276531,32602,8755,507934,243214,651,17370,258878,151060,107818,122248,516689
2004:Q4,694416,0,713,130411,267798,0,27725,51839,0,188234,264692,247116,710,16866,0,30802,803622,-226446,-260579,34133,8722,513670,210416,736,21350,275174,167747,107427,160710,522392
2005:Q1,765095,0,691,144472,306557,0,32173,50923,0,223461,283128,264698,619,17811,0,30247,853204,-207690,-255294,47604,11295,532168,204198,641,21829,290763,169130,121633,165664,543463
2005:Q2,817755,0,1141,162900,324544,0,27352,57916,0,239276,295711,276500,745,18466,0,33459,894061,-212416,-242210,29794,8318,554039,218277,759,20309,304775,184756,120019,169306,562357
2005:Q3,864833,0,890,167998,347425,0,27529,51132,0,268764,312803,290411,768,21624,0,35717,947243,-233981,-274166,40185,8833,585564,231958,780,21434,332655,189780,142875,169035,594397
2005:Q4,889413,0,895,169201,346307,0,27843,50944,0,267520,338784,317175,761,20848,0,34226,953546,-228411,-268125,39714,9264,590957,252480,770,21677,306809,188781,118028,161063,600221
2006:Q1,925277,0,926,176567,344870,0,24043,44290,0,276537,364659,342402,738,21519,0,38255,1019439,-246547,-285042,38495,8939,647792,239707,756,22775,346017,212904,133113,171757,656731
2006:Q2,979118,0,906,192637,365924,0,26992,51678,0,287254,379155,355289,701,23165,0,40496,1051957,-262584,-299241,36657,9291,661404,246473,717,23432,373224,214980,158244,165807,670695
2006:Q3,1025545,0,668,208261,369477,0,29877,51905,0,287695,405394,381424,664,23306,0,41745,1111170,-290123,-339878,49755,8259,723773,288228,700,24635,355698,211804,143894,176167,732032
2006:Q4,1064288,0,604,228440,377669,0,26795,55099,0,295775,420004,394633,446,24925,0,37571,1107579,-315467,-363236,47769,9260,745623,309811,491,23857,334004,197337,136667,173775,754883
2007:Q1,1120083,0,739,229605,404308,0,31250,54393,0,318665,444169,416180,320,27669,0,41262,1182874,-396409,-455088,58679,10452,838288,320046,336,23629,386532,231085,155447,178705,848740
2007:Q2,1181944,0,996,243771,432220,0,23261,56526,0,352433,460215,429833,392,29990,0,44742,1238988,-411498,-456804,45306,12802,881089,329344,411,24131,402709,240737,161972,189790,893891
2007:Q3,1263875,0,787,253065,444584,0,30131,58065,0,356388,512406,476910,277,35219,0,53033,1287405,-408390,-444912,36522,9787,972312,295731,290,26425,391250,225286,165964,205179,982099
2007:Q4,1295001,0,978,245611,460671,0,30403,57135,0,373133,541821,502335,493,38993,0,45920,1263410,-478816,-521229,42413,11829,1021689,288352,511,17349,402496,241002,161494,118424,1033518
2008:Q1,1303152,0,1115,204552,480638,0,37557,54914,0,388167,555169,514968,348,39853,1,61677,1274004,-561963,-594015,32052,14888,1073581,309096,369,19392,418641,240431,178210,115519,1088469
2008:Q2,1212139,0,690,166198,453571,0,35024,54621,0,363926,548963,507605,311,41047,1,42716,1185755,-598570,-622994,24424,14109,1091308,268010,332,21082,389484,237280,152204,114981,1105417
2008:Q3,1258304,0,34090,165386,436053,0,30819,45397,0,359837,569089,527368,0,41721,0,53686,1151599,-512696,-523391,10695,12341,1045319,230100,0,20420,356115,192609,163506,105397,1057660
2008:Q4,1444518,0,238954,68081,491473,0,35508,50596,0,405369,597051,552888,0,44163,0,48959,1294013,-249033,-272681,23648,13538,901739,131673,0,13402,482694,276633,206061,55171,915277
2009:Q1,1366484,0,213623,92945,441986,0,41281,45133,0,355572,567951,523716,0,44235,0,49979,1201176,-306825,-329973,23148,13786,861581,170788,0,13940,447906,269334,178572,52095,875367
2009:Q2,1193254,0,145466,88623,378855,0,33226,38677,0,306952,530798,487692,0,43106,0,49512,1036969,-486652,-516847,30195,14976,914044,216105,0,13980,364516,224457,140059,59912,929020
2009:Q3,1221475,0,229403,74723,382340,0,55258,34507,0,292575,493231,452721,0,40510,0,41778,1130755,-433667,-459044,25377,14829,974615,212742,0,14955,347281,199919,147362,72667,989444
2009:Q4,1199435,0,284089,68175,336341,0,57468,31296,0,247577,466318,428510,0,37808,0,44512,1210006,-399542,-432680,33138,16126,1054127,195196,0,20260,323839,203086,120753,105764,1070253
2010:Q1,1246089,0,331433,73649,328581,0,58044,30757,0,239780,468220,430344,0,37876,0,44206,1324608,-327818,-371595,43777,16371,994737,222046,74280,21448,323544,189183,134361,114041,1011108
2010:Q2,1211630,0,299051,81954,341842,0,54654,30005,0,257183,445208,408999,0,36209,0,43575,1255315,-325351,-372189,46838,16429,921669,245035,78180,21730,297623,150402,147221,101883,938098
2010:Q3,1368445,0,315035,102852,465469,0,67534,29504,0,368431,442195,406884,0,35311,0,42894,1325352,-383574,-431953,48379,18537,995312,258088,79569,21876,335544,177066,158478,114458,1013849
2010:Q4,1243880,0,350774,88440,325623,0,60943,26519,0,238161,449800,414446,0,35354,50,29193,1312847,-375208,-412059,36851,21858,1013411,250010,88172,21264,293340,171578,121762,125882,1035269
2011:Q1,1557232,0,640847,90221,321928,0,66145,31421,0,224362,461494,427659,0,33835,44,42698,1656965,-92059,-134805,42746,20747,1046240,252430,95954,22384,311269,188946,122323,142325,1066987
2011:Q2,1610850,0,677510,90366,326830,0,63637,30568,0,232625,468221,435194,0,33027,0,47923,1711177,-47074,-73289,26215,23200,1074931,242825,86083,22778,308434,173421,135013,144377,1098131
2011:Q3,1771391,0,762469,124034,349000,0,58148,32184,0,258668,490946,457279,0,33667,3,44939,1770162,122448,94629,27819,38212,921525,297423,61305,24706,304543,140135,164408,130325,959737
2011:Q4,1698349,0,710971,120110,327778,0,60481,30566,0,236731,495268,462507,0,32761,3,44219,1735120,127268,104614,22654,45590,863527,304400,59502,31324,303509,137844,165665,175314,909117
2012:Q1,1695289,26,679144,152431,320501,0,71572,29040,0,219889,493274,461597,0,31677,3,49910,1755804,131178,112529,18649,46683,847910,326731,63880,28881,310541,154269,156272,188345,894593
2012:Q2,1719845,40,687782,173212,322903,0,60925,32266,0,229712,490317,458939,0,31378,3,45588,1758903,178489,158390,20099,51931,828385,328649,62914,28893,279642,128517,151125,181197,880316
2012:Q3,1742598,22,670556,182785,349256,0,77911,30407,0,240938,485688,454557,0,31131,3,54288,1750888,173683,103032,70651,57485,826319,314915,66787,29131,282568,117941,164627,190080,883804
2012:Q4,1689852,32,638754,178272,340650,0,76601,32099,0,231950,488222,457407,0,30815,3,43919,1736981,118013,49050,68963,61794,863817,325022,67541,32592,268202,126021,142181,222674,925611
2013:Q1,1786801,24,741290,178741,320706,0,79539,27730,0,213437,493199,463581,0,29618,3,52838,1845695,180795,88084,92711,71772,879930,323555,72806,32754,284083,142935,141148,244845,951702
2013:Q2,1993018,26,959598,181074,298397,0,68763,26751,0,202883,486608,456769,0,29839,3,67312,2037302,399944,318739,81205,72432,887077,310031,58994,32664,276160,142092,134068,250209,959509
2013:Q3,2030000,27,963518,199268,304160,0,70812,26679,0,206669,499439,468802,0,30637,3,63585,2017573,313478,240774,72704,86949,957987,331138,54150,32637,241234,118689,122545,261681,1044935
2013:Q4,1999302,27,948046,177081,295327,0,68553,25891,0,200883,513797,483244,0,30553,3,65021,1978397,289004,196912,92092,92514,959836,312733,57012,32693,234605,123501,111104,287534,1052350
2014:Q1,2173677,25,1071029,200267,292671,0,67722,22977,0,201972,538882,505831,0,33051,3,70800,2128493,329261,235823,93438,109858,1008948,356505,57479,32694,233748,123872,109876,286199,1118807
2014:Q2,2207312,55,1068602,228187,289396,0,66959,21383,0,201054,549474,514975,0,34499,3,71595,2161018,335543,250922,84621,117083,1021371,366496,59400,32844,228281,120821,107460,294330,1138455
2014:Q3,2216455,31,1087776,218745,278733,0,61707,20888,0,196138,557409,521762,0,35647,3,73758,2153172,216980,191361,25619,122886,1104961,375367,53250,34538,245190,127849,117341,286081,1227846
2014:Q4,2041151,49,888773,218131,271862,0,57799,20915,0,193148,591655,554067,0,37588,3,70678,1952805,92394,66970,25424,137556,1056134,371282,45850,31272,218317,103216,115101,272839,1193691
2015:Q1,2033254,9,872319,199793,267536,0,56965,19718,0,190853,617791,580362,0,37429,3,75803,1952018,77300,45812,31488,149197,1050899,369942,47898,31116,225666,96240,129426,265989,1200096
2015:Q2,2056689,8,886709,210534,258140,0,58466,23667,0,176007,631250,591088,0,40162,3,70045,1985171,142121,112729,29392,160928,1014640,374806,46944,31520,214212,109129,105083,262758,1175568
2015:Q3,2045023,8,871149,198476,264525,0,55855,21316,0,187354,649657,603810,0,45847,3,61205,1980656,169596,143550,26046,152811,995013,375371,36080,31018,220767,108361,112406,241986,1147824
2015:Q4,1900451,8,690349,218513,266895,0,70949,23445,0,172501,672375,621749,0,50626,3,52308,1847973,67684,43154,24530,148195,938387,406622,42812,30585,213688,105385,108303,251694,1086583
2016:Q1,1997377,8,749238,205821,288153,0,80296,23535,0,184322,690091,634422,0,55669,3,64063,1928977,67220,36588,30632,171887,945150,407908,51915,30214,254683,127108,127575,258901,1117036
