date,All sectors; total miscellaneous liabilities,Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset,Nonfinancial corporate business; total miscellaneous liabilities,Nonfinancial noncorporate business; unidentified miscellaneous liabilities,Federal government; total miscellaneous liabilities,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,Monetary authority; total miscellaneous liabilities,U.S.-chartered depository institutions; total miscellaneous liabilities,Foreign banking offices in the U.S.; total miscellaneous liabilities,Banks in U.S.-affiliated areas; unidentified miscellaneous liabilities,Credit unions; unidentified miscellaneous liabilities,Property-casualty insurance companies; total miscellaneous liabilities,Life insurance companies; total miscellaneous liabilities,Government-sponsored enterprises; total miscellaneous liabilities,Finance companies; total miscellaneous liabilities,Real estate investment trusts; unidentified miscellaneous liabilities,Security brokers and dealers; total miscellaneous liabilities,Holding companies; unidentified miscellaneous liabilities,Other financial business; total miscellaneous liabilities,Rest of the world; total miscellaneous liabilities,All sectors; total miscellaneous assets,Households and nonprofit organizations; total miscellaneous assets,Nonfinancial corporate business; total miscellaneous assets,Nonfinancial noncorporate business; total miscellaneous assets,Federal government; total miscellaneous assets,State and local governments; unidentified miscellaneous assets,Monetary authority; total miscellaneous assets,U.S.-chartered depository institutions; total miscellaneous assets,Foreign banking offices in the U.S., including IBFs; unidentified miscellaneous assets,Banks in U.S.-affiliated areas; unidentified miscellaneous assets,Credit unions; total miscellaneous assets,Property-casualty insurance companies; total miscellaneous assets,Life insurance companies; total miscellaneous assets,Private pension funds; total miscellaneous assets,Federal government defined benefit retirement funds; claims of pension funds on sponsor; asset,State and local government employee retirement funds; miscellaneous assets,Money market funds; unidentified miscellaneous assets (net),Mutual funds; unidentified miscellaneous assets,Exchange-traded funds; unidentified miscellaneous assets,Government-sponsored enterprises; unidentified miscellaneous assets,Issuers of asset-backed securities; funding agreements backing securities; asset,Finance companies; total miscellaneous assets,Real estate investment trusts; total miscellaneous assets,Security brokers and dealers; total miscellaneous assets,Holding companies; total miscellaneous assets,Other financial business; total miscellaneous assets,Rest of the world; assumed policy payables by U.S. reinsurers from non-U.S. insurers; liability,Instrument discrepancies; total miscellaneous assets
1953:Q2,114644,1207,5229,0,57263,25745,318,3098,-223,-13,137,9635,5759,1543,1788,0,828,0,1273,1057,132877,10996,2264,3068,1296,136,148,3261,-20,222,0,0,1873,28837,54445,25745,0,0,0,228,0,479,0,-101,0,0,0,-18233
1953:Q3,118204,1231,5434,0,59035,26157,491,3464,-224,-13,148,9838,5870,1537,1919,0,817,0,1447,1053,136682,11146,2487,3135,1292,273,244,3203,-36,221,0,0,1906,29668,56263,26157,0,0,0,233,0,595,0,-105,0,0,0,-18478
1953:Q4,120368,1254,5428,0,60815,26717,607,2909,-229,-13,163,10031,5973,1621,1844,0,819,0,1374,1055,140410,11293,2424,3201,1294,397,205,3596,-62,222,0,0,1942,30383,58124,26717,0,0,0,228,0,556,0,-110,0,0,0,-20041
1954:Q1,123443,1275,5248,0,62589,27255,494,3145,-232,-13,181,10192,6198,1856,1919,0,808,0,1498,1030,143638,11408,2562,3266,1261,267,219,3570,-28,226,0,0,1985,31001,59942,27255,0,0,0,234,0,585,0,-115,0,0,0,-20196
1954:Q2,126617,1294,5672,0,64158,27796,502,3293,-234,-14,200,10324,6426,1900,2036,0,807,0,1368,1089,147153,11487,2535,3333,1299,121,150,4173,-6,230,0,0,2032,31668,61587,27796,0,0,0,252,0,616,0,-120,0,0,0,-20537
1954:Q3,130288,1315,6049,0,65996,28462,425,3794,-240,-13,218,10453,6549,1855,2101,0,796,0,1372,1156,150931,11573,2616,3400,1366,212,232,4251,14,236,0,0,2081,32230,63442,28462,0,0,0,233,0,708,0,-125,0,0,0,-20643
1954:Q4,133243,1341,6151,0,67798,29131,467,3537,-310,-13,239,10636,6628,2024,2506,0,793,0,1149,1166,154665,11668,2530,3465,1469,315,192,4673,-18,248,0,0,2128,32583,65317,29131,0,0,0,321,0,773,0,-130,0,0,0,-21422
1955:Q1,137179,1371,6076,0,69697,29882,492,3692,-299,-13,253,10806,6731,2115,2860,0,792,0,1456,1268,157978,11810,2703,3528,1571,213,199,4517,-1,250,0,0,2171,32888,67205,29882,0,0,0,306,0,872,0,-136,0,0,0,-20800
1955:Q2,142495,1405,6687,0,71240,30641,532,4242,-277,-12,271,10990,6920,2161,3989,0,791,0,1548,1367,161159,11918,2837,3591,1670,141,197,4877,-9,250,0,0,2211,32747,68879,30641,0,0,0,319,0,1032,0,-142,0,0,0,-18664
1955:Q3,146571,1442,6960,0,72840,31366,546,4856,-288,-11,290,11179,7073,2025,4454,0,790,0,1607,1442,164310,12009,2926,3655,1745,313,208,4942,-59,251,0,0,2254,32675,70583,31366,0,0,0,317,0,1273,0,-148,0,0,0,-17738
1955:Q4,150231,1482,7008,0,74726,32096,705,4461,-293,-11,311,11391,7265,2027,5330,0,779,0,1445,1509,167339,12173,2872,3719,1812,469,221,4657,-69,255,0,0,2310,32880,72504,32096,0,0,0,313,0,1281,0,-154,0,0,0,-17107
1956:Q1,153285,1525,6541,0,76559,32846,512,4941,-288,-12,334,11574,7489,2149,4761,0,768,0,1967,1619,170924,12247,3342,3771,1922,391,182,4793,36,258,0,0,2378,32982,74433,32846,0,0,0,311,0,1193,0,-161,0,0,0,-17639
1956:Q2,156897,1573,6863,0,78282,33856,518,5050,-285,-11,357,11750,7716,2198,4752,0,758,0,1780,1740,175123,12356,3337,3819,2040,291,292,4989,125,261,0,0,2460,33760,76193,33856,0,0,0,328,0,1184,0,-168,0,0,0,-18226
1956:Q3,159946,1622,7041,0,79756,34894,423,5440,-299,-12,381,11934,7784,2088,4456,0,757,0,1721,1960,179318,12433,3363,3868,2260,466,353,4976,202,266,0,0,2543,34589,77703,34894,0,0,0,316,0,1261,0,-175,0,0,0,-19372
1956:Q4,162958,1669,6975,0,81827,35940,598,4745,-320,-12,407,12148,7927,2285,4374,0,760,0,1528,2107,183452,12548,3302,3923,2407,533,325,4978,234,274,0,0,2616,35262,79824,35940,0,0,0,296,0,1171,0,-181,0,0,0,-20494
1957:Q1,169051,1714,6673,0,85862,36758,499,5158,-317,-12,433,12385,8084,2327,4418,0,749,0,1956,2364,189714,12672,3569,3982,2739,379,220,4811,235,288,0,0,2681,36451,83858,36758,0,0,0,300,0,960,0,-189,0,0,0,-20663
1957:Q2,174859,1760,6947,0,89778,37549,277,5323,-303,-12,461,12652,8296,2383,4598,0,748,0,1743,2659,195780,12753,3532,4049,3027,222,212,5305,278,308,0,0,2742,37043,87786,37549,0,0,0,301,0,870,0,-197,0,0,0,-20920
1957:Q3,180968,1804,7153,0,93837,38350,489,5958,-377,-12,491,12921,8407,2238,4338,0,747,0,1832,2792,203051,12828,3750,4109,3160,376,210,5263,258,329,0,0,2800,38684,91961,38350,0,0,0,308,0,870,0,-205,0,0,0,-22082
1957:Q4,185733,1843,7163,0,97844,39255,491,5325,-423,-13,527,13156,8568,2412,4279,0,737,0,1838,2731,210071,12911,3846,4159,3099,540,308,5339,288,352,0,0,2854,40058,96135,39255,0,0,0,300,0,841,0,-214,0,0,0,-24338
1958:Q1,189226,1877,6789,0,100016,40225,537,5509,-400,-14,565,13379,8663,2790,3569,0,737,0,2132,2852,214346,13027,3946,4209,3220,320,259,5598,311,362,0,0,2905,40597,98334,40225,0,0,0,298,0,956,0,-221,0,0,0,-25119
1958:Q2,194095,1903,6978,0,102056,41463,969,5698,-308,-14,601,13577,8987,2940,3253,0,737,0,2217,3038,219381,13045,4295,4247,3402,125,259,6579,393,367,0,0,2946,40644,100460,41463,0,0,0,314,0,1071,0,-229,0,0,0,-25285
1958:Q3,199192,1931,7516,0,104324,42589,583,6641,-322,-14,636,13779,9131,2668,3624,0,727,0,2235,3144,222174,13164,4426,4294,3502,246,244,5529,465,370,0,0,2992,40383,102702,42589,0,0,0,318,0,1187,0,-237,0,0,0,-22982
1958:Q4,203066,1969,7670,0,106584,43690,675,6373,-358,-15,674,14051,9166,2675,4181,0,728,0,1933,3070,226102,13242,4354,4343,3428,461,240,5986,448,376,0,0,3052,40060,105047,43690,0,0,0,320,0,1300,0,-245,0,0,0,-23036
1959:Q1,206588,2017,7757,0,108833,43618,815,7105,-352,-15,704,14318,9155,2794,3981,0,717,0,2015,3126,230001,13379,4958,4406,3487,489,245,5860,591,363,0,0,3129,40682,107330,43618,0,0,0,308,0,1410,0,-254,0,0,0,-23413
1959:Q2,209616,2074,7874,0,110948,43643,591,7652,-348,-14,734,14620,9209,2778,3852,0,715,0,2033,3255,233861,13513,5320,4476,3619,452,279,6440,791,346,0,0,3223,40854,109504,43643,0,0,0,316,0,1348,0,-263,0,0,0,-24244
1959:Q3,213397,2133,8098,0,113324,43531,653,8453,-391,-14,764,14924,9212,2539,4133,0,705,0,2250,3083,237956,13661,5495,4556,3440,461,319,6546,953,305,0,0,3320,41916,111932,43531,0,0,0,342,0,1451,0,-272,0,0,0,-24559
1959:Q4,215861,2187,8247,0,115741,43505,980,7373,-437,-15,798,15213,9403,2662,4656,0,707,0,1759,3082,238708,13801,5173,4621,3441,472,363,5117,440,324,0,0,3407,42040,114393,43505,0,0,0,363,0,1529,0,-281,0,0,0,-22847
1960:Q1,220412,2238,8144,0,118116,44757,604,7844,-483,-17,834,15462,9715,2722,3637,0,696,0,2920,3223,244876,13927,6494,4675,3582,463,365,4472,580,330,0,0,3486,43313,116824,44757,0,0,0,343,0,1556,0,-291,0,0,0,-24464
1960:Q2,224753,2288,8239,0,120332,46072,1130,6832,-403,-19,869,15695,9998,2933,3672,0,694,0,2968,3453,248896,14049,5974,4715,3814,469,535,4697,696,336,0,0,3558,43365,119098,46072,0,0,0,360,0,1459,0,-301,0,0,0,-24143
1960:Q3,229258,2336,8339,0,122795,47569,619,7087,-540,-20,897,15918,10181,2991,3793,0,694,0,3051,3548,255086,14183,6487,4767,3913,501,384,5020,629,343,0,0,3630,44432,121605,47569,0,0,0,392,0,1542,0,-311,0,0,0,-25828
1960:Q4,232550,2379,8421,0,125330,48855,828,5791,-630,-22,925,16152,10362,3193,3780,0,695,0,2727,3764,258917,14332,6420,4818,4134,523,317,5923,582,357,0,0,3706,43261,124169,48855,0,0,0,366,0,1476,0,-322,0,0,0,-26367
1961:Q1,238779,2417,8560,0,127809,49985,685,7051,-677,-24,954,16369,10590,3465,3784,0,682,0,3288,3841,260176,14481,6753,4877,4211,559,321,4600,192,368,0,0,3788,41839,126689,49985,0,0,0,370,0,1476,0,-333,0,0,0,-21397
1961:Q2,242986,2448,8759,0,130088,51342,615,6754,-717,-25,983,16579,10940,3506,3928,0,680,0,3162,3944,267475,14643,7156,4939,4318,537,371,7398,258,384,0,0,3875,41671,128997,51342,0,0,0,380,0,1551,0,-345,0,0,0,-24488
1961:Q3,248764,2478,8979,0,132747,52744,516,7719,-767,-26,1009,16783,11180,3371,4226,0,680,0,3167,3958,269635,14803,6913,5011,4321,502,354,5806,229,400,0,0,3961,41057,131687,52744,0,0,0,384,0,1820,0,-357,0,0,0,-20871
1961:Q4,253105,2512,9082,0,135471,54222,699,7308,-882,-26,1033,17028,11341,3606,4476,0,677,0,2362,4196,273546,14966,6995,5062,4560,508,348,6413,177,418,0,0,4037,39283,134434,54222,0,0,0,387,0,2105,0,-369,0,0,0,-20441
1962:Q1,257511,2549,9254,0,138055,53318,590,8728,-904,-28,1050,17208,11408,3552,4415,0,666,0,3406,4244,275469,15102,7900,5105,4609,515,379,5367,174,426,0,0,4107,39277,137157,53318,0,0,0,386,0,2029,0,-382,0,0,0,-17959
1962:Q2,260664,2587,9435,0,140491,52900,666,8294,-863,-30,1065,17366,11665,3698,4970,0,666,0,3359,4395,284221,15245,7962,5129,4762,461,365,7630,163,430,0,0,4167,43111,139629,52900,0,0,0,384,0,2278,0,-395,0,0,0,-23557
1962:Q3,264727,2626,9567,0,143356,52256,677,9015,-799,-31,1074,17532,11899,3404,5413,0,654,0,3614,4470,285692,15388,8266,5171,4826,420,398,7153,160,436,0,0,4226,41937,142522,52256,0,0,0,404,0,2538,0,-409,0,0,0,-20966
1962:Q4,266991,2667,9776,0,146243,51704,811,7786,-808,-31,1082,17712,12336,3703,5503,0,662,0,3282,4563,286196,15545,7972,5220,4921,381,411,7434,325,450,0,0,4295,39589,145428,51704,0,0,0,400,0,2544,0,-423,0,0,0,-19205
1963:Q1,273835,2711,10033,0,149094,52748,560,9281,-754,-33,1087,17966,12368,3858,5482,0,656,0,4165,4613,276838,15700,-2822,5299,4973,405,394,6113,200,461,0,0,4372,38214,148305,52748,0,0,0,382,0,2532,0,-438,0,0,0,-3002
1963:Q2,280067,2758,10270,0,151610,53620,605,9541,-756,-34,1086,18284,12699,3888,6310,0,657,0,4650,4879,282757,15862,-2557,5398,5248,380,376,8584,174,472,0,0,4457,37108,150880,53620,0,0,0,394,0,2814,0,-453,0,0,0,-2690
1963:Q3,287311,2806,10508,0,154590,54689,554,11399,-741,-34,1084,18583,12875,3522,6874,0,652,0,5040,4910,285949,16018,-2361,5515,5266,377,392,7624,194,487,0,0,4544,36169,153888,54689,0,0,0,439,0,3177,0,-469,0,0,0,1362
1963:Q4,291039,2853,10745,0,157646,55801,689,10101,-792,-34,1083,18810,13072,3681,7161,0,649,0,4502,5072,289503,16178,-3341,5586,5375,328,351,8200,335,503,0,0,4627,35355,156959,55801,0,0,0,375,0,3356,0,-485,0,0,0,1536
1964:Q1,296408,2898,10973,0,160660,56788,616,10943,-838,-39,1072,19105,13181,3546,6921,0,639,0,4939,5004,292542,16389,-3126,5685,5293,286,437,8100,344,526,0,0,4706,33999,159990,56788,0,0,0,376,0,3251,0,-502,0,0,0,3866
1964:Q2,302829,2941,11256,0,163367,57823,650,11209,-959,-45,1063,19405,13469,3810,7482,0,640,0,5737,4981,296597,16611,-3045,5786,5271,279,349,8389,434,553,0,0,4781,33203,162774,57823,0,0,0,359,0,3549,0,-519,0,0,0,6232
1964:Q3,308491,2986,11514,0,166488,59137,698,12209,-1118,-46,1054,19727,13624,3542,7782,0,631,0,5304,4959,301546,16863,-3134,5911,5205,293,458,8850,441,578,0,0,4858,32613,165913,59137,0,0,0,394,0,3703,0,-537,0,0,0,6945
1964:Q4,314418,3039,11716,0,169741,60629,1399,11269,-1348,-49,1047,20118,13875,3824,7876,0,625,0,5454,5203,306364,17163,-3437,6020,5441,309,359,8889,581,601,0,0,4948,32120,169185,60629,0,0,0,387,0,3725,0,-556,0,0,0,8054
1965:Q1,322232,3097,12018,0,172927,61873,1144,12973,-1468,-52,1039,20481,14142,3767,7998,0,614,0,6617,5062,311265,17481,-2665,6127,5300,270,464,8058,884,605,0,0,5048,31840,172395,61873,0,0,0,381,0,3779,0,-575,0,0,0,10967
1965:Q2,328521,3160,12181,0,175916,63443,1033,13009,-1334,-55,1032,20860,14547,3885,7959,0,615,0,7114,5156,320100,17824,-1868,6243,5389,282,412,9307,1192,597,0,0,5160,33054,175282,63443,0,0,0,420,0,3958,0,-595,0,0,0,8421
1965:Q3,335752,3228,12526,0,179239,65022,940,14264,-1019,-57,1023,21254,14805,3601,8189,0,608,0,6859,5270,321765,18184,-3000,6357,5498,319,446,8591,644,590,0,0,5276,31085,178621,65022,0,0,0,434,0,4314,0,-616,0,0,0,13986
1965:Q4,341352,3303,12803,0,182785,66701,902,14271,-1037,-61,1018,21662,15052,3918,7668,0,608,0,6540,5219,326567,18540,-3858,6473,5447,307,451,9076,614,604,0,0,5395,30583,182186,66701,0,0,0,442,0,4243,0,-637,0,0,0,14786
1966:Q1,349471,3385,13071,0,186326,68436,799,16452,-876,-62,1013,22085,14942,3923,7006,0,598,0,7245,5128,334877,18897,-2136,6601,5408,309,609,8771,636,623,0,0,5348,31677,185747,68436,0,0,0,441,0,4169,0,-659,0,0,0,14593
1966:Q2,354860,3475,13270,0,189283,70491,898,16021,-847,-62,1011,22526,15520,4023,6133,0,589,0,7311,5218,344440,19161,-2504,6740,5536,374,610,9740,1029,652,0,0,5328,34505,188976,70491,0,0,0,393,0,4091,0,-682,0,0,0,10420
1966:Q3,364612,3568,13287,0,193235,72451,827,18345,-863,-63,1004,22982,16128,3779,5742,0,578,0,8256,5356,356008,19495,-2131,6887,5678,377,690,9907,974,684,0,0,5302,39164,192715,72451,0,0,0,486,0,4035,0,-706,0,0,0,8604
1966:Q4,367463,3659,13601,0,197416,74397,1063,14083,-922,-65,1002,23424,16253,4082,4451,0,574,0,9061,5384,357614,19863,-5404,7026,5706,452,650,9137,757,716,0,0,5607,38790,196625,74397,0,0,0,351,0,3671,0,-730,0,0,0,9850
1967:Q1,376918,3736,13837,0,201309,75926,866,16334,-1090,-66,1004,23922,16405,4569,4034,0,569,0,10587,4976,359889,20434,-6633,7179,5298,457,733,9243,299,741,0,0,6321,36127,200578,75926,0,0,0,296,0,3628,0,-738,0,0,0,17029
1967:Q2,383372,3807,13967,0,205056,77731,983,15034,-1098,-67,1009,24441,17029,5029,4139,0,560,0,10607,5145,368884,20833,-6782,7349,5442,498,663,10070,567,768,0,0,6358,37685,204134,77731,0,0,0,293,0,4022,0,-747,0,0,0,14488
