1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1315,92,1130,93,0,1315,517,6,0,-2,0,407,0,6,8,365,6,0,0,0,2,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1116,215,992,-91,0,1116,305,14,0,0,0,425,0,14,7,344,5,2,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,669,245,582,-158,0,669,124,-6,0,-7,0,212,0,-6,17,325,6,2,0,0,2,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,621,300,369,-48,0,621,0,-1,0,5,0,294,0,-1,11,303,4,2,0,0,4,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,2468,872,291,1305,0,2468,708,4,0,-8,0,912,0,4,8,788,36,8,0,0,8,0
1956:Q4,2416,296,2034,86,0,2416,676,12,0,8,0,720,0,12,0,948,36,12,0,0,-8,0
1957:Q1,2072,68,1996,8,0,2072,660,16,0,4,0,460,0,16,0,888,36,16,0,0,-24,0
1957:Q2,1892,180,261,1451,0,1892,524,20,0,56,0,484,0,20,0,748,36,12,0,0,-8,0
1957:Q3,2736,800,382,1554,0,2736,896,20,0,0,0,932,0,20,0,816,32,20,0,0,0,0
1957:Q4,3124,532,2395,197,0,3124,960,16,0,16,0,916,0,16,0,1136,44,20,0,0,0,0
1958:Q1,2212,1292,1082,-162,0,2212,636,16,0,-4,0,692,0,16,0,784,36,24,0,0,12,0
1958:Q2,2736,1120,787,829,0,2736,836,16,0,4,0,1252,0,16,0,536,40,20,0,0,16,0
1958:Q3,2832,292,946,1594,0,2832,820,16,0,-4,0,1112,0,16,0,796,40,24,0,0,12,0
1958:Q4,4072,-232,3714,590,0,4072,1160,12,0,-4,0,1660,0,12,-4,1140,52,28,0,0,16,0
1959:Q1,2212,976,-20,1256,0,2212,676,4,0,-12,0,1136,0,4,0,308,56,24,0,0,16,0
1959:Q2,3216,648,-27,2595,0,3216,992,0,0,-4,0,1816,0,0,-8,340,64,24,0,0,-8,0
1959:Q3,3084,408,-93,2769,0,3084,952,0,0,-8,0,1192,0,0,-12,852,68,28,0,0,12,0
1959:Q4,3780,-36,3120,696,0,3780,1144,0,0,-4,0,1456,0,0,-36,1088,76,44,0,0,12,0
1960:Q1,2684,1760,-320,1244,0,2684,764,4,0,-4,0,1004,0,4,-4,792,76,44,0,0,4,0
1960:Q2,3076,532,296,2248,0,3076,832,4,0,-4,0,1224,0,4,0,880,88,56,0,0,-8,0
1960:Q3,3452,552,778,2122,0,3452,956,4,0,0,0,1420,0,4,8,904,88,60,0,0,8,0
1960:Q4,3504,512,1958,1034,0,3504,976,0,0,0,0,1260,0,0,8,1120,84,60,0,0,-4,0
1961:Q1,2856,484,-473,2845,0,2856,660,8,0,20,0,1240,0,8,16,772,72,56,4,0,0,0
1961:Q2,4208,500,983,2725,0,4208,1100,8,0,12,0,1768,0,8,12,1152,68,60,8,0,12,0
1961:Q3,3648,584,702,2362,0,3648,972,8,0,4,0,1560,0,8,4,940,64,52,4,0,32,0
1961:Q4,5272,572,3685,1015,0,5272,1744,12,0,8,0,2348,0,12,-8,984,76,56,0,0,40,0
1962:Q1,3884,564,1193,2127,0,3884,-128,20,0,4,0,2816,0,20,-4,1024,84,52,4,0,-8,0
1962:Q2,4840,664,1476,2700,0,4840,348,24,0,4,0,3364,0,24,-16,912,92,48,4,0,36,0
1962:Q3,4596,644,1759,2193,0,4596,144,24,0,8,0,3008,0,24,-24,1248,88,40,4,0,32,0
1962:Q4,5892,512,3994,1386,0,5892,232,16,0,8,0,3196,0,16,-40,2308,92,52,4,0,8,0
1963:Q1,3768,812,1375,1581,0,3768,-328,8,0,12,0,2684,0,8,-12,1252,92,48,4,0,0,0
1963:Q2,5376,428,2005,2943,0,5376,-40,0,0,8,0,3832,0,0,-12,1420,84,44,4,0,36,0
1963:Q3,5372,504,2250,2618,0,5372,-204,0,0,16,0,3680,0,0,-8,1676,96,52,12,0,52,0
1963:Q4,5876,640,4043,1193,0,5876,-172,16,0,16,0,3380,0,16,-20,2444,108,56,8,0,24,0
1964:Q1,2108,584,2001,-477,0,2108,-1064,20,0,16,0,2408,0,20,-4,532,144,40,12,0,-16,0
1964:Q2,3364,624,1695,1045,0,3364,-880,28,0,16,0,3152,0,28,0,776,156,40,12,0,36,0
1964:Q3,4704,604,2976,1124,0,4704,-676,28,0,40,0,4124,0,28,0,912,136,56,36,0,20,0
1964:Q4,5324,608,4787,-71,0,5324,-616,20,0,32,0,3784,0,20,0,1816,152,68,44,0,4,0
1965:Q1,3212,712,2652,-152,0,3212,-964,8,0,24,0,2460,0,8,16,1380,152,68,52,0,8,0
1965:Q2,4860,748,1362,2750,0,4860,-868,0,0,16,0,3900,0,0,24,1344,284,80,56,0,24,0
1965:Q3,4864,724,1808,2332,0,4864,-864,0,0,32,0,3680,0,0,28,1648,132,88,72,0,48,0
1965:Q4,4992,688,3583,721,0,4992,-856,8,0,32,0,3092,0,8,20,2440,96,88,72,0,-8,0
1966:Q1,5384,712,1974,2698,0,5384,100,20,0,-88,0,3176,0,20,-8,1844,140,104,84,0,-8,0
1966:Q2,7116,720,4239,2157,0,7116,740,28,0,60,0,3840,0,28,0,2104,112,120,88,0,-4,0
1966:Q3,6084,736,3626,1722,0,6084,504,32,0,40,0,2876,0,32,0,2240,148,120,92,0,0,0
1966:Q4,4604,624,3383,597,0,4604,108,24,0,40,0,1968,0,24,12,2040,232,104,96,0,-44,0
1967:Q1,3000,772,2055,173,0,3000,-404,4,0,32,0,1260,0,4,20,1804,96,88,100,0,-4,0
1967:Q2,5376,192,1114,4070,0,5376,128,-8,0,28,0,3388,0,-8,20,1584,-4,92,104,0,52,0
1967:Q3,5388,792,815,3781,0,5388,60,-8,0,88,0,3592,0,-8,20,1368,96,44,116,0,20,0
1967:Q4,5300,10208,-7081,2173,0,5300,80,4,0,76,0,3232,0,4,16,1724,28,40,108,0,-12,0
1968:Q1,5176,-8548,13275,341,108,5176,-532,-24,0,104,0,3384,0,-24,12,1468,20,80,104,0,-20,604
