1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,47940,47940,0,7967,2808,0,22186,2210,0,0,12769,0,14440,0,33500
1958:Q4,49490,49490,0,8820,3103,0,22509,2342,0,0,12716,0,14258,0,35232
1959:Q1,48991,48991,0,8044,2836,0,23077,2304,0,0,12730,0,14478,0,34513
1959:Q2,51878,51878,0,8605,2969,0,24470,2505,0,0,13329,0,15496,0,36382
1959:Q3,53918,53918,0,8532,2944,0,25684,2682,0,0,14076,0,16452,0,37466
1959:Q4,57213,57213,0,10118,3425,0,26300,2873,0,0,14497,0,16632,0,40581
1960:Q1,55757,55757,0,8318,2864,0,26954,2810,0,0,14811,0,16910,0,38847
1960:Q2,58622,58622,0,9021,3025,0,28067,3093,0,0,15416,0,17847,0,40775
1960:Q3,59590,59590,0,8753,2927,0,28668,3305,0,0,15937,0,18173,0,41417
1960:Q4,61248,61248,0,9623,3202,0,28861,3447,0,0,16115,0,18083,0,43165
1961:Q1,59339,59339,0,7966,2594,0,29664,3299,0,0,15816,0,17516,0,41823
1961:Q2,60597,60597,0,8546,2763,0,29852,3548,0,0,15888,0,17654,0,42943
1961:Q3,61082,61082,0,8589,2798,0,30207,3581,0,0,15907,0,17513,0,43569
1961:Q4,63435,63435,0,9617,3130,0,30727,3627,0,0,16334,0,17599,0,45836
1962:Q1,62038,62038,0,8531,2777,0,30750,3574,0,0,16406,0,17729,0,44309
1962:Q2,65435,65435,0,9406,3020,0,32265,3889,0,0,16855,0,18849,0,46586
1962:Q3,66626,66626,0,9434,3019,0,32881,4020,0,0,17272,0,19362,0,47264
1962:Q4,69344,69344,0,10390,3315,0,33597,4103,0,0,17939,0,19924,0,49420
1963:Q1,68935,68935,0,9350,2966,0,34305,4027,0,0,18287,0,20353,0,48582
1963:Q2,72217,72217,0,10079,3178,0,35885,4352,0,0,18723,0,21677,0,50540
1963:Q3,74362,74362,0,10256,3224,0,37049,4478,0,0,19355,0,22282,0,52080
1963:Q4,77870,77870,0,11345,3553,0,38261,4546,0,0,20165,0,22842,0,55028
1964:Q1,78041,78041,0,10499,3266,0,39129,4596,0,0,20551,0,23295,0,54746
1964:Q2,81812,81812,0,11033,3404,0,41172,5001,0,0,21202,0,24758,0,57054
1964:Q3,84142,84142,0,11181,3437,0,42507,5215,0,0,21802,0,25468,0,58674
1964:Q4,87352,87352,0,12281,3779,0,43435,5437,0,0,22420,0,25817,0,61535
1965:Q1,87645,87645,0,11407,3495,0,44650,5405,0,0,22688,0,26320,0,61325
1965:Q2,92243,92243,0,12039,3662,0,47147,5867,0,0,23528,0,27941,0,64302
1965:Q3,94391,94391,0,12045,3670,0,48272,6200,0,0,24204,0,28843,0,65548
1965:Q4,97489,97489,0,13226,4040,0,49070,6478,0,0,24675,0,29355,0,68134
1966:Q1,97096,97096,0,12172,3701,0,50235,6307,0,0,24681,0,29545,0,67551
1966:Q2,100205,100205,0,12791,3830,0,51668,6762,0,0,25154,0,30553,0,69652
1966:Q3,100989,100989,0,12452,3725,0,52007,7177,0,0,25628,0,30785,0,70204
1966:Q4,103422,103422,0,13397,3988,0,52150,7454,0,0,26433,0,30992,0,72430
1967:Q1,101348,101348,0,12394,3654,0,51986,7431,0,0,25883,0,30550,0,70798
1967:Q2,104131,104131,0,12893,3730,0,53662,7823,0,0,26023,0,31214,0,72917
1967:Q3,105544,105544,0,12695,3627,0,54931,8064,0,0,26227,0,31251,0,74293
1967:Q4,108567,108567,0,13681,3872,0,55823,8287,0,0,26904,0,31131,0,77436
1968:Q1,107272,107272,0,12624,3592,0,56026,8395,0,0,26635,1439,31252,0,74581
1968:Q2,111404,111404,0,13040,3677,0,58431,8920,0,0,27336,1598,32630,0,77176
1968:Q3,114160,114160,0,12584,3532,0,60758,9359,0,0,27927,1788,33583,0,78789
1968:Q4,119324,119324,0,13796,3852,0,62748,9731,0,0,29197,2105,34348,0,82871
1969:Q1,118884,118884,0,12802,3530,0,63529,9966,0,0,29057,2349,34568,0,81967
1969:Q2,123675,123675,0,13166,3567,0,66087,10776,0,0,30079,2698,36254,0,84723
1969:Q3,125813,125813,0,13050,3485,0,67095,11361,0,0,30822,3081,36728,0,86004
1969:Q4,129231,129231,0,14027,3712,0,67807,11704,0,0,31981,3720,36946,0,88565
1970:Q1,126663,126663,0,13005,3414,0,66922,11961,0,0,31361,3967,36119,0,86577
1970:Q2,129421,129421,0,13295,3478,0,68422,12484,0,0,31742,4229,36588,0,88604
1970:Q3,131424,131424,0,13679,3580,0,69850,12888,0,0,31427,4603,37047,0,89774
1970:Q4,133660,133660,0,14662,3829,0,70069,12986,0,0,32114,5130,36325,0,92205
1971:Q1,134072,134072,0,15668,3456,0,70407,13000,0,0,31541,7364,36396,0,90312
1971:Q2,138912,138912,0,16180,3541,0,73459,13689,0,0,32043,7643,38139,0,93130
1971:Q3,143465,143465,0,16413,3507,0,76364,14310,0,0,32871,8149,39412,0,95904
1971:Q4,149243,149243,0,17314,3712,0,79003,14770,0,0,34444,8529,40519,0,100195
1972:Q1,148847,148847,0,16047,3371,0,80280,14910,0,0,34239,8257,42672,0,97918
1972:Q2,156222,156222,0,16605,3407,0,84782,16010,0,0,35418,8670,45317,0,102235
1972:Q3,161529,161529,0,16957,3371,0,88353,16473,0,0,36375,9274,46772,0,105483
1972:Q4,168757,168757,0,17998,3630,0,92149,16964,0,0,38016,9701,47862,0,111194
1973:Q1,171528,171528,0,17026,3291,0,96042,17310,0,0,37859,9627,48904,0,112997
1973:Q2,180398,180398,0,17979,3374,0,101384,18389,0,0,39272,10215,51621,0,118562
1973:Q3,186695,186695,0,18082,3268,0,105428,19236,0,0,40681,10912,53391,0,122392
1973:Q4,192980,192980,0,19156,3437,0,108142,19633,0,0,42612,11710,53772,0,127498
1974:Q1,190460,190460,0,18135,3121,0,107936,19527,0,0,41741,11349,52834,0,126277
1974:Q2,196777,196777,0,19332,3166,0,110984,20449,0,0,42846,12138,54241,0,130398
1974:Q3,201241,201241,0,19718,3040,0,113073,21631,0,0,43779,13175,55557,0,132509
1974:Q4,201926,201926,0,20276,3083,0,112122,21895,0,0,44550,13682,54266,0,133978
1975:Q1,195912,195912,0,18926,2645,0,109561,21959,0,0,42821,13206,53085,0,129621
1975:Q2,195933,195933,0,19703,2659,0,110683,22878,0,0,40010,13429,53935,0,128569
1975:Q3,201183,201183,0,20083,2532,0,113642,24687,0,0,40239,14306,55862,0,131015
1975:Q4,206996,206996,0,21212,2668,0,116151,25666,0,0,41299,15020,57016,0,134960
