1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,0,1518,30,0,0,0,251,0,51,0,200,20,0,0,1217,0,0,1017,200,1517,1345,173
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1,1,1364,30,0,0,0,249,0,49,0,200,20,0,0,1065,0,0,865,200,1364,1192,172
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1,1,1270,43,0,0,0,300,0,100,0,200,20,0,0,907,0,0,771,136,1270,1123,147
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1,2,1001,60,0,0,0,273,0,45,0,228,20,0,0,648,0,0,844,-196,1002,885,116
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,1,5,5012,44,96,0,28,864,0,144,24,696,100,1616,0,2264,0,60,1996,208,5016,3692,1320
1956:Q1,2,5,5093,16,96,0,32,976,0,-92,64,1004,112,1784,0,2077,0,64,1793,220,5096,3637,1456
1956:Q2,2,5,5417,-8,104,0,40,1200,0,-216,4,1412,128,1812,0,2141,0,24,1817,300,5420,3873,1544
1956:Q3,2,5,6157,-12,108,0,32,1572,0,-312,28,1856,136,1848,0,2473,0,28,2153,292,6160,4565,1592
1956:Q4,2,5,7221,4,112,0,32,1968,0,-264,16,2216,136,1944,0,3025,0,60,2761,204,7224,5529,1692
1957:Q1,2,4,8006,36,116,0,24,1964,0,-296,72,2188,132,1972,0,3762,0,36,3542,184,8008,6338,1668
1957:Q2,2,4,8710,60,120,0,20,1744,0,-292,28,2008,128,2152,0,4486,0,88,4310,88,8712,6990,1720
1957:Q3,2,4,8662,60,124,0,20,1516,0,-276,40,1752,132,2148,0,4662,0,12,4506,144,8664,7002,1660
1957:Q4,2,4,7894,48,128,0,16,1328,0,-296,124,1500,144,2180,0,4050,0,20,3882,148,7896,6294,1600
1958:Q1,2,2,6912,36,136,0,20,1376,0,-200,116,1460,144,2312,0,2888,0,60,2736,92,6912,5236,1676
1958:Q2,2,2,6356,28,140,0,12,1440,0,84,-124,1480,144,2500,0,2092,0,84,1960,48,6356,4540,1816
1958:Q3,2,2,6408,24,144,0,16,1540,0,-4,20,1524,160,2752,0,1772,0,104,1628,40,6408,4376,2032
1958:Q4,2,2,7076,32,152,0,24,1636,0,80,0,1556,188,3056,0,1988,0,116,1792,80,7076,4780,2296
1959:Q1,2,4,7666,36,156,0,28,1040,0,100,84,856,216,3300,0,2890,0,60,2658,172,7668,5334,2332
1959:Q2,2,4,8610,44,160,0,28,1572,0,188,140,1244,240,3676,0,2890,0,104,2614,172,8612,5978,2632
1959:Q3,2,4,8918,44,168,0,36,1428,0,256,64,1108,260,3364,0,3618,0,40,3326,252,8920,6238,2680
1959:Q4,2,4,8854,32,176,0,32,1908,0,128,16,1764,272,3772,0,2662,0,108,2350,204,8856,5934,2920
1960:Q1,2,4,8062,12,180,0,40,1328,0,-328,308,1348,296,3768,0,2438,0,8,2106,324,8064,5270,2792
1960:Q2,2,4,7470,-8,192,0,40,1116,0,-320,144,1292,328,3988,0,1814,0,92,1434,288,7472,4578,2892
1960:Q3,2,4,6942,0,196,0,44,1412,0,-196,-8,1616,328,3812,0,1150,0,4,778,368,6944,4022,2920
1960:Q4,2,4,6842,40,200,0,36,2084,0,-16,-100,2200,296,4324,0,-138,0,160,-478,180,6844,3574,3268
