1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,671872,0,81054,77273,0,83781,67045,0,10606,6130,22152,677,19126,2349,192065,3837,0,59892,131197,20621,130657,56640,19319,27965,8997,17736
1952:Q4,672330,0,82911,79651,0,84342,67389,-1,10957,5997,22673,714,19289,2670,181107,3932,0,60665,135627,21422,135039,58416,19650,30522,9085,17366
1953:Q1,678450,0,83582,81545,0,84729,66956,52,11875,5846,22805,737,19619,2449,177857,3867,0,61439,139902,22724,138683,60006,19887,30901,9420,18469
1953:Q2,677496,0,80272,84177,0,88303,69312,135,12743,6113,23085,639,19886,2560,168582,3778,0,62199,144293,22807,144127,62225,20596,32672,9715,18919
1953:Q3,682755,0,82859,85755,0,88627,69128,209,13542,5748,23235,663,20020,2552,163848,3753,0,62937,148610,23131,147494,64205,21052,33354,9706,19177
1953:Q4,704673,0,83999,87886,0,88052,68038,154,13873,5987,23791,708,20285,2798,177572,4146,0,63647,152853,22727,149065,65938,21280,34614,9771,17462
1954:Q1,722871,0,82489,89888,0,88441,68196,140,14386,5719,23767,786,20492,2489,188593,4512,0,64339,157071,23771,150744,67351,21552,32744,10040,19057
1954:Q2,745307,0,81629,92829,0,87995,67555,140,14678,5622,24212,833,20817,2562,203782,4895,0,65018,161350,23597,156021,69614,22467,34006,10310,19624
1954:Q3,774472,0,85996,94440,0,87072,66201,152,15246,5473,24538,919,21107,2512,221823,5469,0,65687,165558,23889,161300,72336,23205,34242,10662,20855
1954:Q4,784574,0,86504,97182,0,87050,66087,147,15964,4852,25242,1020,21423,2799,222895,6110,0,66349,169935,23307,165835,75356,23588,35963,11125,19803
1955:Q1,801157,0,86271,99274,0,88913,67640,39,16484,4750,25320,1023,21796,2501,229212,6525,0,67031,174318,24293,170686,78237,24084,35702,11752,20912
