1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q4,5751649,0,325152,1349421,154610,419723,171480,14503,159290,74450,140130,18359,121746,25,796146,52640,0,230103,2084376,199348,2296040,1024623,411156,377882,169302,313077
1982:Q1,5747523,0,319339,1395775,164885,435064,175635,14032,171865,73532,141873,14104,127744,25,674820,49981,0,232020,2133338,200427,2317484,1036050,422484,373537,167688,317725
1982:Q2,5850709,0,321447,1433202,175381,449648,180102,13880,189001,66665,149162,17173,131989,0,646333,50031,0,234054,2189682,201770,2370106,1049487,437476,380887,171945,330310
1982:Q3,6073648,0,335664,1460696,201364,483194,198265,13848,199607,71474,146334,17554,128780,0,686622,55666,0,235699,2264107,204302,2406387,1049598,453956,386815,176360,339658
1982:Q4,6385325,2427,349165,1523009,186712,483080,190737,14634,201436,76273,159162,23313,135849,0,837646,65110,0,237912,2331384,209717,2460429,1064385,467344,396718,181196,350787
1983:Q1,6625524,2536,356556,1595850,164329,498500,199170,13772,212809,72749,153180,17947,135233,0,916505,76160,0,239825,2406659,215425,2473914,1081163,465088,391910,183530,352223
1983:Q2,6917928,2490,365554,1641341,150654,529758,216535,13570,230972,68681,156487,18856,137631,0,1021592,92057,0,242193,2494857,220946,2547230,1110187,479041,403838,191506,362658
1983:Q3,7059412,2601,367387,1697857,150913,573399,235375,15265,245528,77231,158019,19773,138246,0,987949,95017,0,244236,2554285,227749,2626267,1146901,494089,420612,193722,370943
1983:Q4,7121579,6937,367885,1740833,149944,567854,236015,15982,246846,69011,163191,22573,140618,0,929300,98040,0,246680,2614619,236297,2711990,1179094,510976,444878,195116,381926
1984:Q1,7194161,7190,353621,1803481,163904,568205,252376,17247,255286,43296,161573,18812,142761,0,866844,100040,0,247938,2681420,239945,2774276,1208670,532878,452010,194670,386047
1984:Q2,7323400,7280,362198,1870873,166718,620123,278564,18352,274693,48514,165414,18757,146657,0,805319,100241,0,249458,2733014,242762,2874181,1246094,556255,479799,196721,395312
1984:Q3,7555992,7026,361890,1926947,167650,655864,295802,21295,290727,48040,172070,20638,151432,0,838457,113338,0,250814,2816453,245484,2964361,1280785,579413,501839,196019,406305
1984:Q4,7747832,6902,384917,1989444,194318,651193,285369,28852,291045,45927,170217,27897,142320,0,834956,119018,0,252717,2896256,247894,3061756,1313080,603079,526584,197451,421562
1985:Q1,8050882,7017,381588,2032496,201589,719740,306043,27955,318434,67308,188265,23530,164735,0,882090,135840,0,254827,2994428,253002,3167254,1376924,626719,536023,197014,430574
1985:Q2,8291480,6812,394861,2061734,207124,739471,290265,41449,331444,76313,200311,32068,168243,0,933875,162766,0,257670,3064338,262518,3278901,1418706,648961,559592,202017,449625
1985:Q3,8379624,7207,409829,2095814,203542,770560,306277,36538,347919,79826,195052,29522,165530,0,864778,179161,0,260483,3117095,276103,3400402,1469978,669752,585905,209134,465634
1985:Q4,8732950,7791,410630,2121865,206063,806784,297266,26235,396557,86726,209925,49768,160157,0,1012735,219442,0,264250,3184551,288915,3520412,1519551,677086,610574,216768,496433
1986:Q1,9098219,7952,424759,2150353,226375,812128,276069,23010,401061,111988,211325,52392,158933,0,1143468,275257,0,268176,3277160,301266,3553981,1550671,692622,606799,219720,484169
1986:Q2,9342935,8126,458756,2165510,237429,828353,256352,26301,414905,130795,206732,46306,160426,0,1187795,312493,0,272767,3352890,312083,3639278,1608931,706040,627891,221177,475238
1986:Q3,9386998,8447,477868,2198544,253462,830959,279710,27121,401511,122617,208705,49510,159195,0,1068236,338139,0,277335,3402031,323272,3742533,1675900,720498,649888,222783,473464
1986:Q4,9840015,8753,530382,2245433,249879,871849,298133,28333,415426,129957,216275,58997,157278,0,1229639,375743,0,282494,3496575,332993,3846750,1722797,744664,666355,225437,487497
1987:Q1,10259351,8687,494700,2254640,262066,887620,275746,24622,439311,147941,215418,54184,161234,0,1447647,453009,0,289493,3603243,342829,3867884,1762183,757347,644317,218695,485342
1987:Q2,10432597,8525,507667,2290260,259961,947305,294611,23579,467885,161230,211296,52488,158808,0,1420164,458493,0,295874,3683857,349195,3974212,1835901,764901,660313,223088,490009
1987:Q3,10715773,8400,512602,2325815,265292,1004505,307403,25247,495166,176689,209761,53155,156606,0,1479801,458924,0,303181,3791416,356076,4064516,1890295,770796,679637,225431,498358
1987:Q4,10552147,9759,526483,2387504,275259,1023152,324022,32650,522408,144072,218933,63195,155738,0,1190377,404113,51818,307411,3793453,363885,4148806,1919993,785099,698640,233056,512018
1988:Q1,10887105,9724,519235,2453830,300008,1031291,325626,29363,530837,145465,223607,65445,158162,0,1296317,422040,52512,313598,3889951,374992,4221301,1966665,804811,693732,231422,524671
1988:Q2,11150108,10130,525198,2490636,282634,1068286,354307,23996,546663,143320,230454,68276,162178,0,1377165,428843,53230,320976,3975667,386890,4335545,2036129,822874,710128,234708,531706
1988:Q3,11359335,10318,524819,2534037,280755,1121261,380299,28115,570922,141925,234685,68389,166296,0,1406622,424255,53960,327230,4041678,399715,4446492,2096514,840680,725838,239518,543942
1988:Q4,11744175,10708,540821,2577913,290374,1215090,403464,49653,594022,167951,236943,68779,168164,0,1526934,420389,54690,335493,4122627,412194,4550430,2153183,858120,745206,236744,557177
1989:Q1,12015431,11153,521836,2601099,316345,1255398,419075,45376,592872,198076,238167,70735,167432,0,1591738,427100,56177,339256,4236703,420458,4614221,2187397,867447,753193,231178,575006
1989:Q2,12318814,11032,517899,2603827,337547,1278106,439051,38927,598924,201204,243395,77234,166161,0,1673344,456276,57688,347913,4363111,428675,4724734,2245783,876649,769617,239742,592943
1989:Q3,12688766,11268,515028,2633828,369507,1307238,443253,49637,609002,205346,234205,69663,164542,0,1805059,476389,59187,353699,4485774,437584,4828919,2311764,885704,784207,239442,607803
1989:Q4,13002747,11874,533171,2663263,384374,1329927,417705,75461,624005,212756,244761,81300,163461,0,1882865,468721,60646,365056,4614121,443969,4931531,2360135,895128,809285,240769,626214
1990:Q1,13044225,11755,519701,2680567,411593,1367618,436367,81808,639185,210259,242283,77200,165083,0,1769721,461905,62140,371121,4693199,452622,5004199,2439709,894033,792320,246773,631364
1990:Q2,13282889,12312,528847,2677704,397315,1413791,445664,97519,653836,216772,246086,79313,166773,0,1827236,484148,63586,379039,4799831,452994,5077363,2505544,889124,798712,247670,636313
1990:Q3,13084448,12949,529476,2694456,420803,1468995,490774,107364,653763,217094,251591,82730,168861,0,1503312,444432,65030,385062,4851462,456880,5138779,2555979,890627,812302,243475,636395
1990:Q4,13572661,13427,546198,2716864,427458,1543741,517196,117763,659885,248897,262952,92666,170286,0,1701695,470940,66518,391499,4970059,461310,5194607,2596240,890755,824391,247236,635985
1991:Q1,14090498,13959,557968,2719225,474457,1527538,516076,93979,655848,261635,261374,91433,169941,0,1992615,516151,67527,398156,5096058,465470,5216887,2632149,892627,802207,247180,642723
1991:Q2,14174131,13957,561144,2671660,453662,1573092,525827,97392,676350,273524,259915,89448,170467,0,1962521,537636,68572,406828,5194232,470911,5282921,2691674,896549,801306,249801,643591
1991:Q3,14486415,14409,565757,2653314,449818,1589247,534327,101953,692550,260418,271008,101217,169791,0,2087818,585136,69625,411498,5314792,473993,5310322,2714314,883788,802500,259957,649763
1991:Q4,15108645,14565,595678,2635548,452896,1599619,540035,105075,694930,259579,291454,124300,167154,0,2454778,646801,70662,418284,5447838,480522,5389827,2766661,879934,815581,270578,657073
1992:Q1,15096601,14566,611224,2482727,475797,1651616,576084,112298,694118,269117,272753,107723,165030,0,2379159,670372,71284,425297,5555013,486792,5409560,2806583,875715,793353,267824,666084
1992:Q2,15211496,14953,620247,2453574,457482,1642982,584541,100150,686403,271889,279481,116599,162882,0,2343862,714710,71906,429671,5688835,493793,5452035,2838401,871193,792332,274785,675325
1992:Q3,15541090,15504,645623,2428575,449051,1672924,609650,116147,687019,260108,278357,116978,161379,0,2428459,767030,72530,439062,5840576,503399,5514702,2892116,864880,801933,275744,680029
1992:Q4,16135934,15600,708956,2402085,434679,1683949,638498,120632,653544,271275,275612,116107,159505,0,2763304,815039,73154,447350,6006234,509972,5590414,2935630,860626,824769,277724,691665
1993:Q1,16418280,15445,686797,2353603,442856,1721374,655394,107398,649607,308975,288191,132351,155840,0,2823624,891599,74214,455592,6144933,520052,5590817,2946550,859613,807262,284275,693117
1993:Q2,16609593,15352,707158,2336642,434138,1708563,657698,74334,643024,333507,297804,144548,153256,0,2823204,965013,75276,464817,6254746,526880,5657418,3000845,855875,818662,284835,697200
1993:Q3,16941559,14697,732938,2319239,431626,1717152,657963,69733,628936,360520,293205,142413,150792,0,2919219,1048508,76336,474544,6377592,536503,5739329,3052966,851138,842668,295340,697218
1993:Q4,17310813,15757,765910,2281976,441151,1776523,704450,52126,607522,412426,293717,145798,147919,0,3054193,1099943,77398,484371,6475892,543982,5834282,3095117,848664,886169,301663,702668
1994:Q1,17351938,15716,746460,2283309,454972,1880364,740906,108433,598391,432635,296238,151342,144896,0,2917635,1073303,78544,490401,6558224,556772,5870943,3126605,843421,883876,303774,713269
1994:Q2,17439244,16847,739036,2245778,450823,1968602,772759,130266,608830,456747,295212,150643,144569,0,2859610,1061616,79688,496976,6658386,566671,5967949,3173865,841077,918580,306165,728262
1994:Q3,17746734,17357,733037,2267533,460858,2000683,800892,147328,586050,466414,294759,152093,142666,0,2910046,1100712,80834,514310,6785910,580695,6069604,3223969,838145,959953,306217,741320
1994:Q4,17942601,18847,749981,2251903,483159,2131142,864288,183543,578461,504850,294522,153480,141042,0,2960362,1019327,81980,519806,6840261,591311,6202620,3271319,833857,1021168,319656,756620
1995:Q1,18423971,20324,735129,2298501,503544,2107104,874047,156353,554932,521772,298230,160022,138208,0,3176847,1058545,82957,532123,6997471,613196,6251903,3299674,836145,1024546,318622,772916
1995:Q2,18962886,22461,742142,2336088,533374,2079259,874625,162950,526700,514984,299383,163620,135763,0,3387999,1126823,83934,547402,7172590,631431,6360692,3349612,839543,1063126,321063,787348
1995:Q3,19562131,22103,712198,2365858,546890,2119850,866407,183969,521806,547668,300342,167235,133107,0,3652736,1200705,84913,556073,7355913,644551,6494241,3406051,843466,1109599,334225,800900
1995:Q4,20235269,23356,717254,2384571,574017,2174795,858870,211757,496104,608064,319522,188574,130948,0,3976190,1239948,85890,565522,7513624,660579,6608940,3439243,848741,1168160,334139,818657
1996:Q1,20754058,26021,707836,2455913,626718,2166700,853287,206350,488065,618998,329028,200404,128624,0,4126502,1317576,87635,570593,7662701,676836,6711356,3501646,853287,1162207,357568,836648
1996:Q2,21189613,27693,696288,2474442,617240,2245230,849365,262744,486281,646840,324883,198846,126037,0,4246641,1407588,89380,579028,7785211,695989,6848943,3560620,860945,1196579,360289,870511
1996:Q3,21466618,31693,682964,2509565,639641,2260818,871604,299344,464519,625351,323036,199260,123776,0,4241262,1458120,91125,593814,7918686,715893,6981901,3624626,864772,1229847,359316,903340
1996:Q4,22111709,35469,676948,2521252,671809,2312651,916566,339881,451112,605093,361932,240436,121496,0,4462417,1489156,93226,609828,8141805,735216,7120841,3674480,874962,1273878,371119,926402
1997:Q1,22238358,34112,654647,2571828,714315,2192893,915288,319460,424437,533709,351823,233037,118786,0,4497999,1508970,95095,621756,8235356,759563,7209856,3720819,878581,1254175,379859,976421
1997:Q2,23526383,34459,655861,2597093,706663,2211040,872641,339356,442199,556844,368800,252120,116680,0,5172003,1692950,96964,639332,8562468,788750,7359241,3775006,890834,1278038,390811,1024552
1997:Q3,24459305,36014,627384,2659303,736247,2242623,862412,350044,444774,585393,370850,256281,114569,0,5512158,1864889,98833,656347,8838969,815688,7529679,3867375,896857,1305805,415060,1044582
1997:Q4,24881215,37179,663330,2676971,767755,2297635,838307,399223,467903,592202,387601,275426,112175,0,5651290,1884773,100702,664058,8907665,842256,7676375,3908959,911046,1344165,417803,1094401
1998:Q1,26346825,36817,628538,2714111,831269,2302208,847150,361294,461899,631865,413728,301907,111821,0,6358030,2126512,103169,676162,9274601,881681,7806984,3977323,937294,1324043,430171,1138153
1998:Q2,26857073,37785,634282,2713019,849369,2418270,838115,398272,487046,694837,428959,317558,111401,0,6421063,2220616,105636,686806,9422029,919238,8026152,4067782,964870,1367744,444600,1181156
1998:Q3,26076241,39500,625814,2735380,923665,2489132,859780,469993,481812,677547,468910,357796,111114,0,5703748,2024941,108103,688394,9301580,967073,8222087,4158834,989977,1400718,442914,1229643
1998:Q4,27994725,37725,687462,2795940,986922,2373788,812008,470679,468305,622796,466601,352011,114590,0,6745162,2281268,110570,716983,9790792,1001512,8447423,4265873,1015094,1441272,448782,1276403
1999:Q1,28228386,39368,674336,2806646,1046775,2344026,752998,460506,472380,658142,465524,349551,115973,0,6683086,2321695,111299,729587,9970504,1035540,8604327,4355492,1037900,1442398,455778,1312759
1999:Q2,29143314,40486,646088,2821618,1026302,2278661,698662,482019,466929,631051,469502,352652,116850,0,7224573,2477109,112028,748612,10233818,1064518,8837300,4463549,1057669,1471581,481692,1362808
1999:Q3,28785045,41170,632747,2879050,1060411,2232849,670054,508628,436582,617585,491633,373594,118039,0,6903632,2361899,112757,751383,10213581,1103933,9080691,4594843,1081737,1511895,487250,1404966
1999:Q4,31194703,40659,671163,2927513,1161192,2074011,736891,503365,423237,410518,537230,418211,119019,0,8243610,2744523,113486,802712,10681406,1197198,9342143,4689077,1110325,1553622,533726,1455393
2000:Q1,32129192,45150,641752,3034587,1227318,1945866,673184,488680,433200,350802,597796,478689,119107,0,8579940,2951579,116011,820796,10927434,1240965,9553078,4759806,1136280,1553765,597149,1506079
2000:Q2,31594228,45841,609875,3096191,1199815,1919719,565226,517010,457992,379491,583940,464779,119161,0,8093677,2838840,118536,824415,10967400,1295979,9802168,4883457,1164152,1601771,584878,1567910
2000:Q3,31862017,44509,571437,3153421,1252528,1930893,508348,540924,455831,425791,605660,486494,119166,0,8043396,2847388,121061,836446,11113294,1341983,10054178,5006911,1187096,1667073,591372,1601726
2000:Q4,30951976,48271,577711,3247221,1345321,2077761,578360,578745,478052,442605,656350,537165,119185,0,7068176,2557928,123586,838831,11030931,1379888,10280605,5110893,1216628,1741267,557465,1654352
2001:Q1,30098060,50790,606508,3407205,1481944,2020480,536132,452984,495818,535546,648063,526480,121583,0,6314543,2313967,123807,853230,10861690,1415832,10378013,5206871,1233595,1749724,518932,1668891
2001:Q2,31092386,48459,587454,3464959,1480426,1960221,434540,452086,523025,550570,657981,534140,123841,0,6781692,2513215,124028,884115,11122594,1467241,10633588,5378286,1255625,1784249,523322,1692106
2001:Q3,29854892,48388,583733,3532823,1548032,2059512,447940,503538,532667,575367,753537,627380,126157,0,5689797,2176229,124249,873233,10946202,1519157,10940475,5537554,1280376,1814351,582688,1725506
2001:Q4,31184661,48676,657035,3535804,1626409,1949620,410748,390737,523510,624625,713816,585596,128220,0,6398936,2417682,124470,903747,11241123,1567344,11125137,5661852,1307577,1891827,522314,1741567
2002:Q1,31505932,47771,597061,3700771,1594924,1919405,390109,371255,536226,621815,705220,575360,129860,0,6422255,2431136,125655,929528,11444040,1588166,11307119,5809343,1330324,1883516,522467,1761468
2002:Q2,30635898,48219,590471,3720476,1544727,2031911,357821,358566,593646,721878,675279,544255,131024,0,5763205,2280406,126840,941762,11294187,1618415,11552416,5997048,1353519,1917644,506753,1777452
2002:Q3,29269378,49781,592688,3844591,1514706,2105408,357414,315795,633524,798675,675654,542962,132692,0,4672989,1972705,128025,943522,11123054,1646256,11821485,6205587,1373630,1951608,489973,1800687
2002:Q4,29936066,49937,635758,3845234,1591630,2205238,308363,274315,649594,972966,677564,543257,134307,0,4970585,2062603,129210,948395,11382616,1437297,12123558,6417506,1393358,1997008,494752,1820934
2003:Q1,29758055,51628,631411,4056057,1544162,2089285,398965,180749,635019,874552,692930,557584,135346,0,4626423,2052483,130312,964965,11470673,1447727,12330561,6588004,1414641,1989123,506975,1831818
2003:Q2,31502169,54115,642514,4131469,1514086,2082170,390136,149531,687750,854753,796104,659107,136997,0,5450752,2370188,131414,996998,11874660,1457698,12739347,6829512,1448811,2021930,597477,1841617
2003:Q3,32109915,51146,603066,4198606,1464378,2068443,395094,247225,663925,762199,784495,647276,137219,0,5793595,2475040,132516,1022294,12041321,1475016,13016488,7058509,1481696,2059675,576112,1840496
2003:Q4,33765401,52841,635111,4237804,1427739,2300975,426101,307380,681460,886034,769016,630769,138247,0,6506891,2732990,133618,1045956,12428322,1494139,13291969,7241525,1523204,2102932,534914,1889394
2004:Q1,35542533,55204,632003,4401002,1388056,3111610,417605,284735,1486382,922888,812492,670993,141499,0,6811207,2905190,136016,1051992,12682293,1555469,13592500,7446313,1542753,2096472,559531,1947430
2004:Q2,35667863,57889,617911,4520292,1345616,2942932,360941,226049,1475515,880428,842835,697978,144857,0,6759564,2859137,138414,1065829,12899512,1617932,13995940,7736725,1581468,2114539,574780,1988428
2004:Q3,36143812,58864,602028,4600167,1304119,3113602,317256,294037,1558088,944222,836803,688818,147985,0,6705288,2924090,140812,1076559,13090120,1691359,14359429,8002297,1619704,2164875,568656,2003897
2004:Q4,37859744,61764,661275,4692475,1306641,3232703,433264,371201,1609772,818466,908015,756216,151799,0,7220951,3181585,143210,1102447,13579752,1768926,14823493,8268567,1665818,2220119,626412,2042577
2005:Q1,38095192,67402,654452,4836776,1264381,3159297,385216,328680,1614976,830425,899670,743733,155937,0,7269266,3156943,145680,1104356,13684590,1852379,15167562,8512015,1698470,2204974,623088,2129015
2005:Q2,38975399,64549,614371,4965313,1240972,3305610,342768,420316,1677719,864807,913374,753844,159530,0,7531289,3204789,148150,1111676,13944456,1930850,15635059,8821527,1725916,2232389,622564,2232664
2005:Q3,39875279,66584,557404,5157306,1259222,3097521,305425,364928,1689322,737846,909445,747366,162079,0,7923979,3357249,150620,1129054,14239419,2027475,16119520,9137722,1754417,2278385,617838,2331158
2005:Q4,40766252,63847,579414,5231932,1330809,3246698,294809,369270,1713004,869615,908197,744985,163212,0,8065191,3404921,153090,1136367,14516017,2129769,16553083,9417379,1783629,2320555,599049,2432471
2006:Q1,42752960,67879,590180,5464971,1333343,3266441,390498,354154,1685762,836027,1005527,778161,159967,67399,9156976,3628590,155125,1067102,14795187,2221638,17060552,9739076,1836234,2337585,624751,2522906
2006:Q2,42724511,72666,582855,5548922,1372723,3206139,320694,270096,1722240,893109,1047221,823922,154539,68760,8886478,3578185,157160,1067542,14892149,2312471,17554647,10067548,1890098,2349611,631279,2616111
2006:Q3,43751020,71749,550647,5691029,1440942,3226026,301716,316909,1758707,848694,1058294,837597,147352,73345,9168108,3723302,159195,1089090,15170207,2402431,18034099,10325756,1947111,2411441,650739,2699052
2006:Q4,45280591,69946,576642,5782457,1538090,3067587,197096,176986,1773766,919739,1059422,842265,142317,74840,9856675,4005742,161230,1118908,15537275,2506618,18459207,10491411,2010288,2456716,700006,2800786
2007:Q1,46671534,73534,595815,5993956,1589694,3175448,199304,231774,1785870,958500,1106254,888330,140122,77802,10296717,4198641,163723,1132363,15746303,2599086,18783038,10707893,2076067,2440172,693337,2865569
2007:Q2,47561397,79929,526584,6063121,1652948,3028340,111020,271920,1794469,850931,1172291,957152,137376,77763,10407944,4467435,166216,1158642,16129813,2708134,19234547,10913563,2145277,2476966,753537,2945204
2007:Q3,48775604,84843,438048,6196335,1868592,3491143,91853,491198,1792964,1115128,1178201,960668,135799,81734,10412155,4586790,168709,1170606,16374238,2805944,19631756,11102019,2219021,2555552,722585,3032579
2007:Q4,48779109,87722,495712,6333556,2042139,3581392,80801,626618,1655011,1218962,1293912,1076577,134799,82536,9739457,4530989,171202,1177859,16414908,2910261,19996092,11210072,2296489,2609477,759760,3120294
2008:Q1,48026846,84065,499169,6518364,2261654,3619710,200887,621016,1605421,1192386,1423092,1205119,131796,86177,8908602,4229388,173082,1169605,16207759,2932356,20241693,11281435,2345885,2602008,810175,3202190
2008:Q2,47457893,78508,475422,6392693,2188409,3729590,193697,660734,1633780,1241379,1408161,1183885,137998,86278,8301672,4279775,174962,1180679,16298536,2949485,20285420,11256302,2406313,2620453,745721,3256632
2008:Q3,46028736,70526,484984,6580880,2188574,3925836,285137,818634,1518853,1303212,1423884,1188999,145520,89365,7236986,3735608,176842,1179203,16048025,2977388,20535998,11215503,2467030,2643813,851968,3357684
2008:Q4,43600279,69892,735057,6535184,2360327,4267864,463006,892611,1537057,1375190,1144193,907851,147420,88922,5723060,2914951,178722,1170538,15499095,3001396,20335153,11118203,2536436,2643789,616217,3420507
2009:Q1,42673352,65515,710105,6513976,2358946,4482205,594760,686177,1646964,1554304,1073600,831244,151980,90376,5029377,2725791,178532,1177327,15376057,2981922,20228971,11110414,2542608,2578142,583368,3414439
2009:Q2,44314450,65587,749707,6451524,2265553,4153288,471487,322383,1701354,1658064,1084072,840260,156289,87523,6062448,3253183,178342,1197622,15891791,2961334,20186910,11069815,2549684,2548873,595358,3423180
2009:Q3,46582362,66015,712013,6452047,2127586,4434324,637757,297420,1864363,1634784,1112121,864986,160349,86786,7080603,3800435,178152,1220531,16450489,2948047,20170877,10995419,2563425,2558711,616886,3436435
2009:Q4,47151123,62724,759588,6640825,2035995,4246917,818008,124255,1873978,1430676,1112736,865667,164541,82528,7193335,4019799,177962,1237589,16717090,2946564,20146291,10940710,2566956,2555017,646050,3437558
2010:Q1,48333977,58472,651332,6721610,1828217,4545007,906881,161362,1908402,1568362,1116587,863335,168817,84435,7601022,4276104,179529,1244973,17141304,2969820,20021260,10811934,2561252,2493057,668704,3486313
2010:Q2,47530590,61341,658917,6691949,1724758,4822926,1175097,131558,1937257,1579014,1119906,865600,171554,82752,6930178,4014314,181096,1231644,17092594,3000967,19947459,10746966,2554901,2478453,686770,3480369
2010:Q3,49494131,63875,615168,6799574,1721751,4724459,1215412,171740,2002840,1334467,1130326,878428,174599,77299,7789573,4434843,182663,1260040,17735347,3036511,19875770,10675928,2543794,2503726,708353,3443968
2010:Q4,51208389,67271,709115,6658430,1866839,4691504,1059754,140459,1908379,1582912,1131696,886262,174107,71327,8545679,4699184,184230,1272784,18300753,3080904,19872710,10509867,2533660,2646811,751517,3430855
2011:Q1,52477804,69608,787045,6784127,1815547,4579666,902946,314361,1906127,1456232,1133563,889263,174202,70098,9159245,4947555,187821,1292601,18604350,3116676,19837931,10446980,2545640,2628309,790142,3426859
2011:Q2,52883852,65296,777253,6960319,1789624,4671360,802043,343356,1984373,1541588,1176630,933892,173724,69014,9047226,5013464,191412,1310435,18731020,3149813,19784282,10379544,2541984,2653077,788162,3421515
2011:Q3,51134478,64382,906038,6990190,1761696,5135458,1022638,379643,2043457,1689720,1182729,939766,174850,68113,7596805,4479485,195003,1318767,18306231,3197694,19726320,10322465,2536850,2702175,731444,3433385
2011:Q4,52362772,57360,983515,7111598,1789344,5016509,962938,287391,2071590,1694590,1115334,873863,174397,67074,8105486,4682635,198594,1350369,18697286,3254743,19722772,10271096,2530924,2756225,716107,3448420
2012:Q1,54413762,56257,1010533,7210708,1726431,4830013,874957,175397,2066317,1713342,1109280,874511,170733,64036,9095129,5248609,200846,1353417,19271267,3301272,19734940,10206168,2553724,2745051,754288,3475709
2012:Q2,54182653,50697,970856,7293944,1677711,5007263,988237,249440,2096502,1673084,1120126,890096,166521,63509,8801388,5154536,203098,1331822,19228866,3342346,19753108,10142906,2575427,2790451,731700,3512624
2012:Q3,55652283,52037,973923,7332287,1725564,5123750,926038,270776,2088867,1838069,1121306,898446,162827,60033,9345721,5461902,205350,1344364,19580403,3385677,19847895,10095246,2596872,2850437,758602,3546738
2012:Q4,56365234,49480,1110520,7489507,1829958,5042905,1111402,219486,2045385,1666632,1174684,957611,159050,58023,9390495,5545653,207602,1352602,19730293,3441535,19907225,10038019,2619280,2912905,761296,3575725
2013:Q1,58569009,52699,1150367,7493769,1754170,4794683,1101109,136698,2036814,1520062,1156167,940976,158956,56235,10651962,5989650,209012,1366396,20443921,3506213,19908245,9990478,2639215,2913804,767344,3597404
2013:Q2,59001240,56511,1166153,7573601,1719693,4376460,1088486,109120,1937524,1241330,1221201,1008178,158565,54458,10926957,5957640,210422,1371825,20845209,3575568,19966993,9955577,2657424,2960184,766021,3627788
2013:Q3,60653742,56488,1179131,7657275,1748040,4278257,1062577,145699,1888270,1181711,1211090,1000331,158129,52630,11517704,6241071,211832,1390139,21516587,3646128,20090500,9965383,2675364,3030291,779824,3639638
2013:Q4,62344695,52079,1293974,7662424,1762977,3938771,835503,117393,1858225,1127650,1250887,1042539,156509,51839,12159581,6594178,213242,1407790,22275007,3733785,20323379,9949660,2693138,3090468,916723,3673390
2014:Q1,63870891,52511,1338712,7856619,1760147,3996611,740216,192192,1915911,1148292,1297244,1092256,154345,50643,12840223,6793717,220115,1421148,22484379,3809465,20392559,9913470,2734642,3096860,924257,3723329
2014:Q2,65333263,49794,1368065,7930603,1699324,3986500,602354,217643,1947348,1219155,1285523,1083737,152303,49483,13579606,7066144,226988,1440524,22810211,3889980,20586461,9903169,2775631,3164010,955403,3788248
2014:Q3,65296551,52688,1359825,8048074,1731957,3996797,564325,265270,1966625,1200577,1313558,1115997,150025,47536,13326183,6967012,233861,1450602,22851723,3964271,20682139,9913187,2817282,3242975,870143,3838551
2014:Q4,66556464,45720,1333124,8214089,1762416,4059566,663055,235109,1965569,1195833,1310283,1114730,147958,47595,13913934,7060279,240734,1472138,23102834,4041348,20849996,9925126,2859922,3309540,857298,3898110
2015:Q1,67726501,44554,1427287,8450083,1728368,4049545,748631,243641,1967528,1089745,1310227,1117310,146081,46836,14268774,7280270,240793,1492391,23320846,4113363,20875993,9897422,2898399,3307109,842254,3930810
2015:Q2,67865407,39448,1500485,8463953,1708232,3933673,791232,267940,1937495,937006,1278427,1087931,144436,46060,14306475,7299888,240852,1499370,23407031,4187573,21077903,9941941,2937353,3377763,856869,3963978
2015:Q3,66428307,36141,1367846,8651920,1777825,4243978,959442,396731,1935856,951949,1270522,1083034,142019,45469,13168642,6793972,240911,1496968,23104454,4275128,21209458,9991166,2977049,3463129,786885,3991230
2015:Q4,67566200,31884,1454732,8807988,1811739,3971921,973061,428459,1931597,638804,1247837,1062703,140222,44912,13739198,6955844,240970,1510917,23430846,4362324,21303854,10062914,3016463,3400223,791648,4032606
2016:Q1,68536729,32610,1547986,8974001,1789569,4023696,1009716,413173,1947921,652886,1295806,1113597,137828,44381,14062913,6964782,241776,1525600,23626782,4451208,21458399,10062143,3077795,3412241,764236,4141984
2016:Q2,69407143,31300,1517997,9025414,1722304,4019761,1021319,424371,2007784,566287,1296861,1117047,136056,43758,14480331,7104885,242582,1552162,23869799,4543746,21762334,10122709,3139765,3476821,774980,4248058
2016:Q3,70689569,30800,1409343,9384851,1690080,4032318,1033970,381743,1992689,623916,1263055,1086437,133463,43155,14849032,7357098,243388,1570048,24209278,4650279,22117203,10205844,3200790,3561635,793447,4355487
2016:Q4,71034422,26270,1410393,9581769,1670888,3752277,1053291,374430,1914282,410274,1239229,1064900,133020,41309,15176281,7303613,244194,1568114,24317593,4743801,22395254,10263655,3263347,3636436,779145,4452671
2017:Q1,73118877,30802,1588673,9677624,1628393,3713209,1032226,391705,1908841,380437,1251927,1078327,134183,39417,16020814,7726871,248200,1586233,24778823,4867308,22583775,10322849,3335836,3630415,784058,4510617
2017:Q2,74267536,33902,1585361,9613800,1611195,3753078,1065873,401439,1937189,348577,1260198,1085036,137102,38060,16480316,7974217,252206,1594598,25115340,4993324,22887792,10401534,3408846,3682716,800496,4594200
