date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q4,335,44724,0,-4133,49832,-4133,10979,12863,17481,12642,0,-2645,1670,44724,335,2903,18169,2057,3782,14268,6412
1992:Q1,696,50379,0,-182,-4923,-182,-17514,-8206,9118,11861,0,18647,36837,50379,696,3409,20409,1674,4894,16303,7123
1992:Q2,920,50542,0,982,35410,982,3514,12892,9119,8903,0,13775,375,50542,920,3831,17814,2645,5431,15630,9058
1992:Q3,865,50055,0,3557,22719,3557,-4237,5469,10364,7566,0,14218,9561,50055,865,3263,13655,1949,7477,17697,9290
1992:Q4,605,51112,0,-3393,37441,-3393,8090,21750,11817,-823,0,19020,-1956,51112,605,4094,28281,1400,6846,5345,9278
1993:Q1,1318,67198,0,221,53882,221,9943,12003,16978,14737,0,23554,-10459,67198,1318,5858,29240,2597,9403,12489,13463
1993:Q2,1455,68572,0,720,52302,720,5269,5684,22722,17907,0,35605,-20055,68572,1455,6949,24778,6783,10733,13889,12398
1993:Q3,1026,71852,0,376,17183,376,1352,437,9391,5627,0,35778,18515,71852,1026,7023,20297,12293,13218,14169,11847
1993:Q4,345,72541,0,-1650,49052,-1650,15521,18701,9922,6558,0,30921,-5782,72541,345,8859,25808,17638,13504,7317,8262
1994:Q1,-1218,51425,0,4901,-8927,4901,-15719,-20760,2567,20084,0,41735,13716,51425,-1218,7357,20504,18565,14022,-4578,2918
1994:Q2,-2580,30122,0,386,-10380,386,-915,-1670,-13529,5348,0,32161,7955,30122,-2580,6258,22840,9063,6947,-8053,-783
1994:Q3,-3491,29401,0,1785,5524,1785,-1661,-2609,10101,-2092,0,29292,-7200,29401,-3491,4951,20819,11909,4248,-7573,-201
1994:Q4,-3753,3349,0,-722,-25969,-722,1621,1579,-21049,-7398,0,13133,16907,3349,-3753,3889,17007,6790,1688,-12572,-9703
1995:Q1,318,23941,0,169,9221,169,742,-1335,18153,-8508,0,25929,-11378,23941,318,3503,21993,1006,740,-1130,1033
1995:Q2,2254,33044,0,2631,-7111,2631,-8744,-13112,-1431,13545,0,34403,3121,33044,2254,4850,25327,3832,1470,3472,-1469
1995:Q3,3239,49377,0,-1785,30801,-1785,11646,11929,370,8641,0,34728,-14367,49377,3239,6702,37061,4035,2731,4697,288
1995:Q4,2892,62481,0,1347,32570,1347,9837,9297,8253,3836,199,8201,20164,62481,2892,9820,44306,5118,5589,6055,723
1996:Q1,1331,88965,0,-309,30863,-309,2068,14716,-351,14739,199,71416,-13204,88965,1331,11016,56011,16779,7114,7910,425
1996:Q2,1375,76147,0,1020,19468,1020,-3788,6486,2564,13186,199,74024,-18564,76147,1375,12076,53197,14767,4168,3152,442
1996:Q3,925,52227,0,1764,17882,1764,-5363,6061,-752,16172,199,41243,-8861,52227,925,9478,34931,8476,3513,5269,-254
1996:Q4,1248,67748,0,-959,9835,-959,-8403,1419,5319,12459,199,41616,17057,67748,1248,10354,42878,11240,5032,7327,885
1997:Q1,1851,71438,0,2350,18333,2350,2459,1916,-174,11782,858,52990,-3093,71438,1851,10225,45794,13540,6122,5363,228
1997:Q2,1668,70888,0,2719,14427,2719,1735,1114,2764,6095,858,43941,8943,70888,1668,12113,41936,14753,5381,8570,-117
1997:Q3,1554,92377,0,-142,36676,-142,3137,3703,5403,24575,859,57149,-2165,92377,1554,11675,58164,10556,6264,13273,3867
1997:Q4,1148,95749,0,874,21338,874,4788,6351,2476,6849,858,39866,32813,95749,1148,12600,62085,3378,7399,18299,4331
1998:Q1,-8194,101270,0,-1372,45496,-1372,4365,11302,7233,23968,566,70401,-13821,101270,-8194,13008,58899,5562,8284,23023,5219
1998:Q2,-8251,96960,0,2796,30050,2796,-2830,34,4967,25083,909,60387,2818,96960,-8251,13930,57603,10716,4691,18014,5540
1998:Q3,-8364,43905,0,1874,348,1874,-10059,-9613,5041,13105,585,1359,39739,43905,-8364,7378,20460,-3263,1860,18303,6029
1998:Q4,-8534,59702,0,-2937,28677,-2937,-3332,-2045,8970,28021,605,37598,-4241,59702,-8534,10982,30519,-1264,4949,19209,5924
