1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,957377,782005,152975,22397,0,14289,8108,957377,262749,261834,178701,120256,123206,10631,59,3033,2919,57,6,51,353,282,20,2,0,0,714,288,271,5606,0,120060,108025
1952:Q1,970628,791430,156499,22699,0,14574,8125,970628,267231,267117,180431,121850,123195,10804,61,3073,2955,58,7,53,358,285,21,3,0,0,750,291,273,5689,0,123241,110100
1952:Q2,987603,804213,160264,23126,0,14927,8199,987603,272455,270780,182140,124515,126827,10886,63,3088,2967,59,7,55,362,290,22,3,0,0,778,292,274,5716,0,124058,108500
1952:Q3,1005712,819503,162514,23695,0,15350,8345,1005712,277915,273503,183482,128160,131718,10934,64,3090,2966,59,8,57,363,290,22,3,0,0,802,292,272,5736,0,127233,107800
1952:Q4,1013017,823242,165504,24271,0,15854,8417,1013017,279736,277485,183660,130505,130592,11039,65,3108,2982,59,8,59,367,294,22,3,0,0,832,294,272,5783,0,126974,105100
1953:Q1,1022621,828780,168877,24964,0,16348,8616,1022621,282826,280223,184036,131996,132496,11044,65,3119,2988,61,8,62,371,294,22,3,0,0,834,295,272,5769,0,130376,104000
1953:Q2,1034436,835223,173629,25584,0,16843,8741,1034436,286317,285436,185094,135164,131263,11162,67,3158,3024,61,8,65,378,297,22,3,0,0,844,300,275,5818,0,132485,103700
1953:Q3,1050618,845723,178686,26209,0,17334,8875,1050618,291671,290578,186960,137981,132149,11279,69,3200,3060,63,9,68,385,300,22,3,0,0,855,304,277,5864,0,133383,104000
1953:Q4,1051334,842292,182264,26778,0,17805,8973,1051334,293214,292199,186611,138681,129389,11240,69,3197,3054,63,9,71,388,300,22,3,0,0,853,304,276,5828,0,135127,103500
1954:Q1,1055994,842248,186224,27522,0,18260,9262,1055994,295302,294070,186551,141310,127575,11186,68,3183,3037,64,9,73,392,302,22,3,0,0,853,306,275,5781,0,138371,103600
1954:Q2,1071477,853922,189479,28076,0,18754,9322,1071477,300010,296464,187484,143407,132951,11161,69,3177,3028,65,9,75,398,304,22,3,0,0,854,308,274,5752,0,137066,102400
1954:Q3,1085653,866358,190604,28691,0,19288,9403,1085653,307706,298406,189079,146517,132794,11151,69,3171,3020,66,9,76,398,304,22,3,0,0,857,309,269,5747,0,136936,102200
1954:Q4,1100015,877937,192755,29323,0,19864,9459,1100015,312398,301652,189980,149640,135157,11188,69,3181,3026,67,10,78,402,306,23,4,0,0,864,313,267,5761,0,138705,101800
1955:Q1,1110846,887294,193214,30338,0,20453,9885,1110846,319408,305547,191755,148985,133805,11346,70,3229,3066,70,11,82,409,310,23,3,0,0,880,324,266,5833,0,140758,103200
1955:Q2,1134102,905646,197396,31060,0,21107,9953,1134102,327827,311667,194783,151243,136975,11607,70,3302,3135,72,11,84,424,319,24,3,0,0,905,338,270,5950,0,143048,103100
1955:Q3,1166684,930979,203775,31930,0,21858,10072,1166684,335957,320545,198559,154398,145248,11977,73,3412,3235,75,12,90,444,332,25,3,0,0,939,357,277,6114,0,146277,103700
1955:Q4,1197150,952904,211344,32902,0,22754,10148,1197150,342242,331920,202174,158331,150032,12451,75,3554,3366,80,13,95,468,348,27,4,0,0,982,378,286,6332,0,148105,104300
