date,Security brokers and dealers; total financial assets,Security brokers and dealers; checkable deposits and currency; asset,Security brokers and dealers; security repurchase agreements; asset,Security brokers and dealers; debt securities; asset,Security brokers and dealers; commercial paper; asset,Security brokers and dealers; Treasury securities (net); asset,Security brokers and dealers; agency- and GSE-backed securities (net); asset,Security brokers and dealers; municipal securities; asset,Security brokers and dealers; corporate and foreign bonds (net); asset,Security brokers and dealers; other loans and advances; asset,Security brokers and dealers; corporate equities; asset,Security brokers and dealers; U.S. direct investment abroad (market value); asset,Security brokers and dealers; total miscellaneous assets,Security brokers and dealers; receivables due from other brokers and dealers and clearing organizations; asset,Security brokers and dealers; unidentified miscellaneous assets,Security brokers and dealers; total liabilities,Security brokers and dealers; security repurchase agreements; liability,Security brokers and dealers; corporate and foreign bonds; liability,Security brokers and dealers; loans; liability,Security brokers and dealers; depository institution loans n.e.c.; liability,Households and nonprofit organizations; cash accounts at brokers and dealers,Security brokers and dealers; trade payables; liability,Security brokers and dealers; total taxes payable; liability,Security brokers and dealers; foreign direct investment in U.S.: intercompany debt, adjusted for U.S. Intermediate Holding Companies; liability (market value),Security brokers and dealers; total miscellaneous liabilities,Security brokers and dealers; payables owed to other brokers and dealers and clearing organizations; liability,Security brokers and dealers; equity investment by parent companies; liability,Security brokers and dealers; unidentified miscellaneous liabilities,Security brokers and dealers; proprietors' equity in noncorporate business,Security brokers and dealers; foreign direct investment in U.S.: equity, adjusted for U.S. Intermediate Holding Companies; liability (market value)
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4039,635,0,1403,0,586,0,370,447,1492,509,67,-67,0,-67,4008,0,0,2960,1989,971,80,12,35,921,0,0,921,0,136
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3760,605,0,1184,0,313,0,384,487,1421,550,79,-79,0,-79,3727,0,0,2681,1788,893,90,10,35,911,0,0,911,0,134
1952:Q1,3340,597,0,874,0,191,0,300,383,1422,447,79,-79,0,-79,3306,0,0,2256,1508,748,100,14,35,901,0,0,901,0,136
1952:Q2,4180,586,0,1699,0,1121,0,200,378,1454,441,82,-82,0,-82,4144,0,0,3092,2397,695,100,16,36,900,0,0,900,0,137
1952:Q3,3518,571,0,834,0,180,0,70,584,1465,648,86,-86,0,-86,3481,0,0,2428,1751,677,140,17,36,860,0,0,860,0,139
1952:Q4,4149,549,0,1486,0,709,0,228,549,1502,612,93,-93,0,-93,4112,0,0,3056,2342,714,150,20,37,849,0,0,849,0,141
1953:Q1,3729,530,0,914,0,208,0,150,556,1665,620,97,-97,0,-97,3690,0,0,2640,1903,737,160,14,37,839,0,0,839,0,144
1953:Q2,3825,510,0,821,0,145,0,100,576,1854,640,101,-101,0,-101,3783,0,0,2737,2098,639,170,10,38,828,0,0,828,0,148
1953:Q3,4100,492,0,1140,0,426,0,100,614,1789,679,105,-105,0,-105,4054,0,0,3007,2344,663,180,11,39,817,0,0,817,0,151
1953:Q4,4551,475,0,1608,0,640,0,430,538,1866,602,110,-110,0,-110,4502,0,0,3445,2737,708,180,21,37,819,0,0,819,0,143
1954:Q1,4122,476,0,1219,0,443,0,300,476,1888,539,115,-115,0,-115,4067,0,0,3018,2232,786,190,13,38,808,0,0,808,0,147
1954:Q2,4907,492,0,1738,0,869,0,300,569,2045,632,120,-120,0,-120,4842,0,0,3784,2951,833,190,22,39,807,0,0,807,0,150
1954:Q3,5152,521,0,1626,0,674,0,300,652,2290,715,125,-125,0,-125,5074,0,0,4009,3090,919,200,29,40,796,0,0,796,0,153
1954:Q4,5595,557,0,1635,0,666,0,300,669,2672,731,130,-130,0,-130,5508,0,0,4450,3430,1020,200,22,43,793,0,0,793,0,164
1955:Q1,5290,579,0,1150,0,322,0,300,528,2971,590,136,-136,0,-136,5200,0,0,4145,3122,1023,200,19,44,792,0,0,792,0,167
1955:Q2,5512,581,0,1182,0,228,0,300,654,3033,716,142,-142,0,-142,5418,0,0,4367,3454,913,200,15,45,791,0,0,791,0,171
1955:Q3,5375,564,0,1067,0,218,0,300,549,3133,611,148,-148,0,-148,5277,0,0,4221,3236,985,200,20,46,790,0,0,790,0,175
1955:Q4,5910,530,0,1387,0,264,0,300,823,3108,885,154,-154,0,-154,5808,0,0,4746,3847,899,210,26,47,779,0,0,779,0,179
1956:Q1,5440,508,0,1091,0,111,0,300,680,3099,742,161,-161,0,-161,5334,0,0,4281,3309,972,220,17,48,768,0,0,768,0,183
1956:Q2,5374,502,0,1015,0,122,0,200,693,3102,755,168,-168,0,-168,5264,0,0,4215,3380,835,230,13,48,758,0,0,758,0,186
1956:Q3,5093,513,0,817,0,114,0,100,603,3097,666,175,-175,0,-175,4978,0,0,3925,3058,867,230,17,49,757,0,0,757,0,188
1956:Q4,5331,538,0,965,0,243,0,100,622,3142,686,181,-181,0,-181,5212,0,0,4158,3276,882,230,18,46,760,0,0,760,0,177
1957:Q1,4665,559,0,570,0,113,0,0,457,3015,521,189,-189,0,-189,4543,0,0,3488,2673,815,240,19,47,749,0,0,749,0,181
1957:Q2,4973,568,0,659,0,87,0,100,472,3210,536,197,-197,0,-197,4848,0,0,3796,2982,814,240,16,48,748,0,0,748,0,184
1957:Q3,5050,564,0,819,0,223,0,100,496,3106,561,205,-205,0,-205,4923,0,0,3868,3035,833,240,19,49,747,0,0,747,0,187
1957:Q4,5477,547,0,1354,0,449,0,200,705,2805,771,214,-214,0,-214,5348,0,0,4287,3393,894,250,25,49,737,0,0,737,0,188
1958:Q1,5439,537,0,1220,0,332,0,325,563,3054,628,221,-221,0,-221,5307,0,0,4249,3298,951,250,22,49,737,0,0,737,0,188
1958:Q2,6731,537,0,1940,0,867,0,370,703,3486,768,229,-229,0,-229,6593,0,0,5533,4488,1045,250,24,49,737,0,0,737,0,188
1958:Q3,5303,549,0,775,0,199,0,215,361,3554,425,237,-237,0,-237,5158,0,0,4092,2976,1116,260,30,49,727,0,0,727,0,188
1958:Q4,6071,571,0,1242,0,604,0,215,423,3770,488,245,-245,0,-245,5917,0,0,4848,3692,1156,260,33,48,728,0,0,728,0,187
1959:Q1,5426,590,0,825,0,408,0,275,142,3804,207,254,-254,0,-254,5262,0,0,4189,2917,1272,270,38,48,717,0,0,717,0,186
1959:Q2,5480,602,0,719,0,275,0,250,194,3901,258,263,-263,0,-263,5306,0,0,4237,3119,1118,270,35,49,715,0,0,715,0,187
1959:Q3,5598,605,0,882,0,401,0,180,301,3747,364,272,-272,0,-272,5412,0,0,4332,3301,1031,280,46,49,705,0,0,705,0,189
1959:Q4,6171,600,0,1232,0,428,0,302,502,3773,566,281,-281,0,-281,5973,0,0,4887,5245,-358,280,50,49,707,0,0,707,0,190
1960:Q1,4962,599,0,637,0,158,0,276,203,3460,266,291,-291,0,-291,4755,0,0,3683,4404,-721,290,36,50,696,0,0,696,0,193
1960:Q2,5303,601,0,896,0,204,0,457,235,3507,299,301,-301,0,-301,5087,0,0,4018,4915,-897,290,33,52,694,0,0,694,0,199
1960:Q3,6040,610,0,1405,0,580,0,450,375,3585,440,311,-311,0,-311,5816,0,0,4740,5280,-540,290,39,53,694,0,0,694,0,206
1960:Q4,6700,624,0,1891,0,1021,0,400,470,3649,536,322,-322,0,-322,6466,0,0,5382,5334,48,290,48,51,695,0,0,695,0,198
1961:Q1,5882,642,0,1207,0,543,0,443,221,4022,11,333,-333,0,-333,5634,0,0,4532,5139,-607,300,67,53,682,0,0,682,0,203
1961:Q2,6677,660,0,1383,0,517,0,504,362,4482,152,345,-345,0,-345,6413,0,0,5319,5236,83,300,61,53,680,0,0,680,0,205
1961:Q3,6719,676,0,1525,0,763,0,473,289,4441,77,357,-357,0,-357,6438,0,0,5333,5935,-602,300,71,54,680,0,0,680,0,206
1961:Q4,7648,688,0,2043,0,1305,0,333,405,4723,194,369,-369,0,-369,7355,0,0,6256,6996,-740,300,63,59,677,0,0,677,0,228
1962:Q1,6940,690,0,1852,0,1142,0,479,231,4379,19,382,-382,0,-382,6642,0,0,5540,6640,-1100,310,66,60,666,0,0,666,0,232
1962:Q2,6749,683,0,1968,0,1122,0,538,308,4001,97,395,-395,0,-395,6450,0,0,5375,5825,-450,310,38,61,666,0,0,666,0,235
1962:Q3,7219,668,0,2014,0,1146,0,425,443,4305,232,409,-409,0,-409,6920,0,0,5851,6189,-338,320,33,62,654,0,0,654,0,237
1962:Q4,8431,648,0,2964,0,1976,0,523,465,4564,255,423,-423,0,-423,8130,0,0,7066,7930,-864,320,28,54,662,0,0,662,0,207
1963:Q1,7249,652,0,1923,0,1048,0,636,239,4645,29,438,-438,0,-438,6944,0,0,5869,7333,-1464,325,40,54,656,0,0,656,0,210
1963:Q2,8206,655,0,1972,0,963,0,643,366,5423,156,453,-453,0,-453,7894,0,0,6818,7726,-908,325,40,54,657,0,0,657,0,209
1963:Q3,8870,671,0,2202,0,1394,0,494,314,5893,104,469,-469,0,-469,8548,0,0,7460,8454,-994,330,52,54,652,0,0,652,0,207
1963:Q4,9167,672,0,1921,0,718,0,514,689,6095,479,485,-485,0,-485,8832,0,0,7739,8885,-1146,330,57,57,649,0,0,649,0,219
1964:Q1,8280,694,0,1479,0,569,0,520,390,5926,181,502,-502,0,-502,7932,0,0,6840,6993,-153,340,56,57,639,0,0,639,0,217
1964:Q2,9303,689,0,2257,0,1021,0,596,640,5927,430,519,-519,0,-519,8942,0,0,7855,9232,-1377,340,50,57,640,0,0,640,0,219
1964:Q3,9157,684,0,2564,0,1535,0,673,356,5764,145,537,-537,0,-537,8783,0,0,7687,8260,-573,350,58,57,631,0,0,631,0,221
1964:Q4,9862,681,0,2674,0,1374,0,693,607,5610,897,556,-556,0,-556,9473,0,0,8377,9200,-823,350,60,61,625,0,0,625,0,237
1965:Q1,9051,687,0,2104,0,955,0,750,399,5572,688,575,-575,0,-575,8645,0,0,7542,8298,-756,360,67,62,614,0,0,614,0,238
1965:Q2,10499,698,0,3132,0,1510,0,835,787,5592,1077,595,-595,0,-595,10072,0,0,8973,9651,-678,360,64,60,615,0,0,615,0,231
1965:Q3,8511,709,0,1721,0,595,0,754,372,5420,661,616,-616,0,-616,8059,0,0,6941,7489,-548,370,82,58,608,0,0,608,0,223
1965:Q4,10349,711,0,2449,0,1082,0,453,914,5986,1203,637,-637,0,-637,9866,0,0,8737,9047,-310,370,93,58,608,0,0,608,0,223
1966:Q1,9123,730,0,1605,0,909,0,333,363,6137,651,659,-659,0,-659,8615,0,0,7479,8123,-644,380,101,57,598,0,0,598,0,217
1966:Q2,10507,746,0,2303,0,818,0,618,867,6303,1155,682,-682,0,-682,9976,0,0,8855,9160,-305,390,84,58,589,0,0,589,0,223
1966:Q3,8930,764,0,1595,0,893,0,324,378,5905,666,706,-706,0,-706,8376,0,0,7247,7300,-53,400,92,59,578,0,0,578,0,229
1966:Q4,11286,784,0,3235,0,1742,0,465,1028,5950,1317,730,-730,0,-730,10707,0,0,9576,9641,-65,410,95,52,574,0,0,574,0,198
1967:Q1,11449,846,0,3379,0,2140,0,783,456,6479,745,738,-738,0,-738,10841,0,0,9667,8905,762,420,133,52,569,0,0,569,0,201
1967:Q2,11516,912,0,2340,0,710,0,638,992,6983,1281,747,-747,0,-747,10855,0,0,9705,8406,1299,430,109,51,560,0,0,560,0,198
1967:Q3,12971,950,0,2632,0,985,0,469,1178,7922,1467,755,-755,0,-755,12241,0,0,11057,9481,1576,440,145,51,548,0,0,548,0,194
1967:Q4,14731,990,0,2888,0,983,0,506,1399,9164,1689,764,-764,0,-764,13932,0,0,12745,10586,2159,450,151,52,534,0,0,534,0,201
1968:Q1,13602,1124,0,2509,0,968,0,454,1087,8593,1376,773,-773,0,-773,12750,0,0,11519,9950,1569,460,201,52,518,0,0,518,0,198
1968:Q2,15112,1274,0,2305,0,905,0,669,731,10514,1019,781,-781,0,-781,14187,0,0,12962,9240,3722,480,194,52,499,0,0,499,0,200
1968:Q3,17661,1398,0,4211,0,2543,0,663,1005,10759,1293,790,-790,0,-790,16663,0,0,15403,10250,5153,500,225,54,481,0,0,481,0,208
1968:Q4,18513,1465,0,3534,0,1766,0,548,1220,12005,1509,799,-799,0,-799,17435,0,0,16199,11321,4878,510,199,53,474,0,0,474,0,202
1969:Q1,14615,1487,0,1823,0,733,0,345,745,10271,1034,809,-809,0,-809,13483,0,0,12233,10750,1483,520,209,53,468,0,0,468,0,203
1969:Q2,15847,1470,0,2851,0,1120,0,336,1395,9841,1685,818,-818,0,-818,14693,0,0,13509,10238,3271,540,144,54,446,0,0,446,0,206
1969:Q3,12890,1427,0,2087,0,866,0,350,871,8216,1160,827,-827,0,-827,11767,0,0,10563,10350,213,560,163,54,427,0,0,427,0,209
1969:Q4,15402,1386,0,3670,0,1728,0,361,1581,8476,1870,837,-837,0,-837,14357,0,0,13173,10522,2651,580,147,40,417,0,0,417,0,156
1970:Q1,13071,1322,0,3436,0,2155,0,557,724,7298,1015,846,-846,0,-846,12089,0,0,10932,9450,1482,590,119,40,408,0,0,408,0,156
1970:Q2,11741,1225,0,2351,0,620,0,390,1341,6532,1633,856,-856,0,-856,10802,0,0,9656,8302,1354,600,108,40,398,0,0,398,0,154
1970:Q3,13298,1131,0,3850,0,2007,0,612,1231,6795,1522,866,-866,0,-866,12384,0,0,11212,9450,1762,600,135,40,397,0,0,397,0,152
1970:Q4,16246,1073,0,6003,0,3398,0,915,1690,7188,1982,875,-875,0,-875,15340,0,0,14153,10589,3564,610,150,35,392,0,0,392,0,134
1971:Q1,14861,1040,0,4520,0,1924,0,890,1706,7302,1999,885,-885,0,-885,13923,0,0,12728,10250,2478,620,160,36,379,0,0,379,0,138
1971:Q2,14332,1059,0,3394,0,1477,0,489,1428,8159,1720,896,-896,0,-896,13329,0,0,12176,9897,2279,630,120,37,366,0,0,366,0,144
1971:Q3,14491,1087,0,3579,0,1884,0,946,749,8785,1040,906,-906,0,-906,13419,0,0,12257,10750,1507,650,130,39,343,0,0,343,0,149
1971:Q4,17610,1097,0,4642,0,1799,0,1028,1815,9764,2107,916,-916,0,-916,16476,0,0,15299,11702,3597,670,140,46,321,0,0,321,0,178
1972:Q1,17559,1101,0,3316,250,1397,0,714,955,11646,1246,927,-677,250,-927,16263,0,0,14646,12550,2096,690,150,47,730,250,0,480,0,182
1972:Q2,19128,1106,0,3303,500,1107,0,767,929,13000,1219,937,-437,500,-937,17696,0,0,15671,13345,2326,710,123,48,1144,500,0,644,0,184
1972:Q3,19511,1104,0,3569,750,1770,0,644,405,13394,694,948,-198,750,-948,18062,0,0,15562,14950,612,730,151,48,1571,750,0,821,0,187
1972:Q4,23935,1081,0,5958,1000,2012,0,912,2034,13485,2411,959,41,1000,-959,22454,0,0,19502,16793,2709,750,165,59,1978,1000,0,978,0,226
1973:Q1,19698,1040,0,3920,1250,1365,0,595,710,12401,1087,970,280,1250,-970,17967,0,0,14819,14510,309,760,180,54,2154,1250,1000,-96,257,206
1973:Q2,19255,975,0,4587,1500,1430,0,687,970,10845,1348,981,519,1500,-981,17274,0,0,13976,12560,1416,770,144,50,2334,1500,1250,-416,506,193
1973:Q3,18652,907,0,4897,1750,1889,0,718,540,10181,917,992,758,1750,-992,16421,0,0,12905,12257,648,780,156,49,2531,1750,3000,-2219,735,187
1973:Q4,22294,854,0,7526,2000,2008,0,1130,2388,9149,2765,1003,997,2000,-1003,19813,0,0,16075,12502,3573,790,153,52,2743,2000,3250,-2507,950,202
1974:Q1,18709,818,0,5287,2250,971,0,590,1476,8502,1852,1015,1235,2250,-1015,15978,0,0,12017,10937,1080,810,140,49,2962,2250,4000,-3288,1146,189
1974:Q2,19969,791,0,6092,2500,827,0,588,2177,8033,2553,1026,1474,2500,-1026,16988,0,0,12850,9715,3135,830,82,62,3164,2500,4250,-3586,1343,240
1974:Q3,20194,771,0,6822,2750,1723,0,605,1744,7732,2119,1038,1712,2750,-1038,16963,0,0,12594,9550,3044,850,68,75,3376,2750,5000,-4374,1530,290
1974:Q4,21249,752,0,7750,3000,2256,0,705,1789,7583,2164,1050,1950,3000,-1050,17768,0,0,13150,9717,3433,870,45,108,3595,3000,5250,-4655,1706,413
1975:Q1,21200,740,500,7625,3250,2713,0,532,1130,7581,1504,1062,2188,3250,-1062,17469,800,0,12286,9504,2782,890,61,111,3321,3250,6000,-5929,1829,425
1975:Q2,22818,730,1000,7695,3500,1813,0,573,1809,7709,2184,1074,2426,3500,-1074,18837,1600,0,13116,9530,3586,910,15,114,3082,3500,6500,-6918,1921,437
1975:Q3,22519,729,1500,6863,3750,1254,0,587,1272,8030,1647,1086,2664,3750,-1086,18288,2300,0,11934,10415,1519,930,52,117,2955,3750,4268,-5063,2015,449
1975:Q4,27486,738,2000,8775,4000,1152,0,631,2992,8605,3368,1099,2901,4000,-1099,23005,3000,0,16034,11312,4722,950,80,121,2820,4000,5087,-6267,2135,463
1976:Q1,30729,903,2491,9284,3999,2719,0,1131,1435,9959,1302,1111,5679,4247,1432,26493,3923,0,15229,10432,4797,970,297,121,5953,3937,5563,-3547,1837,465
1976:Q2,32478,1011,3206,8972,3492,2571,0,1262,1647,11223,1328,1124,5614,4020,1594,28174,4653,0,16037,12156,3881,990,199,130,6165,3842,5674,-3351,1861,499
1976:Q3,36812,964,3531,12754,4287,5143,0,1368,1956,11645,1292,1137,5489,4035,1454,32534,8996,0,16272,13107,3165,1010,185,139,5932,3837,5798,-3703,1799,533
1976:Q4,44145,1018,5344,16584,7217,5604,0,1672,2091,12510,1542,1150,5997,5270,727,39679,8719,0,23385,15961,7424,1030,208,157,6180,4660,5889,-4369,1943,603
1977:Q1,38750,1082,6511,8715,3610,1624,0,1590,1891,12936,1405,1163,6938,5450,1488,34359,10452,0,15957,14526,1431,1050,153,168,6579,4519,5946,-3886,1803,647
1977:Q2,43360,1130,7487,10183,3810,1990,0,2129,2254,14024,1579,1176,7781,6069,1712,38851,11972,0,17277,15006,2271,1070,129,181,8222,5529,6470,-3777,1927,694
1977:Q3,43092,1077,9860,7849,3336,148,0,2213,2152,13981,1581,1189,7555,5931,1624,38567,12927,0,16440,16722,-282,1090,121,193,7796,5488,6696,-4388,1877,742
1977:Q4,45517,1036,10066,11274,6670,350,0,2104,2150,14527,1840,1203,5571,5990,-419,41152,9924,0,23789,18445,5344,1100,119,202,6018,5499,7240,-6721,1711,777
1978:Q1,47828,1120,10815,9026,6081,-947,0,1714,2178,16401,1673,1177,7616,5616,2000,43275,16863,0,17667,15761,1906,1120,96,204,7325,5055,7900,-5630,1858,784
1978:Q2,51584,1102,11882,8350,5383,-884,0,1972,1879,18950,2024,1151,8125,6219,1906,46896,16352,0,20538,16940,3598,1140,157,206,8503,5859,6274,-3630,1937,794
1978:Q3,54589,1299,13175,6745,4166,-902,0,1585,1896,20731,2282,1126,9231,6766,2465,49674,16480,0,21999,16933,5066,1160,235,207,9593,6249,6398,-3054,2082,794
1978:Q4,54369,1225,16130,7564,5804,-1605,0,1877,1488,17145,1918,1101,9286,6735,2551,49505,11434,0,26971,15824,11147,1190,187,203,9520,5719,6738,-2937,1973,782
1979:Q1,53450,1374,16338,7847,4960,-444,0,1755,1576,16326,2092,1077,8396,5862,2534,48468,20415,0,18037,13763,4274,1240,186,187,8403,5307,7942,-4846,2065,718
1979:Q2,68706,1526,20791,13996,8025,1998,0,1904,2069,18958,2237,1053,10145,6885,3260,63500,29170,0,22825,16174,6651,1270,185,204,9846,6281,8698,-5133,2315,785
1979:Q3,70501,1936,22972,10125,7861,-1551,0,1888,1927,20249,2487,1030,11702,8149,3553,65112,28184,0,23513,15037,8476,1300,206,221,11688,7372,8090,-3774,2495,852
1979:Q4,67470,2205,26640,3946,7169,-7023,0,2184,1616,17458,2566,1008,13647,9293,4354,62010,18301,0,29204,14805,14399,1340,208,265,12692,8147,7754,-3209,2694,1019
1980:Q1,63046,2647,19397,8109,6144,-246,0,1108,1103,18735,2066,986,11106,7451,3655,57485,22387,0,21863,13122,8741,1400,239,274,11322,6731,9401,-4810,1594,1055
1980:Q2,76056,2711,24212,12163,7913,-137,0,1738,2649,18620,2283,964,15103,10519,4584,69669,27756,0,25235,13170,12065,1500,373,283,14522,9746,18264,-13488,2036,1088
1980:Q3,77261,2905,22023,10689,6655,465,0,1718,1851,19972,2745,943,17984,12662,5322,70680,24543,0,27258,11162,16096,1600,497,349,16433,10869,18712,-13148,2022,1343
1980:Q4,91220,2997,32911,6554,6750,-4746,0,2509,2041,24737,3268,922,19831,14081,5750,84063,25859,0,35486,13265,22221,1700,483,183,20352,12951,19967,-12566,2172,703
1981:Q1,90687,2950,25376,19065,6799,8332,0,1696,2238,21807,3053,902,17534,12450,5084,83280,37416,0,26134,11508,14626,1800,419,169,17342,11653,21751,-16062,2351,652
1981:Q2,95747,2720,29665,16750,10730,1130,0,2066,2824,22179,3384,882,20167,14660,5507,87950,37518,0,27809,14746,13063,1900,374,181,20168,13620,26160,-19612,2489,694
1981:Q3,93257,3139,34394,14043,8031,1962,0,1766,2284,21068,2768,863,16982,12168,4814,85719,38516,0,26150,13861,12289,2000,334,193,18526,11592,32467,-25533,2259,741
1981:Q4,121345,2844,47727,20949,11572,2958,0,3004,3415,23023,3475,844,22483,15944,6539,113044,53977,0,34379,16020,18359,2100,324,221,22043,13860,23147,-14964,2191,851
1982:Q1,102549,3398,34832,21481,9425,6685,0,1873,3498,19250,2750,906,19932,13765,6167,94431,48778,0,24932,10828,14104,2200,263,181,18077,11788,25825,-19536,2192,411
1982:Q2,109250,3275,41500,18862,13009,-722,0,2431,4144,19099,3274,1022,22218,16072,6146,101037,49209,0,28978,11805,17173,2300,263,232,20055,13004,30115,-23064,2287,518
1982:Q3,129048,4557,50153,17758,14399,-4991,0,3108,5242,20798,3283,834,31665,24562,7103,120220,57871,0,30829,13275,17554,2450,406,299,28365,20878,26837,-19350,2532,672
1982:Q4,149990,4504,43738,36187,16447,9199,0,4628,5913,25791,4921,643,34206,25257,8949,139820,74247,0,37888,14575,23313,2600,643,298,24144,22977,26468,-25301,2994,945
1983:Q1,141833,3952,49007,19159,8315,3492,0,3319,4033,26743,5099,698,37175,26270,10905,130918,63669,46,31707,13760,17947,2692,649,324,31831,22267,28000,-18436,3171,1056
