1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q3,-888,0,-888,4,-951,59,-888,-1015,0,4,-1048,30,0,0,0,127,0,97,30
2014:Q4,-2511,0,-2511,3,-2568,54,-2511,-2539,0,3,-2569,27,0,0,0,28,0,1,27
2015:Q1,-4159,0,-4159,3,-4195,33,-4159,-4174,0,3,-4193,17,0,0,0,15,0,-2,17
2015:Q2,-876,0,-876,2,-930,52,-876,-903,0,2,-931,26,0,0,0,27,0,1,26
2015:Q3,-266,0,-266,2,-314,46,-266,-305,0,2,-330,23,0,0,0,39,0,16,23
2015:Q4,-990,0,-990,2,-1046,54,-990,-1011,0,2,-1040,27,0,0,0,21,0,-6,27
2016:Q1,-1191,0,-1191,2,-1214,21,-1191,-1072,0,2,-1084,11,0,0,0,-120,0,-130,11
2016:Q2,189,0,189,0,175,14,189,182,0,0,175,7,0,0,0,7,0,0,7
2016:Q3,1642,0,1642,2,1654,-14,1642,1650,0,2,1655,-7,0,0,0,-8,0,-1,-7
2016:Q4,1449,0,1449,680,732,37,1449,1454,0,680,755,19,0,0,0,-5,0,-23,19
2017:Q1,-241,0,-241,11,-261,9,-241,-268,0,11,-283,5,0,0,0,27,0,22,5
2017:Q2,151,0,151,15,82,54,151,125,0,15,83,27,0,0,0,26,0,-1,27
2017:Q3,-61,0,-61,26,-98,11,-61,-68,0,26,-99,6,0,0,0,7,0,1,6
2017:Q4,-1538,0,-1538,26,-1535,-29,-1538,-1524,0,26,-1535,-15,0,0,0,-15,0,0,-15
2018:Q1,-6,0,-6,33,-73,34,-6,-23,0,33,-73,17,0,0,0,17,0,0,17
