date,Property-casualty insurance companies; total financial assets,Property-casualty insurance companies; checkable deposits and currency, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; money market fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; security repurchase agreements, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; debt securities; asset,Property-casualty insurance companies; commercial paper, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; agency- and GSE-backed securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; municipal securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate equities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mutual fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; trade receivables, including receivables for claims from reinsurers; asset,Property-casualty insurance companies; U.S. direct investment abroad (market value); asset,Property-casualty insurance companies; total miscellaneous assets,Property-casualty insurance companies; equity in FHLB; asset,Property-casualty insurance companies; policy payables due from reinsurers; asset,Property-casualty insurance companies; unidentified miscellaneous assets,Property-casualty insurance companies; total liabilities,Property-casualty insurance companies; security repurchase agreements; liability,Property-casualty insurance companies; FHLB advances; liability,Property-casualty insurance companies; trade payables to reinsurers; liability,Property-casualty insurance companies; total taxes payable; liability,Property-casualty insurance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Property-casualty insurance companies; total miscellaneous liabilities,Property-casualty insurance companies; net transactions due to holding companies; liability,Property-casualty insurance companies; policy payables, including from reinsurers; liability,Property-casualty insurance companies; unidentified miscellaneous liabilities,Property-casualty insurance companies; foreign direct investment in U.S.: equity; liability (market value),Property-casualty insurance companies; securities lending; liability,Property-casualty insurance companies; total assets of financial guaranty insurers,Property-casualty insurance companies; total assets of mortgage guaranty insurers,Property-casualty insurance companies; direct reserve for policy payables; liability,Property-casualty insurance companies; policy payables reinsured to U.S. reinsurers; liability,Rest of the world; policy payables of non-U.S. reinsurers; liability,Rest of the world; assumed policy payables by U.S. reinsurers from non-U.S. insurers; liability
1945:Q4,6338,661,0,0,3438,0,2700,0,249,489,56,1760,0,361,62,0,0,0,0,3941,0,0,0,44,65,3832,0,3581,251,251,0,ND,ND,3581,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,7206,850,0,0,4032,0,3294,0,237,501,61,1719,0,478,66,0,0,0,0,4649,0,0,0,34,66,4549,0,4297,252,252,0,ND,ND,4297,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,8257,1032,0,0,4764,0,3885,0,315,564,69,1744,0,578,70,0,0,0,0,5485,0,0,0,44,66,5375,0,5121,254,254,0,ND,ND,5121,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
