date,FA116902505.A,FA116300001.A,FA116902605.A,FA116025001.A,FA116020001.A,FA116401005.A,FA116240101.A,FA116402105.A,FA116140001.A,FA116402105.A,FA116130101.A,FA116150005.A,FA116130001.A,FA116122001.A,FA113192281.A,FA116112001.A,FA116140001.A,FA116403001.A,FA116012005.A,FA116012005.A,FA116006305.A,FA116012005.A,FA115440005.A,FA115050985.A,FA115019085.A,FA115013085.A,FA115012005.A,FA116300001.A,FA115020005.A,FA115000905.A,FA115000905.A,FA114090005.A,FA114000005.A,FA113020005.A,FA113030003.A,FA114022005.A,FA113061003.A,FA113062003.A,FA114023005.A,FA113066003.A,FA113065005.A,FA113081005.A,FA113034003.A,FA113092405.A,FA113076005.A,FA113096005.A,FA113070003.A,FA113072003.A,FA113093005.A,FA114194005.A,FA114135005.A,FA114141005.A,FA113168005.A,FA113169005.A,FA114142005.A,FA113165005.A,FA115114305.A,FA113181005.A,FA112090205.A,FA115114103.A,FA113196005.A,FA113170005.A,FA113178003.A,FA113193003.A,FA115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114190085.A,FR115114305.A,FR112090205.A,FR115114103.A,FR118200005.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
1999,1385224,149688,1235536,312396,271339,41057,80514,842625,10951,842625,14850,846525,147343,699170,12,0,10951,10951,0,0,413,0,-413,63258,209325,140581,68745,149688,3621,-62846,-62846,185047,58158,5107,53051,-922,-795,-127,-2212,0,-2212,8122,8135,-13,1086,120815,39414,0,81401,247888,197369,59142,49596,9546,138227,138126,101,-66545,-67088,543,117064,34469,8928,73667,-62841,-1,-831,830,325075,315457,246565,68892,3387,-412,3799,2932,3300,0,325487,0,325221,266,-412,0,7072844,5846948,5146029,3040302,2105727,424173,33682,390491,101838,174908,1225897,352063,172554,179509,39877,37179,2698,24087,0,24087,43739,40708,3031,77309,688822,272556,0,416266,7072844,7072844,1743599,495820,351696,144124,1247778,1246913,865,4587795,4579762,8033,741451,225220,52989,463242,0
2000,1498306,160629,1337677,338401,294090,44310,85667,913609,11084,913609,16334,918860,167145,751716,-1,0,11084,11084,0,0,0,0,0,72255,228657,156931,71726,160629,4228,-72255,-72255,246758,76496,8425,68071,2731,2983,-252,-653,0,-653,8720,8685,35,-99,159563,69592,0,89971,319015,195785,61346,50424,10922,134439,134560,-121,-15874,-15972,98,139104,41512,11651,85941,-72257,-1,0,-1,406437,391759,202831,188928,6444,-9,6453,2561,5673,0,406435,0,409109,-2674,1,0,7798297,6325641,5580180,3264501,2315679,446602,35032,411570,114050,184809,1472655,428559,180979,247580,42608,40162,2446,23434,0,23434,52458,49393,3065,77211,848385,342148,0,506237,7798297,7798297,1939385,557167,402120,155047,1382219,1381475,744,4978356,4972899,5457,880555,266732,64640,549183,0
2001,1727308,170698,1556610,453241,386645,66596,97499,1005870,14397,1005870,18193,1009666,173465,836270,-69,0,14397,14397,0,0,1316,0,-1316,53059,227771,156206,71565,170698,-4014,-51742,-51742,156885,7933,795,7138,3726,2667,1059,3363,0,3363,10039,9588,451,2787,129037,1771,0,127266,208629,163862,40214,43516,-3302,123648,123562,86,-9689,-9566,-123,54456,-4753,4049,55160,-51744,2,-658,660,208721,210408,225033,-14625,5430,-98,5527,-1007,-6110,0,210040,1,210808,-769,-1319,0,8216306,6586765,5827678,3507297,2320381,463393,36214,427179,121009,174685,1629541,436491,181773,254718,46334,42829,3505,26797,0,26797,62498,58981,3517,79999,977422,343919,0,633503,8216306,8216306,2103248,597381,445636,151745,1505867,1505036,831,5178048,5173483,4565,935011,261979,68689,604343,0
2002,1810928,178476,1632452,484937,410843,74093,110943,1036572,15588,1036572,18431,1039415,165400,874010,6,0,15588,15588,0,0,0,0,0,56425,234614,157047,77567,178476,288,-56425,-56425,78648,17173,2719,14454,-128,8,-136,-630,0,-630,2397,2344,53,4472,55364,18907,0,36457,135077,157458,31803,23681,8122,125655,125551,104,-67967,-68235,268,45585,25393,1471,18721,-56429,-1,0,-1,331159,317509,264555,52954,5546,-624,6170,7,8097,0,331158,-19,331827,-650,1,0,8435882,6974353,6183912,3793555,2390357,478896,36878,442018,128475,183070,1461529,453664,184492,269172,46206,42837,3369,26167,0,26167,64895,61325,3570,84471,786126,362826,0,423300,8435882,8435882,2260686,629183,469317,159866,1631503,1630587,916,5194599,5190416,4183,980597,287373,70160,623064,0
2003,1915130,186971,1728160,534483,449317,85166,116372,1077304,20258,1077304,12479,1069525,160956,908523,46,0,20258,20258,0,0,0,0,0,59888,245299,157056,88244,186971,1559,-59888,-59888,48330,50759,6089,44670,1376,2056,-680,117,0,117,2886,2293,593,4712,-11520,-25130,0,13610,108217,74518,10667,10370,297,63851,64137,-286,37001,36796,205,-3301,-26179,-510,23388,-59887,2,0,2,421331,404259,293263,110996,3393,-1388,4781,1889,11789,2,421335,-2,421505,-168,-2,0,8965434,7455571,6629956,4115384,2514572,492359,36974,455385,136837,196419,1509862,504423,190581,313842,47584,44895,2689,26284,0,26284,67783,63618,4165,89183,774606,337696,0,436910,8965434,8965434,2335201,639849,479686,160163,1695352,1694724,628,5652937,5648717,4220,977296,261194,69650,646452,0
2004,2087800,199584,1888216,601549,505512,96038,130328,1156339,20654,1156339,13572,1149257,168174,980983,100,0,20654,20654,0,0,5028,0,-5028,82070,268443,170105,98338,199584,13211,-77042,-77042,328670,93696,26918,66778,6960,5300,1660,4552,0,4552,2967,2923,44,4572,215923,26639,0,189284,405715,253868,33355,32953,402,220513,220609,-96,51043,51154,-111,100804,23682,8354,68768,-77045,4,-6592,6596,982059,964359,483480,480879,19818,-455,20273,1081,-3198,0,987091,-6,987245,-148,-5032,0,10351646,8513111,7635344,4626651,3008693,527433,38534,488899,143903,206432,1838535,598120,217500,380620,54544,50195,4349,30836,0,30836,70750,66541,4209,93756,990529,364335,0,626194,10351646,10351646,2589062,673202,512638,160564,1915860,1915334,526,6684485,6680524,3961,1078100,284876,78004,715220,0
2005,2229880,217689,2012192,667453,560171,107282,136383,1208356,22905,1208356,15645,1201096,196781,1004237,78,0,22905,22905,0,0,13068,0,-13068,87732,299032,190088,108944,217689,6389,-74664,-74664,392019,100156,6659,93497,6080,5980,100,5346,0,5346,2359,2444,-85,5526,272552,66606,0,205946,466685,338547,161013,157889,3124,177534,177533,1,-72889,-72947,58,201026,49653,8676,142697,-74666,0,-24459,24459,1020908,998111,640405,357707,14633,1085,13548,2820,5345,-3,1033973,25,1033865,83,-13068,0,11827847,9597294,8662547,5282524,3380023,562288,41735,520553,154294,218165,2230553,698276,224159,474117,60621,56174,4447,36182,0,36182,73110,68985,4125,99283,1263081,430941,0,832140,11827847,11827847,2927635,834216,670528,163688,2093420,2092868,552,7621086,7616984,4102,1279126,334529,86680,857917,0
2006,2439220,236127,2203094,749398,633807,115591,151091,1302604,21652,1302604,17533,1298485,226165,1072227,94,0,21652,21652,0,0,0,0,0,88880,320048,213624,106424,236127,4959,-88880,-88880,454723,94955,34667,60288,1472,156,1316,-1544,0,-1544,3347,3175,172,4443,352050,39952,0,312098,543602,414373,131041,115293,15748,283332,283266,66,-38727,-37761,-966,167956,14339,9009,144608,-88879,2,0,2,680459,655159,282422,372737,23664,654,23010,2463,-827,0,680461,12,678995,1454,-2,0,13051908,10366632,9372927,5593473,3779454,606949,44430,562519,164459,222297,2685277,793232,258827,534405,62093,56329,5764,34638,0,34638,76457,72160,4297,103725,1615131,470893,0,1144238,13051908,13051908,3343033,966270,785821,180449,2376764,2376134,630,8261793,8257203,4590,1447082,348868,95689,1002525,0
2007,2523475,249922,2273553,828701,703285,125416,162091,1282761,19142,1282761,17824,1281444,253080,1028281,83,0,19142,19142,0,0,0,0,0,90587,336360,237355,99005,249922,4149,-90587,-90587,430975,81801,26884,54917,2516,3008,-492,7443,0,7443,2879,2170,709,3680,332656,54742,0,277914,521559,466013,157301,140850,16451,308712,308712,0,-68162,-67958,-204,123707,26038,3782,93887,-90584,0,0,0,191462,148042,-208793,356835,18681,-515,19196,4258,20481,4,191467,33,191294,140,0,0,13764934,10648678,9582699,5403708,4178991,641944,45483,596461,177108,246927,3116256,875033,285711,589322,64613,59339,5274,42081,0,42081,79336,74330,5006,107406,1947787,525635,0,1422152,13764934,13764934,3807517,1123570,926671,196900,2683946,2683283,663,8386629,8382103,4526,1570788,374905,99471,1096412,0
2008,2559137,259772,2299366,841173,710609,130565,163231,1294962,14472,1294962,16653,1297143,263853,1033228,62,0,14472,14472,0,0,3284,0,-3284,64047,327257,243279,83979,259772,-3438,-60763,-60763,29463,2556,-36209,38765,-7884,-7532,-352,-2972,0,-2972,2200,1045,1155,3452,32111,-2969,0,35080,90228,325211,131452,119600,11852,193759,193763,-4,-361762,-361565,-197,126779,5809,6683,114287,-60765,1,-4376,4377,-920961,-951607,-577261,-374346,35131,134,34997,852,-5336,-1,-917676,23,-916180,-1519,-3285,0,12933109,9787390,8685887,4827540,3858347,678864,46768,632096,184486,238153,3145719,877589,249502,628087,56728,51806,4922,39109,0,39109,81738,75375,6363,111657,1978898,522666,0,1456232,12933109,12933109,4126066,1255022,1046270,208751,2871044,2870362,682,7109476,7106666,2810,1697568,380715,106154,1210699,0
2009,2405767,258490,2147277,797045,667953,129091,147033,1203199,21303,1203199,14936,1196832,241984,954796,52,0,21303,21303,0,0,5994,0,-5994,-15330,263751,197880,65871,258490,-20591,21324,21324,-85491,10119,-25109,35228,-5496,-5660,164,-1207,0,-1207,-1682,-1661,-21,-9788,-77437,-26328,0,-51109,-106815,-97329,-107917,-101971,-5946,10588,10362,226,-52766,-52677,-89,43279,16892,-6261,32648,21324,-2,0,-2,-1215056,-1227626,-541721,-685905,12882,-2734,15616,-369,57,-3,-1209068,-8,-1211038,1978,-5992,0,11617226,8557003,7480312,4275607,3204705,671872,44509,627363,187201,217619,3060223,887707,224392,663315,51229,46145,5084,37902,0,37902,80055,73714,6341,101869,1901461,496338,0,1405123,11617226,11617226,4017144,1147106,944299,202807,2870038,2869138,900,5859237,5854538,4699,1740845,397605,99893,1243347,0
2010,2585826,256694,2329133,804870,673910,130960,155192,1369071,22269,1369071,14526,1361329,233429,1127777,123,0,22269,22269,0,0,7769,0,-7769,-6836,250377,192177,58200,256694,-520,14605,14605,146817,261,-42671,42932,2460,1916,544,4168,0,4168,3489,3110,379,29971,106468,37033,0,69435,132211,-19315,-12131,-16761,4630,-7184,-7203,19,175419,175118,301,-23893,31169,-732,-54330,14606,2,2097,-2095,388061,346530,178192,168338,12581,-2361,14942,1678,27273,0,395832,20,395257,555,-7771,0,12147365,8940324,7821754,4436269,3385485,682380,43273,639107,191819,244372,3207040,887968,181721,706247,53689,48062,5627,42070,0,42070,83545,76824,6721,131839,2007929,533371,0,1474558,12147365,12147365,3987656,1133780,927538,206242,2853877,2852938,939,6445758,6440203,5555,1713951,425773,99161,1189017,0
2011,2779478,260615,2518863,828944,698327,130618,160809,1529110,27095,1529110,14243,1516259,222252,1293850,157,0,27095,27095,0,0,1591,0,-1591,3286,259107,199116,59991,260615,4794,-1695,-1695,139712,30646,-15344,45990,-2177,-1992,-185,-5806,0,-5806,1136,846,290,-4599,120512,66256,0,54256,141408,-66878,-33854,-26023,-7831,-33024,-33190,166,173458,173624,-166,34828,55293,584,-21049,-1696,-1,0,-1,144689,92974,23656,69318,24013,1053,22960,3109,24593,3279,149559,-30,148961,628,-1590,0,12438332,9088301,7910532,4444361,3466171,706841,45904,660937,197169,273759,3350030,918613,166376,752237,54791,48906,5885,36264,0,36264,84681,77670,7011,127240,2128441,599627,0,1528814,12438332,12438332,3913490,1099926,901515,198410,2813565,2812490,1075,6776063,6770046,6017,1748779,481066,99745,1167968,0
2012,2953368,267292,2686076,874369,737293,137077,168252,1643454,24414,1643454,13302,1632342,221787,1410363,192,0,24414,24414,0,0,4916,0,-4916,20158,289765,221222,68543,267292,-2315,-15242,-15242,244372,69464,19386,50078,4820,4832,-12,-2413,0,-2413,3165,3014,151,15668,153668,6465,0,147203,259615,177383,75355,63483,11872,102028,102039,-11,9063,8262,801,73169,13798,7608,51763,-15243,-2,-8585,8583,502381,481693,208349,273344,20351,-349,20700,874,-538,-606,506689,-62,506721,30,-4914,0,13196052,9602256,8397807,4637276,3760531,731838,47412,684426,201704,270907,3593796,988077,185762,802315,59005,52922,6083,33851,0,33851,87846,80684,7162,142908,2282109,606092,0,1676017,13196052,13196052,4086207,1177727,967444,210284,2908479,2907477,1002,7290342,7283494,6848,1819503,492419,107353,1219731,0
2013,3069961,277239,2792722,905860,758863,146997,167690,1719173,27432,1719173,12781,1704522,211403,1492942,178,0,27432,27432,0,0,14,0,-14,64208,320021,240347,79674,277239,21425,-64194,-64194,266785,23445,-8079,31524,4361,5711,-1350,997,0,997,2615,2023,592,-26165,261532,47272,0,214260,330980,109327,27822,21554,6268,81505,81430,75,142342,142008,334,79311,34332,3174,41805,-64195,-2,0,-1,836084,834972,402768,432205,11675,-2227,13901,4665,-15228,-3846,832250,0,829952,2298,-12,0,14359283,10502549,9254316,5039536,4214780,757095,47389,709706,214034,277104,3856734,1011522,177683,833839,59520,55159,4361,34848,0,34848,90460,82707,7753,116743,2543641,653364,0,1890277,14359283,14359283,4190711,1205551,988998,216553,2985160,2984083,1077,8269758,8260278,9480,1898814,526751,110527,1261536,0
2014,3234295,291599,2942696,949273,800249,149023,182859,1810565,28077,1810565,13556,1796045,215835,1580002,208,0,28077,28077,0,0,-2,0,2,72147,354124,265077,89047,291599,9622,-72148,-72148,372504,85075,69389,15686,-422,249,-671,-378,0,-378,3677,2929,748,12694,271858,21378,0,250480,444652,286047,97415,86204,11211,188632,188228,404,64854,63410,1444,93751,8996,6847,77908,-72148,2,0,2,594475,574757,325850,248908,13895,-2929,16824,1831,3992,2128,596603,-21,594810,1814,0,0,15400538,11169170,9865859,5369862,4495997,788190,46987,741203,224403,290718,4231368,1096598,247073,849525,61226,57197,4029,34470,0,34470,94137,85636,8501,129437,2815499,674742,0,2140757,15400538,15400538,4473871,1302966,1075202,227764,3170905,3169445,1460,8934102,8921364,12738,1992565,535747,117374,1339444,0
2015,3296009,302222,2993787,1002172,847152,155020,203546,1788069,25709,1788069,14638,1776998,222598,1554161,239,0,25709,25709,0,0,0,0,0,80495,362800,261035,101766,302222,19917,-80495,-80495,310575,18641,7385,11256,5982,5673,309,7058,0,7058,2983,2466,517,-10170,286081,-3562,0,289643,391068,252903,71377,64118,7259,181526,181133,393,128366,126894,1472,9799,-16046,5162,20683,-80493,1,0,1,529046,567055,345380,221675,11983,-1924,13907,-132,-49861,-1002,528045,7,526942,1096,-1,0,16319650,11778709,10484989,5728772,4756217,799692,47897,751795,233254,260774,4540941,1115239,254458,860781,66206,61860,4346,41528,0,41528,97121,88102,9019,119267,3101580,671180,0,2430400,16319650,16319650,4721928,1372300,1139319,232981,3349628,3347768,1860,9595358,9580052,15306,2002364,519701,122536,1360127,0
2016,3315279,310042,3005237,1036427,877764,158662,208368,1760443,22746,1760443,15595,1753292,232595,1520436,261,0,22746,22746,0,0,0,0,0,66856,375193,262589,112604,310042,1706,-66856,-66856,383878,73012,24809,48203,2838,1976,862,-1990,0,-1990,3336,2590,746,-3002,309684,76748,0,232936,450734,390252,119963,119122,841,270289,269330,959,-216661,-218369,1708,277143,65767,10011,201365,-66856,-2,0,-2,552659,541652,367590,174063,19524,-2484,22008,3209,-11725,-963,551694,-143,545910,5927,2,0,17322080,12398225,11090429,6116882,4973547,809275,48462,760813,247767,250754,4923855,1188251,279267,908984,68081,62970,5111,39538,0,39538,100455,90692,9763,116266,3411264,747928,0,2663336,17322080,17322080,5110187,1492264,1258441,233823,3617923,3615247,2676,9932386,9909445,22941,2279507,585468,132547,1561492,0
2017,3488766,322470,3166296,1087283,921153,166130,222799,1856214,30557,1856214,17959,1843616,252045,1591215,356,0,30557,30557,0,0,9377,0,-9377,78096,399345,280121,119224,322470,1221,-68720,-68720,613626,117882,26743,91139,6858,6072,786,8421,0,8421,11649,9094,2555,4056,464760,55014,0,409746,682346,465160,133993,128850,5143,331167,331550,-383,100420,97732,2688,116766,7773,4604,104389,-68720,2,-25217,25219,733574,694846,433910,260936,25570,-1350,26920,5115,8043,114,743066,74,744225,-1233,-9378,0,18722273,13184678,11834662,6550331,5284331,828624,50238,778386,261373,260018,5537595,1306132,306009,1000123,75053,69019,6034,47959,0,47959,112105,99786,12319,120322,3876024,802942,0,3073082,18722273,18722273,5573782,1626256,1387291,238965,3947525,3945158,2367,10752219,10727823,24396,2396272,593240,137151,1665881,0
2018,3681959,337448,3344511,1144456,968643,175813,237010,1963045,29822,1963045,20977,1954201,256471,1696971,759,0,29822,29822,0,0,3027,0,-3027,82493,416238,291417,124822,337448,3703,-79466,-79466,309115,59271,11484,47787,1934,2197,-263,1045,0,1045,4942,4768,174,-1307,243230,49638,0,193592,388582,298092,86688,77893,8795,211404,206725,4679,-26950,-31904,4954,117439,5371,18450,93618,-79467,-1,-13407,13406,505381,466168,417559,48610,37613,3269,34344,4255,-2655,-1178,507229,53,456901,50275,-3026,0,19604678,13759146,12357106,6976852,5380254,863850,56388,807462,277123,261067,5845533,1365403,317493,1047910,75809,70188,5621,49004,0,49004,117048,104554,12494,119015,4119254,852580,0,3266674,19604678,19604678,5870700,1712945,1465184,247761,4157756,4150657,7099,11220267,11140642,79625,2513711,598611,155601,1759499,0
2019,3789574,351720,3437854,1204065,1021226,182839,243297,1990493,25629,1990493,21996,1986859,271712,1713712,1436,0,25629,25629,0,0,0,0,0,84254,435660,305702,129959,351720,314,-84254,-84254,331542,79044,20447,58597,990,933,57,2740,0,2740,6111,5847,264,9987,232670,47675,0,184995,415796,273721,24651,16023,8628,249070,249220,-150,12021,12694,-673,130055,42891,8434,78730,-84254,-1,0,-1,725292,700730,402908,297821,24167,-2332,26499,3621,-3225,3249,728540,133,701746,26661,1,0,20749016,14568692,13129699,7403187,5726512,885865,56620,829245,294973,258155,6180324,1444447,337940,1106507,80048,74113,5935,51744,0,51744,123158,110401,12757,129002,4351924,900255,0,3451669,20749016,20749016,6143583,1737596,1481208,256388,4405986,4398904,7082,11961667,11856054,105613,2643767,641503,164035,1838229,0
2020,3552414,364133,3188281,1171381,990930,180451,23544,1993356,28555,1993356,20459,1985260,230866,1753414,979,0,28555,28555,0,0,0,0,0,59550,434919,294469,140450,364133,-11237,-59550,-59550,543908,221798,99343,122455,3037,2727,310,4254,0,4254,9304,9075,229,6951,298564,47069,117544,133951,603458,516853,269391,173332,96059,247462,247997,-535,7366,5926,1440,79239,-26392,13094,92537,-59550,1,0,1,948885,901798,635117,266681,40093,6819,33275,9169,-2175,3544,952431,-35,938339,14127,-1,0,22304903,15577127,14105897,8068154,6037743,909895,65746,844149,316592,244743,6727776,1666245,437283,1228962,86629,80206,6423,55998,0,55998,132462,119476,12986,135954,4650488,947324,117544,3585620,22304903,22304903,6659858,2006986,1654539,352447,4652873,4646361,6512,12922040,12800860,121180,2723005,615110,177129,1930766,0
