date,Domestic nonfinancial sectors; municipal securities; liability,State and local governments; municipal securities; liability,State and local governments; short-term municipal securities; liability,State and local governments; long-term municipal securities; liability,Nonprofit organizations; municipal securities; liability,Nonfinancial corporate business; municipal securities; liability,All sectors; municipal securities; asset,Households and nonprofit organizations; municipal securities; asset,Nonfinancial corporate business; municipal securities; asset,Nonfinancial noncorporate business; municipal securities; asset,State and local governments; municipal securities; asset,U.S.-chartered depository institutions; municipal securities; asset,Foreign banking offices in the U.S.; municipal securities; asset,Banks in U.S.-affiliated areas; municipal securities; asset,Credit unions; municipal securities; asset,Property-casualty insurance companies; municipal securities, including those held by U.S. residual market reinsurers; asset,Life insurance companies; municipal securities; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,Money market funds; municipal securities; asset,Mutual funds; municipal securities; asset (market value),Closed-end funds; municipal securities; asset,Exchange-traded funds; municipal securities; asset,Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,Security brokers and dealers; municipal securities; asset,Other financial business; municipal securities held by COVID-19 Municipal Liquidity Facility (MLF); asset,Rest of the world; municipal securities; asset,Instrument discrepancies; municipal securities (level)
1945:Q4,12130,12130,312,11818,0,0,12130,3869,252,0,1759,4063,8,19,0,249,722,0,849,0,0,0,0,0,340,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12199,12199,313,11886,0,0,12199,3817,313,0,1454,4458,14,17,0,237,614,0,935,0,0,0,0,0,340,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,13810,13810,512,13298,0,0,13810,4458,350,0,1415,5344,20,19,0,315,609,0,1037,0,0,0,0,0,243,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
