1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-88,-88,0,-81,-81,35,35,0,0,0,0,0,0,0,51,51,194,0,194,0,739,0,282,236,221,0,0,0,0,0,0,0,0,0,0,0,0,865,3238,894,865,3238,894
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,173,173,0,-140,-140,134,134,0,0,0,0,0,0,0,69,69,223,0,223,0,651,0,287,192,172,0,0,0,0,0,0,0,0,0,0,0,0,771,3430,1003,771,3430,1003
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,35,35,0,-267,-267,-43,-43,0,0,0,0,0,0,0,103,103,238,0,238,0,519,0,364,36,119,0,0,0,0,0,0,0,0,0,0,0,0,844,4183,1011,844,4183,1011
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3,3,0,-222,-222,37,37,0,0,0,0,0,0,0,79,79,259,0,259,0,882,0,547,131,204,0,0,0,0,0,0,0,0,0,0,0,0,3695,5699,1094,3695,5699,1094
1952:Q1,-24,-24,0,-144,-144,336,336,0,0,0,0,0,0,0,76,76,272,0,272,0,976,0,592,124,260,0,0,0,0,0,556,556,0,0,0,0,0,-197,6620,964,-197,6620,964
1952:Q2,-24,-24,0,-196,-196,248,248,0,0,0,0,0,0,0,72,72,272,0,272,0,1044,0,632,120,292,0,0,0,0,0,24,24,0,0,0,0,0,2771,6792,1248,2771,6792,1248
1952:Q3,-52,-52,0,-192,-192,-108,-108,0,0,0,0,0,0,0,76,76,284,0,284,0,1040,0,620,120,300,0,0,0,0,0,24,24,0,0,0,0,0,3416,5616,665,3416,5616,665
1952:Q4,44,44,0,-96,-96,160,160,0,0,0,0,0,0,0,80,80,348,0,348,0,956,0,556,120,280,0,0,0,0,0,36,36,0,0,0,0,0,3576,7216,1277,3576,7216,1277
1953:Q1,44,44,0,-152,-152,196,196,0,0,0,0,0,0,0,88,88,368,0,368,0,896,0,508,128,260,0,0,0,0,0,28,28,0,0,0,0,0,3482,6984,963,3482,6984,963
1953:Q2,-88,-88,0,-204,-204,144,144,0,0,0,0,0,0,0,92,92,400,0,400,0,860,0,472,132,256,0,0,0,0,0,32,32,0,0,0,0,0,3410,7120,639,3410,7120,639
1953:Q3,-16,-16,0,-232,-232,-96,-96,0,0,0,0,0,0,0,96,96,404,0,404,0,808,0,428,124,256,0,0,0,0,0,28,28,0,0,0,0,0,3283,6948,760,3283,6948,760
1953:Q4,8,8,0,-176,-176,308,308,0,0,0,0,0,0,0,92,92,392,0,392,0,736,0,372,108,256,0,0,0,0,0,36,36,0,0,0,0,0,3051,7384,1360,3051,7384,1360
1954:Q1,-100,-100,0,-200,-200,724,724,0,0,0,0,0,0,0,84,84,372,0,372,0,640,0,288,92,260,0,0,0,0,0,32,32,0,0,0,0,0,2583,7148,724,2583,7148,724
1954:Q2,236,236,0,-240,-240,320,320,0,0,0,0,0,0,0,76,76,360,0,360,0,524,0,196,64,264,0,0,0,0,0,24,24,0,0,0,0,0,2311,7288,716,2311,7288,716
1954:Q3,268,268,0,-204,-204,-184,-184,0,0,0,0,0,0,0,84,84,364,0,364,0,512,0,184,72,256,0,0,0,0,0,32,32,0,0,0,0,0,2039,7080,1228,2039,7080,1228
1954:Q4,40,40,0,-260,-260,116,116,0,0,0,0,0,0,0,104,104,400,0,400,0,600,0,240,108,252,0,0,0,0,0,44,44,0,0,0,0,0,1815,7504,1260,1815,7504,1260
1955:Q1,408,408,0,-156,-156,228,228,0,0,0,0,0,0,0,120,120,428,0,428,0,676,0,296,136,244,0,0,0,0,0,52,52,0,0,0,0,0,1735,7440,1379,1735,7440,1379
1955:Q2,396,396,0,-372,-372,-16,-16,0,0,0,0,0,0,0,136,136,464,0,464,0,728,0,340,144,244,0,0,0,0,0,88,88,0,0,0,0,0,1763,7440,1495,1763,7440,1495
1955:Q3,300,300,0,-440,-440,-744,-744,0,0,0,0,0,0,0,148,148,468,0,468,0,752,0,336,176,240,0,0,0,0,0,84,84,0,0,0,0,0,1888,6404,1348,1888,6404,1348
1955:Q4,268,268,0,-52,-52,116,116,0,0,0,0,0,0,0,160,160,440,0,440,0,740,0,268,232,240,0,0,0,0,0,60,60,0,0,0,0,0,1996,7724,1320,1996,7724,1320
1956:Q1,440,440,0,-364,-364,292,292,0,0,0,0,0,0,0,172,172,436,0,436,0,724,0,224,304,196,0,0,0,0,0,64,64,0,0,0,0,0,1793,7840,904,1793,7840,904
1956:Q2,484,484,0,-140,-140,-128,-128,0,0,0,0,0,0,0,192,192,416,0,416,0,700,0,160,360,180,0,0,0,0,0,24,24,0,0,0,0,0,1817,7968,1812,1817,7968,1812
