1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,16324,2322,13482,520,0,16324,5700,32,0,16,0,5228,0,32,145,5072,56,23,0,0,20,0
1954:Q3,16782,2397,13402,983,0,16782,5846,32,0,9,0,5418,0,32,145,5194,59,25,0,0,22,0
1954:Q4,17313,2412,13810,1091,0,17313,6016,33,0,9,0,5596,0,33,143,5371,62,26,0,0,24,0
1955:Q1,17765,2441,14089,1235,0,17765,6114,36,0,14,0,5793,0,36,144,5507,66,28,0,0,27,0
1955:Q2,18263,2295,14258,1710,0,18263,6248,40,0,24,0,6002,0,40,146,5631,71,30,0,0,31,0
1955:Q3,18819,2262,14468,2089,0,18819,6407,44,0,26,0,6229,0,44,149,5774,77,31,0,0,38,0
1955:Q4,19375,2166,15297,1913,0,19375,6589,47,0,30,0,6397,0,47,152,5959,83,33,0,0,38,0
1956:Q1,19954,2438,15500,2016,0,19954,6738,49,0,32,0,6639,0,49,156,6130,90,35,0,0,36,0
1956:Q2,20582,2569,15582,2431,0,20582,6916,50,0,37,0,6869,0,50,159,6329,99,37,0,0,36,0
1956:Q3,21199,2787,15654,2758,0,21199,7093,51,0,35,0,7097,0,51,161,6526,108,39,0,0,38,0
1956:Q4,21803,2861,16163,2779,0,21803,7262,54,0,37,0,7277,0,54,161,6763,117,42,0,0,36,0
1957:Q1,22321,2878,16662,2781,0,22321,7427,58,0,38,0,7392,0,58,161,6985,126,46,0,0,30,0
1957:Q2,22794,2923,16727,3144,0,22794,7558,63,0,52,0,7513,0,63,161,7172,135,49,0,0,28,0
1957:Q3,23478,3123,16822,3533,0,23478,7782,68,0,52,0,7746,0,68,161,7376,143,54,0,0,28,0
1957:Q4,24259,3256,17421,3582,0,24259,8022,72,0,56,0,7975,0,72,161,7660,154,59,0,0,28,0
1958:Q1,24812,3579,17692,3541,0,24812,8181,76,0,55,0,8148,0,76,161,7856,163,65,0,0,31,0
1958:Q2,25496,3859,17889,3749,0,25496,8390,80,0,56,0,8461,0,80,161,7990,173,70,0,0,35,0
1958:Q3,26204,3932,18125,4147,0,26204,8595,84,0,55,0,8739,0,84,161,8189,183,76,0,0,38,0
1958:Q4,27222,3874,19053,4295,0,27222,8885,87,0,54,0,9154,0,87,160,8474,196,83,0,0,42,0
1959:Q1,27761,4118,19034,4609,0,27761,9054,74,0,51,0,9452,0,74,160,8551,210,89,0,0,46,0
1959:Q2,28553,4280,19016,5257,0,28553,9302,62,0,50,0,9918,0,62,158,8636,226,95,0,0,44,0
1959:Q3,29283,4382,18951,5950,0,29283,9540,21,0,48,0,10257,0,21,155,8849,243,102,0,0,47,0
1959:Q4,30228,4373,19731,6124,0,30228,9826,21,0,47,0,10621,0,21,146,9121,262,113,0,0,50,0
1960:Q1,30899,4813,19651,6435,0,30899,10017,22,0,46,0,10872,0,22,145,9319,281,124,0,0,51,0
1960:Q2,31668,4946,19725,6997,0,31668,10225,23,0,45,0,11178,0,23,145,9539,303,138,0,0,49,0
1960:Q3,32531,5084,19920,7527,0,32531,10464,24,0,45,0,11533,0,24,147,9765,325,153,0,0,51,0
1960:Q4,33407,5212,20409,7786,0,33407,10708,24,0,45,0,11848,0,24,149,10045,346,168,0,0,50,0
1961:Q1,34121,5333,20291,8497,0,34121,10873,26,0,50,0,12158,0,26,153,10238,364,182,1,0,50,0
1961:Q2,35173,5458,20537,9178,0,35173,11148,28,0,53,0,12600,0,28,156,10526,381,197,3,0,53,0
1961:Q3,36085,5604,20712,9769,0,36085,11391,30,0,54,0,12990,0,30,157,10761,397,210,4,0,61,0
1961:Q4,37403,5747,21634,10022,0,37403,11827,33,0,56,0,13577,0,33,155,11007,416,224,4,0,71,0
1962:Q1,38374,5888,21932,10554,0,38374,11795,38,0,57,0,14281,0,38,154,11263,437,237,5,0,69,0
1962:Q2,39584,6054,22301,11229,0,39584,11882,44,0,58,0,15122,0,44,150,11491,460,249,6,0,78,0
1962:Q3,40733,6215,22741,11777,0,40733,11918,50,0,60,0,15874,0,50,144,11803,482,259,7,0,86,0
1962:Q4,42206,6343,23739,12124,0,42206,11976,54,0,62,0,16673,0,54,134,12380,505,272,8,0,88,0
1963:Q1,43148,6546,24083,12519,0,43148,11894,56,0,65,0,17344,0,56,131,12693,528,284,9,0,88,0
1963:Q2,44492,6653,24584,13255,0,44492,11884,56,0,67,0,18302,0,56,128,13048,549,295,10,0,97,0
1963:Q3,45835,6779,25147,13909,0,45835,11833,56,0,71,0,19222,0,56,126,13467,573,308,13,0,110,0
1963:Q4,47304,6939,26158,14207,0,47304,11790,60,0,75,0,20067,0,60,121,14078,600,322,15,0,116,0
1964:Q1,47831,7085,26658,14088,0,47831,11524,65,0,79,0,20669,0,65,120,14211,636,332,18,0,112,0
