1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q4,734180,99081,193737,435370,5992,734180,999,20838,5965,20478,7740,370356,45060,3089,4472,178364,9074,6961,13,28055,28239,4477
1994:Q1,725680,98883,188233,430926,7638,725680,973,21301,5686,17697,7909,369029,43536,3175,4303,175339,8485,6959,12,27893,28151,5232
1994:Q2,725282,98685,188490,428392,9715,725282,948,21792,6179,17158,8006,369777,42514,3620,4134,172683,8226,7097,10,28791,28512,5835
1994:Q3,725311,98488,188654,426444,11725,725311,922,22295,6249,15281,8206,370425,41424,3842,3964,171062,7955,6998,9,31121,29319,6239
1994:Q4,719231,98289,185721,422676,12546,719231,897,22790,6498,13216,8326,371980,40261,4019,3795,169830,3056,7011,9,31636,29780,6127
1995:Q1,724531,98250,187223,425948,13110,724531,915,23097,6286,12469,8202,379609,38826,4081,3550,169568,3087,7029,7,31362,30385,6058
1995:Q2,726781,98211,186549,427597,14424,726781,933,23402,6189,11767,8277,383019,37658,3837,3306,169499,3119,7007,6,31547,31103,6112
1995:Q3,729279,98172,185402,430528,15176,729279,950,23721,6034,10940,7876,384660,36829,3891,3050,170747,3151,7011,5,32512,31890,6011
1995:Q4,729537,98133,182703,432587,16114,729537,968,24018,5937,9370,7820,390318,35123,3987,2816,165877,3182,7012,5,35631,31829,5644
1996:Q1,736829,98966,185429,435380,17054,736829,975,26492,5828,9981,7885,394484,33204,4222,2571,165514,3212,7007,5,37800,32495,5154
1996:Q2,746210,99800,188811,439231,18368,746210,982,27198,5675,9773,7800,401299,32310,4062,2567,165172,3242,7008,5,39694,34608,4815
1996:Q3,746582,100634,185877,440134,19937,746582,988,28098,5624,9265,7596,405544,32228,3882,2539,162215,3275,7008,4,40377,33469,4470
1996:Q4,758897,101198,191831,444490,21378,758897,991,29098,5565,8494,7641,414019,32223,3933,2431,160608,3324,7008,0,46353,32563,4646
1997:Q1,766280,102076,192657,447389,24158,766280,1000,34098,5375,8399,7781,416791,30765,4097,2509,159964,3380,7007,0,47898,32116,5100
1997:Q2,782946,102954,197729,455389,26874,782946,1009,39098,5301,8307,7963,426815,28277,4152,2392,159853,3435,7004,0,51255,32443,5642
1997:Q3,799501,103832,209525,458151,27993,799501,1017,44098,5197,8198,7861,437200,27611,4267,2384,157584,3500,7003,0,55168,32411,6002
1997:Q4,821129,104710,218031,467021,31367,821129,1026,49098,5117,7837,7814,443889,26097,4414,2246,158975,3374,7000,0,66103,31288,6851
1998:Q1,834168,107217,209676,484384,32891,834168,1034,46634,5627,7876,7824,449419,23957,4496,2219,158676,3372,7470,0,76875,30718,7971
1998:Q2,852975,109724,203782,503253,36216,852975,1041,44151,6138,7861,7788,454550,23026,4539,2176,159626,3375,8272,0,91799,30129,8504
1998:Q3,874640,112231,199590,519966,42853,874640,1049,41629,6648,7877,10040,467167,22840,4716,1919,159348,3378,8599,0,97424,32697,9309
1998:Q4,909792,114738,215739,531340,47975,909792,1056,39107,7157,7938,10626,484092,20396,4837,1970,163916,3174,8964,0,113191,33997,9371
1999:Q1,934541,115557,222699,544939,51346,934541,1096,34357,7150,7972,10718,498090,18362,5217,1922,168953,3389,9117,0,122728,35424,10046
1999:Q2,957316,116376,235634,556013,49293,957316,1136,29607,6991,8065,10755,513754,17147,5586,1949,173663,3605,9587,0,128458,37022,9991
1999:Q3,1014748,117195,277611,569080,50862,1014748,1176,24857,6830,41173,10783,531760,16871,5847,2001,174751,3820,9542,0,136862,38607,9868
1999:Q4,1046032,118014,290794,572960,64264,1046032,1217,20107,6670,41453,11001,554469,15940,5987,1969,179239,4034,10275,0,143363,40337,9971
2000:Q1,1072712,120826,295232,591028,65626,1072712,1372,20392,6627,40572,11033,577396,16652,6092,2601,178352,3976,9741,0,148201,39988,9717
2000:Q2,1102802,123638,303133,609393,66638,1102802,1528,20677,6582,40600,10971,596587,17204,6417,1905,181057,3801,9837,0,154866,41157,9613
2000:Q3,1124561,126450,306871,625810,65430,1124561,1685,20962,6539,40718,10983,611506,17004,6699,1737,182852,3534,8629,0,160604,42310,8799
2000:Q4,1152450,129262,311275,645986,65927,1152450,1842,21247,6494,41099,10900,625608,17128,6806,1699,183968,3135,8757,0,172337,43426,8004
2001:Q1,1133668,131811,280413,655489,65955,1133668,1773,21622,6722,41279,10849,639237,17111,9452,1709,183193,2588,8590,0,138287,43597,7659
2001:Q2,1155978,134360,289783,663772,68063,1155978,1703,21993,6948,41277,10942,654593,16739,10082,1742,184822,3074,8026,0,143852,43158,7027
2001:Q3,1193288,136909,314077,675805,66497,1193288,1633,22368,7175,40487,10765,674411,17889,10301,1786,186579,3465,8164,0,158252,43053,6960
2001:Q4,1237440,139458,345066,686279,66637,1237440,1562,22743,7403,40973,10832,689280,17867,11006,1954,188455,3701,8116,0,184249,41395,7904
2002:Q1,1251580,141881,341621,700277,67801,1251580,1576,22983,7359,41138,10707,704854,18252,11186,1956,188778,4713,8078,0,185269,37418,7313
2002:Q2,1279367,144304,351420,710024,73619,1279367,1590,23226,7317,41202,10575,721948,18593,11100,1979,190130,5067,7066,0,192945,39013,7616
2002:Q3,1307081,146727,365524,720334,74496,1307081,1604,23471,7276,41447,10389,737792,19016,11517,1982,190781,5403,7296,0,202349,38882,7876
2002:Q4,1342599,149150,396139,721168,76142,1342599,1618,23716,7232,42131,10389,754513,18989,11194,2066,195146,5662,7433,0,215251,39159,8100
2003:Q1,1365435,150645,406160,733433,75197,1365435,1558,23956,7239,40169,10383,771406,19000,11313,2072,196612,5892,6878,0,221684,39279,7994
2003:Q2,1398299,152140,416834,752639,76686,1398299,1497,24196,7247,40382,10487,785737,19543,11593,2015,199930,6009,7750,0,233946,39687,8280
2003:Q3,1434189,153635,431470,768963,80121,1434189,1435,24436,7256,40176,10736,801613,24189,12369,2008,202379,6212,8468,0,242820,41086,9006
2003:Q4,1461587,155130,434696,787231,84530,1461587,1374,24676,7263,40544,11271,821461,17502,12782,2179,204140,6441,6005,0,251598,44229,10122
2004:Q1,1506868,156323,467891,793966,88688,1506868,1341,24916,7571,42500,11666,845463,17782,13184,2239,205113,6536,4979,0,267980,43849,11749
2004:Q2,1545271,157516,478065,815831,93859,1545271,1308,25156,7878,41199,11392,870791,15063,13873,2315,206576,6508,6036,0,281892,42754,12530
2004:Q3,1592962,158709,500591,836437,97225,1592962,1275,25396,8185,41535,12398,896390,15606,14846,2430,209629,6558,5025,0,296535,44420,12734
2004:Q4,1649635,159902,511271,872009,106453,1649635,1241,25636,8493,42377,11544,922978,16866,15878,2511,214225,6446,4841,0,314612,48364,13623
2005:Q1,1686607,161862,521418,891778,111549,1686607,1229,25793,8853,42566,11616,948725,17811,13279,2560,215562,6394,4042,0,326540,47387,14250
2005:Q2,1750631,163822,571509,897496,117804,1750631,1216,25951,9214,42963,12339,979320,18466,13987,2627,218207,6387,3962,0,353841,46710,15441
2005:Q3,1808801,165782,615007,907040,120972,1808801,1203,26112,9575,44177,13580,1017115,21624,15727,2759,220162,6373,3257,0,365596,46153,15388
2005:Q4,1885255,167742,683334,913480,120699,1885255,1191,26272,9936,45218,13716,1049708,20848,18767,2837,224435,6320,3849,0,399372,45950,16836
2006:Q1,1952116,172135,702419,952816,124746,1952116,1178,25472,9832,45958,13128,1089123,21519,19954,2850,226291,11881,4115,0,416141,46087,18587
2006:Q2,2014185,176528,715602,993149,128906,2014185,1166,24662,9728,47501,13696,1122803,23165,20766,2958,231253,17438,4507,0,429230,46389,18923
2006:Q3,2086332,180921,739418,1036766,129227,2086332,1154,23844,9623,48398,14397,1160176,23306,20971,3013,234336,22997,5247,0,449396,47048,22426
2006:Q4,2169219,185314,777052,1079886,126967,2169219,1141,23026,9519,48947,15151,1188695,24925,21989,3554,235674,28598,4906,0,488164,47783,27147
2007:Q1,2213101,188559,777939,1123453,123150,2213101,1138,21235,10022,49929,16066,1192675,27669,22349,3668,237715,29194,5386,0,518210,45295,32550
2007:Q2,2289388,191804,794967,1175678,126939,2289388,1135,19424,10524,50568,15548,1224999,29990,22689,4174,242231,29725,5956,0,552246,46096,34083
2007:Q3,2375248,195049,828493,1219901,131805,2375248,1132,17592,11026,50760,16445,1249455,35219,23412,4429,246029,30210,6566,0,596913,49761,36299
2007:Q4,2434115,198294,842193,1259649,133979,2434115,1128,15762,11529,50999,16538,1286785,38993,19255,4908,249299,30829,9221,0,610488,51121,37260
2008:Q1,2477756,200475,848483,1290941,137857,2477756,1099,15187,11328,51557,16390,1322353,39853,19411,5008,254526,28552,8703,0,607346,58851,37592
2008:Q2,2517012,202656,844621,1332486,137249,2517012,1069,14448,11128,53822,16216,1354826,41047,19491,5166,260377,26430,5819,0,606890,62462,37821
2008:Q3,2528755,204837,807940,1377801,138176,2528755,1039,13700,10927,56646,15807,1383667,28788,19473,4828,265523,24084,5271,0,598867,61827,38308
2008:Q4,2551469,207018,769392,1436625,138434,2551469,1009,12953,10726,61413,15080,1404158,32808,19680,5135,267733,22412,4482,0,594596,61594,37690
2009:Q1,2547250,204570,755996,1443117,143567,2547250,977,12564,10645,62504,14469,1408475,33661,19635,5166,265471,21478,4323,0,584586,61154,42142
2009:Q2,2532360,202122,739845,1443072,147321,2532360,945,12170,10563,65414,15655,1406129,33421,19778,5197,263467,20699,4068,0,574940,60312,39602
2009:Q3,2508289,199674,706671,1454572,147372,2508289,912,11772,10482,69026,16229,1388009,34586,19886,4949,262212,19835,4076,0,569537,60193,36585
2009:Q4,2475531,197226,668055,1462322,147928,2475531,879,11374,10400,67781,16494,1367393,32883,19644,4600,257904,18925,3833,0,568922,59680,34819
2010:Q1,2453977,197497,651623,1458203,146654,2453977,885,11226,10682,65435,16910,1350506,32658,19305,4417,254970,19347,3939,0,564096,61310,38291
2010:Q2,2407548,197768,609047,1455026,145707,2407548,891,11075,10963,66010,16467,1325428,31078,15676,4408,252423,19585,4008,0,555097,59498,34941
2010:Q3,2368785,198039,583300,1438617,148829,2368785,896,10924,11244,64472,17208,1298359,30401,15629,4370,252964,20607,4107,0,545723,57916,33965
2010:Q4,2352458,198310,582748,1423062,148339,2352458,902,10774,11526,64069,17797,1273213,30753,15689,4272,252077,21386,3881,0,543549,68910,33660
2011:Q1,2327285,199741,538549,1434497,154498,2327285,914,10720,11134,64942,17594,1250701,29238,16056,4230,252828,20513,3776,0,541291,68923,34425
2011:Q2,2295620,201172,504364,1430154,159930,2295620,926,10667,10742,65969,17169,1233573,28738,15691,4496,256607,19583,3824,0,525807,64613,37215
2011:Q3,2267672,202603,483353,1421038,160678,2267672,938,10613,10350,66254,16900,1215805,29460,15427,4766,261451,18722,4580,0,518739,58542,35125
2011:Q4,2255928,204034,484676,1405532,161686,2255928,950,10560,9958,67230,17594,1210299,28465,15636,5101,264685,17385,4311,0,511297,57864,34593
2012:Q1,2236965,206213,444702,1422362,163688,2236965,996,10378,9795,67609,17340,1202671,28661,15348,5358,267476,17718,3789,0,500431,56817,32578
2012:Q2,2217119,208392,409355,1435410,163962,2217119,1042,10197,9632,67994,17131,1195129,28595,15085,5582,270010,18117,3584,0,490956,51763,32302
2012:Q3,2206325,210571,385164,1444002,166588,2206325,1089,10015,9469,68370,17622,1188203,28081,14669,5721,271821,18544,3507,0,485214,50098,33902
2012:Q4,2219008,212750,384502,1454080,167676,2219008,1135,9834,9307,67998,17187,1202660,27536,14550,5849,273305,18973,3541,0,486894,44105,36134
2013:Q1,2215519,214979,366941,1465338,168261,2215519,1051,9983,9374,69320,17791,1199448,26532,14058,6073,271639,18942,3187,0,491786,42034,34301
2013:Q2,2237508,217208,367044,1469420,183836,2237508,965,10133,9441,69943,17605,1209959,27349,14067,6800,273279,18918,3049,0,358736,42747,174517
2013:Q3,2253273,219437,391470,1468646,173720,2253273,878,10282,9509,71563,17634,1223413,28023,12344,7265,277721,18889,2540,0,356885,41665,174662
2013:Q4,2258762,221666,385928,1466601,184567,2258762,791,10432,9576,71853,18178,1240707,27770,13351,8206,280657,18830,2181,0,336636,40301,179293
2014:Q1,2269945,223336,366438,1492388,187783,2269945,873,10619,9550,72057,18307,1250391,29967,13452,8538,279687,19369,2502,0,313786,40592,200255
2014:Q2,2290760,225006,359032,1518002,188720,2290760,956,10807,9525,72728,17981,1266635,31024,13299,9078,280818,19625,3223,0,318712,38538,197811
2014:Q3,2312572,226676,352329,1542250,191317,2312572,1039,10994,9499,72959,17328,1277369,31831,13142,9659,282751,19861,2605,0,328807,39538,195190
2014:Q4,2344330,228346,359766,1555849,200369,2344330,1123,11181,9474,72055,17805,1301027,33271,12918,10275,286118,20517,2771,0,326196,41417,198182
2015:Q1,2369196,230950,366338,1568228,203680,2369196,1054,13447,9950,71948,18298,1318969,33063,11136,10772,289265,20105,2965,0,333499,41668,193057
2015:Q2,2407291,233554,389279,1578261,206197,2407291,983,15713,10427,71279,18120,1339046,35566,10620,11302,295479,19693,3121,0,351911,36171,187860
2015:Q3,2439737,236158,398765,1594507,210307,2439737,912,17979,10903,69834,17795,1371434,40946,10578,11890,301031,19281,3200,0,352776,33757,177421
2015:Q4,2479330,238762,446933,1588973,204662,2479330,841,20244,11380,69349,18504,1406921,46468,10591,12760,312986,18869,2726,0,353299,27607,166785
2016:Q1,2497140,242305,425650,1618888,210297,2497140,934,18054,11245,69663,18611,1431639,51412,10755,13490,315043,19036,2863,0,333724,26863,173808
2016:Q2,2522328,245848,420028,1650239,206213,2522328,1028,15863,11111,69794,18731,1465465,55795,10603,14263,319685,19202,3122,0,322972,24773,169921
2016:Q3,2565665,249391,441973,1674747,199554,2565665,1122,13673,10977,69601,19238,1492924,60445,10624,15318,323287,19369,6181,0,323370,22808,176728
2016:Q4,2592448,252934,436659,1699505,203351,2592448,1217,11483,10842,70714,19426,1522959,62102,10562,15454,330072,19535,4941,0,327814,22533,162794
2017:Q1,2605722,254555,402591,1741952,206624,2605722,1121,11713,11411,70587,19772,1549944,63547,10427,14757,336087,20738,3533,0,312650,22389,157046
2017:Q2,2644862,256176,394090,1786053,208544,2644862,1024,11943,11979,70814,19780,1572789,67143,10316,16252,343772,21941,2812,0,317991,22329,153977
2017:Q3,2664617,257797,370041,1828236,208544,2664617,925,12174,12548,72232,19941,1588761,67316,10511,17156,347150,23143,1413,0,316311,22105,152931
2017:Q4,2716315,259418,392300,1850951,213646,2716315,827,12404,13116,71409,20544,1608655,69876,10523,17823,351418,24345,2347,0,327597,21964,163467
2018:Q1,2741065,258591,401217,1870284,210974,2741065,1096,12596,13186,71867,20181,1622105,68865,10346,18699,358908,23733,2530,0,330096,21716,165141
2018:Q2,2791125,257764,438677,1886046,208638,2791125,1116,12788,13257,72675,20709,1646217,66881,10220,18959,367118,23120,3204,0,350770,21789,162302
2018:Q3,2797814,256937,446058,1892809,202010,2797814,1119,12980,13327,73218,21069,1649936,64297,10105,19682,375911,22509,4264,0,341940,21983,165474
2018:Q4,2832049,256110,472512,1901175,202252,2832049,1133,13172,13398,74194,20688,1666751,66280,10002,20494,383758,21896,4192,0,339762,21810,174519
2019:Q1,2862505,256827,482530,1925343,197805,2862505,1145,13384,13574,74838,20646,1682180,66149,9898,20834,389061,21841,3288,0,339547,25595,180525
2019:Q2,2884669,257544,489237,1940577,197311,2884669,1154,13597,13735,75280,20382,1702202,65964,9789,20937,390982,21786,3011,0,334409,25893,185548
2019:Q3,2931240,258261,505025,1969539,198415,2931240,1173,13809,13955,74120,20407,1723628,68270,9475,20854,396763,21731,3099,0,348288,26190,189478
2019:Q4,2964651,258978,511626,1992496,201551,2964651,1187,14021,14147,74107,20520,1749344,67298,9415,22855,401368,21676,2678,0,357162,26102,182771
2020:Q1,3005470,259331,516785,2027668,201686,3005470,1202,14243,14594,75312,20247,1772877,68370,9481,23603,405897,20118,2820,0,362950,25996,187760
2020:Q2,3029714,259684,525266,2044734,200030,3029714,1212,14468,15162,76306,20863,1793952,67357,9591,23672,408513,19117,2483,0,359808,27050,190160
2020:Q3,3052574,260037,531955,2057693,202889,3052574,1221,14696,15345,74648,20943,1808948,66618,9355,23490,409424,17996,2562,0,363591,26976,196761
2020:Q4,3080710,260390,545055,2072545,202720,3080710,1232,14929,15310,75363,20942,1822116,65542,9436,24269,417101,17035,2361,0,371659,27420,195995
2021:Q1,3100134,260668,557106,2085379,196981,3100134,1240,15164,15727,75952,21477,1830627,65133,9304,24330,416638,16736,2527,0,379493,27096,198690
2021:Q2,3141538,260946,583222,2101710,195660,3141538,1257,15404,15777,75952,21577,1851116,65755,9185,25548,422813,15914,2504,0,385143,26496,207097
2021:Q3,3194812,261224,618091,2128874,186624,3194812,1278,15647,16130,76838,22104,1878513,67901,9486,26472,431960,15175,2579,0,390468,25832,214430
2021:Q4,3264972,261502,668034,2152310,183126,3264972,1305,15894,16340,78167,22451,1903134,73837,9439,28046,438694,14684,2582,0,412115,25829,222456
