1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q1,1369785,4366,14658,3773,13785,390515,13785,177144,62935,364,136287,16562,327145,31498,567483,0,563573,3910,1382510,1359691,796118,563573,1346966,22819
1991:Q2,1403898,4640,12230,3851,16515,394449,16515,178753,64651,487,134043,16322,328790,31999,595102,0,590339,4763,1417710,1394937,804598,590339,1381125,22773
1991:Q3,1440775,3038,9902,4112,20870,391528,20870,163948,64551,549,141610,16675,357453,35293,601904,0,596872,5032,1455554,1431390,834518,596872,1416611,24164
1991:Q4,1478921,3807,8828,4134,18868,387730,18868,165494,58038,619,144711,16886,394962,37925,605781,0,601160,4621,1494828,1468821,867661,601160,1452914,26007
1992:Q1,1543657,3960,8406,4129,19299,397418,19299,171904,55408,554,150253,16173,388418,38483,667371,0,662633,4738,1560389,1534988,872355,662633,1518256,25401
1992:Q2,1609870,4435,8358,4151,20685,402636,20685,177959,49236,534,154222,17066,391220,40228,721091,0,716350,4741,1627662,1601935,885585,716350,1584143,25727
1992:Q3,1676791,6409,7910,4290,23573,419036,23573,197677,48036,378,149372,16306,400848,40812,757607,0,753570,4037,1696170,1669773,916203,753570,1650394,26397
1992:Q4,1745181,6515,6942,4375,24680,425302,24680,203534,39761,445,156882,16453,431666,44716,784532,0,779988,4544,1765992,1737922,957934,779988,1717111,28070
1993:Q1,1775646,5836,7591,4772,25219,424066,25219,204950,32740,460,160697,15645,463983,47549,780985,0,776348,4637,1797606,1768188,991840,776348,1746228,29418
1993:Q2,1805280,6129,8601,5115,26344,435798,26344,211378,32078,617,165381,14506,465277,49760,793750,0,789025,4725,1828915,1798964,1009939,789025,1775329,29951
1993:Q3,1836242,5460,8554,5182,19887,452871,19887,221833,34149,1222,175780,15055,487775,51941,789517,0,785215,4302,1860231,1830352,1045137,785215,1806363,29879
1993:Q4,1868766,6619,6230,5487,20449,454083,20449,217450,35796,1371,179017,14529,506221,55413,799735,0,795626,4109,1893271,1862126,1066500,795626,1837621,31145
1994:Q1,1901572,5476,5869,5909,20399,459417,20399,224335,40588,716,173379,14637,492220,55506,842139,0,838317,3822,1926138,1895703,1057386,838317,1871137,30435
1994:Q2,1935776,5794,5520,6205,22909,458923,22909,220641,45014,845,169514,14941,494757,56817,869910,0,865836,4074,1960798,1930117,1064281,865836,1905095,30681
1994:Q3,1972138,7137,2636,6262,25093,459577,25093,217370,38390,1104,177620,15024,520213,61295,874901,0,870270,4631,1997574,1965353,1095083,870270,1939917,32221
1994:Q4,2006977,6737,2483,6450,27825,463505,27825,215554,39872,1112,179142,15199,521682,75216,887880,0,883293,4587,2032926,2000999,1117706,883293,1975050,31927
1995:Q1,2048815,5139,2536,6651,29519,483917,29519,224973,44665,1053,183707,15397,558839,82817,864000,0,859773,4227,2075517,2041361,1181588,859773,2014659,34156
1995:Q2,2092541,4687,2594,7097,31257,485294,31257,217221,48067,1131,187618,15558,612334,91084,842636,0,838055,4581,2119495,2082518,1244463,838055,2055564,36977
1995:Q3,2137412,5145,4209,7280,29383,487519,29383,211282,56192,1374,189288,15746,667210,98429,822491,0,817657,4834,2164486,2124539,1306882,817657,2097465,39947
1995:Q4,2181670,4207,4464,7562,31477,493864,31477,208194,63118,1830,189245,15938,703520,103189,817449,0,812648,4801,2209050,2167095,1354447,812648,2139715,41955
1996:Q1,2217691,4772,4969,8027,26428,509040,26428,213528,69231,2271,197582,16126,736723,107296,804310,0,799154,5156,2245984,2201744,1402590,799154,2173451,44240
1996:Q2,2253834,5883,3871,8281,28179,523235,28179,221067,70214,1297,202478,16324,762670,110790,794601,0,789163,5438,2282952,2236922,1447759,789163,2207804,46030
1996:Q3,2291460,7186,2274,8788,27573,511657,27573,213439,65037,496,205112,16526,802307,113587,801562,0,796294,5268,2320425,2272998,1476704,796294,2244033,47427
1996:Q4,2428966,7466,2293,10569,28222,521621,28222,212791,68622,561,211425,16734,846588,160476,834997,58637,770841,5519,2458418,2309510,1538669,770841,2280058,148908
1997:Q1,2470257,5353,5021,11690,27395,541152,27395,211138,78763,2051,221805,16946,848717,165279,848704,61355,782413,4936,2500781,2343866,1561453,782413,2313342,156915
1997:Q2,2523362,8820,2302,12353,32233,557669,32233,214907,78798,2059,229672,17160,952228,188591,752006,67604,679229,5173,2554241,2379058,1699829,679229,2348179,175183
1997:Q3,2572565,6505,2823,13769,32148,573056,32149,223531,81608,2467,233301,17382,1032573,204790,689519,72307,611881,5331,2603671,2415139,1803258,611881,2384033,188532
1997:Q4,2617129,5314,2420,13911,28616,580667,28616,218997,87006,1503,244545,17607,1051316,210036,707242,75197,626467,5578,2647873,2451735,1825268,626467,2420991,196138
1998:Q1,2680536,6666,1653,14333,36927,595950,36927,212146,90116,2080,254681,18673,1153078,236461,616795,81775,529255,5765,2712864,2496904,1967649,529255,2464576,215960
1998:Q2,2736521,7610,1621,14792,35839,613538,35839,213210,98041,2227,264221,20681,1162493,242195,637752,85163,546673,5916,2768761,2543102,1996429,546673,2510862,225659
1998:Q3,2778981,7749,1717,15564,38309,627731,38309,207823,104820,2151,274628,21499,1015882,227192,823338,84110,733425,5803,2811644,2590376,1856951,733425,2557713,221268
1998:Q4,2853534,9973,1983,16141,37532,639064,37532,212576,106104,3252,279600,22410,1188056,264997,673378,92968,574598,5812,2886582,2638288,2063690,574598,2605240,248294
1999:Q1,2914414,7600,2169,17191,41037,657123,41037,211463,113106,4536,286981,22793,1216866,281182,668453,95171,567024,6258,2948337,2687451,2120427,567024,2653528,260886
1999:Q2,2982125,9450,1651,17904,40909,660889,40909,213790,114932,3241,288017,23968,1312387,301278,613689,99072,508093,6524,3016599,2737673,2229580,508093,2703199,278926
1999:Q3,3035249,9370,2120,19118,39259,670704,39259,204790,112839,3122,310694,23855,1231949,298684,740190,98902,634718,6570,3073048,2788925,2154207,634718,2751126,284123
1999:Q4,3112059,9225,1692,19589,40375,681303,40375,198824,129022,3044,310038,25687,1407716,339403,587069,105997,473958,7114,3153042,2840695,2366737,473958,2799712,312347
2000:Q1,3164916,11100,2400,19134,45400,695000,45400,196900,124500,2900,325300,24300,1449700,351703,566179,107189,452013,6977,3209394,2893768,2441755,452013,2849290,315626
2000:Q2,3209092,12778,2869,19175,45179,698673,47652,194886,143291,2836,310008,24741,1408895,352367,644415,105212,531971,7232,3256281,2947414,2415443,531971,2900225,308867
2000:Q3,3257863,12556,4738,19734,41857,704547,46805,185471,159082,2272,310917,21781,1429789,364744,658117,104038,546610,7469,3306891,3002250,2455640,546610,2953222,304641
2000:Q4,3301041,9935,1606,19833,39836,721119,47257,179057,178873,1707,314225,22122,1298683,362504,825403,99740,717447,8216,3348397,3057881,2340434,717447,3010525,290516
2001:Q1,3343801,8313,1475,21064,36015,697891,45909,177342,176064,1943,296633,21862,1185877,341863,1029441,93921,926170,9350,3388664,3116065,2189895,926170,3071202,272599
2001:Q2,3408423,13291,1944,21812,38694,708765,51061,183128,194655,1779,278142,20503,1265772,355177,982465,94955,878116,9394,3452035,3175627,2297511,878116,3132015,276408
2001:Q3,3451198,13369,1813,22842,36372,679138,51214,166813,178346,715,282050,20944,1125466,323753,1227501,89045,1128245,10211,3494784,3236568,2108323,1128245,3192982,258216
2001:Q4,3520835,11448,1781,23483,33951,668411,51266,155099,180737,1651,279658,20984,1260360,351160,1149257,91453,1047804,10000,3564680,3298294,2250490,1047804,3254449,266386
2002:Q1,3568343,12126,2550,23545,32430,675783,52218,163285,181928,686,277666,20925,1294055,358031,1148898,91025,1048980,8893,3613393,3350090,2301110,1048980,3305040,263303
2002:Q2,3608077,10195,2677,72281,3821,646827,30565,153232,181204,822,281004,20785,1139181,313350,1398960,86768,1245858,66334,3651129,3403063,2157205,1245858,3360011,248066
2002:Q3,3644782,10996,2202,69663,3675,619906,29399,151652,185490,829,252536,21458,1076542,299895,1540445,81510,1394688,64247,3686776,3457140,2062452,1394688,3415146,229636
2002:Q4,3700375,13425,2156,77416,4139,591833,33115,144525,183215,837,230141,21863,1076523,315138,1597882,82773,1444877,70232,3743542,3511666,2066789,1444877,3468499,231876
2003:Q1,3753175,15324,1970,81755,4405,587654,35240,148527,194101,844,208942,20230,1119439,331875,1590523,85432,1434278,70813,3798095,3559561,2125283,1434278,3514641,238534
2003:Q2,3821824,13531,815,62294,3287,606873,26297,161290,215348,851,203087,22796,1142658,363333,1606237,92832,1436385,77020,3868591,3608389,2172004,1436385,3561622,260202
2003:Q3,3885740,13335,1003,51251,2653,607667,21226,145602,227955,2701,210183,24904,1185568,385066,1614293,97497,1438134,78662,3931337,3658156,2220022,1438134,3612559,273181
2003:Q4,3956536,17579,1458,58391,3098,649747,24782,141252,255699,4552,223462,17662,1254192,420826,1533583,104752,1344536,84295,4002649,3708280,2363744,1344536,3662167,294369
2004:Q1,4069352,22554,1958,68604,3720,698312,29759,143710,292533,6403,225907,14643,1232634,432989,1593938,107953,1402058,83927,4113516,3809911,2407853,1402058,3765747,303605
2004:Q2,4178951,19657,1984,46503,2430,712039,19437,134943,314380,8253,235026,17755,1295749,463367,1619467,110504,1416533,92430,4222667,3911886,2495353,1416533,3868170,310781
2004:Q3,4289485,20715,1945,50842,2719,685053,22063,143825,293540,6592,219033,14779,1257819,441684,1813929,112151,1616236,85542,4329887,4014805,2398569,1616236,3974403,315082
2004:Q4,4405417,17527,1477,46198,2484,749930,20437,153823,275299,4930,295441,14238,1471030,473936,1628597,117995,1416936,93666,4450747,4118059,2701123,1416936,4072729,332688
2005:Q1,4468809,16917,1270,47307,2568,746021,21421,166952,264351,3268,290029,11888,1473782,466946,1702110,119051,1489714,93345,4512332,4176612,2686898,1489714,4133089,335720
2005:Q2,4537232,17480,1181,50785,2797,706993,23658,171517,233454,1607,276757,11653,1491598,474499,1780246,121476,1561004,97766,4579232,4236143,2675139,1561004,4194143,343089
2005:Q3,4603348,15516,1299,46358,2541,706434,21794,157240,233987,1676,291737,9579,1505127,478522,1837972,125133,1615582,97257,4651070,4296711,2681129,1615582,4248989,354359
2005:Q4,4666610,17902,1710,53180,2983,740044,25929,162596,261243,1746,288530,11322,1530000,486128,1823341,127923,1596432,98986,4720630,4357751,2761319,1596432,4303731,362879
2006:Q1,4765224,17113,1907,51817,2915,729410,25690,151826,266551,1816,283527,12105,1696388,519381,1734188,132376,1463278,138534,4827372,4421250,2957972,1463278,4359102,406122
2006:Q2,4830315,16516,2117,51261,2879,747230,25713,148982,282646,1885,288004,13254,1650253,506248,1840557,133733,1573452,133372,4897099,4485948,2912496,1573452,4419164,411151
2006:Q3,4900477,16261,2127,54229,3073,765614,27819,153858,275797,1785,306355,15435,1674690,519792,1849256,137732,1576348,135176,4976477,4551917,2975569,1576348,4475917,424560
2006:Q4,4974732,16276,2171,57794,3314,776414,30412,157228,266089,1685,321000,14428,1734141,544069,1826125,143064,1543042,140019,5060757,4618563,3075521,1543042,4532538,442194
2007:Q1,5041163,15020,2052,57853,3334,755093,31004,146314,229283,1585,346907,15841,1751049,548613,1892308,145264,1608445,138599,5135613,4685463,3077018,1608445,4591013,450150
2007:Q2,5122143,16243,2251,64620,3789,822281,35696,162417,243732,1484,378952,17517,1873530,577917,1743995,152685,1448324,142986,5229352,4753723,3305399,1448324,4646514,475629
2007:Q3,5198929,13612,1786,55538,3131,815111,29894,160898,238025,1427,384867,19311,1880791,578425,1831224,154872,1527043,149309,5307922,4823361,3296318,1527043,4714368,484561
2007:Q4,5262960,13727,1701,55038,3114,842539,30126,148802,216443,1370,445798,27118,1839262,548726,1931735,154850,1629817,147068,5374147,4893701,3263884,1629817,4782514,480446
2008:Q1,5297752,15730,1877,61271,3539,835055,34685,146695,209852,1313,442510,25599,1737432,498061,2119188,145434,1830740,143014,5406436,4959805,3129065,1830740,4851121,446631
2008:Q2,5366154,15709,1774,60012,3491,833388,34659,142011,199394,1256,456068,17114,1769649,478781,2186236,147838,1896219,142179,5476815,5026608,3130389,1896219,4915947,450207
2008:Q3,5398219,15462,1438,52993,3027,770520,30445,140704,182566,1184,415621,15501,1602673,430979,2505626,136053,2235736,133837,5502722,5094841,2859105,2235736,4990338,407881
2008:Q4,5413358,19307,1563,59978,3474,732359,35391,143751,171851,1112,380254,13181,1299132,353142,2931222,117655,2695341,118226,5507445,5163787,2468446,2695341,5069700,343658
2009:Q1,5445238,21909,1549,62110,3645,689698,37607,144548,157976,1040,348527,12716,1219961,320520,3113130,113690,2890016,109424,5537207,5212131,2322115,2890016,5120162,325076
2009:Q2,5530285,21968,1247,55511,3248,711949,33944,148094,147962,967,380982,11964,1299017,342507,3082874,127256,2845940,109678,5629578,5261609,2415669,2845940,5162316,367969
2009:Q3,5617970,24171,1241,56560,3397,734152,35953,147530,146439,1137,403093,11988,1502218,379718,2904525,139939,2654202,110384,5722057,5311964,2657762,2654202,5207877,410093
2009:Q4,5683990,23633,1079,52180,3140,735603,33658,148707,146655,1307,405276,11273,1574956,399888,2882238,144806,2617191,120241,5788658,5362184,2744993,2617191,5257516,426474
2010:Q1,5811577,24218,980,50234,3049,753104,33098,155670,152653,1476,410207,11584,1616577,413620,2938211,149626,2665606,122979,5914639,5471919,2806313,2665606,5368857,442720
2010:Q2,5898476,25344,913,49465,3039,754333,33399,155945,151968,1646,411375,11787,1491813,385525,3176257,140921,2910627,124709,5993006,5581861,2671234,2910627,5487331,411145
2010:Q3,6036519,22747,750,48250,2997,764342,33360,151059,144394,1783,433746,12079,1619569,410212,3155573,151446,2877073,127054,6137317,5691886,2814813,2877073,5591088,445431
2010:Q4,6168816,23828,720,52748,3398,765146,38293,153738,144191,1921,427003,11416,1722987,438415,3150158,159877,2854805,135476,6275313,5801220,2946415,2854805,5694723,474093
2011:Q1,6236945,26194,736,58136,3954,773772,45118,157095,144649,2058,424852,11106,1772348,454964,3135735,203895,2813841,117999,6347720,5846507,3032666,2813841,5735732,501213
2011:Q2,6274778,26456,677,61192,4258,786985,49193,166981,151470,2196,417145,11247,1766572,450939,3166452,203414,2841471,121567,6387263,5891872,3050401,2841471,5779387,495391
2011:Q3,6277701,25234,839,55476,3795,728387,43838,152056,123686,1864,406943,13470,1625858,336738,3487904,193737,3170686,123481,6382834,5937391,2766705,3170686,5832258,445443
2011:Q4,6332596,23884,998,49147,3311,720796,38244,142217,100515,1532,438288,12678,1735762,332235,3453785,197844,3131852,124089,6443466,5982460,2850608,3131852,5871590,461006
2012:Q1,6396839,25982,1245,49732,3381,791166,39063,181555,121954,1200,447394,11143,1938328,319525,3256337,202116,2937955,116266,6516385,6029635,3091680,2937955,5910089,486750
2012:Q2,6426330,27367,1473,49070,3337,806507,38553,191115,116380,868,459591,10542,1881620,291109,3355305,197182,3036748,121375,6546276,6076332,3039584,3036748,5956386,469944
2012:Q3,6481050,28894,1990,50831,3486,802965,40268,182197,106818,1224,472458,10314,1935270,316155,3331145,199124,3007900,124121,6603988,6123091,3115191,3007900,6000153,480897
2012:Q4,6522475,29821,2475,51692,3561,813060,41137,185479,104685,1579,480180,10414,1962660,327837,3320955,198663,3000985,121307,6647211,6169118,3168133,3000985,6044382,478093
2013:Q1,6762617,30581,2951,52199,3616,821346,41770,196704,107388,1935,473549,9375,2053219,354945,3434385,201152,3110934,122299,6891614,6398741,3287807,3110934,6269744,492873
2013:Q2,6987319,28960,3299,49192,3380,811198,39049,192468,100677,2290,476714,8967,2055993,366351,3659979,198942,3338983,122054,7116157,6628316,3289333,3338983,6499478,487841
2013:Q3,7221098,30006,3422,51905,3520,816189,40658,187458,100379,2300,485394,7470,2146169,388480,3773937,199303,3452394,122240,7357896,6857958,3405564,3452394,6721160,499938
2013:Q4,7457128,33778,3855,57536,3977,836350,45942,181275,99466,2310,507357,6416,2246766,410179,3858271,203756,3533384,121131,7602896,7087203,3553819,3533384,6941435,515693
2014:Q1,7533839,32899,3760,56132,3892,854203,44956,184304,103373,2319,519251,7359,2226300,419018,3930276,200082,3607514,122680,7684099,7177608,3570094,3607514,7027348,506491
2014:Q2,7611836,31555,3610,54041,3752,902361,43342,198331,113032,2329,545327,9479,2293029,429768,3884241,198731,3561988,123522,7770756,7268588,3706600,3561988,7109668,502168
2014:Q3,7689978,32217,3176,51963,3612,907431,41721,198738,113110,2329,551533,7662,2268488,422050,3993379,197903,3676103,119373,7845638,7360300,3684197,3676103,7204640,485338
2014:Q4,7774532,36022,3101,54593,3845,910478,44418,199249,113248,2330,551233,8152,2283589,433239,4041513,196600,3722699,122214,7930263,7452241,3729542,3722699,7296510,478022
2015:Q1,7846642,36450,2640,52262,3677,900857,42476,176744,100268,2330,579039,8720,2339626,445468,4056942,196920,3736113,123909,8002767,7526651,3790538,3736113,7370526,476116
2015:Q2,7914767,41152,2667,56439,4017,900791,46405,185671,105202,2330,561183,9180,2338699,444398,4117424,196951,3799887,120586,8069025,7601962,3802075,3799887,7447704,467063
2015:Q3,7971598,38799,2450,52846,3821,879613,44138,170999,98102,2395,563979,9413,2199783,416976,4367897,194196,4054152,119549,8114502,7678111,3623959,4054152,7535207,436391
2015:Q4,8054300,38737,2381,54010,3848,880744,44454,174546,101326,2460,557958,8017,2249974,423827,4392762,195718,4075347,121697,8195149,7754366,3679019,4075347,7613517,440783
2016:Q1,8123894,36961,2201,51090,3708,901110,42838,170358,100166,2525,585223,8421,2253409,413539,4453455,198420,4136071,118964,8260746,7826010,3689939,4136071,7689158,434736
2016:Q2,8192704,40473,2364,55649,4085,908845,47184,184977,109663,2589,564432,9181,2242570,434434,4495103,198334,4164201,132568,8328062,7897614,3733413,4164201,7762256,430448
2016:Q3,8275691,38352,2490,57574,4254,910204,49138,203821,106204,2614,548427,18179,2301148,439921,4503569,198418,4161186,143965,8399873,7969769,3808583,4161186,7845587,430104
2016:Q4,8357597,40613,2871,65117,4865,892949,56200,218760,100431,2638,514920,14533,2321541,417094,4598014,221949,4221631,154434,8468324,8041801,3820170,4221631,7931074,426523
2017:Q1,8446422,34988,2792,62566,4680,907304,54068,239543,98121,2662,512910,10390,2414005,440175,4569522,221397,4177281,170844,8547671,8111204,3933923,4177281,8009955,436467
2017:Q2,8533029,30407,2774,61375,4601,922509,53154,262833,97299,2687,506536,8268,2491333,453044,4558718,223622,4150223,184873,8624070,8181063,4030840,4150223,8090022,443007
2017:Q3,8614171,31050,2713,63187,4749,934592,54860,266534,99841,3029,510328,4154,2594443,466155,4513128,229939,4090343,192846,8701758,8251351,4161008,4090343,8163764,450407
2017:Q4,8703822,30212,2517,62123,4673,955036,53977,289412,109483,3372,498792,6901,2706807,481397,4454156,240256,4015608,198292,8788739,8321431,4305823,4015608,8236514,467308
2018:Q1,8762861,30629,2435,63482,4786,976072,55288,300086,114607,3714,502377,7440,2668510,487213,4522294,236684,4078851,206759,8841667,8385827,4306976,4078851,8307021,455840
2018:Q2,8831634,30321,2286,63412,4790,947259,55331,307321,118458,4057,462092,9425,2707756,499678,4566707,238471,4111866,216370,8905522,8450768,4338902,4111866,8376880,454754
2018:Q3,8905018,29959,2259,62584,4733,943358,54671,301734,116304,3387,467262,12541,2779599,492583,4577402,247518,4118707,211177,8979453,8516374,4397667,4118707,8441939,463079
2018:Q4,8930090,28559,2153,59742,4512,975592,52116,367854,141791,4029,409802,12329,2478604,446919,4921680,232688,4488927,200065,8999375,8582145,4093218,4488927,8512860,417230
2019:Q1,8973973,19405,11,24177,3720,1056909,19597,357618,144296,0,535398,9672,2408245,322947,5128887,245498,4334735,548654,9101227,8651964,4317229,4334735,8524710,449263
2019:Q2,9061873,24244,1797,18844,3318,1028594,16809,381967,146099,0,483719,8857,2348544,292087,5335588,249583,4310178,775827,9180746,8722714,4412536,4310178,8603841,458032
2019:Q3,9123389,29927,1878,19370,11672,1004803,11803,343486,179320,0,470194,9115,2455137,376402,5215085,249298,4297490,668297,9252356,8794418,4496928,4297490,8665451,457938
2019:Q4,9201743,22084,4200,23646,6721,954884,12375,329266,166888,0,446355,7877,2523465,383048,5275818,254010,4205490,816318,9343412,8866419,4660929,4205490,8724750,476993
2020:Q1,9256509,21592,3972,31311,6531,968797,16317,325278,174994,0,452208,8295,2145001,312903,5758107,246938,4783359,727810,9369086,8938984,4155625,4783359,8826407,430102
2020:Q2,9336533,20006,2507,29754,4120,996956,10309,284653,184348,0,517646,7303,2341432,354134,5580321,253888,4499440,826993,9479271,9011678,4512238,4499440,8868940,467593
2020:Q3,9427406,21168,2186,30677,2861,1021238,10243,309889,193139,0,507967,7536,2526566,372459,5442715,259708,4390500,792507,9569508,9085007,4694507,4390500,8942905,484501
2020:Q4,9539222,28041,2195,23949,7819,1074578,8615,346770,189844,0,529349,6943,2843545,437948,5114204,266576,4020321,827307,9674456,9158149,5137828,4020321,9022915,516307
2021:Q1,9603133,24842,2202,25945,18358,1082335,15332,344494,190713,0,531796,7435,2957463,428898,5055655,268116,3936497,851042,9755971,9231291,5294794,3936497,9078453,524680
2021:Q2,9682721,25954,2364,24338,24504,1171231,18398,393166,191625,0,568042,7366,3133297,444319,4849348,273287,3693183,882878,9847515,9304432,5611249,3693183,9139638,543083
2021:Q3,9746011,34173,2110,31698,16465,1173588,17359,418488,202138,0,535603,7584,3077873,450718,4951802,271260,3737383,943159,9916550,9377574,5640191,3737383,9207035,538976
2021:Q4,9826002,37417,2091,32077,19858,1214219,19134,450215,203629,0,541241,7596,3207092,469220,4836432,275591,3601836,959005,10004157,9450715,5848879,3601836,9272560,553442
