1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,79,-37,116,0,79,55,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1126,847,275,4,1126,-53,0,0,197,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-20,89,-112,3,-20,-66,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-216,-622,381,25,-216,92,0,0,-100,0,-208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,261,142,117,2,261,74,0,-19,-2,0,207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1953:Q4,1802,1828,-28,2,1802,-55,0,-1,23,0,1816,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0
1954:Q1,431,658,-228,1,431,-14,0,18,31,0,395,0,0,0,0,0,-2,0,3,0,0,0,0,0,0,0,0
1954:Q2,-812,-909,96,1,-812,0,0,-10,21,0,-826,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1954:Q3,-1332,-1465,125,8,-1332,12,0,-2,32,0,-1370,0,0,0,0,0,-7,0,3,0,0,0,0,0,0,0,0
1954:Q4,1781,1801,-28,8,1781,-5,0,-5,59,0,1730,0,0,0,0,0,-2,0,4,0,0,0,0,0,0,0,0
1955:Q1,246,257,-19,8,246,-108,150,6,73,0,118,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
1955:Q2,-720,-1045,316,9,-720,78,50,1,32,0,-888,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
1955:Q3,-391,-642,241,10,-391,115,50,-4,-17,0,-542,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
1955:Q4,1117,703,403,11,1117,373,50,16,-71,0,738,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0
1956:Q1,123,6,106,11,123,116,25,-5,-61,0,30,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0
1956:Q2,-250,-466,205,11,-250,237,25,-1,13,0,-527,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
1956:Q3,14,-234,243,5,14,157,25,-8,57,0,-226,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0
1956:Q4,334,439,-111,6,334,-156,25,3,73,0,382,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0
1957:Q1,427,22,397,8,427,-26,100,11,57,0,260,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0
1957:Q2,158,-452,601,9,158,221,100,-2,14,0,-190,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0
1957:Q3,-29,-222,189,4,-29,-54,100,1,-41,0,-52,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0
1957:Q4,1191,975,213,3,1191,363,100,-6,-49,0,744,0,0,0,0,0,31,0,8,0,0,0,0,0,0,0,0
1958:Q1,478,596,-120,2,478,-255,-100,42,-44,0,801,0,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0
1958:Q2,-1154,-1053,-103,2,-1154,-384,-200,-29,-25,0,-490,0,0,0,0,0,-31,0,5,0,0,0,0,0,0,0,0
1958:Q3,290,69,215,6,290,-26,50,-19,-29,0,304,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0
1958:Q4,399,307,85,7,399,35,50,-4,-44,0,307,0,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0
1959:Q1,-163,-284,116,5,-163,84,100,-1,-35,0,-350,0,0,0,0,11,21,0,7,0,0,0,0,0,0,0,0
1959:Q2,587,-288,869,6,587,606,200,4,11,0,-290,0,0,0,0,13,35,0,8,0,0,0,0,0,0,0,0
