1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q1,-5724,-6000,-4,-900,16,-196,-720,1180,-9136,3352,-11588,-5568,-6020,-924,-5096,-900
2010:Q2,-4364,-2952,-1892,4,12,160,-168,476,-14252,224,-11216,-7340,-3876,-88,-3788,-3260
2010:Q3,4824,-7536,748,0,8,-68,60,11612,31776,8792,16944,2068,14876,2388,12488,6040
2010:Q4,1984,64,2096,2336,8,188,2140,-2512,-9956,-8172,2108,3780,-1672,288,-1960,-3892
2011:Q1,44048,12756,-264,-960,8,-320,-648,32516,54520,29544,19572,-2612,22184,-2452,24636,5404
2011:Q2,3064,-18676,-1584,16244,44,20,16180,7080,38880,9096,22636,352,22284,556,21728,7148
2011:Q3,-6044,-2036,-1660,-3348,124,-12,-3460,1000,30284,104,25308,21372,3936,944,2992,4872
2011:Q4,-8724,-1364,900,-436,36,172,-644,-7824,25740,14136,10628,5216,5412,1380,4032,976
2012:Q1,14084,9520,432,-2036,-8,-180,-1848,6168,28500,35080,-9640,-14292,4652,-3356,8008,3060
2012:Q2,1156,-3616,4,-576,4,164,-744,5344,16160,9356,4736,5700,-964,-2060,1096,2068
2012:Q3,20060,4944,-204,2284,24,164,2096,13036,39508,22760,5900,-4564,10464,-40,10504,10848
2012:Q4,21032,5620,-1768,6920,108,136,6676,10260,69756,43348,24068,18852,5216,864,4352,2340
2013:Q1,-5328,-2828,-3780,-7144,-80,-180,-6884,8424,-3172,3720,168,-20440,20608,18268,2340,-7060
2013:Q2,58784,14260,7656,15540,140,956,14444,21328,113428,34600,72128,12324,59804,-2496,62300,6700
2013:Q3,11012,16148,-424,-4144,4,-216,-3932,-568,9888,32700,-23236,18852,-42088,-1624,-40464,424
2013:Q4,16928,-18476,-1796,5388,4,-608,5992,31812,104768,64924,29772,-11360,41132,-2256,43388,10072
2014:Q1,32828,-3352,-776,4032,-4,-116,4152,32924,55292,33908,20044,8664,11380,-1484,12864,1340
2014:Q2,43524,15948,-48,708,-16,-36,760,26916,73560,65928,-5772,-12320,6548,2800,3748,13404
2014:Q3,-17832,-744,-364,-1876,4,-132,-1748,-14848,20156,12356,4144,14004,-9860,-248,-9612,3656
2014:Q4,4380,12,2716,7560,20,12,7528,-5908,49504,2960,43556,14540,29016,4408,24608,2988
