1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17154,0,1326,1700,1666,0,0,4894,293,4278,0,0,323,0,ND,3450,0,460,0,0,3658,0,17807,1426,91,0,3399,0,3399,ND,10814,462,10352,490,0,0,505,1082,635,447,0,0,0,1390,12474,0,0
1952:Q1,17308,0,1529,1695,1660,0,0,4797,281,4186,0,0,330,0,ND,3454,0,457,0,0,3716,0,18052,1466,84,0,3438,0,3438,ND,11007,513,10494,462,0,0,519,1076,635,441,0,0,0,363,12838,0,0
1952:Q2,17895,0,1681,1818,1697,0,0,4907,268,4303,0,0,336,0,ND,3539,0,459,0,0,3794,0,18286,1446,102,0,3487,0,3487,ND,11169,559,10610,469,0,0,543,1070,635,435,0,0,0,789,13410,0,0
1952:Q3,18511,0,1474,2302,1656,0,0,5305,288,4668,0,0,349,0,ND,3434,0,491,0,0,3849,0,18350,1456,98,0,3404,0,3404,ND,11318,554,10764,462,0,0,555,1057,635,422,0,0,0,1128,13709,0,0
1952:Q4,18555,0,1513,1950,1807,0,0,5136,309,4468,0,0,359,0,ND,3705,0,499,0,0,3945,0,18461,1462,75,0,3426,0,3426,ND,11339,576,10763,518,0,0,573,1068,635,433,0,0,0,1459,14148,0,0
1953:Q1,18476,0,1481,1781,1852,0,0,5257,306,4609,0,0,342,0,ND,3569,0,496,0,0,4040,0,18652,1460,102,0,3477,0,3477,ND,11453,528,10925,493,0,0,588,1079,635,444,0,0,0,1492,14520,0,0
1953:Q2,18787,0,1571,1734,1969,0,0,5488,305,4823,0,0,360,0,ND,3476,0,470,0,0,4079,0,18839,1418,74,0,3352,0,3352,ND,11804,480,11324,529,0,0,605,1057,635,422,0,0,0,1399,14940,0,0
1953:Q3,19204,0,1614,1679,2050,0,0,5787,356,5056,0,0,375,0,ND,3430,0,471,0,0,4173,0,19311,1439,85,0,3307,0,3307,ND,12290,423,11867,518,0,0,619,1053,635,418,0,0,0,1290,15307,0,0
1953:Q4,19493,0,1433,1498,2408,0,0,5810,401,5035,0,0,374,0,ND,3650,0,443,0,0,4251,0,19554,1367,114,0,3314,0,3314,ND,12573,461,12112,499,0,0,632,1055,635,420,0,0,0,1329,15621,0,0
1954:Q1,20379,0,1361,1508,2683,0,0,6055,382,5306,0,0,367,0,ND,3996,0,442,0,0,4334,0,19637,1323,115,0,3485,0,3485,ND,12543,464,12079,497,0,0,644,1030,635,395,0,0,0,1439,15920,0,0
