1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q4,111986,867,8425,12439,7125,0,0,34960,4307,19732,3012,0,7909,0,ND,27209,0,7737,0,0,13224,0,69511,3415,798,0,14072,0,14072,ND,35921,3793,32128,5860,0,0,3669,5776,1929,3847,0,0,0,6573,90680,0,0
1971:Q1,118754,1584,5571,12260,7190,0,0,40441,4202,24709,3140,0,8390,0,ND,30545,0,7714,0,0,13449,0,71006,3379,1082,0,14354,0,14354,ND,36843,3922,32921,5999,0,0,3618,5731,1964,3767,0,0,0,7287,89410,0,0
1971:Q2,123807,1584,4314,12153,7259,0,0,47676,4116,31880,3091,0,8589,0,ND,29701,0,7496,0,0,13624,0,71931,2997,1102,0,14622,0,14622,ND,37639,4092,33547,6158,0,0,3712,5701,2013,3688,0,0,0,7486,91727,0,0
1971:Q3,133940,1584,4237,12238,7360,0,0,58158,4264,41811,3118,0,8965,0,ND,29859,0,7172,0,0,13332,0,72229,1924,1239,0,14934,0,14934,ND,38271,4440,33831,6263,0,0,3804,5794,2112,3682,0,0,0,7218,94021,0,0
1971:Q4,140073,1720,3474,12725,7454,0,0,62847,4148,46286,3051,0,9362,0,ND,30811,0,7420,0,0,13622,0,73775,2059,1234,0,15012,0,15012,ND,39167,4919,34248,6421,0,0,4041,5841,2176,3665,0,0,0,7641,99861,0,0
1972:Q1,146385,2491,2727,12972,7950,0,0,66068,4183,49089,3069,0,9727,0,ND,33513,0,7251,0,0,13413,0,75823,2763,1421,0,15495,0,15495,ND,39994,5240,34754,6443,0,0,3930,5777,2220,3557,0,0,0,8779,97117,0,0
1972:Q2,149885,2491,3411,13643,8248,0,0,67100,4179,49179,3224,0,10518,0,ND,33803,0,7519,0,0,13670,0,76450,2849,1626,0,15917,0,15917,ND,39804,5692,34112,6424,0,0,3998,5832,2289,3543,0,0,0,9359,98792,0,0
1972:Q3,157373,2491,2683,14347,9412,0,0,71577,3139,54493,3189,0,10756,0,ND,35099,0,7703,0,0,14061,0,76982,2730,1820,0,15789,0,15789,ND,40252,6234,34018,6442,0,0,4083,5866,2337,3529,0,0,0,9616,100899,0,0
1972:Q4,166791,2491,3259,15076,10580,0,0,73178,4086,54460,3196,0,11436,0,ND,39059,0,8411,0,0,14737,0,80211,2664,2172,0,16042,0,16042,ND,41527,6861,34666,6979,0,0,4881,5946,2447,3499,0,0,0,10537,120629,0,0
1973:Q1,173222,2767,630,14805,11538,0,200,81314,4096,62150,3188,0,11880,189,ND,37594,0,8491,0,0,15694,0,82597,2661,2722,0,16175,0,16175,ND,42610,7128,35482,7092,0,0,4271,7066,2537,3529,1000,0,0,12272,105557,0,0
1973:Q2,172403,2767,1318,15950,12522,0,300,78994,4286,59215,3252,0,12241,166,ND,34552,0,8939,0,0,16895,0,84846,2644,3005,0,16325,0,16325,ND,44164,7798,36366,7156,0,0,4385,7167,2613,3554,1000,0,0,11887,108361,0,0
1973:Q3,176485,2767,954,16226,12640,0,400,78641,5264,57446,3387,0,12544,24,ND,37905,0,9500,0,0,17428,0,86668,2657,2729,0,16546,0,16546,ND,43825,7264,36561,7707,0,0,4465,8739,2716,3523,2500,0,0,11711,110356,0,0
1973:Q4,170671,2767,-1031,18910,13392,0,500,74666,4387,54303,3248,0,12728,32,ND,33516,0,10074,0,0,17845,0,91309,2726,3329,0,17000,0,17000,ND,45240,7976,37264,8682,0,0,4910,9422,2820,4102,2500,0,0,10026,121336,0,0
1974:Q1,177536,2767,3123,19398,12930,0,600,74308,4500,53536,3435,0,12837,51,ND,34242,0,10488,0,0,19629,0,94636,2936,3729,0,17692,15,17677,ND,44922,8154,36768,10280,0,0,4877,10200,2917,4283,3000,0,0,10625,120519,0,0
1974:Q2,175035,2767,-3447,20763,15006,0,575,77746,4600,56242,3574,0,13330,118,ND,30543,0,10796,0,0,20168,0,99416,3294,3529,0,18151,1,18150,ND,48851,9407,39444,10881,0,0,4959,9751,3059,3692,3000,0,0,9769,122565,0,0
1974:Q3,175152,2723,-2663,20790,18887,0,550,77577,4700,55537,3524,0,13816,144,ND,24012,0,11354,0,0,21778,0,103649,4241,3129,0,18655,90,18565,ND,51107,9412,41695,11195,0,0,5133,10189,3141,3548,3500,0,0,8388,126851,0,0
1974:Q4,181260,2809,-4382,22722,21123,0,525,79545,4800,58270,2781,0,13694,253,ND,23921,0,12138,0,0,22606,0,109638,4231,4946,0,19553,181,19372,ND,53498,9516,43982,11730,0,0,5262,10418,3357,3561,3500,0,0,9011,130036,0,0
1975:Q1,189802,2862,-8291,21020,21217,0,500,86117,4950,64320,2923,0,13924,290,ND,30308,0,12895,0,0,22884,0,114251,4636,5022,0,21735,255,21480,ND,54853,9802,45051,11542,0,0,5422,11041,3509,3532,4000,0,0,11291,133985,0,0
1975:Q2,192881,2836,-13717,22297,22045,0,475,86490,5100,64710,2801,0,13879,238,ND,35096,0,13367,0,0,23754,0,116669,4622,4822,0,23089,388,22701,ND,55616,10508,45108,11765,0,0,5588,11167,3628,3539,4000,0,0,10805,138093,0,0
1975:Q3,192159,2671,-10588,22187,22329,0,462,85385,5200,63987,2368,0,13830,249,ND,32046,0,13578,0,0,23840,0,120092,4692,5272,0,24374,407,23967,ND,56527,11518,45009,12259,0,0,5646,11322,3828,3494,4000,0,0,9108,139530,0,0
1975:Q4,195083,2685,-15332,23606,22579,0,450,87992,5300,65518,2691,0,14483,325,ND,33399,0,14170,0,0,25209,0,125903,4627,5772,0,27099,559,26540,ND,58987,12284,46703,12521,0,0,5816,11081,4011,3570,3500,0,0,9585,143726,0,0
1976:Q1,203700,2653,-16740,23104,21185,0,425,90809,5375,67953,2767,0,14714,290,ND,39514,0,15779,0,0,26681,0,130953,5342,6428,0,29602,707,28895,ND,59929,12482,47447,12391,0,0,5973,11288,4166,3622,3500,0,0,9885,147602,0,0
1976:Q2,203027,2629,-21723,24218,20750,0,412,93189,5450,69527,3078,0,15134,377,ND,39559,0,15849,0,0,27767,0,136844,6879,6941,0,31162,920,30242,ND,61623,13056,48567,12574,0,0,6063,11602,4530,3472,3600,0,0,9642,149839,0,0
1976:Q3,213665,2654,-19191,25197,20015,0,400,97933,5525,73813,3150,0,15445,493,ND,40120,0,17278,0,0,28766,0,140604,7348,6763,0,33961,1140,32821,ND,62344,13148,49196,12167,0,0,6192,11829,4874,3455,3500,0,0,9283,153011,0,0
1976:Q4,246443,2665,-25381,28120,27852,0,375,98420,5600,77583,2017,0,13220,495,ND,47475,0,18894,0,0,47528,0,147538,7150,7441,0,35986,1282,34704,ND,66231,14861,51370,12519,0,0,8645,9566,5112,854,3600,0,0,9453,213638,0,0
1977:Q1,251090,2659,-24595,26587,28026,0,350,105453,5700,83869,2130,0,13754,642,ND,44313,0,19147,0,0,48508,0,150444,7462,8287,0,36867,1608,35259,ND,67050,14241,52809,12370,0,0,8725,9683,5297,786,3600,0,0,9591,215615,0,0
1977:Q2,261164,2674,-25851,27619,29483,0,337,111488,5800,87623,2847,29,15189,594,ND,46038,0,19309,0,0,49473,0,154814,7498,9731,0,38742,1816,36926,ND,67792,14112,53680,12163,0,0,8880,10008,5524,884,3600,0,0,9823,219465,0,0
1977:Q3,275013,2669,-21394,27984,28114,0,325,121466,5900,95798,3583,57,16128,548,ND,44502,0,20303,0,0,50496,0,157581,7330,8990,0,40768,1962,38806,ND,69693,14687,55006,11607,0,0,8985,10208,5767,841,3600,0,0,10252,222037,0,0
1977:Q4,291562,2787,-28851,31971,28909,0,300,134492,6000,108654,4695,86,15057,645,ND,45129,0,20767,0,0,55413,0,162617,7600,8756,0,41176,1847,39329,ND,71244,15265,55979,11550,0,0,11791,10500,5982,818,3700,0,0,10110,236508,0,0
1978:Q1,302641,2837,-33883,30636,30592,0,1000,148846,6100,122439,4919,114,15274,793,ND,43234,0,21818,0,0,56768,0,168675,7474,10041,0,42601,1934,40667,ND,74158,15775,58383,11500,0,0,11966,10935,6274,861,3800,0,0,10544,241207,0,0
1978:Q2,312271,2843,-29616,31233,31355,0,1634,145075,6200,117423,5322,143,15987,1043,ND,47584,0,22039,0,0,59081,0,170613,7158,10192,0,44032,2188,41844,ND,75886,16662,59224,11450,0,0,12120,9775,6416,849,2510,0,0,10730,245000,0,0
1978:Q3,331587,2939,-21946,30920,31585,0,1663,148620,6300,119448,6207,171,16494,1412,ND,51327,0,23366,0,0,61701,0,172328,7182,9613,0,44906,2580,42326,ND,77351,19435,57916,11400,0,0,11895,9981,6608,827,2546,0,0,11832,247372,0,0
1978:Q4,339210,2989,-32951,33962,33158,0,2426,160557,6465,132901,5165,200,15826,901,ND,47859,0,21333,0,0,68976,0,191762,6979,17131,0,47544,2880,44664,ND,84666,24233,60433,11357,0,0,13590,10495,6849,935,2711,0,0,11236,273921,0,0
1979:Q1,359432,4077,-12770,31661,34885,0,2196,154998,7000,126633,5159,233,15973,1341,ND,51322,0,21193,0,0,70529,0,203856,10179,22361,0,48649,3106,45543,ND,86147,24525,61622,11089,0,0,14052,11379,7012,982,3385,0,0,11735,279609,0,0
1979:Q2,361387,4090,-8914,34805,33932,0,3199,143422,7500,113716,5270,266,16670,1878,ND,52534,0,22559,0,0,73882,0,208895,9945,21989,0,49321,3241,46080,ND,89180,25052,64128,11579,0,0,14596,12285,7158,965,4162,0,0,12022,286737,0,0
1979:Q3,385174,4175,-4118,36127,35352,0,3256,151786,8000,120244,5662,299,17581,2459,ND,55881,0,22992,0,0,77264,0,223359,7329,27282,0,51779,3976,47803,ND,97530,29808,67722,12550,0,0,15361,11528,7291,924,3313,0,0,14087,293153,0,0
1979:Q4,389887,4173,-10253,40087,35591,0,4113,146615,8412,115958,5868,332,16045,2888,ND,55434,0,22660,0,0,88579,0,230766,7784,26913,0,55066,4553,50513,ND,100503,31372,69131,12901,0,0,17356,10243,7401,942,1900,0,0,14803,323222,0,0
1980:Q1,403065,5058,-719,39903,35332,0,3749,148137,8650,113901,7017,365,18204,3452,ND,53575,0,22678,0,0,91900,0,242183,10319,30071,0,55835,5217,50618,ND,102897,30767,72130,13481,0,0,18343,11237,7617,778,2842,0,0,14344,328844,0,0
1980:Q2,412349,5353,-25895,44313,36327,0,4246,153670,8900,116990,7063,398,20319,5568,ND,60991,0,30120,0,0,97656,0,252311,10771,31804,0,57058,5531,51527,ND,107952,32581,75371,14367,0,0,19348,11011,7788,729,2494,0,0,17548,331525,0,0
1980:Q3,419931,5305,-32615,40989,35563,0,4528,160558,9150,120506,7690,433,22779,5263,ND,67590,0,30381,0,0,102369,0,259722,11826,29447,0,57440,5828,51612,ND,112261,34717,77544,16571,0,0,20481,11696,8075,720,2901,0,0,19083,334925,0,0
1980:Q4,452535,5155,-39403,42877,36566,0,4395,165281,9334,127449,8473,467,19558,4502,ND,74586,0,31471,0,0,127105,0,274667,15596,31392,0,59098,6955,52143,ND,116723,38474,78249,14720,0,0,23084,14054,8196,1842,4016,0,0,18930,372980,0,0
1981:Q1,467750,6019,-41617,41101,35699,0,4076,177099,9000,136077,9054,500,22468,7712,ND,76834,0,30576,0,0,130251,0,294549,19256,37927,0,60941,8483,52458,ND,121465,39875,81590,16681,0,0,24094,14185,8391,1674,4120,0,0,18883,375307,0,0
1981:Q2,479443,5637,-40318,43523,36749,0,3529,178323,8700,134740,9709,533,24641,8077,ND,78076,0,30302,0,0,135545,0,304377,18429,39125,0,63361,9564,53797,ND,126348,40932,85416,15132,0,0,25033,16949,8714,1851,6384,0,0,18417,380702,0,0
1981:Q3,480134,5608,-36537,43818,36248,0,3401,177016,8400,129677,10340,567,28032,10776,ND,69484,0,29270,0,0,141050,0,314730,18564,39943,0,64866,10088,54778,ND,128922,42347,86575,14766,0,0,26877,20792,9030,1820,9942,0,0,15333,381264,0,0
1981:Q4,493415,5703,-61933,40651,38838,0,4404,181556,8041,135509,10344,600,27062,15400,ND,74683,0,29490,0,0,164623,0,349169,18924,41811,0,72027,10829,61198,ND,150486,60868,89618,15043,0,0,29809,21069,9338,1573,10158,0,0,16467,391944,0,0
1982:Q1,422862,5454,-79396,36708,40612,0,4870,184496,7600,135479,10274,633,30510,16653,ND,68554,0,28152,0,0,116759,0,365415,18794,47174,0,73404,11381,62023,ND,159413,68006,91407,11774,0,0,31076,23780,9551,1636,12593,0,0,14044,212463,0,0
1982:Q2,417271,5351,-102659,39639,44891,0,5596,190601,7200,135478,10802,667,36454,17267,ND,67704,0,28846,0,0,120035,0,383725,19522,48286,0,75480,13100,62380,ND,169838,74712,95126,11306,0,0,30086,29207,9836,1861,17510,0,0,13513,218347,0,0
1982:Q3,418363,5254,-121037,38088,45987,0,5870,198965,6800,141723,10413,700,39329,20098,ND,74449,0,27741,0,0,122948,0,377839,19845,41159,0,78569,12936,65633,ND,175228,75641,99587,10755,0,0,27887,24396,10093,1913,12390,0,0,13693,222999,0,0
1982:Q4,454147,5405,-134700,39458,49211,0,5986,219806,6329,150687,10914,733,51143,20144,ND,88324,0,30085,0,0,130428,0,406937,22810,49522,0,87367,15054,72313,ND,179876,76963,102913,11041,0,0,31843,24478,10345,1798,12335,0,0,17442,227369,0,0
1983:Q1,452051,5285,-139162,40345,33251,0,6048,227522,7445,156612,10481,767,52217,21499,ND,98625,0,27001,0,0,131637,0,413503,23123,51747,0,89687,16787,72900,ND,182544,81775,100769,10882,0,0,28360,27160,10760,1875,14525,0,0,19401,233652,0,0
1983:Q2,471712,5234,-145243,42378,33987,0,6020,234091,7132,161723,10488,800,53948,23439,ND,110389,0,26202,0,0,135215,0,416962,22745,50818,0,92509,18557,73952,ND,186252,84762,101490,9742,0,0,27108,27788,10985,1913,14890,0,0,22898,239183,0,0
1983:Q3,484682,5178,-140737,42508,33661,0,6174,235321,6959,162120,10281,833,55128,23985,ND,110130,0,29143,0,0,139319,0,430785,21938,53082,0,93891,19386,74505,ND,196883,93782,103101,9733,0,0,26938,28320,11334,1875,15111,0,0,24289,245414,0,0
1983:Q4,543028,5130,-104597,45145,35482,0,6659,237441,7116,163562,11183,867,54713,25890,ND,109555,0,29005,0,0,153318,0,495397,22626,141573,0,84633,21540,63093,ND,180373,74204,106169,11131,0,0,26063,28998,11714,1812,15472,0,0,26154,285799,0,0
1984:Q1,539883,5214,-120019,45042,35237,0,6184,242956,8284,165238,11128,900,57406,31823,ND,105627,0,29700,0,0,158119,0,513111,23864,146438,0,86938,24158,62780,ND,188468,80890,107578,11627,0,0,24024,31752,12038,2064,17650,0,0,28801,292708,0,0
1984:Q2,572234,5052,-114355,46736,39130,0,6027,251925,8544,171303,11310,933,59835,39326,ND,100731,0,30621,0,0,167041,0,531277,23447,147963,0,94088,30516,63572,ND,197325,82391,114934,12009,0,0,21845,34600,12349,2061,20190,0,0,25051,300418,0,0
1984:Q3,592743,4895,-117629,46640,39850,0,5760,261357,9720,176035,11776,967,62859,43130,ND,107372,0,29834,0,0,171534,0,517811,23209,142799,0,90689,26707,63982,ND,199745,87896,111849,10688,0,0,20464,30217,12725,2191,15301,0,0,25456,306197,0,0
1984:Q4,623582,4803,-127353,49641,40125,0,6758,293903,8327,200289,11969,1000,72318,48668,ND,104852,0,29808,0,0,172377,0,515791,23838,139968,0,86615,23721,62894,ND,200649,89932,110717,10647,0,0,22788,31286,13140,2088,16058,0,0,25994,288987,0,0
1985:Q1,643799,4857,-124064,48382,40689,0,6455,299838,8763,195702,12289,1050,82034,48317,ND,112979,0,29100,0,0,177246,0,517395,24400,141748,0,88126,24638,63488,ND,198775,88996,109779,9764,0,0,21852,32730,13475,2158,17097,0,0,30324,293098,0,0
1985:Q2,681054,4891,-119675,50957,40485,0,6661,318067,7655,209640,13063,1100,86609,49099,ND,120428,0,28222,0,0,181919,0,509385,24997,136231,0,91397,25838,65559,ND,196277,89458,106819,9823,0,0,18544,32116,13815,1892,16409,0,0,32398,301107,0,0
1985:Q3,705236,5191,-119394,53402,41802,0,7618,334129,8040,216962,14335,1150,93642,51608,ND,115106,0,28937,0,0,186837,0,513489,27204,141303,0,93573,27417,66156,ND,193381,87673,105708,9002,0,0,19399,29627,14151,1874,13602,0,0,37738,303568,0,0
1985:Q4,827806,5382,-89648,54449,43349,0,7517,363921,8166,226392,17478,1200,110685,56021,ND,136791,0,30028,0,0,219996,0,532786,32101,148461,0,94352,19248,75104,ND,195712,90650,105062,9985,0,0,19234,32941,14441,1938,16562,0,0,44383,403897,0,0
1986:Q1,885522,5577,-77996,53548,38895,0,8479,384990,9019,235450,18793,1250,120478,57016,ND,162113,0,29553,0,0,223347,0,543746,33829,152917,0,104342,24895,79447,ND,193898,89002,104896,7813,0,0,23047,27900,14649,1916,11335,0,0,58372,409090,0,0
1986:Q2,946708,5770,-81789,55385,39612,0,8509,416055,9518,253810,20841,1300,130586,65121,ND,178274,0,30587,0,0,229184,0,552232,35551,159332,0,107949,29231,78718,ND,189755,87051,102704,7626,0,0,22587,29432,15043,1873,12516,0,0,64259,416008,0,0
1986:Q3,978164,5945,-87488,55583,40125,0,9841,435451,8051,264227,22325,1350,139498,76486,ND,172779,0,31388,0,0,238054,0,571587,37003,168938,0,112437,32908,79529,ND,190850,87637,103213,8817,0,0,22788,30754,15758,920,14076,0,0,72043,420084,0,0
1986:Q4,1050754,5993,-90415,59554,40819,0,10867,458734,8038,269388,24989,1400,154919,77617,ND,183172,0,31447,0,0,272966,0,583860,37447,179874,0,109768,23407,86361,ND,190410,87596,102814,9992,0,0,24235,32134,15923,927,15284,0,0,72399,538513,0,0
1987:Q1,1136786,6299,-76390,57597,40830,0,11704,475847,7225,278755,25700,1450,162717,75597,ND,228339,0,31224,0,0,285739,0,594361,37743,180965,0,110025,23278,86747,ND,192514,89280,103234,11938,0,0,25506,35670,16112,1080,18478,0,0,91583,544414,0,0
1987:Q2,1171439,6262,-86057,59587,40145,0,10776,492669,9609,287408,26723,1500,167429,79717,ND,242944,0,30573,0,0,294823,0,584747,34071,181371,0,107936,21587,86349,ND,190161,84907,105254,12678,0,0,25725,32805,16394,921,15490,0,0,99680,551653,0,0
1987:Q3,1238980,6270,-66520,58588,40462,0,12804,498561,10624,285414,28163,1550,172810,82427,ND,259413,0,31154,0,0,315821,0,591403,33995,182604,0,114390,26610,87780,ND,184312,82646,101666,13606,0,0,26034,36462,16801,925,18736,0,0,107277,559553,0,0
1987:Q4,1188537,6951,-59064,62015,42250,0,13111,508450,9021,296301,28322,1600,173206,78072,ND,189006,0,31546,0,0,316200,0,625731,34722,213270,0,120585,26245,94340,ND,189862,88377,101485,10600,0,0,26958,29734,17134,781,11819,0,0,94700,591850,0,0
1988:Q1,1247756,6797,-66615,61529,42136,0,12003,544406,10363,329942,28464,1650,173987,92107,ND,199740,0,31281,0,0,324372,0,627783,32123,211387,0,125656,27544,98112,ND,185684,85474,100210,12023,0,0,29010,31900,17413,673,13814,0,0,110010,594583,0,0
1988:Q2,1305329,6421,-57589,64482,43846,0,11934,560684,8116,341268,31114,1700,178486,94175,ND,211473,0,31390,0,0,338513,0,633796,29965,220222,0,127019,29037,97982,ND,185450,84494,100956,10459,0,0,28435,32246,17711,650,13885,0,0,105733,598913,0,0
1988:Q3,1327695,6322,-68449,63815,43789,0,13653,569872,11037,340942,32575,1750,183568,101961,ND,211836,0,32322,0,0,352574,0,644597,36726,224302,0,130721,31432,99289,ND,178782,81097,97685,13218,0,0,28301,32547,18036,590,13921,0,0,108506,607678,0,0
1988:Q4,1395293,6593,-60937,65592,43372,0,13038,588669,11838,353839,34193,1800,186999,99979,ND,213813,0,33644,0,0,391530,0,690486,36745,228720,0,176524,49943,126581,ND,175355,80767,94588,12165,0,0,31724,29253,18448,729,10076,0,0,128662,682896,0,0
1989:Q1,1451093,6334,-80942,66575,44814,0,14402,614923,13715,368034,38227,1850,193097,113775,ND,226810,0,34620,0,0,409782,0,719993,39139,242447,0,182279,54395,127884,ND,170070,80048,90022,14771,0,0,36493,34794,18709,726,15359,0,0,133621,692790,0,0
1989:Q2,1502657,6107,-76780,67208,46938,0,17229,612042,14404,360797,40040,1900,194901,121201,ND,247993,0,35194,0,0,425525,0,724154,49785,245142,0,182312,52733,129579,ND,163451,74847,88604,15326,0,0,36660,31478,18966,673,11839,0,0,137833,701242,0,0
1989:Q3,1565525,6270,-80713,67491,47798,196,17075,641437,14444,386117,43023,1950,195903,118606,ND,275749,0,34272,0,0,437344,0,739966,57699,250390,0,188660,57498,131162,ND,160389,73112,87277,16027,0,0,37382,29419,19280,705,9434,0,0,171711,710300,0,0
1989:Q4,1721465,6439,-90013,69510,49546,391,23116,693427,12683,423742,47219,2000,207783,122347,ND,275709,0,36259,0,0,534734,0,773279,63550,266828,0,198382,63022,135360,ND,156438,69812,86626,13876,0,0,45715,28490,19621,586,8283,0,0,197345,804307,0,0
1990:Q1,1747988,6373,-83426,70890,51051,587,22259,687426,11371,415674,49388,2050,208943,144858,ND,260910,0,36688,0,0,550372,0,764647,65243,261211,0,203210,59292,143918,ND,150253,65284,84969,9357,0,0,46628,28745,19945,660,8140,0,0,162878,814465,0,0
1990:Q2,1793550,6486,-82707,74822,50096,783,21401,698805,11894,421266,50857,2100,212688,151960,ND,269743,0,37145,0,0,565016,0,785622,66233,273580,0,213887,65062,148825,ND,149238,64418,84820,9714,0,0,45353,27617,20252,646,6719,0,0,190890,821555,0,0
1990:Q3,1818769,6823,-64709,81463,49159,978,20544,710564,11164,434145,50324,2150,212781,168534,ND,230043,0,41198,0,0,574172,0,811673,68961,287725,0,220768,71453,149315,ND,145891,62474,83417,10605,0,0,50635,27088,20713,674,5701,0,0,166628,835536,0,0
1990:Q4,1794418,6970,-74743,85786,49019,1174,19686,709334,10708,438363,49406,2200,208657,172408,ND,242615,0,42568,0,0,539601,0,824588,72258,297926,0,227942,75346,152596,ND,140797,61199,79598,15475,0,0,40775,29415,20925,628,7862,0,0,197596,704136,0,0
1991:Q1,1832454,6596,-73136,88384,50297,1369,19979,719564,10355,443257,50225,2250,213477,158332,ND,276092,0,41530,0,0,543447,0,833258,66944,296995,0,243103,87378,155725,ND,137031,61127,75904,16753,0,0,45429,27003,21208,691,5104,0,0,220890,717344,0,0
1991:Q2,1849619,6441,-80000,88446,51210,1565,20271,736099,9995,453173,51563,2300,219068,151017,ND,276334,0,40814,0,0,557422,0,799276,63878,284823,0,232765,74289,158476,ND,131780,58309,73471,17146,0,0,39884,29000,21633,893,6474,0,0,224206,725486,0,0
1991:Q3,1873856,6703,-70155,93086,48410,1761,20564,748338,9669,457598,55861,2350,222860,142506,ND,282180,2900,40938,0,0,556625,0,801180,63669,282524,0,240723,78336,162387,ND,128376,58480,69896,16796,0,0,38777,30315,21974,1330,7011,0,0,258216,736828,0,0
1991:Q4,2018635,7008,-73812,97198,48880,1956,20857,784545,11314,476289,58531,2400,236011,125065,ND,291200,5801,40800,0,0,669137,0,805842,66662,273526,0,246379,69601,176778,ND,129095,59615,69480,17380,0,0,38434,34366,22429,1646,10291,0,0,278976,803456,0,0
1992:Q1,2178754,6721,-52350,96597,155217,2152,32178,806512,10400,491891,61710,2450,240061,131864,ND,279172,8701,41071,0,0,670919,0,804996,63600,264833,0,245893,67338,178555,ND,128532,59536,68996,16937,0,0,45899,39302,22743,1714,14845,0,0,257473,816695,0,0
1992:Q2,2218196,7012,-62944,98769,158518,2348,34724,841180,10897,513373,68386,2500,246024,127304,ND,280355,11601,42031,0,0,677298,0,819867,66033,267007,0,257819,74277,183542,ND,130115,61004,69111,16957,0,0,46433,35503,23049,1853,10601,0,0,272908,827010,0,0
1992:Q3,2267169,7216,-41031,105872,150520,2543,33337,853616,12125,517962,69828,2550,251151,132148,ND,285368,14501,42233,0,0,680846,0,827972,67468,271987,0,264960,77505,187455,ND,127093,59021,68072,17939,0,0,45024,33501,23430,1624,8447,0,0,296190,834138,0,0
1992:Q4,2320553,6737,-57874,109791,169457,2739,41715,853151,12902,520339,71352,2600,245958,129939,ND,308847,17402,42471,0,0,696178,0,819054,60267,267711,0,271940,70407,201533,ND,123608,54826,68782,18564,0,0,46974,29990,23856,1670,4464,0,0,314266,762212,0,0
1993:Q1,2381375,6848,-24747,111840,154483,2935,46596,863546,12864,534782,73170,2650,240080,129945,ND,323329,20302,42307,0,0,703991,0,828941,63324,265061,0,285946,64539,221407,ND,117584,51560,66024,20602,0,0,39990,36434,24079,2001,10354,0,0,365074,774617,0,0
1993:Q2,2426736,6877,-32994,117200,163582,3130,50351,892129,19831,540158,82130,2700,247310,125172,ND,320431,23202,41866,0,0,715790,0,845160,62911,263474,0,302014,64457,237557,ND,115502,50124,65378,20405,0,0,48213,32641,24359,2423,5859,0,0,426520,790767,0,0
1993:Q3,2516331,6949,-19467,126907,165690,3326,55051,931492,20072,562514,91893,2750,254263,121491,ND,327673,26103,43178,0,0,727938,0,862098,64778,252269,0,332936,64013,268923,ND,112091,48287,63804,19506,0,0,45105,35413,24606,2985,7822,0,0,491186,808046,0,0
1993:Q4,2642328,6730,-22162,126151,192578,3521,58627,980834,18817,594551,103241,2800,261425,114167,ND,340997,29003,43484,0,0,768398,0,933114,62389,271821,0,372453,62302,310151,ND,112355,47484,64871,21388,0,0,59000,33708,24999,1947,6762,0,0,543862,1002299,0,0
1994:Q1,2727731,6921,11170,131866,195303,3717,58128,1009565,22860,605360,109188,2850,269307,130429,ND,330689,31903,44169,0,0,773871,0,923757,65757,271120,0,348240,37755,310485,ND,109028,45192,63836,21704,0,0,74091,33817,25221,1911,6685,0,0,578653,1018280,0,0
1994:Q2,2773150,7096,16519,138125,210365,3913,55607,1025232,22990,604184,115133,2900,280025,128049,ND,328840,34803,44704,0,0,779897,0,949780,64680,290447,0,346338,36605,309733,ND,108851,46092,62759,24237,0,0,74606,40621,25583,2076,12962,0,0,616744,1033889,0,0
1994:Q3,2860873,7189,19759,142467,196954,4108,75114,1059050,19969,626320,119050,2950,290761,128323,ND,351444,37704,44241,0,0,794520,0,962942,65478,299169,0,350817,34779,316038,ND,107580,45339,62241,23738,0,0,76972,39188,25979,2410,10799,0,0,626046,1050782,0,0
1994:Q4,2824631,7153,54729,148553,204201,4304,46616,1040672,24850,632571,106793,3000,273458,122101,ND,352812,40604,45033,0,0,757853,0,1038220,63284,373929,0,364076,42669,321407,ND,109345,45980,63365,23991,0,0,60534,43061,26429,2024,14608,0,0,626762,1054048,0,0
1995:Q1,2928862,7646,44927,153446,201500,4492,56608,1100250,28833,670713,111956,3238,285510,126693,ND,377573,44907,43528,0,0,767292,0,1076018,75708,382087,0,377136,51870,325266,ND,110398,46756,63642,24225,0,0,61709,44755,26741,2027,15987,0,0,644382,1074557,0,0
1995:Q2,3057529,7686,37810,153882,206560,4680,62488,1172813,33084,724385,115589,3476,296279,125681,ND,412156,50421,43861,0,0,779491,0,1128097,79009,410073,0,389452,49097,340355,ND,113447,50101,63346,27830,0,0,62412,45874,27018,2039,16817,0,0,668010,1089886,0,0
