1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,40960,356,461,0,96,8029,0,2620,0,5409,181,2169,0,29668,0,182,28801,685,41033,38234,9433,28801,38161,2799
1953:Q4,42209,366,478,0,97,8301,0,2636,18,5647,192,2392,0,30383,0,191,29507,685,42280,39374,9867,29507,39303,2906
1954:Q1,43351,368,497,0,99,8578,0,2652,16,5910,203,2605,0,31001,0,199,30110,692,43425,40407,10297,30110,40333,3018
1954:Q2,44416,363,516,0,101,8870,0,2644,16,6210,213,2685,0,31668,0,205,30763,700,44492,41386,10623,30763,41310,3106
1954:Q3,45475,358,536,0,103,9203,0,2647,9,6547,224,2821,0,32230,0,213,31307,710,45555,42340,11033,31307,42260,3215
1954:Q4,46583,357,556,0,106,9589,0,2675,7,6907,238,3154,0,32583,0,224,31629,730,46674,43293,11664,31629,43202,3381
1955:Q1,47713,367,577,0,111,9964,0,2735,9,7220,255,3551,0,32888,0,237,31889,762,47804,44236,12347,31889,44145,3568
1955:Q2,48969,385,600,0,118,10326,0,2839,11,7476,274,4519,0,32747,0,259,31690,798,49068,45196,13506,31690,45097,3872
1955:Q3,50197,404,623,0,125,10628,0,2936,13,7679,296,5446,0,32675,0,280,31552,843,50311,46150,14598,31552,46036,4161
1955:Q4,51324,415,647,0,132,10844,0,2972,19,7853,321,6085,0,32880,0,295,31689,896,51451,47074,15385,31689,46947,4377
1956:Q1,52466,419,671,0,140,11088,0,2949,35,8104,349,6817,0,32982,0,311,31719,952,52598,47984,16265,31719,47852,4614
1956:Q2,53532,417,697,0,150,11388,0,2895,36,8457,381,6739,0,33760,0,317,32416,1027,53668,48953,16537,32416,48817,4715
1956:Q3,54793,414,724,0,158,11781,0,2817,43,8921,415,6712,0,34589,0,324,33164,1101,54935,50095,16931,33164,49953,4840
1956:Q4,56382,415,752,0,166,12273,0,2751,47,9475,449,7065,0,35262,0,339,33770,1153,56529,51478,17708,33770,51331,5051
1957:Q1,58088,424,781,0,172,12764,0,2677,65,10022,482,7014,0,36451,0,348,34903,1200,58240,53063,18160,34903,52911,5177
1957:Q2,60132,439,811,0,177,13200,0,2604,72,10524,514,7948,0,37043,0,370,35450,1223,60288,54811,19361,35450,54655,5477
1957:Q3,61926,454,842,0,182,13579,0,2535,82,10962,547,7638,0,38684,0,373,37051,1260,62086,56562,19511,37051,56402,5524
1957:Q4,63567,466,874,0,186,13911,0,2461,113,11337,583,7489,0,40058,0,378,38382,1298,63731,58136,19754,38382,57972,5595
1958:Q1,65105,475,908,0,191,14255,0,2411,142,11702,619,8060,0,40597,0,393,38882,1322,65251,59445,20563,38882,59299,5806
1958:Q2,66514,482,943,0,194,14615,0,2432,111,12072,655,8981,0,40644,0,414,38895,1335,66666,60580,21685,38895,60428,6086
1958:Q3,67927,488,979,0,198,15000,0,2431,116,12453,695,10184,0,40383,0,440,38598,1345,68102,61674,23076,38598,61499,6428
1958:Q4,69489,496,1017,0,204,15409,0,2451,116,12842,742,11561,0,40060,0,469,38225,1366,69685,62869,24644,38225,62673,6816
1959:Q1,71056,505,1056,0,211,15669,0,2476,137,13056,796,12137,0,40682,0,484,38788,1410,71232,64203,25415,38788,64027,7029
1959:Q2,72880,516,1096,0,218,16062,0,2523,172,13367,856,13278,0,40854,0,510,38889,1455,73084,65698,26809,38889,65494,7386
1959:Q3,74570,527,1138,0,227,16419,0,2587,188,13644,921,13422,0,41916,0,520,39878,1518,74805,67258,27380,39878,67023,7547
1959:Q4,76402,535,1182,0,235,16896,0,2619,192,14085,989,14525,0,42040,0,547,39923,1570,76659,68742,28819,39923,68485,7917
1960:Q1,77742,538,1227,0,245,17228,0,2537,269,14422,1063,14128,0,43313,0,549,41112,1652,78031,70060,28948,41112,69771,7971
1960:Q2,79201,536,1275,0,255,17507,0,2457,305,14745,1145,15118,0,43365,0,572,41068,1725,79493,71205,30137,41068,70913,8288
1960:Q3,80248,536,1324,0,266,17860,0,2408,303,15149,1227,14603,0,44432,0,573,42041,1818,80543,72211,30170,42041,71916,8332
1960:Q4,81683,546,1374,0,275,18381,0,2404,278,15699,1301,16545,0,43261,0,613,40785,1863,81980,73105,32320,40785,72808,8875
1961:Q1,83080,568,1427,0,284,18511,0,2407,270,15834,1369,19082,0,41839,0,657,39287,1895,83342,73890,34603,39287,73628,9452
1961:Q2,83980,601,1482,0,291,18909,0,2429,250,16230,1430,19596,0,41671,0,674,39055,1942,84282,74593,35538,39055,74291,9689
1961:Q3,84861,635,1539,0,298,19181,0,2431,261,16489,1491,20660,0,41057,0,697,38375,1985,85195,75186,36811,38375,74852,10009
1961:Q4,85860,660,1598,0,307,19596,0,2425,289,16882,1560,22856,0,39283,0,740,36522,2021,86222,75642,39120,36522,75280,10580
1962:Q1,86337,677,1660,0,321,19870,0,2421,333,17116,1634,22866,32,39277,0,749,36393,2135,86701,75966,39573,36393,75602,10735
1962:Q2,85825,687,1723,0,338,20322,0,2459,354,17509,1713,17845,86,43111,0,686,40074,2351,86195,76210,36136,40074,75840,9985
