1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1341,67,1274,0,0,1341,260,0,0,20,0,643,0,416,6,10,0,0,0,-14,0
1952:Q1,178,9,169,0,0,178,118,0,0,5,0,-45,0,80,1,3,0,0,0,16,0
1952:Q2,217,11,206,0,0,217,67,0,0,3,0,78,0,59,2,3,0,0,0,5,0
1952:Q3,238,12,226,0,0,238,61,0,0,7,0,96,0,61,3,3,0,0,0,7,0
1952:Q4,206,10,196,0,0,206,64,0,0,-1,0,78,0,57,2,3,0,0,0,3,0
1953:Q1,106,5,101,0,0,106,53,0,0,22,0,24,0,17,3,4,0,0,0,-17,0
1953:Q2,179,9,170,0,0,179,52,0,0,24,0,73,0,15,3,4,0,0,0,8,0
1953:Q3,168,8,160,0,0,168,46,0,0,39,0,51,0,12,3,3,0,0,0,14,0
1953:Q4,187,9,178,0,0,187,77,0,0,25,0,52,0,31,3,5,0,0,0,-6,0
1954:Q1,53,3,50,0,0,53,63,0,0,-26,0,1,0,6,3,4,0,0,0,2,0
1954:Q2,138,7,131,0,0,138,69,0,0,25,0,27,0,7,2,5,0,0,0,3,0
1954:Q3,140,7,133,0,0,140,55,0,0,68,0,-9,0,9,3,5,0,0,0,9,0
1954:Q4,213,11,202,0,0,213,98,0,0,17,0,64,0,19,4,5,0,0,0,6,0
1955:Q1,117,6,111,0,0,117,88,0,0,27,0,-49,0,32,4,5,0,0,0,10,0
1955:Q2,207,10,197,0,0,207,83,0,0,30,0,48,0,20,5,5,0,0,0,16,0
1955:Q3,190,10,181,0,0,190,81,0,0,12,0,38,0,24,5,5,0,0,0,25,0
1955:Q4,311,16,295,0,0,311,115,0,0,46,0,66,0,72,7,5,0,0,0,0,0
1956:Q1,167,8,159,0,0,167,94,0,0,15,0,27,0,27,8,6,1,0,0,-11,0
1956:Q2,170,9,162,0,0,170,112,0,0,15,0,11,0,24,8,4,0,0,0,-4,0
1956:Q3,145,7,138,0,0,145,100,0,0,4,0,14,0,7,9,6,-1,0,0,6,0
1956:Q4,92,5,87,0,0,92,82,0,0,9,0,-9,0,5,9,7,0,0,0,-11,0
1957:Q1,21,1,20,0,0,21,76,0,0,18,0,-29,0,-37,8,9,0,0,0,-24,0
1957:Q2,97,5,92,0,0,97,97,0,0,6,0,14,0,-29,8,11,0,0,0,-10,0
1957:Q3,197,7,142,48,0,197,156,0,0,2,0,21,0,-2,9,12,0,0,0,-1,0
1957:Q4,232,9,175,48,0,232,143,0,0,17,0,49,0,4,9,13,0,0,0,-3,0
1958:Q1,414,14,274,126,0,414,253,0,0,16,1,110,0,-1,10,14,0,0,0,11,0
1958:Q2,492,18,349,125,0,492,301,0,0,15,2,140,0,-1,10,14,0,0,0,11,0
1958:Q3,503,21,390,92,0,503,266,0,0,13,2,185,0,-1,11,16,0,0,0,11,0
1958:Q4,545,23,429,93,0,545,249,0,0,90,1,164,0,-1,13,18,0,0,0,11,0
1959:Q1,567,26,492,49,0,567,220,0,0,95,1,142,0,64,15,18,0,0,0,12,0
1959:Q2,547,25,471,51,0,547,253,0,0,79,1,142,0,45,16,17,0,0,0,-6,0
1959:Q3,533,21,405,107,0,533,270,0,0,74,1,149,0,-8,17,20,0,0,0,10,0
1959:Q4,488,19,361,108,0,488,258,0,0,53,3,105,0,18,18,25,0,0,0,8,0
1960:Q1,499,20,379,100,0,499,242,0,0,35,2,88,0,75,21,32,0,0,0,4,0
1960:Q2,503,20,381,102,0,503,211,0,0,32,1,167,0,43,22,37,0,0,0,-10,0
1960:Q3,591,25,466,101,0,591,224,0,0,25,3,212,0,56,22,39,1,0,0,9,0
1960:Q4,493,20,371,102,0,493,205,0,0,28,8,175,0,25,20,37,1,0,0,-6,0
1961:Q1,638,29,555,54,0,638,213,0,0,15,11,238,0,103,20,37,0,0,0,1,0
1961:Q2,519,23,442,54,0,519,165,0,0,20,15,228,0,31,16,37,0,0,0,7,0
1961:Q3,847,40,751,57,0,847,236,0,0,28,18,401,0,80,18,37,0,0,0,29,0
1961:Q4,832,39,736,57,0,832,284,0,0,20,21,252,0,171,20,34,0,0,0,30,0
1962:Q1,596,26,490,80,0,596,41,0,0,2,24,427,0,56,21,30,1,0,0,-6,0
1962:Q2,719,32,606,81,0,719,95,0,0,37,27,412,0,70,21,27,5,0,0,25,0
1962:Q3,832,39,745,48,0,832,90,0,0,-8,31,555,0,86,23,27,0,0,0,28,0
1962:Q4,963,46,866,51,0,963,81,0,0,0,36,499,0,286,24,29,4,0,0,4,0
1963:Q1,650,31,594,25,0,650,27,0,0,-33,41,479,0,84,23,29,0,0,0,0,0
1963:Q2,820,40,753,27,0,820,-1,0,0,-15,46,575,0,134,22,29,0,0,0,30,0
1963:Q3,792,39,749,4,0,792,-57,0,0,-33,49,585,0,158,23,30,-1,1,0,37,0
1963:Q4,1030,51,973,6,0,1030,-5,0,0,-2,49,681,0,219,30,34,1,0,0,23,0
1964:Q1,912,46,869,-3,0,912,-27,0,0,9,51,405,0,406,40,35,-1,0,0,-6,0
1964:Q2,1159,58,1107,-6,0,1159,-36,0,0,21,55,562,0,439,44,37,0,0,0,37,0
1964:Q3,1218,60,1140,18,0,1218,17,0,0,-19,54,594,0,468,41,40,0,1,0,22,0
1964:Q4,1265,62,1182,21,0,1265,11,0,0,-24,51,549,0,580,42,47,0,0,0,9,0
1965:Q1,806,39,743,24,0,806,-94,0,0,-36,48,416,0,371,41,51,0,0,0,9,0
1965:Q2,916,45,846,26,0,916,-126,0,0,-47,47,520,0,374,72,55,0,0,0,21,0
1965:Q3,943,48,910,-15,0,943,-159,0,0,20,44,544,0,357,36,59,0,1,0,41,0
1965:Q4,970,49,937,-16,0,970,-122,0,0,61,41,435,0,473,26,60,-1,1,0,-4,0
1966:Q1,974,49,940,-15,0,974,-19,0,0,130,35,379,0,353,37,64,0,0,0,-5,0
1966:Q2,888,45,858,-15,0,888,13,0,0,84,30,299,0,377,24,69,0,-1,0,-7,0
1966:Q3,633,32,616,-15,0,633,-43,0,0,48,28,127,0,377,35,66,0,1,0,-6,0
1966:Q4,567,29,555,-17,0,567,-21,0,0,40,31,70,0,371,58,57,0,0,0,-39,0
1967:Q1,693,35,671,-13,0,693,-49,0,0,62,32,202,0,365,25,57,-1,1,0,-1,0
1967:Q2,833,42,806,-15,0,833,-31,0,0,22,32,382,0,329,-3,56,0,0,0,46,0
1967:Q3,947,48,916,-17,0,947,-8,0,0,46,33,489,0,318,25,27,0,2,0,15,0
1967:Q4,1067,54,1031,-18,0,1067,45,0,0,85,35,454,0,416,8,28,0,2,0,-6,0
1968:Q1,662,33,634,-18,13,662,5,0,0,93,37,338,0,157,2,47,2,1,0,-20,0
1968:Q2,765,39,732,-18,13,765,-89,0,0,81,39,436,0,206,-12,39,0,2,0,33,30
1968:Q3,899,44,842,-14,27,899,63,0,0,69,41,434,0,245,6,2,3,3,0,20,13
1968:Q4,1110,56,1057,-16,13,1110,-65,0,0,100,44,495,0,429,0,30,2,3,0,40,32
1969:Q1,945,46,866,-19,52,945,61,0,0,63,38,472,0,207,4,22,2,4,0,-2,74
1969:Q2,1156,59,1119,-25,3,1156,-67,0,0,170,50,614,0,237,-1,29,2,4,0,52,66
1969:Q3,1160,58,1110,-12,4,1160,-88,0,0,192,111,496,0,315,21,25,8,4,0,-13,89
1969:Q4,1664,84,1588,-25,17,1664,-315,0,0,256,187,478,0,722,30,35,3,5,0,74,189
1970:Q1,2192,110,2098,-17,1,2192,840,0,0,113,233,364,0,324,8,25,22,5,0,-15,273
1970:Q2,1587,80,1526,-24,5,1587,28,0,0,91,79,569,0,405,0,37,97,5,0,150,126
1970:Q3,2114,106,2010,-26,24,2114,287,0,0,149,108,693,0,392,-24,10,96,8,0,263,132
1970:Q4,2161,108,2053,-8,8,2161,-14,0,0,153,152,760,0,613,15,10,75,7,0,145,245
1971:Q1,2183,109,2076,-14,12,2183,-302,0,75,143,223,1227,0,209,-44,159,114,9,0,233,137
1971:Q2,2740,138,2613,-21,11,2740,-283,0,75,86,97,1925,0,93,-131,136,150,10,0,370,212
1971:Q3,2347,118,2241,-18,6,2347,-379,0,75,57,205,1392,0,202,-31,53,223,9,0,286,255
1971:Q4,2451,123,2332,-19,15,2451,-665,0,75,113,191,1685,0,274,-107,-62,332,26,0,284,305
1972:Q1,2586,130,2464,-25,17,2586,-34,0,75,62,233,1224,0,90,-179,-7,260,32,0,214,616
1972:Q2,3366,166,3152,-18,66,3366,178,0,75,74,229,1961,0,11,-111,-14,193,66,0,306,398
1972:Q3,2788,139,2633,-21,37,2788,38,0,75,52,266,1637,0,127,-47,14,276,68,0,-77,359
1972:Q4,4042,201,3827,-22,36,4042,97,0,75,94,250,1738,0,372,-8,-44,250,112,0,438,668
1973:Q1,1817,90,1709,-22,40,1817,-238,0,37,-17,154,1173,0,12,-50,-96,255,110,0,192,285
1973:Q2,3364,167,3169,-18,46,3364,-207,0,22,36,155,1231,0,247,-4,6,574,44,0,291,969
1973:Q3,3170,159,3025,-16,2,3170,-209,0,-11,142,270,1186,0,321,-25,24,533,52,0,230,657
1973:Q4,2064,103,1965,-15,11,2064,-293,0,-39,137,338,725,0,524,-18,-6,482,18,0,-274,470
1974:Q1,2164,108,2054,-20,22,2164,33,0,-6,62,232,499,0,229,13,20,561,16,0,157,348
1974:Q2,1866,94,1791,-22,3,1866,-3,0,-10,85,276,926,0,255,8,-14,584,16,0,-235,-22
1974:Q3,1712,87,1647,-31,9,1712,-15,0,-16,253,333,618,0,274,6,34,574,89,0,-229,-209
1974:Q4,1133,58,1100,-33,8,1133,-48,0,-25,315,511,270,0,416,3,47,487,38,0,-929,48
1975:Q1,-82,-4,-74,-4,0,-82,563,-142,-50,325,166,-163,0,175,62,-15,219,120,0,-206,-1136
